证券代码,证券简称,"净利润
[报告期] 1993一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1993中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1993三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1993年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1994一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1994中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1994三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1994年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1995一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1995中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1995三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1995年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1996一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1996中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1996三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1996年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1997一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1997中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1997三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1997年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1998一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1998中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1998三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1998年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1999一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1999中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1999三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 1999年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2000一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2000中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2000三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2000年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2001一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2001中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2001三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2001年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2002一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2002中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2002三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2002年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2003一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2003中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2003三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2003年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2004一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2004中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2004三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2004年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2005一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2005中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2005三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2005年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2006一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2006中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2006三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2006年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2007一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2007中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2007三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2007年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2008一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2008中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2008三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2009一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2009中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2009三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2010一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2010中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2010三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2011一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2011中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2011三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2012一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2012中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2012三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2013一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2013中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2013三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2014一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2014中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2014三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2015一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2015中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2015三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2016一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2016中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2016三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2017一季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2017中报
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2017三季
[报表类型] 合并报表
[单位] 元","净利润
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元"
000001.SZ,平安银行,,"137,466,312.9100",,"273,310,000.0000",,"207,906,261.8000",,"356,328,024.0500",,"216,501,117.6800",,"435,059,720.6500",,"364,123,417.3500",,"787,300,629.6800",,"443,646,396.6500",,"862,227,864.2600",,"378,013,127.5200",,"764,240,114.2000",,"240,918,600.7400",,"555,191,092.0000",,"177,952,845.0000",,"506,551,785.0000","138,828,436.0000","223,211,685.0000","365,081,211.0000","402,360,428.0000","183,951,144.0000","314,141,342.0000","419,642,032.0000","432,224,930.0000","153,313,141.0000","270,340,697.0000","314,953,470.0000","316,545,704.0000","214,367,983.0000","285,720,671.0000","407,038,041.0000","289,774,275.0000","154,126,411.0000","157,834,800.0000","366,423,126.0000","311,007,640.0000","233,183,546.0000","463,620,662.0000","890,295,599.0000","1,302,906,538.0000","535,083,658.0000","1,123,983,000.0000","1,873,617,000.0000","2,649,903,000.0000","1,004,182,000.0000","2,143,834,000.0000","3,316,994,000.0000","614,035,000.0000","1,122,077,000.0000","2,311,388,000.0000","3,637,419,000.0000","5,030,729,000.0000","1,578,118,000.0000","3,033,119,000.0000","4,733,940,000.0000","6,283,816,000.0000","2,402,199,000.0000","4,731,746,000.0000","7,745,077,000.0000","10,390,491,000.0000","3,495,486,000.0000","6,869,564,000.0000","10,345,973,000.0000","13,510,780,000.0000","3,589,000,000.0000","7,531,000,000.0000","11,696,000,000.0000","15,231,000,000.0000","5,054,000,000.0000","10,072,000,000.0000","15,694,000,000.0000","19,802,000,000.0000","5,629,000,000.0000","11,585,000,000.0000","17,740,000,000.0000","21,865,000,000.0000","6,086,000,000.0000","12,292,000,000.0000","18,719,000,000.0000","22,599,000,000.0000","6,214,000,000.0000","12,554,000,000.0000","19,153,000,000.0000","23,189,000,000.0000"
000002.SZ,万科A,,"82,100,569.6900",,"160,920,609.2900",,"77,072,057.7300",,"175,968,245.3000",,"63,149,283.0000",,"166,896,385.2400",,"53,601,041.2600",,"154,175,149.3900",,"72,196,912.6000",,"201,877,727.0200",,"85,961,480.3300",,"211,196,234.1000",,"86,692,984.8600",,"240,126,889.4700",,"119,896,317.2700",,"311,177,265.8800",,"178,049,170.7000",,"381,969,284.3500","30,554,811.6000","142,156,920.2500","187,079,504.7000","398,048,307.6400","39,616,409.0400","209,215,714.3900","275,016,411.4800","565,890,614.8000","110,005,143.6300","333,571,003.7400","398,601,575.6600","912,653,719.7300","248,901,014.4300","813,192,444.7600","889,093,798.2200","1,433,425,711.8400","411,114,129.0000","1,276,745,766.7100","1,456,485,386.8900","2,422,997,051.1800","616,108,912.1700","1,800,864,980.1500","2,090,598,444.4300","5,317,500,817.8200","741,729,795.7100","2,306,670,070.1400","2,634,320,361.1600","4,639,869,152.7300","888,542,552.1900","3,100,227,254.7900","3,669,981,960.3500","6,430,007,538.6900","1,175,955,159.1100","3,160,820,888.9200","3,825,645,658.4100","8,839,610,505.0400","1,189,964,720.7700","3,252,517,534.3200","4,106,349,002.6700","11,599,606,211.7700","1,530,546,766.2300","4,535,477,635.9100","6,146,172,156.5700","15,662,588,423.0600","1,789,369,229.6600","5,335,891,298.5900","7,477,143,891.7200","18,297,549,871.2400","1,638,330,423.8700","5,492,479,926.5200","7,604,997,410.8400","19,287,524,028.0800","908,026,223.4700","6,789,481,869.2500","9,538,624,020.0800","25,949,438,026.3100","1,249,823,432.7800","7,094,630,598.3900","11,290,253,073.2000","28,350,255,480.6600","1,109,170,821.0500","10,052,989,450.3500","14,816,527,230.9100","37,208,387,330.0700"
000004.SZ,国农科技,,"23,400,000.0000",,"51,244,835.3400",,"22,432,187.9300",,"30,314,116.8400",,"25,720,351.7600",,"16,836,666.6800",,"-2,473,753.1400",,"-90,975,527.3900",,"4,655,019.6400",,"12,601,094.1200",,"5,320,329.1700",,"-84,751,681.7400",,"-64,117.9500",,"6,862,640.2100",,"5,936,431.5300",,"22,487,432.4800",,"15,849,675.7300",,"12,847,724.1800","-1,777,353.9100","-5,763,539.3100","-553,366.6600","8,212,732.3100","-1,420,661.5900","-2,239,886.6800","-1,645,405.0900","7,641,381.7600","-4,727,036.0200","-3,223,483.1500","-992,230.1900","-3,282,932.1100","-1,271,416.8300","-2,096,243.3400","-5,655,277.9900","-18,577,413.5100","1,614,131.7200","-727,268.3300","-3,601,525.1900","2,887,182.8400","506,869.5100","-3,526,187.0100","-4,439,313.1600","-10,001,970.5400","-454,920.3200","-1,255,474.7500","-3,067,546.4400","-11,484,191.4900","-769,723.1000","-833,803.2800","-2,160,879.1000","4,532,533.6400","985,747.3500","6,425,323.4400","17,380,421.7100","20,201,272.9200","1,363,046.8500","2,908,168.7300","4,500,362.8500","9,193,067.8200","1,162,250.1900","1,381,986.9400","3,517,773.2700","7,814,225.2900","2,842,065.7200","4,155,705.4900","7,491,610.2600","5,796,749.7900","-3,392,132.9600","-4,738,622.6800","-4,014,196.5200","15,624,813.5600","-1,757,271.9400","4,410,663.7100","7,442,136.2700","6,857,151.7100","-2,853,904.7800","2,992,444.5000","20,494,137.3300","39,716,316.2200","-1,689,946.1200","-5,755,872.7200","-8,208,346.8100","5,892,241.4100"
000005.SZ,世纪星源,,,,"-35,188,326.8800",,"30,309,600.0000",,"67,841,463.3600",,"23,010,100.0000",,"58,396,596.1800",,"25,597,570.6500",,"56,063,500.8900",,"-72,546,240.4000",,"155,381,788.7900",,"61,442,408.5500",,"151,190,561.1400",,"103,084,967.0200",,"132,556,227.1800",,"803,466.8200",,"-9,311,870.3100",,"-2,393,245.8100",,"-72,070,581.1200","-4,895,135.5300","-29,268,053.2900","-34,240,201.4800","-93,690,182.7200","-15,013,417.8700","-14,219,187.8500","-12,355,885.1500","920,975.2300","925,029.7500","1,047,802.9500","1,292,761.5000","1,690,339.7700","-6,646,618.0100","-14,870,587.5300","-24,804,443.3400","-179,970,049.5200","59,145,881.8600","68,108,172.3800","73,090,127.3400","-64,954,400.5100","39,849,992.4100","73,019,008.2600","90,189,663.9000","86,832,148.1100","2,261,319.1600","5,488,803.3200","10,302,094.5100","10,499,719.9200","3,802,025.8800","-2,164,648.7800","-11,721,761.1900","-48,919,528.9800","-6,893,419.4700","-16,008,152.5500","-26,524,804.1300","-4,426,387.1000","-6,291,033.0800","27,123,363.3200","13,656,651.9300","11,414,651.2500","-12,225,578.7800","-29,258,188.8800","-13,387,604.4000","22,021,617.8900","-9,235,389.5300","-22,456,860.1400","-29,000,088.9000","-42,344,755.2200","-8,682,228.3900","-25,219,942.1700","-31,948,217.3500","43,163,944.1600","-8,066,504.9800","-23,188,508.2600","-29,836,022.3200","-54,031,716.5000","-6,420,800.8000","131,363,454.3700","141,884,379.8300","116,962,419.8700","-9,706,812.7500","-15,057,983.0600","-11,073,937.2000","22,935,991.9400"
000006.SZ,深振业A,,"48,311,250.0000",,"69,392,299.0900",,"37,448,089.9400",,"57,682,979.1200",,"32,516,654.6400",,"45,339,928.6200",,"6,281,608.6300",,"70,319,296.6800",,"91,682,870.8400",,"134,173,984.1400",,"66,710,128.7300",,"140,100,791.2400",,"59,496,918.3500",,"121,235,589.6000",,"39,412,756.1300",,"136,489,306.3000",,"59,349,978.4100",,"125,402,009.8700","5,011,000.0000","38,055,141.5000","55,530,931.8900","5,557,626.4200","-14,459,401.5900","5,706,638.5200","-44,058,748.4900","-199,053,067.8900","-5,671,119.9600","-61,958,039.8800","-43,567,799.6000","58,244,157.4900","8,389,486.7400","-7,776,914.2700","18,901,768.1300","105,009,616.0700","34,376,863.6800","169,459,264.1400","177,255,795.1500","216,161,161.4900","13,400,625.8900","78,281,380.8600","128,936,874.3800","246,890,424.2600","229,510,111.5300","234,937,808.0600","234,551,331.1000","150,211,068.9100","61,841,032.2500","108,327,324.9900","173,643,566.8700","335,222,969.0800","37,846,139.5100","98,556,521.8700","130,722,104.2000","496,465,075.4600","53,790,086.5100","133,400,041.0100","276,391,715.9200","434,117,007.8900","84,372,375.9300","269,829,134.9000","348,124,660.0300","629,565,379.9600","62,234,995.4000","271,324,775.5100","360,670,597.2100","698,009,106.0000","30,196,417.5000","48,681,205.3200","238,386,906.0800","512,453,559.5100","210,517,130.3800","268,380,231.1300","287,596,830.6900","438,785,915.0900","49,930,386.4800","106,029,659.4400","119,772,699.7700","803,876,525.5100","112,595,341.1700","263,304,766.4600","353,606,594.9300","820,482,505.6000"
000007.SZ,全新好,,"15,748,913.6500",,"32,466,830.5100",,"20,851,668.5400",,"29,386,653.9300",,"11,464,000.0000",,"7,635,995.5300",,"6,334,000.0000",,"30,274,822.2500",,"16,351,309.5200",,"33,897,669.0700",,"3,163,211.3300",,"41,527,377.8000",,"5,288,232.1200",,"803,490.4900",,"-30,394,411.0800",,"-178,594,168.0300",,"-10,112,841.6700","-20,803,541.0800","12,739,838.4900","4,169,561.8800","14,816,401.3800","21,010,401.5800","8,561,534.2300","5,831,507.6400","9,500,249.5300","3,838,808.6600","15,874,906.1500","-11,948,496.3500","-21,347,753.4700","-40,602,558.8700","-154,384,945.6400","14,047,310.3500","4,128,603.4900","-10,698,843.1600","10,293,621.4700","-5,142,764.0700","-13,997,788.7600","-25,825,371.4000","-130,809,284.3400","-11,446,914.5600","-24,574,674.1000","-24,256,722.5900","8,683,640.6000","-11,086,477.4600","-19,586,984.2300","-32,321,247.4300","-65,007,258.7700","-10,984,415.0700","28,201,849.2200","51,641,610.1100","20,420,709.8500","-9,655,001.1900","7,223,483.1900","1,191,001.0000","21,700,158.0500","-343,185.2900","-711,273.5700","939,908.1800","8,310,538.6200","372,581.1100","4,055,133.5500","9,680,186.1200","4,433,296.3900","-11,571,281.0900","-2,699,689.8000","35,857,779.3100","18,830,603.4600","-7,840,506.7100","-6,130,543.3300","-7,970,891.1100","-33,382,647.0200","-6,218,736.8400","-9,717,470.2200","-14,228,504.0100","13,238,872.2200","11,620,142.8100","17,194,345.3400","26,109,581.2000","81,567,961.1000","-4,227,168.3400","9,545,199.5000","-1,185,391.8600","795,055.3800"
000008.SZ,神州高铁,,"9,411,240.5200",,"18,851,326.3700",,"10,969,185.9400",,"7,597,433.3900",,"38,582.5300",,"168,826.4500",,"-8,333,225.2500",,"-17,178,385.0400",,"908,203.9900",,"7,931,160.5900",,"-7,127,477.0300",,"-62,623,660.0000",,"8,130,724.8100",,"21,359,573.0000",,"27,966,581.0000",,"17,833,845.0000",,"-17,752,796.0000",,"-129,656,886.0500","-1,799,367.6600","-3,630,724.0100","-4,854,189.1100","-10,709,520.9300","-129,847.9100","-396,310.5900","366,487.2200","987,095.6500","135,363.0300","294,014.3900","731,100.1900","38,587,600.8100","485,835.8000","269,314.0400","-2,895,715.7800","-5,566,323.2200","-99,623.6800","-458,740.8400","-627,861.8500","-1,756,059.2100","1,003,699.1700","1,094,918.8400","2,180,057.9100","1,682,236.9000","257,671.1700","242,936.2700","316,739.5200","748,037.1400","-127,615.6900","-326,808.9300","-86,468.1300","313,488.7400","-60,386.4200","16,884.9900","87,709.6700","888,948.2600","-273,896.0800","-342,550.2600","-440,331.9200","-539,451.8200","-28,784.0500","53,051.7900","86,158.9500","39,129,030.5900","3,949,388.5400","10,545,210.8700","17,024,862.9900","22,757,953.9400","4,802,069.0600","8,633,415.2100","9,774,201.8800","7,766,402.6400","56,289,927.3400","77,098,560.9200","102,710,849.0300","189,909,159.6000","11,513,114.1100","41,962,130.8000","219,215,078.2900","530,541,641.3600","9,570,505.3100","62,755,454.4600","134,564,717.5000","889,609,890.1300"
000009.SZ,中国宝安,,"323,236,211.4600",,"420,769,247.8500",,"230,100,278.9300",,"432,773,232.8400",,"114,795,462.2800",,"152,799,937.4800",,"48,736,623.9000",,"56,488,952.2800",,"36,260,272.6700",,"12,601,155.3900",,"-95,107,370.9100",,"-474,511,034.0000",,"13,094,308.3900",,"46,853,844.5000",,"31,133,221.5800",,"53,013,491.9400",,"22,154,509.7500",,"57,351,903.8700","8,089,973.6000","18,454,120.8100","24,495,594.9400","34,602,901.4700","14,129,497.1800","20,408,973.7000","23,124,005.5400","37,643,922.9800","9,846,004.4000","29,143,810.6300","33,203,626.8300","-77,489,939.4100","14,450,785.6400","31,180,340.1600","39,549,092.9400","113,998,063.1500","13,490,109.1500","30,306,193.0300","36,952,219.4100","191,205,257.5500","82,463,836.0700","186,881,325.5000","271,623,241.2900","331,561,474.2400","86,678,554.8000","159,224,663.7700","221,515,568.1600","271,544,919.2300","110,495,061.6800","239,810,780.3000","321,775,708.9100","408,594,409.4200","122,089,751.3700","263,297,718.6000","348,923,323.2800","441,594,065.8600","149,253,051.4200","292,651,845.4000","346,048,152.7100","380,435,408.2800","77,663,003.4900","150,224,989.5300","183,749,802.3000","307,301,126.6700","81,881,371.5900","130,684,772.8800","452,337,627.6400","444,151,234.1700","122,345,861.0100","317,700,108.5900","393,668,469.0200","472,548,632.6000","105,690,559.4200","228,843,314.5200","839,308,314.6000","927,382,331.6500","107,649,100.6900","201,190,817.0800","366,426,435.4600","419,482,105.0800","88,168,607.1400","218,212,647.7000","370,590,687.3000","323,247,414.6900"
000010.SZ,美丽生态,,,,"6,849,572.9600",,,,"6,368,503.4300",,"6,504,218.7400",,"12,741,661.3400",,"5,572,776.7800",,"12,272,851.6700",,"2,971,304.3000",,"14,302,056.2700",,"1,077,921.2400",,"23,392,717.0000",,"-21,368,829.3700",,"-66,196,384.8800",,"-2,428,061.1300",,"21,423,044.5300",,"1,751,427.5000","6,458,523.5200","3,034,769.0500","127,800.0000","1,192,287.5500","4,408,281.6100","32,846,171.1800","2,882,216.4400","11,055,761.8700","23,188,693.1800","37,695,750.9500","6,873,262.1500","9,090,499.2600","18,467,685.6400","10,283,122.9100","-1,652,135.6400","4,947,662.0400","6,117,629.3000","-82,664,107.2000","-428,687.4300","-15,870,818.0900","-19,760,987.8200","8,458,877.4900","-1,526,653.5000","-2,581,085.1500","-5,720,519.5700","-24,066,287.6400","1,140,901.7100","1,056,408.9800","13,878,436.1300","18,345,826.7500","2,622,985.9800","8,884,847.6500","10,555,612.9500","9,630,354.3000","-1,142,000.7300","-3,039,272.2900","357,226.9000","3,832,468.4800","-4,966,039.5600","-6,905,177.0300","1,789,181.3000","8,374,495.1900","-4,020,017.7700","-4,649,039.2500","-9,778,290.5700","3,593,386.5100","-7,848,254.9100","4,160,857.5500","3,714,969.8400","3,810,759.8000","-6,277,346.7500","-7,199,268.5400","-14,149,355.9400","-75,318,345.8000","-2,582,574.0100","943,912.1000","1,998,049.6600","32,447,064.9100","-33,163,794.9700","25,782,153.1000","21,208,658.4300","38,935,297.0200","-25,661,183.7200","-46,079,064.8200","11,966,430.2500","-1,062,479,034.7300"
000011.SZ,深物业A,,,,"281,455,506.5000",,"189,383,108.0600",,"262,197,386.7200",,"66,450,136.8100",,"215,059,244.1700",,"12,897,478.3900",,"33,272,839.1400",,"4,769,138.9200",,"-517,866,131.4600",,"3,625,558.0600",,"-1,576,299.8700",,"6,167,075.0200",,"44,574,348.1400",,"11,159,060.5400",,"52,628,509.1600","-14,170,000.0000","11,653,009.1700","22,110,000.0000","88,397,267.5100","80,000.0000","7,491,364.5900","8,630,000.0000","34,622,176.8400","71,664.4100","7,728,666.7500","12,688,922.1500","77,001,831.4400","118,076.2000","8,463,406.9500","26,459,137.1400","90,449,977.3500","129,413.9600","15,091,441.5900","30,103,200.0000","78,419,748.8100","-7,920,713.3800","-19,559,702.9000","-33,655,337.9300","-45,094,210.8800","-5,965,494.8100","-15,471,109.2900","-29,322,395.6700","-27,381,215.9800","-5,031,278.2500","-3,120,802.1600","-12,794,987.8300","9,833,936.5900","18,477,765.6400","106,297,227.8300","160,281,578.1100","96,934,287.0200","2,839,794.1800","126,752,423.5200","135,254,986.9700","174,998,534.7900","284,605,173.9500","299,688,854.3900","306,477,330.1100","257,461,077.5400","5,460,610.0600","98,322,285.3100","174,644,758.8700","374,822,152.4100","236,360,598.9700","353,600,992.8100","356,260,816.7800","300,840,563.8100","27,725,441.5100","112,074,537.4900","323,125,436.6800","417,498,679.9100","356,364.9200","31,162,831.7400","46,455,800.3700","156,819,966.7100","577,026.0100","-5,248,704.6300","-7,202,485.5900","354,857,241.7400","301,597,814.3600","364,355,770.4300","576,166,646.7500","622,962,734.3700"
000012.SZ,南玻A,,,,"173,278,402.0500",,"98,276,073.5900",,"195,404,425.9300",,"97,099,880.2000",,"164,542,125.4800",,"83,528,343.0400",,"178,478,000.5400",,"64,597,461.0400",,"125,742,246.3700",,"28,359,105.8300",,"30,880,319.5200",,"15,092,772.2200",,"-165,492,718.8100",,"81,381,533.6500",,"171,535,140.2000",,"80,116,098.1900","125,890,591.0000","152,268,602.0000","31,576,210.0000","88,874,842.0000","139,049,756.0000","177,016,177.0000","39,806,950.0000","97,914,927.0000","167,636,621.0000","217,208,388.0000","89,973,182.0000","199,893,508.0000","299,867,927.0000","368,874,172.0000","62,010,595.0000","173,520,227.0000","291,534,686.0000","378,687,775.0000","60,296,912.0000","187,547,666.0000","317,367,196.0000","416,814,140.0000","70,198,792.0000","191,861,841.0000","386,124,026.0000","567,254,967.0000","226,019,311.0000","459,690,780.0000","613,800,070.0000","500,231,812.0000","69,448,714.0000","288,976,362.0000","630,055,992.0000","914,609,491.0000","332,714,626.0000","701,678,616.0000","1,144,782,522.0000","1,596,958,348.0000","450,734,031.0000","918,787,433.0000","1,231,968,418.0000","1,337,516,285.0000","143,684,132.0000","294,008,045.0000","478,856,414.0000","369,806,756.0000","129,692,741.0000","411,830,510.0000","728,650,042.0000","1,675,314,397.0000","133,187,083.0000","617,196,948.0000","780,126,104.0000","939,764,732.0000","89,811,307.0000","220,596,420.0000","408,952,566.0000","639,832,667.0000","204,835,467.0000","465,301,322.0000","718,660,205.0000","804,226,524.0000","176,240,910.0000","400,214,048.0000","721,822,345.0000","828,636,035.0000"
000014.SZ,沙河股份,,"20,852,000.0000",,"46,662,723.0300",,"29,027,200.0000",,"28,741,789.9600",,"22,777,000.0000",,"16,374,098.5400",,"3,681,138.3600",,"-55,213,409.3900",,"416,673.3100",,"550,440.4000",,"-20,618,942.8000",,"-71,395,127.0300",,"-93,193,060.9400",,"-74,818,944.3300",,"-15,646,515.2800",,"-31,392,736.4000",,"5,556,521.6600","7,180,000.0000","31,760,027.0800","3,076,089.1100","9,193,651.4200","5,754,741.3100","35,910,540.6800","956,814.5800","6,714,469.9400","13,424,760.3500","29,852,565.0900","1,974,441.1700","6,376,962.9900","11,999,140.9600","27,546,426.5700","8,179,331.5400","23,092,298.4000","26,469,376.3400","30,869,886.4200","20,087,597.2200","42,560,017.0700","44,838,182.3200","31,853,468.7200","-4,068,337.2900","-5,106,513.7900","-12,631,149.1500","2,115,382.8700","-12,732,729.1100","-26,791,563.2200","-45,584,596.9300","43,649,562.0400","-3,699,249.6400","31,320,336.0100","69,188,193.3700","79,400,609.6200","69,281,680.9000","68,382,958.7900","52,400,814.4000","77,617,075.0100","-6,894,722.5000","10,914,797.9000","22,740,187.8700","64,633,037.7600","-971,588.6200","-8,598,711.1300","-15,438,724.2200","33,175,060.0600","613,344.1800","-3,519,817.3200","-6,131,482.6300","35,207,822.8200","29,170,778.1500","29,610,651.3900","18,024,318.0100","62,783,265.0200","585,063.4700","15,478,379.9000","-573,848.3400","53,410,757.3700","-4,838,973.9100","-10,361,687.3100","-18,076,850.0800","29,112,707.5400","-3,387,241.8500","4,269,151.9000","5,772,978.1000","10,988,209.5800"
000016.SZ,深康佳A,,"86,661,185.7500",,"215,018,086.5200",,"128,257,117.7700",,"234,505,299.8000",,"142,424,677.9100",,"270,229,248.5200",,"142,674,971.8700",,"355,564,327.4900",,"164,601,088.9900",,"358,389,913.9300",,"183,861,587.7200",,"452,209,863.2400",,"215,748,316.0800",,"533,108,151.7400",,"137,118,307.7000",,"249,150,920.5200",,"-189,711,712.6900",,"-693,265,946.1600","19,824,035.3300","25,419,447.2500","31,674,286.4400","46,244,225.8100","20,892,621.2100","31,889,877.7600","60,304,424.9600","114,874,621.0700","28,099,585.0200","50,583,065.6700","69,670,422.6500","160,354,728.1000","18,675,311.3400","21,296,592.2200","37,251,977.1700","19,266,511.6900","25,049,055.0600","29,688,255.7700","42,947,350.2700","104,268,084.7500","25,491,256.3300","40,132,737.7000","54,150,098.9800","211,924,146.4900","48,254,034.8300","85,570,791.0600","197,068,402.7200","277,795,888.3000","36,582,440.8900","74,986,480.4900","107,741,890.2500","147,386,572.2500","39,816,188.4600","60,513,008.4700","75,143,111.8800","101,189,494.9500","-75,327,826.6400","-190,874,019.8900","-156,320,378.2800","24,179,368.0200","10,504,070.7900","11,476,794.2100","15,735,213.8600","45,438,574.8600","11,059,218.7000","36,648,406.0000","40,314,219.8700","59,843,937.0600","10,325,067.5500","47,326,353.7500","49,804,448.6900","60,524,699.1700","4,392,815.0200","-304,618,171.6900","-858,427,153.3700","-1,275,844,762.6500","13,664,089.9800","9,906,950.7200","-49,211,355.8500","92,175,358.0800","25,959,920.1000","34,396,332.5800","134,814,710.8700","5,086,834,099.9800"
