"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"2","000002.SZ","房地产","","82,100,569.6900","","160,920,609.2900","","77,072,057.7300",NA,"175,968,245.3000","","63,149,283.0000","","166,896,385.2400","","53,601,041.2600","","154,175,149.3900","","72,196,912.6000",NA,"201,877,727.0200","","85,961,480.3300","","211,196,234.1000","","86,692,984.8600",NA,"240,126,889.4700","","119,896,317.2700","","311,177,265.8800","","178,049,170.7000","","381,969,284.3500","30,554,811.6000","142,156,920.2500","187,079,504.7000","398,048,307.6400","39,616,409.0400","209,215,714.3900","275,016,411.4800","565,890,614.8000","110,005,143.6300","333,571,003.7400","398,601,575.6600","912,653,719.7300","248,901,014.4300","813,192,444.7600","889,093,798.2200","1,433,425,711.8400","411,114,129.0000","1,276,745,766.7100","1,456,485,386.8900","2,422,997,051.1800","616,108,912.1700","1,800,864,980.1500","2,090,598,444.4300","5,317,500,817.8200","741,729,795.7100","2,306,670,070.1400","2,634,320,361.1600","4,639,869,152.7300","888,542,552.1900","3,100,227,254.7900","3,669,981,960.3500","6,430,007,538.6900","1,175,955,159.1100","3,160,820,888.9200","3,825,645,658.4100","8,839,610,505.0400","1,189,964,720.7700","3,252,517,534.3200","4,106,349,002.6700","11,599,606,211.7700","1,530,546,766.2300","4,535,477,635.9100","6,146,172,156.5700","15,662,588,423.0600","1,789,369,229.6600","5,335,891,298.5900","7,477,143,891.7200","18,297,549,871.2400","1,638,330,423.8700","5,492,479,926.5200","7,604,997,410.8400","19,287,524,028.0800","908,026,223.4700","6,789,481,869.2500","9,538,624,020.0800","25,949,438,026.3100","1,249,823,432.7800","7,094,630,598.3900","11,290,253,073.2000","28,350,255,480.6600","1,109,170,821.0500","10,052,989,450.3500","14,816,527,230.9100","37,208,387,330.0700"
"5","000006.SZ","房地产","","48,311,250.0000","","69,392,299.0900","","37,448,089.9400",NA,"57,682,979.1200","","32,516,654.6400","","45,339,928.6200","","6,281,608.6300","","70,319,296.6800","","91,682,870.8400",NA,"134,173,984.1400","","66,710,128.7300","","140,100,791.2400","","59,496,918.3500",NA,"121,235,589.6000","","39,412,756.1300","","136,489,306.3000","","59,349,978.4100","","125,402,009.8700","5,011,000.0000","38,055,141.5000","55,530,931.8900","5,557,626.4200","-14,459,401.5900","5,706,638.5200","-44,058,748.4900","-199,053,067.8900","-5,671,119.9600","-61,958,039.8800","-43,567,799.6000","58,244,157.4900","8,389,486.7400","-7,776,914.2700","18,901,768.1300","105,009,616.0700","34,376,863.6800","169,459,264.1400","177,255,795.1500","216,161,161.4900","13,400,625.8900","78,281,380.8600","128,936,874.3800","246,890,424.2600","229,510,111.5300","234,937,808.0600","234,551,331.1000","150,211,068.9100","61,841,032.2500","108,327,324.9900","173,643,566.8700","335,222,969.0800","37,846,139.5100","98,556,521.8700","130,722,104.2000","496,465,075.4600","53,790,086.5100","133,400,041.0100","276,391,715.9200","434,117,007.8900","84,372,375.9300","269,829,134.9000","348,124,660.0300","629,565,379.9600","62,234,995.4000","271,324,775.5100","360,670,597.2100","698,009,106.0000","30,196,417.5000","48,681,205.3200","238,386,906.0800","512,453,559.5100","210,517,130.3800","268,380,231.1300","287,596,830.6900","438,785,915.0900","49,930,386.4800","106,029,659.4400","119,772,699.7700","803,876,525.5100","112,595,341.1700","263,304,766.4600","353,606,594.9300","820,482,505.6000"
"10","000011.SZ","房地产","","","","281,455,506.5000","","189,383,108.0600",NA,"262,197,386.7200","","66,450,136.8100","","215,059,244.1700","","12,897,478.3900","","33,272,839.1400","","4,769,138.9200",NA,"-517,866,131.4600","","3,625,558.0600","","-1,576,299.8700","","6,167,075.0200",NA,"44,574,348.1400","","11,159,060.5400","","52,628,509.1600","-14,170,000.0000","11,653,009.1700","22,110,000.0000","88,397,267.5100","80,000.0000","7,491,364.5900","8,630,000.0000","34,622,176.8400","71,664.4100","7,728,666.7500","12,688,922.1500","77,001,831.4400","118,076.2000","8,463,406.9500","26,459,137.1400","90,449,977.3500","129,413.9600","15,091,441.5900","30,103,200.0000","78,419,748.8100","-7,920,713.3800","-19,559,702.9000","-33,655,337.9300","-45,094,210.8800","-5,965,494.8100","-15,471,109.2900","-29,322,395.6700","-27,381,215.9800","-5,031,278.2500","-3,120,802.1600","-12,794,987.8300","9,833,936.5900","18,477,765.6400","106,297,227.8300","160,281,578.1100","96,934,287.0200","2,839,794.1800","126,752,423.5200","135,254,986.9700","174,998,534.7900","284,605,173.9500","299,688,854.3900","306,477,330.1100","257,461,077.5400","5,460,610.0600","98,322,285.3100","174,644,758.8700","374,822,152.4100","236,360,598.9700","353,600,992.8100","356,260,816.7800","300,840,563.8100","27,725,441.5100","112,074,537.4900","323,125,436.6800","417,498,679.9100","356,364.9200","31,162,831.7400","46,455,800.3700","156,819,966.7100","577,026.0100","-5,248,704.6300","-7,202,485.5900","354,857,241.7400","301,597,814.3600","364,355,770.4300","576,166,646.7500","622,962,734.3700"
"12","000014.SZ","房地产","","20,852,000.0000","","46,662,723.0300","","29,027,200.0000",NA,"28,741,789.9600","","22,777,000.0000","","16,374,098.5400","","3,681,138.3600","","-55,213,409.3900","","416,673.3100",NA,"550,440.4000","","-20,618,942.8000","","-71,395,127.0300","","-93,193,060.9400",NA,"-74,818,944.3300","","-15,646,515.2800","","-31,392,736.4000","","5,556,521.6600","7,180,000.0000","31,760,027.0800","3,076,089.1100","9,193,651.4200","5,754,741.3100","35,910,540.6800","956,814.5800","6,714,469.9400","13,424,760.3500","29,852,565.0900","1,974,441.1700","6,376,962.9900","11,999,140.9600","27,546,426.5700","8,179,331.5400","23,092,298.4000","26,469,376.3400","30,869,886.4200","20,087,597.2200","42,560,017.0700","44,838,182.3200","31,853,468.7200","-4,068,337.2900","-5,106,513.7900","-12,631,149.1500","2,115,382.8700","-12,732,729.1100","-26,791,563.2200","-45,584,596.9300","43,649,562.0400","-3,699,249.6400","31,320,336.0100","69,188,193.3700","79,400,609.6200","69,281,680.9000","68,382,958.7900","52,400,814.4000","77,617,075.0100","-6,894,722.5000","10,914,797.9000","22,740,187.8700","64,633,037.7600","-971,588.6200","-8,598,711.1300","-15,438,724.2200","33,175,060.0600","613,344.1800","-3,519,817.3200","-6,131,482.6300","35,207,822.8200","29,170,778.1500","29,610,651.3900","18,024,318.0100","62,783,265.0200","585,063.4700","15,478,379.9000","-573,848.3400","53,410,757.3700","-4,838,973.9100","-10,361,687.3100","-18,076,850.0800","29,112,707.5400","-3,387,241.8500","4,269,151.9000","5,772,978.1000","10,988,209.5800"
"25","000029.SZ","房地产","","","","340,871,818.2600","","195,400,000.0000",NA,"450,043,933.6900","","150,920,000.0000","","582,066,850.5400","","151,560,000.0000","","-13,729,645.7100","","53,097,180.9300",NA,"109,272,537.4000","","815,978.4100","","-1,055,009,323.0000","","16,017,758.0000",NA,"98,402,716.1900","","16,854,260.7600","","77,712,043.1600","","4,406,937.6300","234,559.8500","-539,664,749.1300","-33,563,700.0000","-41,049,197.2500","-67,284,708.3700","13,468,388.8300","-24,684,087.2800","-27,559,651.6500","-40,832,838.6400","3,103,248.5400","-18,358,165.9800","-34,374,939.1500","-62,866,172.9000","-143,224,145.5800","-14,310,707.7500","-16,538,701.2600","4,407,072.3900","8,418,818.5700","3,291,631.8500","9,204,785.9800","13,105,144.7700","20,264,044.0300","1,228,168.5400","10,407,477.1700","15,276,510.1700","38,933,632.2400","2,046,764.6700","13,830,432.6400","16,912,511.3800","19,155,775.2200","841,199.0400","7,699,678.6400","11,240,655.3900","20,217,383.6200","5,458,560.7400","64,141,001.2800","77,136,638.4500","84,771,358.5100","23,061,083.8500","64,282,433.6000","86,728,624.4900","101,199,284.4200","22,087,227.8100","40,107,915.2000","63,482,192.7300","106,854,849.6300","3,551,148.9400","13,068,157.7800","16,637,932.1800","228,317,758.1300","22,010,603.0600","34,752,731.7600","57,061,856.4000","298,058,149.5900","24,961,846.2600","186,404,025.4700","234,017,227.9000","301,069,066.7800","31,175,418.5500","134,727,998.7700","236,863,312.4800","311,495,750.1000","34,665,451.8700","137,199,669.9600","149,605,838.5000","184,922,598.1000"
"27","000031.SZ","房地产","","","","105,712,849.2300","","82,482,900.3600",NA,"115,640,180.7300","","56,046,181.6800","","116,309,985.6500","","47,636,429.0600","","149,891,764.0600","","34,541,129.7900",NA,"38,000,428.7000","","13,170,947.6400","","36,164,194.5100","","-34,347,331.4100",NA,"-114,598,901.7600","","9,273,609.4800","","28,447,639.4600","","36,999,018.2400","","78,107,537.5900","10,833,400.0000","55,777,233.7400","69,164,288.5600","85,809,469.1700","17,409,268.0500","51,422,622.2700","75,933,642.1800","100,179,945.9200","34,216,374.6900","73,735,665.2500","102,365,922.2100","112,936,560.0100","25,762,805.9100","80,178,241.6800","100,575,890.5900","120,986,583.1800","25,777,254.6000","81,045,075.4300","103,123,424.2900","170,580,287.3600","15,225,132.3200","271,568,697.6500","278,470,022.5700","469,067,507.0600","31,600,857.3600","97,447,155.9200","91,565,329.7800","138,180,013.5500","-11,946,357.8900","-1,510,861.7000","132,272,144.7400","375,896,360.4200","31,035,035.0300","64,670,705.2000","124,425,927.6700","554,598,126.5400","87,011,867.9400","229,198,595.2900","280,386,354.4600","732,559,292.5600","112,871,285.9600","121,368,798.1800","156,606,468.4400","674,171,976.3100","83,471,740.3900","200,019,775.5300","283,370,408.6600","919,186,495.2200","78,436,220.9500","236,396,893.7400","244,082,657.4300","902,808,237.5200","56,691,489.9900","175,459,202.0600","628,732,723.2900","1,001,222,298.3900","448,330,391.3800","523,532,618.2200","571,835,307.2500","1,333,459,035.5700","226,552,885.3600","372,479,316.8500","1,142,568,782.4900","1,734,838,350.1300"
"31","000036.SZ","房地产","","","","12,959,774.1300","","4,584,485.6300",NA,"10,333,463.8300","","2,742,367.0000","","4,188,619.5900","","-5,187,540.0000","","4,747,159.6600","","856,954.0400",NA,"-38,644,490.2300","","","","100,906,499.7800","","22,823,365.4100",NA,"127,131,929.5300","","81,788,220.6800","","159,858,457.7100","","91,363,653.1700","","233,472,286.4300","63,804,679.1400","99,779,135.4500","110,105,612.0600","272,100,631.0600","68,195,281.3600","80,716,426.2800","62,095,558.9800","78,014,424.4600","16,598,945.3800","7,728,504.0100","12,125,092.6700","47,129,567.8800","-14,705,971.3600","-15,647,524.4500","42,131,472.5500","55,341,632.1300","42,173,963.0400","83,324,020.9500","236,783,964.6500","280,112,693.9300","23,661,743.4800","50,566,208.4500","-98,480,610.2600","-960,067,676.9500","-74,915,278.4200","-52,574,385.6800","-287,861,602.5700","-411,832,752.4700","171,547,690.1300","274,701,871.2400","395,998,452.5500","436,444,726.8500","37,100,036.5800","49,078,225.0800","59,085,128.9600","303,809,883.9200","34,548,484.8800","72,811,589.5800","94,320,135.9000","98,173,878.5400","50,542,576.6600","62,678,025.8500","70,149,779.9100","86,335,163.2500","4,105,094.1600","7,781,410.9400","96,489,792.6500","114,888,220.0500","2,550,639.9900","3,712,095.4000","3,404,193.5700","30,135,153.8000","-9,269,035.8900","-16,875,499.2900","-1,181,455.3800","94,695,385.5300","92,769,880.0400","432,576,424.7800","477,840,965.7300","1,353,083,048.3100","757,798,514.3300","1,065,178,505.8800","1,105,725,864.0500","1,372,382,699.1400"
"36","000042.SZ","房地产","","","","119,138,638.5500","","78,026,357.9900",NA,"97,898,792.1000","","87,244,570.0300","","132,662,576.4300","","58,048,984.6700","","144,961,888.3400","","80,201,382.1600",NA,"161,007,925.2600","","52,750,550.7100","","119,668,979.5800","","59,952,250.8400",NA,"125,400,413.1800","","47,713,206.9800","","138,056,485.0900","","68,480,892.1200","","131,921,924.6000","15,762,900.0000","33,403,826.3000","44,149,382.3400","78,981,125.6700","15,346,498.1500","29,451,725.5100","12,077,108.3100","67,265,387.9400","-42,165,950.5500","-79,318,009.6200","-37,397,095.9500","14,397,846.3200","-11,008,589.1700","98,540,638.3900","102,782,287.9400","126,921,661.4900","2,890,109.2000","99,969,003.2000","101,374,961.4100","59,635,842.9000","-10,050,194.3200","144,755,150.4700","140,448,569.8100","203,538,259.0600","-13,648,345.5500","-31,436,429.1700","-60,064,910.9400","6,788,150.5600","-1,451,022.9000","142,894,287.4700","165,458,600.3700","267,352,981.5000","36,972,900.9200","81,199,977.6200","214,801,372.5100","362,023,511.0600","151,007,155.6800","169,126,512.8300","202,510,677.5300","319,093,933.4600","209,944,843.7400","231,271,420.2900","369,679,674.5500","411,880,264.4300","163,049,364.4600","209,879,660.9100","241,686,328.2300","405,502,224.1500","229,989,715.2500","281,040,551.2900","305,265,121.0100","305,618,650.6800","461,398,797.7300","418,781,307.9400","413,267,236.3900","399,851,565.2900","42,616,827.3900","20,324,571.7500","69,627,427.8100","221,540,300.2900","23,301,051.8900","150,963,297.6400","245,662,145.6800","608,896,802.1200"
"37","000043.SZ","房地产","","","","50,784,258.0100","","26,160,000.0000",NA,"65,685,250.3500","","30,501,891.7900","","44,431,824.8500","","32,262,712.9200","","47,663,189.2100","","25,258,717.8100",NA,"55,048,340.2700","","15,880,511.3800","","31,368,468.8100","","12,175,773.0300",NA,"19,171,592.6700","","12,282,232.3300","","19,616,536.5600","","7,966,730.4000","","-134,759,007.0900","5,214,744.5400","11,859,740.7800","19,264,262.0600","31,801,810.2900","5,521,598.8600","7,646,801.6800","16,646,175.7400","35,472,053.0800","8,426,272.4600","14,575,783.9200","31,755,460.5300","38,950,567.1200","9,329,797.7100","15,562,759.7700","25,600,587.2900","96,058,155.0800","22,521,299.3100","57,763,481.0900","66,730,176.4600","122,776,818.3700","13,781,984.1500","23,323,689.1600","43,186,008.8400","270,843,480.4000","14,802,991.1800","23,694,435.1600","9,659,930.5500","23,741,673.8800","-3,384,666.8500","26,040,772.8100","22,209,834.4500","93,485,068.2000","8,589,442.0000","6,395,959.9400","72,260,155.7500","295,524,395.9700","-10,306,744.5300","35,061,736.8500","58,558,230.8300","500,798,614.3800","-6,709,656.2800","4,047,214.6700","191,877,300.4000","435,495,238.6000","-47,017,162.9400","-27,645,174.8300","27,572,842.9000","499,425,238.1700","35,907,864.7500","-36,632,893.6800","-90,959,696.8700","479,649,019.7200","-82,515,217.9400","-136,510,168.9700","-194,868,170.4700","370,710,865.3100","-176,495,909.1100","-5,386,344.7000","-51,135,230.4600","137,312,973.6800","-71,054,586.2500","-124,231,588.8000","-41,782,571.1200","-34,728,088.5900"
"39","000046.SZ","房地产","","","","25,420,582.9000","","17,559,100.0000",NA,"31,497,709.5500","","9,422,200.0000","","19,432,186.5000","","13,050,139.5800","","40,930,342.1100","","3,453,432.0300",NA,"40,656,738.2400","","-6,817,588.4700","","101,849,883.6700","","71,348,890.1400",NA,"96,732,353.2300","","27,757,649.8900","","40,106,830.1800","","10,802,308.9300","21,459,643.1600","56,494,503.9500","695,400.0000","11,904,310.8000","18,729,920.3900","45,307,289.7900","2,778,062.8200","4,759,763.9500","20,807,231.9700","49,096,368.7900","9,762,859.8400","17,241,157.2400","22,306,081.0100","92,763,741.5800","13,956,046.0900","19,068,381.8000","21,055,366.9600","76,324,142.0500","39,745,296.1900","43,135,319.5800","42,283,447.6300","258,434,634.6900","79,736,562.4300","285,259,034.4600","486,277,578.4300","650,709,444.5500","80,111,320.0900","174,711,331.9300","209,599,117.0400","208,902,346.7900","9,893,203.8400","123,356,482.5800","208,198,495.3900","390,401,910.3800","99,426,243.3000","81,257,245.4100","179,394,179.1700","119,487,296.4600","-37,268,669.2400","-34,751,967.5500","156,845,671.2300","245,474,630.9100","-17,955,560.6100","27,904,032.1100","233,570,451.0600","778,048,233.1000","79,027,764.0700","200,104,131.9400","377,726,470.7200","1,179,033,099.5000","74,194,414.9500","166,349,959.5300","412,462,818.8800","1,664,268,899.7200","353,846,786.3400","888,093,042.8000","1,433,783,686.5600","2,366,455,864.7200","176,377,566.0600","911,547,369.3400","1,819,200,686.5800","3,056,968,740.0300","430,575,640.4800","920,984,617.4800","1,308,233,988.8200","3,092,597,848.1200"
"44","000056.SZ","房地产","","","","36,409,622.0000","","",NA,"26,488,626.0000","","","","40,830,129.7000","18,088,100.0000","30,835,386.0700","","49,745,294.0400","","19,379,593.3700",NA,"40,903,976.1100","","11,613,738.8900","","3,476,100.8300","","17,592,191.5300",NA,"39,272,976.3500","","4,896,309.6300","","35,919,098.9500","","3,306,815.0500","20,758,814.0300","23,091,753.7900","893,300.0000","4,875,336.3800","9,525,232.2700","-35,214,878.0100","256,678.9800","921,467.5600","-535,826.4800","-4,181,635.4400","108,439.1400","-1,832,045.6300","-2,227,708.3900","-106,272,690.9800","12,513,559.5400","-3,293,481.9400","10,245,946.4700","24,221,397.4600","-9,554,970.3600","-19,661,168.9100","-29,438,793.7000","-77,022,029.3700","-6,862,860.1100","-12,052,707.4500","-17,083,017.4800","51,760,574.4700","-3,497,968.4400","-1,825,831.9400","-7,934,006.0900","-49,847,878.1300","4,912,432.3500","6,141,848.8400","2,452,799.7000","-14,370,152.8000","-18,551,486.1200","-39,774,544.5500","-125,927,222.0600","-280,964,912.3300","-14,370,140.1300","-20,656,273.7100","-34,560,387.5100","-213,028,848.9100","-10,362,257.1400","62,635,024.3600","31,798,419.9000","-16,097,351.1100","-30,957,490.5900","-63,804,443.4400","4,041,534,196.4900","3,873,341,158.2900","-65,251,519.6800","-161,387,442.1700","-262,283,675.1900","-542,798,857.0600","9,580,097.3500","8,678,405.8400","30,035,052.8300","38,345,035.2000","20,398,316.8100","50,763,846.4400","74,698,541.3700","116,406,566.5300","62,172,902.9300","115,422,161.5700","192,644,266.6900","210,054,564.0900"
"54","000069.SZ","房地产","","","","","","",NA,"56,795,443.2100","","","","70,051,495.2900","","","","48,945,759.2000","5,498,621.2000","12,819,341.5300",NA,"61,238,578.5400","","58,401,462.5500","","75,904,631.6400","","26,565,812.0300",NA,"56,590,212.4200","","36,483,860.8300","","86,868,373.2800","","97,464,098.3100","","182,957,164.1400","18,862,129.3300","101,747,554.9800","130,212,849.4500","285,103,013.6300","39,146,211.7300","150,950,842.8500","191,920,297.1200","233,869,773.5200","52,555,020.6600","234,132,444.9100","282,549,745.1700","337,893,179.1300","31,716,581.3300","235,720,811.3600","306,247,806.2100","478,648,843.6700","25,737,640.3400","210,223,509.1900","308,509,178.9500","645,517,336.0800","8,663,640.2400","61,676,547.3000","173,374,191.7400","803,957,087.6100","26,084,116.1200","460,609,485.4900","551,854,421.2300","1,169,117,723.7200","120,475,310.3600","494,631,797.6300","736,908,266.9500","1,864,311,773.4100","380,733,984.1500","1,418,434,492.5300","1,742,383,737.0800","3,328,533,604.2100","289,968,132.3900","1,134,355,439.7800","1,587,686,513.2100","3,286,280,813.7200","274,163,561.8100","1,132,140,208.2000","1,729,154,903.3000","4,056,692,255.4100","467,049,304.0700","1,985,562,664.8200","3,232,791,142.0200","4,956,142,720.1600","781,850,137.3200","2,187,430,374.7500","3,170,096,556.2000","5,590,836,707.7600","551,501,425.1700","1,600,185,607.5800","2,860,959,312.9200","5,243,326,924.2200","640,002,047.8700","1,710,221,977.4000","3,139,343,169.4400","7,310,940,967.2500","812,311,266.3900","1,802,829,189.3500","4,827,779,060.9600","9,318,466,910.6900"
"59","000090.SZ","房地产","","","","","","",NA,"","","","","","","","","69,817,447.7900","","",NA,"75,964,376.4500","","","","81,199,693.2400","","47,569,952.8300",NA,"104,833,887.6600","","47,787,008.0300","","98,965,924.7100","","49,603,741.1700","61,320,482.6700","94,389,336.7700","14,899,900.0000","44,759,591.3200","45,415,782.7200","69,227,659.2500","12,621,983.3800","35,615,240.5000","49,961,675.9400","54,304,216.9300","8,587,178.1000","20,600,777.0900","27,206,575.3800","43,185,160.5800","4,968,121.1000","24,670,323.7400","30,789,126.4700","68,614,414.4800","34,469,369.1900","59,620,043.5800","84,527,504.0900","121,941,313.7100","4,044,068.8900","21,126,528.1400","90,906,799.1500","173,293,065.4900","9,880,990.1400","27,447,151.0000","1,626,363.8200","-114,786,873.0100","49,594,260.3400","30,480,250.9700","51,106,017.6200","57,714,687.3300","-8,582,507.2600","15,884,403.1200","131,732,412.2500","110,771,388.5600","123,203,597.1500","147,267,956.6900","195,192,645.7400","203,219,543.2900","100,166,740.4600","147,456,363.6300","206,151,238.2000","250,144,007.2400","82,593,464.5300","101,131,602.7400","140,990,542.2600","378,422,925.1800","11,787,920.4300","34,314,094.3000","135,617,283.7300","421,502,891.1200","47,204,809.5800","220,766,506.2500","258,020,502.6200","392,383,188.7000","42,014,322.0000","177,014,124.0800","221,056,166.0100","446,140,022.9300","253,934,278.2100","345,300,372.1700","542,267,401.6200","598,227,808.3800"
"77","000402.SZ","房地产","","","","3,721,000.0000","","",NA,"7,221,000.0000","","","","10,718,114.5600","","2,202,275.6900","","5,775,528.4300","","3,556,214.0100",NA,"9,471,498.6200","","2,709,575.7700","","5,191,537.5600","","2,294,733.7800",NA,"11,983,853.2500","","11,290,127.9600","","40,135,106.3500","","49,280,074.9000","","156,503,385.8700","1,391,990.3400","62,272,075.7100","88,889,034.4300","173,620,880.3600","29,653,605.6800","125,675,556.7400","142,571,152.5600","208,572,443.8700","87,034,352.5700","138,095,664.8200","181,854,027.3300","312,539,179.2900","5,370,469.5400","40,453,014.2700","276,583,620.0000","422,327,564.5400","9,685,131.1300","138,911,031.6900","165,126,656.9900","525,912,651.4200","435,960,897.0200","432,053,393.0800","440,225,805.4400","732,367,912.8100","67,621,041.5900","131,428,629.6600","378,433,864.9500","1,038,844,664.9000","158,425,482.4000","763,323,592.0000","971,110,226.3600","1,374,056,341.7800","91,953,649.4100","505,404,825.6100","659,412,696.4800","1,833,616,586.8100","665,153,297.7600","1,251,239,095.8300","1,813,923,828.4100","2,057,652,097.9200","865,242,507.6000","1,221,664,285.1100","1,557,788,146.9500","2,696,542,868.3600","395,309,360.7800","918,381,197.3600","1,588,461,130.6700","3,520,034,870.8100","349,442,980.8600","486,793,807.7000","751,427,562.7200","3,112,537,826.1000","799,833,767.3100","888,657,544.6500","1,061,387,158.2700","2,265,055,422.7000","780,637,760.8500","754,066,566.5300","777,080,256.0800","2,815,596,273.2000","551,896,363.6700","1,179,002,836.5800","1,660,518,243.1400","4,102,689,364.9200"
