"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"144","000552.SZ","采掘","","","","18,229,546.0900","","10,999,000.0000",NA,"20,109,245.6800","","5,483,000.0000","","4,094,200.4400","","5,206,000.0000","","2,599,927.8300","","1,276,966.1900",NA,"15,955,176.3800","","6,395,316.2600","","-37,568,414.3000","","-12,231,381.1500",NA,"15,133,984.0100","","27,569,849.9900","","33,173,615.5400","","14,970,264.7800","17,728,457.7100","11,116,947.8800","-5,832,518.7900","-18,292,048.3400","-29,680,839.3200","-39,285,946.0700","-4,746,850.7400","-11,701,923.0300","-16,386,131.4200","-78,206,214.2700","-6,491,406.6400","-14,067,797.9600","-21,184,533.6500","-47,839,352.8600","1,096,895.8300","8,170,988.7700","22,829,757.6300","32,817,637.0300","15,976,120.8000","28,174,331.8800","34,811,279.3000","40,322,556.6800","11,129,926.1900","20,832,565.0000","30,425,368.3900","61,170,248.7200","12,907,848.2800","25,999,241.5100","34,444,123.1500","71,715,009.7300","10,458,945.8900","27,090,110.3700","41,037,872.1400","53,293,102.1300","17,830,609.1500","39,182,259.5600","50,056,902.6100","56,546,206.0400","21,866,463.7700","45,388,987.1100","58,152,121.4700","70,813,359.5100","20,511,985.4600","40,786,519.8400","295,982,686.7000","447,350,660.8200","111,080,121.5300","204,720,603.4500","321,165,028.2200","428,442,254.6800","106,840,007.9300","183,943,004.3000","272,221,103.8100","332,005,794.6600","67,908,536.3800","124,758,877.3300","165,330,398.5100","180,209,579.4200","52,533,228.1100","76,596,919.5300","120,492,290.2200","222,468,102.4700","116,357,524.1900","279,634,615.6000","371,734,893.9100","552,829,260.0600"
"160","000571.SZ","采掘","","","","53,704,210.3600","","32,030,989.8300",NA,"55,833,625.6400","","33,038,773.4500","","70,272,424.6500","","65,957,110.2800","","219,096,161.2800","","109,862,806.0500",NA,"134,983,792.0100","","198,250,404.3200","","226,372,502.9300","","43,266,640.8600",NA,"25,306,453.6200","","1,584,781.8700","","-149,534,827.2300","","4,559,651.7900","","-155,120,993.1600","-31,823,757.9200","-24,816,014.2600","-2,916,991.2100","12,491,767.7200","1,487,196.4000","-7,486,362.2000","-3,303,560.8400","12,772,070.1700","2,245,538.4100","2,799,052.3500","7,295,890.2800","8,841,262.6700","767,071.9600","5,933,523.6700","7,056,622.6700","7,114,874.8800","-10,376,033.2200","-4,163,467.7000","-5,840,496.7800","7,822,584.9400","14,224,225.5400","16,484,566.4000","26,457,568.1900","26,922,454.5100","14,269,791.1900","21,762,063.6700","44,832,013.2300","64,775,168.4200","23,586,708.2700","56,299,180.5700","104,766,333.7500","158,257,147.7900","37,011,864.6200","98,579,118.6900","141,698,028.1200","197,483,094.3700","42,191,570.6400","102,869,263.8400","149,381,523.9100","198,191,543.9300","30,748,247.4200","88,528,723.3000","130,785,364.3300","104,881,018.0300","25,723,357.9400","59,922,076.1600","118,727,322.5100","160,753,679.9400","32,413,711.6200","65,397,126.3900","111,414,919.1600","96,446,717.1000","25,045,993.6400","52,167,493.6600","89,259,527.6500","35,128,178.8900","21,198,679.6400","47,628,216.1400","65,400,789.5700","308,074.6900","-6,957,133.4800","28,878,456.2700","77,423,427.9300","44,707,739.0100"
"203","000629.SZ","采掘","","","","28,326,890.0000","","",NA,"28,919,360.0000","","","","31,348,912.6100","","42,752,453.5100","","90,159,114.9600","","41,517,287.6900",NA,"101,264,714.9400","84,873,587.0000","","","493,509,742.0000","","125,320,951.0000",NA,"317,746,870.0000","","207,935,529.0000","","461,049,299.0000","","287,087,122.0000","399,486,257.0000","481,318,542.0000","107,549,957.0000","240,205,427.0000","377,486,536.0000","490,437,582.0000","159,703,272.0000","338,588,482.0000","505,504,365.0000","578,026,459.8000","213,787,022.3600","393,055,752.4600","650,533,130.7000","824,412,490.0900","302,987,902.5700","632,292,240.1500","807,537,985.1800","833,746,527.6700","184,270,788.6300","455,250,485.6000","654,349,194.0900","939,747,071.7200","195,832,919.2700","472,300,718.2000","693,769,590.4500","995,253,187.3300","179,270,210.4400","477,824,522.2900","674,230,759.7200","-394,213,291.5300","-155,415,368.8500","-1,367,938,585.8700","-1,478,619,027.8900","-1,635,633,950.2500","177,859,225.7400","583,746,292.5900","692,545,824.5000","1,062,104,002.2400","116,508,137.4000","178,978,820.2300","17,649,685.3400","12,629,198.0000","527,188,265.6800","735,321,771.0700","765,346,663.8100","598,512,424.5100","275,663,402.5300","340,650,129.8300","608,902,371.7600","562,089,492.9500","406,564,215.2000","-158,314,742.6400","-98,910,196.9500","-5,971,690,881.2800","-385,597,058.4100","-588,933,239.8000","-1,045,326,801.8200","-2,422,458,242.7000","104,398,584.1500","-1,340,726,482.3900","-1,804,580,396.6000","-6,570,227,864.2900","235,720,800.6900","446,323,993.1400","712,962,565.7000","919,902,345.9800"
"216","000655.SZ","采掘","","","","","","",NA,"12,089,000.0000","","","","15,043,478.7600","","","","20,732,235.0300","","22,062,709.1500",NA,"38,591,138.3700","","29,558,947.3700","","47,444,676.9000","","14,685,624.9800",NA,"20,031,767.2500","","6,665,437.0200","","21,695,431.5500","","11,534,430.8000","","24,900,220.7600","7,979,017.8700","13,665,006.3200","18,153,190.4400","18,047,268.0600","6,380,137.6300","9,015,849.1900","11,524,776.8400","6,899,084.6400","-40,337.2800","-22,272,525.3200","-42,245,410.2200","-152,576,435.4600","-21,459,040.4700","-44,655,041.7500","-63,233,892.2400","-100,622,938.6800","-25,533,027.9500","-48,754,801.5400","-21,134,557.3100","104,256,947.1500","41,688,948.1300","84,063,007.5800","157,219,452.1800","216,458,567.9600","136,572,237.5400","274,308,010.0400","361,665,245.5700","384,282,050.4700","39,140,480.0700","82,226,162.2800","135,490,087.4900","217,007,577.6700","107,062,942.5600","258,658,667.0000","390,931,799.3900","491,288,062.4500","160,696,444.2400","334,538,692.5800","494,786,179.8800","497,482,032.9300","36,842,931.4800","131,031,471.9900","204,930,158.5200","211,144,699.2300","24,204,008.7200","88,295,953.0600","185,965,906.9600","263,888,592.5100","29,840,585.2300","86,533,465.4400","154,003,768.9600","215,052,137.8300","-40,093,617.0300","-43,695,893.2500","-66,066,349.2200","5,247,733.5700","-81,993,036.0300","-123,032,515.2900","-146,582,896.0200","-569,537,849.1900","18,167,381.5100","56,113,398.5700","96,304,949.6300","-320,246,740.4600"
"271","000723.SZ","采掘","","","","","","",NA,"5,984,601.8400","","","","7,581,116.8300","","","","34,828,656.1100","","12,032,428.7700",NA,"41,938,838.1200","","8,695,909.4000","","47,311,813.8800","","8,613,329.8800",NA,"5,174,890.1100","","-2,853,654.2200","","-36,390,686.9900","","-67,107,180.1400","","-186,964,718.5000","580,949.4100","8,421,405.0300","17,882,062.3600","24,726,036.5100","1,608,293.7000","10,471,802.0800","19,866,320.3500","27,239,867.4100","3,259,819.5900","12,990,864.3600","21,066,884.5800","25,199,438.7800","2,863,674.3700","9,334,134.2900","14,004,397.3700","7,020,249.4400","1,487,579.1200","10,819,438.7200","18,590,928.5200","15,057,519.7900","10,987,048.0800","27,194,446.4500","47,201,261.3900","77,047,101.0400","20,968,327.0100","66,425,762.0000","86,808,128.3000","94,131,730.8100","-334,816.7300","-13,108,402.6200","-11,895,351.8100","-4,309,320.0800","6,302,419.6600","-1,677,138.3100","-4,228,501.0000","9,438,351.1400","5,510,958.5400","10,308,222.4100","35,136,504.8400","21,127,213.9100","-10,746,883.9300","-13,535,920.8000","-25,151,752.7800","-33,330,408.7600","18,894,033.0900","21,757,324.6600","33,638,273.9600","41,368,774.2100","8,880,310.3000","-4,562,884.1300","3,837,923.0400","9,994,735.0600","-13,365,378.9200","-27,965,377.8500","-43,856,902.8200","-407,948,824.6400","-72,308,513.7500","91,026,120.5500","397,635,982.6400","766,692,410.3500","337,075,996.1400","562,562,350.4000","965,290,891.2900","1,225,110,856.9800"
"296","000762.SZ","采掘","","","","","","",NA,"7,332,441.6500","","","","15,112,619.2100","","","","34,794,796.1000","","9,043,605.0500",NA,"36,625,950.1700","","12,566,823.9400","","41,290,985.9700","","14,187,346.6900",NA,"24,814,210.4800","","10,270,581.7200","","5,633,871.7200","","1,767,073.7300","","1,783,281.3300","-4,246,108.5100","-18,153,624.4000","-28,215,532.0900","-66,375,624.9900","-537,505.8100","-384,079.3700","5,674,739.7100","1,603,477.9900","3,177,799.7400","5,709,193.7100","11,415,233.9500","14,872,975.3800","2,200,467.0000","14,173,579.5000","19,498,306.9700","24,778,127.3700","1,939,048.9800","16,577,481.7200","29,830,402.4200","47,461,673.5500","-4,495,186.4700","12,409,293.7100","23,519,173.3400","42,917,033.3600","8,375,088.1400","49,972,620.9300","67,828,128.0900","56,283,342.4800","-22,423,971.4400","-37,142,934.8800","-21,973,488.5200","-15,391,404.7300","-12,157,659.3600","4,167,370.1800","27,202,815.9700","10,093,514.4400","12,516,864.5300","22,802,145.7200","42,806,712.2200","27,063,062.5600","941,881.5400","14,015,796.6800","-29,201,313.7100","-160,056,024.0300","4,431,848.3300","17,775,799.7500","34,630,576.8000","27,075,904.1000","-15,470,210.1900","-21,636,672.2200","-17,915,282.0900","-98,859,842.8500","-19,909,662.5200","11,158,197.8300","18,072,064.3500","35,694,999.9300","37,476,417.9600","40,132,251.9500","54,462,962.5700","56,706,209.9100","-24,344,982.7500","-37,592,540.3500","43,382,142.9200","87,001,610.9500"
"304","000780.SZ","采掘","","","","","","",NA,"19,011,649.0000","","","","25,987,658.0000","","","","41,991,564.6500","","31,313,399.5700",NA,"59,462,474.9000","","33,567,379.1500","","64,871,418.4700","","66,314,186.8300",NA,"94,951,999.5500","","38,640,675.3000","","66,865,018.8200","","45,832,537.7500","","79,405,014.4700","17,977,491.8400","46,150,205.4800","63,647,588.4700","70,427,306.0300","12,566,314.3100","25,256,304.9600","37,416,007.7700","-349,974,767.9800","9,028,319.5600","26,813,842.3300","44,562,263.7500","-362,479,466.7400","8,164,471.1700","24,051,765.6600","40,102,086.0200","-473,809,739.9600","-85,442,980.0800","-206,974,812.3600","-244,038,192.9200","2,564,714.2300","-71,327,476.5400","143,459,708.0000","180,501,426.4600","124,611,181.2100","64,863,550.0700","184,996,687.7000","357,615,670.5000","517,250,797.4900","171,232,519.7800","257,933,749.7100","363,141,956.1000","468,610,589.1600","176,985,990.4700","363,713,527.9800","533,885,984.8500","647,754,116.8100","221,726,050.3400","350,027,551.7200","552,977,592.6900","902,357,500.7500","195,834,144.6200","408,701,554.4500","480,547,988.1100","410,623,888.7300","66,617,187.8600","41,605,947.6200","27,035,951.9300","37,043,859.2200","13,993,636.4600","-36,570,310.2800","-4,613,265.1200","27,382,457.8100","-27,598,191.0600","-50,049,233.0700","-211,352,640.3900","-390,611,090.4100","-85,187,737.6200","-225,239,250.1000","-388,845,666.1200","-323,606,543.0100","-22,531,542.6500","135,597,716.1100","231,913,316.6600","483,797,872.0300"
"415","000937.SZ","采掘","","","","","","",NA,"","","","","","","","","141,598,553.6000","","",NA,"146,522,908.7500","","","","145,565,395.6400","","71,056,939.7500",NA,"139,946,555.2900","","74,525,419.7600","","189,212,783.9400","","84,683,841.9300","","253,137,252.5700","51,364,269.4100","104,110,683.5000","175,075,847.3400","188,415,605.3600","37,275,115.4400","57,895,181.8300","89,296,737.2900","136,783,399.0800","53,872,083.4300","130,251,214.2000","257,313,676.6500","381,257,116.2500","192,391,780.5000","361,574,347.8400","478,867,815.2200","532,793,329.6900","120,327,744.0700","232,232,436.8100","325,546,573.6800","483,858,291.4600","167,058,290.3700","301,056,278.7300","460,660,901.6700","585,522,575.0900","307,278,289.5600","800,910,564.2900","1,865,744,397.9100","1,996,273,988.5500","369,769,617.3300","587,592,643.7800","764,303,238.1700","1,612,449,571.1600","659,042,595.7200","1,322,399,109.9100","1,927,689,978.5400","2,487,126,061.1600","835,666,279.9000","1,707,690,289.5400","2,421,015,348.0700","3,047,213,281.1100","856,103,023.8700","1,529,419,811.0000","1,898,733,901.7000","2,314,768,869.6000","503,357,281.6600","787,967,325.4800","799,066,221.2100","1,122,415,420.5800","63,381,233.0400","-9,608,571.5800","-50,921,880.0800","-163,650,789.4700","-41,597,633.7500","-121,335,302.1600","-181,891,742.9000","303,413,664.7400","-44,756,714.4100","-65,258,695.1000","72,232.4500","159,807,116.6600","286,350,522.3500","568,111,037.9100","845,847,280.2500","1,089,594,515.8800"
"435","000968.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"42,203,537.1000","","","","48,752,975.7400","","19,577,929.2300",NA,"58,377,287.5700","","19,307,172.2700","","53,680,815.9700","","26,190,088.2600","","53,927,727.4600","15,018,914.1900","36,258,978.2200","54,451,273.6100","49,213,317.6700","7,782,906.4400","38,269,946.8200","68,082,351.1300","71,112,791.1300","46,313,030.2100","99,314,917.4500","169,803,635.9200","164,178,401.2700","51,341,104.6100","126,956,904.1900","150,661,113.8100","189,380,192.2900","-28,656,530.4500","38,119,473.8800","101,595,551.1800","166,631,400.7000","35,867,124.9200","109,314,870.9100","196,749,077.9800","284,814,603.9300","117,828,460.7500","410,701,470.6400","775,645,109.8900","709,425,420.4100","100,880,447.3600","138,993,385.8100","258,701,328.4200","421,748,506.4100","101,391,285.4900","210,818,158.2300","273,434,955.3500","316,296,466.2600","62,151,612.5600","123,176,900.8300","216,634,345.3600","304,629,705.2400","57,796,499.2000","-19,738,335.5800","-192,672,230.8900","-311,565,694.6000","-76,064,537.5500","-169,333,384.9300","-301,639,436.9900","4,093,561.9900","-81,301,382.7900","-366,005,619.5500","-614,672,689.1100","-1,125,440,408.9700","-295,721,070.7600","-881,882,924.0800","-1,376,729,417.7200","-2,053,397,933.6100","-338,731,369.3300","-753,022,969.6600","-997,463,725.9100","379,541,956.4900","72,183,818.6600","240,499,764.2200","300,237,670.6100","475,346,571.4300"
"449","000983.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"191,489,666.1100","","","","158,680,511.9200","","92,780,931.8600",NA,"177,668,860.4300","","85,159,937.5200","","193,677,549.4600","","103,106,281.3900","169,852,151.4300","247,932,951.9800","68,730,000.0000","105,064,693.0500","154,064,118.5400","204,332,664.5400","74,622,107.8500","137,766,277.0900","200,340,825.2700","299,559,947.3700","121,298,776.5000","285,806,529.5300","465,036,826.4600","632,440,686.9600","244,951,661.7000","490,737,948.2900","737,189,749.4600","967,355,703.5100","264,169,118.1900","521,563,686.7000","785,795,464.2800","1,009,781,384.6400","299,147,700.2900","610,577,808.8800","835,240,311.0900","1,093,401,366.7000","482,148,497.9400","1,236,989,378.9700","2,705,518,949.8100","2,985,452,559.8100","960,370,551.6200","1,338,532,293.1800","1,969,589,890.9600","2,296,007,136.8400","879,642,304.9600","1,762,580,844.5300","2,705,505,121.5600","2,793,610,417.7900","1,086,017,742.7200","1,985,698,628.5900","2,695,337,674.1500","3,005,110,426.5700","1,108,180,896.9500","1,797,790,083.5400","2,086,268,666.3600","1,995,158,823.2300","620,438,584.3200","1,046,134,062.6000","1,161,847,037.7200","1,273,758,623.4700","274,277,239.0500","403,135,205.9000","381,435,863.0600","349,995,467.1800","101,055,695.7500","254,601,860.7900","378,205,895.2900","210,623,331.6000","63,165,661.6300","143,341,920.0700","234,136,345.7600","450,951,064.3400","537,627,553.8100","1,057,531,279.0500","1,541,663,801.5600","1,837,668,954.4300"
"592","002128.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","151,871,558.8400","","","","453,322,999.9100","121,512,038.2900","194,688,813.0900","293,084,545.3200","392,640,936.5200","251,453,272.4700","316,326,770.2900","406,951,485.5300","492,134,354.3000","265,644,512.4100","393,896,922.3200","517,584,403.3600","658,888,624.2800","373,167,066.0700","532,315,661.9800","661,268,723.4400","1,030,671,171.7200","571,070,997.9100","881,860,559.6600","1,148,610,759.0500","1,539,612,061.4600","538,729,198.5300","748,105,776.6500","1,040,469,383.2100","1,656,152,358.8300","512,937,159.3400","729,796,856.3000","834,673,498.2500","1,574,683,446.0800","403,196,914.6300","410,444,068.3400","589,082,976.2200","913,937,910.2600","252,236,587.3900","247,215,309.9100","228,426,657.1800","622,163,298.7800","353,345,843.4700","395,807,243.0900","314,310,896.9400","532,673,842.4800","251,462,644.6700","349,830,835.0400","498,840,711.7200","826,866,858.0100","708,973,873.0800","1,057,690,943.5600","1,205,930,141.6200","1,762,680,817.1900"
"671","002207.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","31,185,351.6300","","","","33,162,575.4300","","","19,082,574.9400","26,105,612.8900","-5,315,978.8000","3,539,123.2000","18,502,504.2100","27,003,492.3600","-9,198,987.5000","4,134,472.0800","12,208,802.4000","22,152,695.5100","-2,529,222.8400","-10,664,039.7300","-4,738,276.5700","11,282,280.3500","-7,156,163.8200","-4,691,958.2700","5,598,206.0700","-1,830,177.5700","-8,913,457.8000","-5,373,037.9000","6,976,880.3200","10,620,468.0000","-14,053,706.4500","-13,775,195.1700","1,805,967.8700","11,329,990.4300","-14,364,273.6700","-1,109,052.7400","3,376,270.2700","10,101,397.1400","-14,855,419.1500","-7,362,715.0000","3,296,101.6800","9,898,031.7600","-16,175,493.9300","-12,595,751.1500","-31,050,306.1800","-184,084,188.9400","-21,003,118.7800","-46,268,674.7200","-75,090,882.9700","-91,724,852.6200","62,618,437.7400","43,472,456.5300","44,662,292.9700","9,891,580.7200"
"1016","002554.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24,693,860.1300","","","","42,531,149.1700","","","","53,163,327.1100","-5,008,256.5000","19,347,545.6200","23,669,046.9500","66,874,808.6300","7,685,347.6500","29,330,045.5000","36,915,914.1700","91,891,001.7100","5,016,727.0600","31,202,403.4000","39,903,647.8200","96,026,950.4500","11,091,795.0400","49,072,284.4200","72,900,398.1100","118,621,810.7000","14,318,457.6700","61,187,240.9600","98,029,260.2300","175,812,088.6800","28,169,522.8700","73,958,494.0800","106,506,993.8400","171,669,209.1800","28,024,611.5300","75,089,708.5400","106,731,889.9900","133,064,748.6600","51,336,797.9800","58,490,181.3100","79,636,642.0700","96,298,506.2200"
"1091","002629.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40,357,585.0100","","","","40,771,802.8600","","","28,634,446.2000","59,805,075.2300","3,961,768.2800","13,903,537.3700","37,690,732.8700","72,822,956.1700","4,685,796.0100","16,579,284.4200","44,732,361.4200","81,599,595.2400","4,961,668.4000","17,081,328.5100","25,400,556.9900","33,157,523.0000","-16,703,574.7100","-11,485,175.9500","-19,157,567.4300","6,509,797.6600","-19,783,323.0800","-44,373,508.4400","-73,627,881.7000","-98,988,397.3100","-23,029,631.3100","-34,766,832.5500","-41,665,582.2300","23,480,452.3600","-14,899,725.3800","-12,980,187.7700","-10,195,572.2000","684,605.5600"
"1197","002738.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21,816,500.0000","","","","26,814,000.0000","","","","31,769,900.0000","","21,450,600.0000","","","","","","77,875,704.4900","","","","67,135,201.5700","","","29,305,968.3000","50,099,606.7400","-402,402.5500","20,158,292.8600","31,795,724.8000","40,209,582.9700","-587,510.5100","15,631,569.2500","23,188,291.1500","44,970,774.0600","-1,861,742.9200","15,442,217.7600","28,345,731.3500","52,590,111.5400","70,076.4000","18,121,174.6300","29,445,594.5400","54,881,567.8800"
"1280","002828.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42,790,049.4700","","","","66,930,247.2200","","","","98,964,235.1100","","","","68,931,332.4900","","","36,306,873.6700","66,077,512.8800","-10,604,238.8700","13,179,068.7400","36,557,120.2400","62,729,607.6000","-8,922,490.2500","18,240,785.1000","48,418,522.9600","70,299,751.2500"
"1537","300157.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,076,889.9100","","","","21,501,835.0500","","","32,764,620.6900","50,650,567.4400","1,518,962.2500","26,720,270.2800","41,355,489.8000","71,050,796.7400","9,601,598.7600","40,165,318.8000","57,957,784.8600","78,244,939.3100","13,644,626.0800","49,467,797.5200","64,513,019.9800","128,754,558.8000","17,947,776.8700","75,624,723.6600","96,866,311.3900","156,869,601.7400","20,141,877.8200","97,974,247.5600","113,370,296.5300","124,440,202.6500","-9,957,115.1000","62,533,370.5100","88,560,878.3500","130,608,856.9100","-15,508,680.0700","13,312,049.0900","10,448,469.3900","104,414,795.7700","-9,860,366.7500","70,536,820.4500","82,615,272.6500","-420,428,168.7400"
"1544","300164.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27,213,813.2100","","","","36,557,477.6300","","","","48,914,223.7400","-16,269,462.0100","3,068,036.2900","30,856,612.9200","61,300,939.7900","-11,846,728.1700","8,821,022.1600","43,847,712.5500","77,087,984.8000","-7,183,297.2700","14,400,896.7700","53,018,845.2100","59,752,444.9300","-18,157,706.8200","17,593,331.4200","37,217,560.5800","32,955,823.3400","-18,362,719.2000","-18,908,069.9700","11,086,554.7100","29,658,907.7900","-8,779,567.4200","-26,299,202.5700","-16,162,025.0600","-38,552,720.2600","-22,063,272.3800","-18,738,736.9900","-992,602.7800","9,201,768.1500","-18,402,010.6900","-2,432,421.1100","4,133,061.1300","53,305,197.4200"
