"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"75","000400.SZ","电气设备","","","","","","",NA,"55,490,657.0000","","","","57,530,342.0000","","","","65,122,242.0000","","45,341,696.0900",NA,"89,704,232.0000","","44,088,777.0900","","110,501,119.4000","","93,178,622.8500",NA,"195,051,845.2100","","77,054,385.0400","","208,022,418.6800","","85,719,224.1800","","171,139,916.9600","14,778,009.8600","81,789,881.4100","121,338,539.3900","158,282,759.9700","17,303,908.2200","84,586,741.7200","130,575,246.2700","200,727,501.6700","18,298,520.8300","86,503,598.3200","142,275,770.0400","176,471,537.1100","21,130,316.9200","79,009,021.1600","120,916,332.0700","160,908,430.3100","13,448,231.9200","76,890,954.1400","103,607,912.2300","180,442,439.7200","14,088,938.0500","84,425,080.0700","108,046,940.8400","164,143,597.2800","11,585,778.7700","51,116,598.0100","80,366,962.8600","102,834,968.6100","9,973,683.3000","86,560,549.9100","135,861,421.6700","230,518,051.2600","15,016,284.1300","103,363,290.8900","143,789,041.7200","247,218,959.6100","17,303,156.0200","112,012,973.2600","160,878,005.0300","304,182,644.3600","45,735,374.3900","183,948,699.6600","238,535,864.6000","569,535,842.8200","126,795,742.2800","282,750,969.0400","452,527,103.4500","770,173,283.3000","158,098,711.8300","421,115,468.0900","737,639,980.2800","1,289,266,667.2900","12,700,163.9900","94,214,777.8300","184,357,037.2500","805,861,125.2600","20,385,109.6600","111,291,108.1700","261,564,093.3900","940,486,134.8700","50,691,481.4100","162,957,623.1900","313,675,945.5600","681,789,050.4900"
"167","000585.SZ","电气设备","","","","66,426,000.0000","","",NA,"110,833,608.0000","","65,767,000.0000","","167,505,197.0000","","35,066,000.0000","","88,434,714.0000","","36,323,000.0000",NA,"89,817,000.0000","","36,517,000.0000","","8,273,379.0000","","4,498,000.0000",NA,"-166,943,589.0000","","-22,036,198.0000","-171,790,000.0000","-365,632,763.6000","","-106,093,860.0900","-186,064,122.2000","-809,234,547.8600","-9,776,284.0000","40,173,016.8200","43,005,272.0000","72,857,265.3500","2,141,714.0000","5,193,166.0000","20,325,718.0000","29,438,219.8600","1,792,931.0000","7,554,108.0000","9,713,775.0000","3,565,656.6800","7,026,679.0000","13,480,813.5800","19,515,084.0000","39,342,668.3900","8,287,369.4000","14,387,484.4700","17,325,293.3100","39,472,179.4700","5,289,514.1300","-5,213,469.3200","-11,522,108.4800","-347,904,234.5100","186,957.6200","432,825.1000","-3,218,139.9600","-70,569,433.4100","-8,567,165.6100","-10,408,656.5800","-12,077,078.9500","7,263,664.6300","-7,514,723.4300","443,144.2400","-8,240,369.0400","-9,214,657.2300","14,937,653.5600","19,667,555.2700","14,961,886.4300","-32,652,159.3300","-8,207,836.0000","-18,052,477.6400","-10,774,291.0600","11,036,093.3800","-1,127,904.8700","-480,593.7100","-1,492,382.5400","9,660,829.8600","-3,500,309.4500","-1,812,463.5100","-923,849.0900","6,058,122.1600","-2,660,822.9200","-1,563,776.6300","-919,172.6200","4,857,487.1800","-4,666,193.7600","-13,169,341.5400","-23,380,112.6400","-99,588,553.1300","-15,714,409.9400","-20,285,467.9800","-28,483,507.9900","-398,155,971.1100"
"172","000591.SZ","电气设备","","","","10,010,696.4500","","",NA,"8,293,870.6100","","2,967,344.6300","","10,232,536.7200","","4,045,785.1500","","18,489,790.0600","","6,222,298.4000",NA,"15,302,713.0300","","6,147,851.5800","","25,920,960.1200","","14,068,882.3600",NA,"19,608,975.3200","","9,949,220.4400","","26,341,169.0900","","13,674,431.5200","11,189,632.4600","30,628,770.5000","5,037,100.0000","8,915,588.6100","9,767,088.9300","21,519,442.6300","5,250,407.0200","9,646,350.8000","6,920,205.8500","14,619,622.1900","2,745,109.5000","4,967,877.2300","6,465,975.0300","14,920,890.2700","2,401,022.2700","4,315,149.0400","5,675,956.8300","14,461,837.9300","3,693,811.6400","7,004,942.9900","9,997,906.4000","17,737,393.2300","5,043,832.6000","9,841,134.6600","10,675,647.6700","22,614,377.1300","5,898,053.7300","9,015,526.4300","27,299,203.8000","21,288,100.3700","3,400,324.7700","14,304,352.0500","19,872,213.8500","21,242,904.8200","3,275,581.9400","13,866,943.7000","20,680,489.1600","18,627,474.9800","3,068,373.8400","15,093,771.4700","11,860,232.4600","3,175,496.2900","2,543,893.9000","10,257,377.0500","17,943,507.3000","19,035,470.8500","2,627,529.3700","11,900,777.4200","13,612,012.4700","20,238,077.0300","1,955,990.4000","12,118,291.2100","-20,358,005.7600","-4,257,160.5300","6,758,045.8800","8,542,657.4400","-19,793,429.2100","493,172,662.7200","33,472,779.1700","234,698,731.5100","425,758,724.0400","678,613,370.8300","74,865,472.8600","397,260,843.0400","691,082,000.8100","810,626,696.3700"
"238","000682.SZ","电气设备","","","","","","",NA,"20,512,048.1800","","","","22,858,299.2600","","7,196,189.1400","","35,657,523.6400","","35,682,557.6500",NA,"71,068,199.4500","","68,842,855.6100","","138,332,267.6500","","143,196,295.3700",NA,"304,299,411.0100","","217,677,816.1800","","473,601,971.9900","","249,361,404.5700","","62,660,059.7000","-29,752,151.2900","-63,021,174.5500","-89,089,935.3800","-289,254,792.6000","1,247,495.2600","3,678,381.1900","6,498,233.8200","12,173,390.2400","3,118,759.4200","5,785,077.7600","9,264,739.2200","18,558,094.5600","622,408.9000","5,596,534.1100","11,015,814.7700","20,735,738.6800","2,084,341.6200","5,721,810.8800","11,901,169.0900","7,446,483.0900","2,136,185.8500","9,089,562.1300","17,726,800.0700","23,438,583.2600","1,319,806.6800","11,713,871.5300","21,281,056.2700","32,221,824.1100","4,168,345.8900","16,344,335.1800","24,238,732.9700","37,919,484.8900","4,768,945.2400","17,980,109.0000","26,571,728.9500","37,001,509.4700","6,592,958.6900","13,729,895.2300","23,418,830.3200","41,510,464.5500","8,063,009.3400","18,938,977.1400","32,701,255.5600","59,683,117.4900","16,556,290.5100","38,242,146.9600","53,568,741.5900","89,899,118.4100","17,221,200.7600","44,482,759.3900","66,937,034.4500","108,863,618.8800","19,303,611.1200","48,505,847.3300","67,534,418.1100","113,403,919.1600","21,579,249.9300","58,303,119.9700","80,336,334.3200","148,187,786.8200","24,921,262.2500","66,617,185.7300","106,471,301.3000","186,232,800.4400"
"324","000806.SZ","电气设备","","","","","","",NA,"19,892,387.0000","","","","35,275,137.1100","","","","40,624,824.4800","","",NA,"39,144,800.9000","","10,700,535.4800","","30,667,566.0200","","17,959,884.2500",NA,"49,216,105.6200","","44,606,879.7400","","89,046,961.9700","","56,613,273.0400","","93,397,783.3600","9,269,766.3400","36,782,903.3100","50,496,420.3500","68,796,917.4500","20,739,420.7500","73,757,135.4000","98,932,208.5400","94,196,925.0500","35,092,249.5400","79,503,803.1100","112,565,754.0600","10,199,811.1700","24,449,777.9800","44,060,504.9700","67,316,872.5100","4,150,865.8100","5,218,046.1000","3,833,822.6500","8,468,902.6800","-155,353,008.4500","19,375,305.7500","11,959,515.7800","16,131,539.1700","26,186,036.9900","13,493,973.2900","-20,456,873.0700","-33,741,465.4200","-185,591,235.4100","139,681,556.9800","71,738,562.3700","52,950,201.7800","45,249,830.5800","2,650,873.6900","5,526,342.9100","4,250,691.7000","-71,779,318.9800","-15,935,938.1700","2,762,670.1500","1,288,396.8300","-187,550,772.7000","-12,173,554.6600","7,811,091.3100","7,353,927.4000","25,873,445.8500","1,615,048.4900","-16,002,517.6900","-12,769,643.9300","12,371,728.2000","-24,671,678.1000","-15,565,417.7800","5,337,315.3700","22,998,231.7700","29,712,857.1700","99,170,465.9700","102,390,986.5300","102,585,010.8400","-11,115,143.4200","11,659,561.8300","7,334,441.5600","16,422,490.0700","-15,367,495.3100","-25,527,220.9100","-2,996,809.5000","14,620,402.5100"
"402","000922.SZ","电气设备","","","","","","",NA,"","","","","","","","","43,851,164.1000","","",NA,"38,690,088.3700","","","","-8,058,657.5000","","28,577,752.9300",NA,"-27,616,622.5300","","17,934,014.1900","","27,833,093.3200","","21,643,998.1000","","24,921,409.4800","13,074,700.0000","24,732,383.7200","27,317,419.4700","-34,437,658.1000","4,614,128.9700","12,675,877.4000","13,895,610.0200","4,439,468.5400","2,763,972.1100","10,133,385.6800","10,451,097.8300","-242,115.5300","-4,341,959.0500","-14,029,723.5500","-19,195,507.8300","-95,797,687.7700","-18,046,267.2800","-31,603,418.8300","-42,285,661.0900","-42,155,210.9900","-12,990,356.3600","-21,502,687.8600","-31,914,043.3100","4,381,795.5600","-7,778,177.6600","-9,475,336.0000","-16,888,209.9600","-54,613,951.6200","-7,631,581.2700","-14,917,160.0600","-33,313,958.6900","-56,362,195.7400","-5,920,726.5200","-15,080,071.8200","-14,819,968.4400","1,528,411.8600","-9,640,557.5200","-19,582,055.4200","-31,911,413.7500","-49,352,635.2400","-26,231,217.4700","108,005,509.4300","156,916,454.8500","191,261,690.0100","30,093,659.6400","73,283,265.8000","94,087,353.8200","10,997,359.2600","39,046,997.5800","100,587,496.3800","141,182,471.7000","-34,291,862.5600","-26,847,609.4100","-50,214,360.8500","-163,604,896.5900","-248,590,134.9800","-30,011,357.3600","-231,066,236.1200","-274,627,737.5500","-436,668,443.3300","-7,375,232.6900","5,507,917.4600","52,810,535.6600","120,502,136.5700"
"492","002028.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","21,744,692.5200","","","","21,401,606.1300","","11,091,477.3600","19,679,755.8700","34,081,940.4300","7,518,858.1800","18,757,076.3300","29,285,518.3700","50,506,551.8600","11,086,045.7500","29,444,173.2200","59,492,236.5900","93,390,835.4100","14,595,677.3800","38,800,883.0600","79,217,867.9700","167,141,792.7800","18,814,586.9000","55,728,401.9200","135,847,319.8500","301,599,033.7900","75,555,795.2000","146,285,756.4200","249,308,381.6200","365,193,984.1000","96,686,593.5300","211,769,911.2500","366,769,708.2600","893,295,458.7600","152,133,183.3600","239,819,220.8200","378,027,918.0200","587,808,482.7200","24,060,371.6800","69,609,553.4400","101,998,514.2200","169,300,215.4100","4,243,358.4600","82,351,720.8100","160,273,527.5600","288,778,485.8000","30,602,613.6100","123,795,556.1800","229,694,016.1700","405,892,842.3900","8,643,466.2800","150,716,517.9800","347,227,647.4900","503,894,137.8400","58,952,070.0200","156,135,468.2500","255,663,899.9600","428,575,307.3300","50,590,682.5300","159,144,248.0600","266,745,165.4400","401,847,767.9800","15,408,407.2600","156,723,599.7300","202,674,445.9500","277,298,379.0500"
"522","002058.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","17,617,735.5200","","","","22,506,508.2200","","7,021,415.2100","11,081,215.6300","14,303,480.0500","-16,592.6500","6,318,594.5600","6,863,919.3400","8,153,063.5800","242,513.7500","4,898,402.8700","7,782,670.9700","10,474,952.8100","1,331,763.0700","4,093,258.4300","8,619,854.8700","8,557,831.1800","-2,132,501.1500","1,399,851.6100","4,322,470.3200","7,994,276.7900","-112,038.3500","3,947,545.6500","9,174,325.3900","14,118,003.6800","712,402.7800","6,223,712.1700","10,967,569.5600","13,737,349.4300","-2,668,991.4300","-781,376.7000","2,602,381.0700","4,962,639.0500","-2,955,880.7500","-894,018.4100","791,181.6000","6,200,291.9600","-2,358,788.7800","-1,360,675.4500","7,448.7400","5,261,686.5200","-4,540,440.4400","-6,989,678.7300","-8,830,890.1800","-11,910,505.1800","-5,516,486.5500","-2,828,946.4300","-1,059,330.5200","4,546,759.1900","-4,399,083.7300","-4,610,414.4700","-2,185,591.3700","2,816,432.9100"
"538","002074.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","19,355,204.6500","","","","22,166,659.4800","","","10,201,899.1400","11,927,112.8300","3,113,366.6700","12,339,015.3700","20,322,232.2600","28,353,179.2900","6,099,228.8400","17,078,594.9300","28,444,910.4500","40,092,316.7300","10,491,689.3800","29,627,439.2400","44,050,132.2800","49,132,460.8400","6,650,343.7300","21,478,965.9400","33,424,756.1800","43,169,403.5600","6,859,722.6300","23,060,858.3700","34,490,376.2000","37,057,745.3400","10,685,876.1700","37,009,236.8300","51,093,413.0600","47,425,636.6800","13,382,739.4400","44,656,854.3300","53,497,496.5600","45,095,050.3400","13,506,662.6300","37,095,617.3700","40,928,598.0800","43,037,779.9600","11,262,553.2500","26,052,002.7800","35,453,882.3100","47,461,172.6500","10,441,210.1900","221,494,520.6100","332,337,992.0800","587,306,172.1800","306,616,323.0700","534,056,183.0900","738,121,244.5300","1,032,852,857.8100","201,867,198.7700","445,915,734.8500","640,970,141.4200","840,172,810.7400"
"554","002090.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","30,217,651.7300","","","","38,328,272.3400","","","25,015,281.5800","41,332,392.5000","7,067,783.9300","23,938,757.8100","33,251,354.2100","47,119,529.1700","7,892,567.3600","24,827,918.3200","34,947,281.4100","48,558,942.5500","9,919,396.4300","26,096,161.8100","39,983,520.4300","49,470,998.0200","9,245,289.4000","24,259,629.7400","38,265,612.8700","50,912,920.3700","10,049,059.2000","26,285,674.6400","32,796,685.3000","52,073,547.5200","9,649,195.8400","22,229,878.9200","30,977,684.2300","43,820,718.7200","10,264,321.0800","20,201,907.8800","30,207,980.6800","46,566,763.6800","11,345,619.5600","24,682,355.8100","36,463,591.8900","61,981,341.8200","15,765,815.6000","38,417,538.3300","54,481,929.1500","115,522,324.4100","53,919,482.3400","80,713,625.7900","98,596,295.1800","139,014,454.1500","25,069,155.4500","64,650,725.5900","99,480,996.9400","143,052,938.4000","41,018,181.0300","84,588,331.6700","118,834,405.8600","144,838,940.5600"
"576","002112.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","21,247,247.6700","","","","24,347,768.0700","","","","24,625,660.9000","5,593,827.3300","14,988,225.2400","20,820,499.0700","27,359,472.1700","4,938,595.1500","14,156,361.3000","22,113,299.9700","26,483,102.7000","6,041,365.7800","15,007,376.6200","22,411,811.0300","23,541,618.5300","6,813,651.9400","20,658,708.1500","34,103,658.5600","39,805,303.4600","8,667,857.3400","24,719,717.6000","41,431,032.8800","44,115,071.7400","5,455,669.6400","1,574,321.3500","2,383,518.8000","-32,086,905.8900","-10,677,183.8300","-4,740,552.7100","2,200,156.3000","5,875,371.7300","3,303,634.4500","6,773,217.4900","10,558,135.4900","19,534,683.0600","3,647,608.2500","6,930,084.5800","8,860,508.2500","16,037,544.2100","1,373,941.0500","5,867,680.8100","6,356,714.0000","9,778,270.6800","870,370.4900","41,244,036.8400","18,620,186.3100","5,256,000.7800","-12,781,334.9400","-30,472,663.0500","-54,580,431.5500","-124,529,059.6300"
"585","002121.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","14,322,664.9800","","","","24,797,267.0600","-2,536,721.5600","4,524,083.7600","13,441,019.6700","38,157,421.8900","1,138,115.2300","10,785,896.3600","24,448,184.7500","67,943,634.3100","1,683,225.1800","16,852,455.5500","37,034,460.7500","55,350,492.6200","2,126,505.3500","25,585,077.7200","56,080,514.2900","80,315,734.7000","2,798,691.4600","50,406,904.3200","100,884,488.8200","130,259,067.6800","4,006,475.8800","54,809,000.7200","91,593,225.7000","70,219,030.0200","5,622,936.5800","61,561,441.8900","83,083,210.7700","82,500,345.7100","5,824,200.6800","52,614,174.8800","73,265,927.4800","86,083,042.9000","7,441,988.7600","56,287,399.1200","87,599,058.5900","128,989,529.1200","7,276,171.5800","69,215,340.6700","131,624,974.2500","202,032,266.1700","10,714,524.0100","75,557,727.8900","70,814,776.3200","277,100,372.8900","41,869,691.9000","141,647,000.9100","281,012,881.7600","462,379,733.7900"
"593","002129.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","59,580,645.6400","","","","59,673,951.3600","22,915,596.2300","47,887,733.3600","68,457,155.2800","95,963,374.3000","26,047,983.9100","62,032,495.5200","87,062,715.3600","139,326,696.0700","60,314,182.9400","99,632,468.1900","122,753,529.5600","160,969,519.0200","1,584,712.1400","-20,133,990.4300","-44,815,923.7300","-91,387,571.2200","-11,811,869.2600","15,856,644.3600","53,804,902.0100","113,371,071.7600","96,127,858.9800","217,971,067.6800","257,440,822.7600","224,127,569.6900","8,125,972.8500","9,590,867.1400","1,303,982.5500","-97,760,859.0400","10,892,672.7300","30,446,677.0500","49,317,327.6100","77,065,363.7700","34,294,309.0100","72,138,148.1300","105,890,112.0300","131,519,380.4300","37,676,555.3000","101,084,119.0300","161,777,705.5100","212,493,597.9000","101,537,447.4600","249,775,981.2400","350,266,365.4300","403,888,182.4700","106,155,192.0500","276,479,295.1700","456,793,050.0600","590,724,082.1200"
"632","002168.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","39,367,335.1400","","","","41,158,995.8500","","","28,103,554.4500","41,610,766.8800","3,401,788.5000","13,725,600.6800","24,692,688.0700","38,264,023.5900","3,011,209.6300","15,178,764.2200","25,717,213.6400","45,951,963.8100","3,724,766.8700","20,408,194.0800","35,621,500.5400","73,112,957.9700","2,602,298.1500","22,388,555.0600","43,943,447.1300","68,371,102.9100","2,981,807.3800","24,941,911.7900","46,788,216.6000","69,919,215.9600","4,437,847.3500","25,813,452.3200","47,536,838.8500","63,184,430.9200","4,259,445.9600","18,305,325.2100","33,285,480.1600","33,222,906.1400","3,196,161.8900","843,962.6200","-22,771,721.8000","-119,385,542.3200","15,348,504.7300","103,975,258.6900","106,696,370.5100","123,224,476.9400","-17,702,402.2200","-21,021,592.9500","5,015,359.5600","75,912,490.2100","-5,562,076.3800","-65,048,114.2000","-92,716,391.2200","-106,367,307.2100"
"633","002169.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","7,526,358.9200","","","","13,143,814.7200","","","8,816,570.8000","24,184,001.8300","3,058,221.5900","8,601,293.2000","17,301,629.0500","31,618,948.8700","4,157,148.9300","8,842,867.6600","16,317,801.1900","28,264,596.6200","2,248,605.5200","9,142,304.5400","19,342,462.8200","41,983,755.6100","2,579,764.8500","12,050,703.8300","24,199,321.4900","41,034,347.5300","3,330,256.4200","12,864,551.3300","25,330,221.6300","28,565,130.4600","3,443,313.1800","9,798,012.2800","7,015,231.6000","-46,650,771.5200","-3,215,087.3900","6,743,980.5700","15,917,767.2000","24,629,983.8300","968,139.4000","15,122,138.5800","26,241,379.8200","49,963,049.4200","1,859,641.9500","27,875,542.0500","45,354,000.4900","138,876,122.3700","11,391,377.1700","76,068,359.7700","105,004,866.7800","146,845,539.1900","7,757,451.3200","76,544,368.0100","93,784,577.9100","155,110,120.3700"
"640","002176.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","9,447,356.3900","","","","23,137,154.6700","","","17,905,172.3100","26,880,825.3100","3,088,166.2000","15,099,483.2300","23,177,404.8900","31,382,713.1800","3,957,923.1800","18,004,139.6500","27,955,771.1100","24,341,541.9100","994,705.2800","5,250,373.5600","10,628,118.5100","8,901,831.6400","1,339,004.4700","9,836,739.1100","18,062,770.7200","32,175,697.7500","10,112,980.0500","26,679,802.5400","38,769,762.4700","61,651,990.2300","10,730,040.3500","27,309,824.4200","49,714,032.2000","52,834,083.9600","11,337,221.5200","32,187,007.2700","58,502,733.1300","64,119,606.8700","12,569,080.1500","33,658,088.9000","49,374,314.1100","43,766,836.0200","18,877,381.3400","35,573,674.7600","48,638,576.6200","34,207,683.3600","40,271,336.1800","110,475,453.8200","176,924,726.4200","202,066,119.2400","46,117,560.3700","62,589,785.9800","211,661,128.8500","282,625,937.4600"
"648","002184.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","34,724,646.0700","","","","40,347,036.0200","","","29,536,847.3700","47,699,368.6700","5,403,133.7900","25,168,483.3600","33,938,210.0800","52,244,685.0000","6,308,780.2000","25,254,208.8600","30,606,728.3100","52,080,162.4700","7,470,784.7000","21,930,259.0500","28,682,587.3500","47,089,675.4400","2,916,568.1700","18,838,842.1500","25,133,458.3200","35,272,193.2800","-10,573,380.3400","11,103,929.3500","20,435,680.0200","25,839,058.0200","-19,797,012.9800","-17,660,140.8500","-14,552,040.4700","3,748,265.8800","-16,890,877.1500","-7,097,546.8100","8,614,400.9100","37,478,731.7000","3,537,016.0200","17,006,473.4700","37,173,635.5200","65,467,436.4700","10,845,029.1400","34,858,721.5500","56,184,489.0500","89,147,607.5700","10,002,359.7900","13,858,932.5700","17,306,533.6000","27,539,149.6200","-15,325,164.8500","6,942,625.3900","13,124,290.5500","33,948,040.3300"
"660","002196.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","17,280,640.1600","","","","20,353,475.8700","","","21,264,750.3600","23,704,298.7600","12,982,438.7300","20,711,351.1700","26,013,465.3300","32,080,500.6600","8,832,980.2400","14,354,181.8500","16,111,995.6000","17,006,492.0600","3,883,883.2600","5,454,306.6300","6,124,333.9900","4,391,264.8600","5,814,674.8900","9,138,690.2300","15,164,084.6200","22,646,266.2300","13,012,647.5900","20,438,676.8900","26,897,003.9200","39,502,224.9200","10,362,859.5700","17,747,914.9500","20,587,777.4200","20,389,322.5300","5,506,735.6800","4,302,908.2000","6,361,805.3300","5,438,176.3000","1,629,138.2500","2,658,878.3300","5,351,161.4600","10,186,790.5200","5,531,773.8400","9,130,076.6600","18,084,883.7700","57,252,029.9900","17,281,272.4100","47,547,731.7700","72,112,649.2800","118,830,849.3400","21,771,526.4600","56,779,852.5600","86,230,105.9000","132,089,314.8600"
