"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"40","000048.SZ","农林牧渔","","","","27,986,485.0800","","",NA,"30,092,485.7100","","10,890,933.3200","","31,985,624.9400","","28,532,885.6900","","36,632,875.1000","","19,367,724.2100",NA,"20,443,231.2300","","24,336,731.7200","","40,335,372.0000","","10,207,810.0000",NA,"59,235,881.0000","","50,708,801.0000","","-325,840,660.0000","","-23,954,412.0000","-22,259,035.0000","-106,861,095.0000","4,470,490.0000","4,560,324.0000","6,658,523.0000","13,291,612.6300","2,618,030.5400","-1,736,363.1200","3,519,569.5900","9,441,342.4500","-1,602,139.4300","4,891,538.6000","9,894,757.7200","11,722,777.1200","1,481,148.6700","4,581,554.4700","8,125,670.0200","-108,878,760.9400","-8,385,687.2300","-30,359,078.0500","-36,111,923.2300","-124,280,627.5700","-2,672,872.1000","3,153,686.1900","2,301,947.9600","30,005,758.4300","3,713,484.7000","24,869,664.6200","28,297,379.7700","73,938,990.5200","1,795,016.0200","-4,863,432.7500","-6,092,042.1800","54,188,697.0800","3,926,815.9200","753,476.4600","5,518,744.1700","-42,351,411.0000","1,050,537.8800","-920,137.5200","2,817,381.0800","491,780,694.2600","1,459,362.6500","27,360,520.0700","33,962,310.4600","30,263,174.3500","1,714,902.9700","35,107,273.4100","41,408,224.5100","-9,938,196.9800","2,557,533.8900","5,845,365.6500","17,321,150.1700","120,168,768.7000","7,646,042.7500","148,134,414.4200","177,603,887.2700","209,776,427.4500","8,753,102.5800","17,670,685.9300","36,625,288.2800","6,004,851.8100","-19,402,867.7200","-40,088,073.2000","-48,431,314.2500","293,541,394.4500"
"106","000505.SZ","农林牧渔","","98,974,002.4400","","168,066,516.7200","","124,183,323.4500",NA,"169,316,126.3900","","30,012,740.6400","","5,170,956.0800","","4,176,944.7700","","-187,979,720.2800","","-2,307,029.7100",NA,"4,184,004.8500","","-134,966,485.1800","","-197,988,121.9800","","-25,631,579.8400",NA,"26,390,682.7200","","-12,730,760.0500","","62,801,732.9400","","6,909,103.3200","2,709,416.2400","-43,978,879.5200","-3,811,800.0000","-10,494,472.3400","-16,859,399.0800","-140,445,523.9400","-5,189,624.7300","-7,870,382.5200","-11,969,630.2500","922,701.2200","-4,013,880.6600","-13,697,351.1800","-22,180,794.5800","-104,726,387.0000","-9,656,700.3200","-20,468,396.8400","-28,109,276.5700","-80,998,310.0300","-12,479,012.8900","-21,470,940.2800","25,161,569.0400","65,937,711.3800","-2,885,766.1400","-2,591,974.5400","-3,444,980.9900","-30,363,632.1400","-25,672,695.9500","-47,529,159.5200","-63,620,329.0000","-79,777,148.9000","-14,561,318.8900","83,538,723.3100","68,782,623.6900","80,926,089.2700","486,809.2700","57,924,931.3900","47,044,716.4200","36,180,218.1300","4,183,263.3400","-14,063,440.8100","-33,149,990.2100","-49,218,352.4500","-27,494,897.6500","-37,081,997.7100","-78,967,816.8500","-126,971,778.5900","-26,313,516.3100","-65,780,486.6800","-101,264,622.9000","8,666,776.9200","-37,235,367.3700","-80,028,468.3200","-123,289,267.8500","-180,755,417.6900","68,325,986.4400","18,641,274.0600","-39,429,569.1600","-127,121,382.4100","-40,876,353.5300","-51,169,241.3500","-96,251,650.2700","77,479,724.7200","15,563,993.3400","20,540,442.4500","146,550,491.6000","208,696,290.7600"
"163","000576.SZ","农林牧渔","","","","36,234,822.5800","","26,306,084.6000",NA,"58,978,783.5700","","33,182,300.0000","","64,916,998.2200","","35,754,655.8700","","70,578,389.0100","","38,240,839.6700",NA,"77,203,005.6800","","23,377,431.3000","","28,993,027.7400","","13,042,796.0600",NA,"17,778,633.5000","","10,832,464.4800","","26,706,172.3100","","24,693,084.0500","","27,786,959.6400","1,005,200.0000","-33,879,531.1500","-74,952,246.6200","-247,068,766.3800","7,015,462.4500","11,893,421.0600","13,172,472.1200","6,141,203.7200","2,321,565.1000","1,741,672.1300","2,764,690.2800","2,233,391.1100","-6,898,172.8000","-22,350,211.7500","-65,550,155.3100","-220,079,065.1100","10,174,656.7400","14,913,063.1500","7,813,754.7600","12,052,953.6700","102,253.9700","-13,700,618.6600","-32,350,872.1900","-48,865,159.8400","1,919,921.3300","-1,360,507.9300","-26,431,158.6900","-56,936,831.1800","-27,378,204.8800","-42,613,138.7400","-14,287,398.5600","12,721,035.8000","-8,944,070.6700","-6,329,839.8700","-23,356,961.7400","-77,395,186.0900","-6,740,344.8200","-18,846,207.4400","-41,400,790.7100","-195,813,144.3700","60,954,493.2800","65,257,611.8000","66,559,283.7700","47,118,912.1900","2,348,861.9400","6,234,336.2800","20,608,748.4700","35,957,515.0600","3,408,549.8100","6,199,781.4000","5,584,367.2500","10,005,562.6000","-13,148,296.3800","-24,456,155.2400","81,148,671.5800","177,306,442.2500","-14,590,260.4800","-34,593,569.8900","-71,010,986.5200","102,392,175.3500","-13,761,542.2400","-20,082,064.9400","-31,715,153.8100","-283,835,752.0200"
"173","000592.SZ","农林牧渔","","","","48,899,591.9800","","",NA,"51,138,508.5600","","","29,439,563.7800","30,633,281.7600","","30,185,207.7800","","53,287,098.6300","","22,659,062.4000",NA,"57,850,507.1800","","18,126,639.8800","","-238,028,143.7500","","-133,501,648.6500",NA,"-164,698,683.7600","","6,470,998.4800","-2,489,156.8700","14,427,081.2700","","956,113.9200","1,488,661.5800","-105,299,435.7000","563,038.5600","3,035,603.6200","3,289,968.7800","3,492,934.4000","255,948.7500","-9,920,878.7800","-18,159,565.1500","-231,235,646.5100","-4,582,746.2600","-10,420,475.6600","-13,191,159.2700","-118,778,108.9100","-4,017,232.5700","-10,149,729.9800","-16,442,660.3100","-174,068,168.5100","-4,421,998.2300","-8,709,456.1000","-16,412,795.4500","-1,566,698.4300","-456,708.8700","393,271,548.4900","389,566,009.3000","378,330,536.8700","19,374,691.9300","45,569,582.9000","71,257,220.4800","82,189,651.6700","1,762,153.3700","21,199,999.2700","62,046,050.9000","74,014,831.1100","2,544,032.2300","17,969,500.0700","41,564,768.7400","90,881,408.6800","-4,839,615.2000","12,587,206.2000","13,798,280.8200","8,512,484.0400","-19,026,084.0900","-20,424,435.5800","-14,268,173.7300","16,574,948.1500","-2,570,383.7800","14,197,352.1600","26,420,442.8900","48,780,554.3300","59,840.3200","31,737,734.9600","52,837,514.6200","76,804,702.2000","-415,490.0100","34,793,358.5100","33,488,871.1700","41,790,591.8200","-2,546,013.9000","16,292,272.5500","16,277,273.1500","5,348,702.8300","-18,054,697.8700","-3,021,127.7400","529,275.8900","-6,873,247.9200"
"212","000639.SZ","农林牧渔","","","","9,038,162.3400","","",NA,"12,745,920.8000","","","","10,649,956.6300","","","","12,448,366.6000","","7,030,708.6100",NA,"12,038,631.2500","","5,189,101.0600","","-40,796,917.6000","","-11,048,593.2100",NA,"9,388,755.5000","","2,521,420.0400","","5,113,212.4700","","3,345,333.0500","","7,568,848.3900","1,876,041.7800","5,316,445.1800","9,168,685.5300","11,624,581.2000","2,161,439.3000","4,492,625.3000","7,923,709.0100","11,247,248.9300","2,219,536.0900","6,344,371.6800","10,678,981.9100","14,710,787.2700","1,355,753.2200","4,847,980.4800","8,088,434.3700","8,938,385.8700","1,840,069.8900","5,719,843.9700","7,573,936.2100","9,653,026.8000","1,364,779.0700","1,795,893.1700","4,143,201.0400","4,155,412.9600","1,386,139.8400","2,066,734.5400","2,311,407.3300","1,384,809.0800","-392,340.6400","-2,032,782.4300","-3,059,285.1600","-3,144,225.3100","-636,758.5800","-685,862.1100","-2,018,396.3700","83,734,975.8000","19,595,823.7200","52,615,312.2000","92,715,977.0800","114,096,383.5000","21,751,172.3400","39,120,206.0300","93,991,700.5000","143,066,273.0300","35,951,277.2100","57,317,816.4500","127,455,675.9000","180,948,638.6000","26,939,977.5500","48,869,808.2000","93,089,648.7900","117,493,988.5300","49,147,084.7100","72,291,870.3800","126,462,037.8000","146,279,847.4800","54,085,453.9900","94,638,876.6700","116,338,308.9400","159,681,747.3600","104,237,041.7400","205,653,286.6800","285,844,012.0600","395,971,288.7500"
"253","000702.SZ","农林牧渔","","","","26,691,061.0000","","",NA,"28,009,655.0000","","","","40,116,005.0000","","","","43,697,536.2600","","29,594,911.7300",NA,"63,979,820.7900","","40,420,848.5800","","62,805,824.0500","","19,903,686.6600",NA,"53,098,342.5600","","18,888,652.8700","","83,938,488.3700","","32,135,822.2900","","65,659,640.1100","4,778,386.2300","22,263,730.2200","15,568,568.7400","33,641,613.1600","345,285.9700","11,684,073.7900","11,306,010.7800","11,718,063.7000","644,447.0500","5,615,472.2100","9,917,580.8300","-265,726,548.8200","8,808,025.6300","40,636,892.9900","44,896,360.4700","8,872,228.9900","3,186,432.0500","3,666,583.0800","4,469,022.8400","30,583,648.8400","708,712.6300","165,120.6000","740,810.6900","-109,747,301.1600","5,944,052.2600","14,910,729.4600","19,561,920.2600","19,350,333.0600","3,185,582.7100","7,805,883.3100","11,192,109.8400","14,714,029.3700","2,167,911.7100","-5,438,005.1200","-1,984,424.7200","10,780,872.3300","1,924,281.0400","4,418,851.9200","5,052,673.6500","6,524,520.9700","3,473,899.3300","4,577,207.4600","5,468,958.1600","4,667,412.1300","6,208,356.6900","7,732,145.5000","9,244,828.1300","-25,146,545.5800","3,729,958.3300","5,320,717.5400","12,198,168.4400","26,572,532.7500","2,103,607.7000","3,532,301.2000","8,160,356.0100","4,553,248.4400","-8,120,693.6200","-4,894,596.1200","-4,962,368.9700","1,271,257.5300","-5,737,821.6300","-3,571,170.9700","16,146,442.7000","14,825,367.3200"
"262","000713.SZ","农林牧渔","","","","6,959,303.0300","","",NA,"14,227,545.6000","","","","33,125,966.6600","","","","37,836,369.4500","","25,430,780.0000",NA,"49,021,160.6100","","12,027,284.2000","","51,349,104.5600","","16,037,771.5600",NA,"55,152,497.1400","","8,547,506.8500","","67,274,134.6100","","6,684,970.7100","","8,581,184.8600","230,904.9900","913,745.7800","-22,019,509.6900","-186,235,127.6800","8,993,949.7400","18,240,850.7600","17,055,492.2200","6,755,291.1100","9,941,095.4600","18,248,661.3900","17,986,835.7800","13,650,323.4200","9,714,415.9000","17,370,060.1800","15,514,227.1700","19,025,436.4100","12,204,945.5400","22,952,637.2000","22,616,438.7800","26,903,756.8800","13,120,842.4700","24,952,982.1500","25,701,601.4100","38,419,784.5000","14,439,009.9200","29,734,528.2100","24,835,090.7100","30,647,451.8000","11,845,483.4000","30,299,044.2600","43,300,723.2500","66,812,793.8400","30,446,093.5600","83,275,368.2600","89,620,864.7400","89,967,650.3800","31,825,703.7000","50,437,545.3300","27,189,307.5300","54,646,622.0600","20,572,496.4600","27,629,040.9900","15,418,766.1600","68,330,492.3400","14,713,584.6300","13,428,647.0700","-67,259,397.4100","56,490,199.7400","14,084,997.1700","14,544,407.0700","-25,811,289.7100","61,015,075.0300","20,284,207.4400","8,122,676.6100","-48,152,782.3400","30,434,443.2300","14,190,882.9700","-4,025,489.5800","-78,311,705.3700","22,220,010.9100","-5,242,817.9000","-24,145,575.1300","-41,384,301.7700","14,625,584.7300"
"280","000735.SZ","农林牧渔","","","","","","",NA,"24,692,000.0000","","","","33,678,000.0000","","","","33,010,698.4100","","26,303,963.5100",NA,"49,216,489.5000","","22,375,063.3200","","68,883,043.3800","","10,419,186.4000",NA,"47,485,128.0500","","61,957,968.2100","","77,355,150.8300","","32,618,704.9600","","66,525,045.3200","10,496,400.0000","17,783,809.8200","26,699,016.5500","37,997,692.2200","5,711,203.5100","10,804,770.2300","13,746,747.0100","20,766,222.0600","3,251,249.7900","7,633,239.7600","9,798,961.9600","11,930,221.5300","2,301,769.4700","4,043,202.9300","-25,202,830.1500","-100,445,128.2400","-2,219,074.4200","1,259,913.6200","3,186,563.8600","-105,775,684.2200","1,936,982.5800","74,363,037.0800","84,398,350.8600","376,907,542.4500","15,525,835.5400","102,574,624.1400","107,323,838.7000","87,706,349.5500","9,192,962.4900","21,130,426.5400","17,804,331.8100","65,935,108.1300","4,387,969.7700","4,843,780.5000","5,444,134.0600","30,375,211.0800","6,042,293.9200","12,739,394.1800","24,680,040.7200","67,118,727.3300","8,077,055.3000","15,877,471.9400","14,589,686.7500","31,259,208.1900","4,352,370.4900","-18,405,264.7300","5,024,212.0200","25,573,704.3400","-21,839,013.6300","25,055,530.3600","57,305,290.7400","54,622,052.1100","16,970,070.7800","6,853,753.2300","48,852,310.1600","64,539,776.9000","7,762,271.6300","27,862,366.9700","90,415,438.3700","89,116,234.7700","87,401,728.2100","133,599,296.8600","151,128,353.9700","155,435,273.0500"
"318","000798.SZ","农林牧渔","","","","","","",NA,"48,351,118.0000","","","","140,239,216.0000","","","","98,287,612.0000","","8,786,955.0000",NA,"92,751,800.0000","","19,773,537.0000","","94,945,183.0000","","26,459,679.0000",NA,"86,815,336.7300","","21,356,821.0000","","60,366,336.4900","","867,939.0000","","39,907,651.3700","-5,337,100.0000","-17,443,973.0000","-7,371,800.0000","25,345,080.4900","-8,199,823.9800","12,316,142.4600","11,276,496.8000","33,643,223.6000","1,128,794.5900","6,804,968.9800","8,071,691.9900","21,236,375.1600","553,579.3700","3,821,198.5400","4,241,509.8700","6,927,349.9000","195,376.6100","1,913,255.8900","1,632,910.0600","1,995,047.4300","-1,749,425.4000","3,251,435.2400","9,579,806.2700","13,676,303.6500","-18,216,318.7200","-33,659,079.6400","-41,237,542.1100","-55,420,411.3800","-6,124,833.9400","3,299,366.1500","9,229,485.1500","20,897,033.0700","9,004,097.9000","11,398,958.7800","18,571,692.0800","49,952,095.0100","4,928,703.9100","20,555,861.0700","15,737,682.5900","60,810,873.0200","-28,499,721.1900","18,321,138.2700","49,637,890.1300","63,513,756.8800","-16,119,825.0000","-13,819,512.1500","-14,188,341.5700","52,297,452.5800","4,608,981.3800","-4,114,879.3800","15,763,942.6100","19,494,277.2200","6,088,960.7500","20,866,531.9400","13,498,149.9600","-383,619,620.8800","-8,882,403.6700","-26,394,872.9100","-34,695,964.9800","28,149,389.0200","-5,283,536.3200","969,279.2200","83,156,262.5100","50,093,835.3500"
"365","000876.SZ","农林牧渔","","","","","","",NA,"35,888,099.4400","","","","55,290,636.8300","","","","56,865,726.6300","","27,262,520.9200",NA,"52,514,593.0800","","22,463,278.4700","","57,549,688.1500","","15,628,939.1900",NA,"67,922,053.7700","","40,856,979.9200","","56,411,440.1800","","47,530,230.2400","","92,946,808.7900","19,865,168.9600","52,896,651.4500","97,766,100.0000","133,119,825.2200","32,997,411.6900","80,923,470.8600","140,087,824.9700","162,988,283.5500","38,445,638.8800","103,412,766.9500","164,281,113.8700","202,742,639.4200","68,374,815.8100","116,536,215.3500","162,195,173.0900","251,464,548.7500","64,819,502.4500","151,876,084.2600","225,938,442.7600","306,370,487.0400","74,915,859.9700","214,247,111.1800","324,759,946.0000","381,959,263.3900","75,738,774.9400","239,066,649.0700","354,983,493.3100","288,872,282.7500","108,794,533.3400","339,100,740.1600","488,418,760.6300","530,875,525.6600","168,304,876.0200","380,506,486.5600","578,755,435.5000","797,399,701.5700","266,096,976.2900","664,742,473.5200","1,120,300,645.0900","3,344,392,149.7700","712,583,579.5100","1,252,465,594.7500","1,865,067,574.6600","2,193,988,799.0700","616,992,481.4300","1,116,616,837.6700","1,819,090,622.4100","2,491,454,861.8900","368,812,952.0000","1,257,385,002.5300","2,092,727,750.4200","2,613,412,936.2400","715,869,341.1800","1,582,252,802.3100","2,419,006,963.4500","2,959,663,056.0300","860,000,068.9600","1,832,165,720.6800","2,712,614,635.1600","3,132,438,656.1900","808,115,191.3900","1,451,021,901.0900","2,485,031,847.8200","2,932,209,970.5900"
"379","000893.SZ","农林牧渔","","","","","","",NA,"","","","","50,098,699.0000","","","","44,664,760.0000","","",NA,"44,254,135.8600","","","","50,689,228.3200","","19,402,328.6500",NA,"13,126,629.1000","","-19,645,052.3600","","-96,122,169.5100","","778,644.6900","","-89,891,275.3900","2,793,547.6600","7,153,598.2400","7,257,356.4800","6,345,731.6400","-5,967,449.3500","1,916,814.2500","-10,974,725.2400","-39,198,971.8600","294,243.8600","5,081,786.4700","7,693,807.6200","28,804,992.0600","1,248,725.2200","7,622,150.1800","19,895,898.2800","27,877,295.4500","11,915,454.1400","18,711,502.8700","37,123,471.5200","34,312,256.1700","11,061,575.4300","21,399,421.8500","30,475,612.6400","27,926,019.2900","11,972,254.5600","20,892,112.3800","10,223,944.3000","-62,587,384.5800","-6,575,082.4900","-5,893,369.0400","166,794.8300","203,344,881.2900","26,862,796.9300","54,461,621.7400","97,918,301.4700","190,057,725.5900","14,958,121.0000","-77,901,749.1600","-73,689,033.5600","-190,864,789.8200","-18,507,255.5200","2,520,873.5000","39,056,280.6400","39,086,689.5700","8,945,582.5900","33,003,788.2500","75,296,809.3700","148,231,010.8900","-204,208,834.6800","-338,400,160.1500","-244,664,247.3200","-465,712,411.2300","-24,795,811.5700","-27,126,819.0700","-231,328,051.1900","43,354,611.6000","7,199,746.0300","18,688,394.6400","21,285,996.6400","13,563,641.5100","-8,453,831.0200","-27,820,827.2500","-50,929,128.8700","-2,660,857,480.9400"
"393","000911.SZ","农林牧渔","","","","","","",NA,"","","","","","","","","28,881,854.0900","","",NA,"30,545,002.0300","","","","49,426,703.0400","","27,055,599.5000",NA,"43,073,659.8700","","14,980,307.0600","","55,006,584.5300","","33,091,098.1200","","47,340,632.1100","16,212,528.2400","44,042,579.0800","69,934,125.8600","58,470,993.1800","8,887,544.3100","46,644,235.7200","62,505,623.4500","111,842,065.5400","28,032,143.8000","81,235,370.6100","107,371,273.1100","136,730,822.9300","1,991,058.8800","-1,763,427.7300","-13,777,693.7500","8,465,918.2800","163,135,345.9700","159,687,838.0700","110,436,704.6500","166,449,166.4600","42,234,750.1400","26,482,206.8000","66,264,077.6900","129,905,636.2800","69,799,047.9100","95,725,891.7000","95,143,172.6900","37,482,985.3900","-60,549,356.6200","38,596,830.9600","78,879,192.8000","132,393,173.7200","69,597,649.3300","69,119,248.9600","76,512,623.1600","171,497,035.7900","39,550,359.0300","129,468,792.1700","130,340,935.3600","45,437,328.3400","-58,542,378.4900","-44,147,246.7400","-149,237,648.3600","-330,307,720.8300","-88,628,554.3300","-128,421,062.8700","-152,339,697.8800","67,990,224.9600","-56,830,766.4000","-46,659,302.0800","-136,610,496.7900","-274,374,636.3300","22,217,961.2500","26,028,129.2100","43,500,853.8100","52,881,185.4600","-115,907,254.3500","-201,794,681.3600","-260,360,003.7600","19,261,451.9200","219,648.8300","-75,218,449.9300","-103,846,430.7800","-198,357,015.6400"
"409","000930.SZ","农林牧渔","","","","","","",NA,"","","","","","","","","16,174,680.1700","","",NA,"29,329,015.8800","","","","36,469,244.5000","","18,708,057.4700",NA,"40,641,186.1900","","24,715,576.5200","","86,024,638.2200","","45,615,173.8700","","109,977,606.9200","18,711,755.8500","31,988,140.1900","62,358,788.2700","114,097,433.3800","28,043,487.5900","46,573,078.4900","77,044,563.5800","104,665,544.2400","44,577,195.3700","72,421,265.8700","97,358,897.3700","107,073,917.2600","28,428,137.9300","88,252,780.5000","129,231,646.2600","155,839,647.7300","33,840,222.5200","93,626,494.8300","109,800,291.6800","-334,470,658.1900","-139,640,458.5400","-310,090,217.6300","-385,757,367.4900","17,260,702.5500","38,630,457.5000","78,034,975.6600","111,972,242.1400","33,840,821.2800","28,012,747.2800","140,220,562.5500","208,893,046.5400","279,874,370.3500","50,329,022.1800","130,039,859.2200","213,402,201.2600","271,398,060.2600","89,595,933.9200","190,143,350.7100","281,239,307.5800","361,343,743.4300","54,902,348.5600","88,001,107.7100","120,436,192.0800","201,462,833.8400","34,191,245.8300","47,734,894.4300","66,161,584.3500","50,473,332.7700","20,546,955.2600","32,093,393.2300","35,069,218.1200","31,590,997.3000","-199,877,817.8500","-354,261,571.2700","-554,807,911.0700","-1,494,952,290.2300","-37,192,275.4500","7,352,177.9900","108,478,754.4700","133,241,450.6200","80,130,122.0800","228,294,016.7900","221,722,778.5000","249,664,019.6700"
"439","000972.SZ","农林牧渔","","","","","","",NA,"","","","","","","","","","","",NA,"3,491,424.4000","","","","21,788,843.8700","","",NA,"26,862,123.9800","","3,585,989.2700","","27,515,138.0500","","27,247.9900","","18,970,758.6900","506,400.0000","12,693,890.3400","14,851,721.8200","43,355,763.7900","2,466,706.6200","16,560,088.2400","18,998,666.5000","88,152,117.8000","-111,611.3000","13,287,799.6000","17,406,553.0700","58,455,655.4400","13,296,262.8700","19,695,852.3700","29,263,281.9900","59,717,434.1500","13,153,387.0600","22,367,672.4000","24,978,949.0700","89,505,173.4800","11,330,746.7900","26,838,659.9000","24,698,680.3300","58,941,639.7900","45,148,405.6400","51,658,468.5000","36,769,495.0100","-103,105,480.3700","26,354,760.4200","35,630,134.2300","18,965,996.2100","6,519,088.9600","-29,755,794.8100","-247,840,091.7700","-283,941,461.5600","-486,763,406.7000","-72,667,567.3200","-206,303,945.8500","-349,168,498.3300","-1,336,111,855.9100","-92,322,032.9800","-209,774,878.5700","-365,009,128.4700","5,917,398.2300","-56,178,330.4400","-109,368,364.3500","-168,920,156.9100","-468,841,249.2500","-7,444,613.1400","-29,749,029.9800","-54,188,482.8200","108,165,149.5100","-10,340,340.4800","-30,887,123.5200","-72,845,408.8000","-59,160,124.7500","-22,715,259.6500","-58,251,231.0400","-94,713,831.6700","-268,672,176.8300","-21,338,663.3000","-41,369,519.4800","151,228,578.9600","100,232,935.7900"
