"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"116","000519.SZ","国防军工","","8,032,863.6100","","21,120,337.4300","","6,354,125.2000",NA,"8,258,700.0000","","1,758,446.1500","","3,032,548.8400","","877,557.2600","","1,264,996.0800","","398,802.2600",NA,"15,785,933.5200","","24,868,358.0100","","24,132,837.6000","","1,658,080.7000",NA,"17,363,199.2400","","15,480,725.5700","","28,370,808.0100","","16,563,816.8200","","16,994,867.9800","1,698,288.9600","7,220,745.4000","7,517,817.6300","7,644,950.4400","3,688,593.7900","7,881,721.0900","10,289,931.6700","7,516,617.4400","1,957,354.2600","4,001,065.5100","3,849,018.1400","-16,012,642.3700","-5,212,813.7500","-5,714,607.1500","-8,877,025.1100","21,078,975.4100","14,713,482.8700","25,657,799.8700","27,031,301.0900","27,231,738.1000","430,986.7300","3,977,408.4800","5,266,794.9600","10,450,721.1000","-4,441,667.5300","-11,192,857.4300","-14,440,983.1100","-27,492,881.2600","-661,552.8300","3,164,699.0300","4,947,268.9000","2,971,339.4000","3,207,258.6900","1,261,680.7500","1,565,920.5000","11,353,339.5300","663,060.1600","-2,891,061.0300","-4,964,841.8600","-11,281,329.2600","-3,264,971.4700","2,535,887.1700","3,001,484.1400","3,496,185.4200","-3,785,765.1300","-6,768,904.0900","249,552,638.4500","379,554,689.9700","67,384,594.4800","192,381,818.5500","267,453,724.0300","396,543,820.8500","53,130,040.5000","143,397,888.6800","211,511,925.6400","248,974,564.0400","10,034,590.6200","29,685,165.3900","46,423,509.1800","137,114,172.0100","-17,379,528.8800","-2,000,585.9400","26,539,860.9300","114,456,613.7400"
"140","000547.SZ","国防军工","","2,770,574.0000","","9,179,483.0000","","8,141,595.4400",NA,"16,689,284.8500","","8,607,925.5100","","18,990,369.0400","","9,502,795.1900","","21,273,088.6800","","11,221,973.5500",NA,"22,742,069.1400","","1,353,762.2000","","2,587,279.8200","","31,981,931.7100",NA,"65,004,052.3300","","1,318,539.9500","","41,581,435.7600","","18,095,896.4300","","27,412,783.3100","2,234,274.7500","3,666,980.4900","5,150,532.3800","8,763,340.6100","1,947,962.9100","3,995,633.1000","4,309,007.2000","12,105,806.1500","2,194,446.7100","3,192,748.7100","6,533,019.3100","15,541,807.9400","12,895,897.4300","16,097,782.6900","11,061,654.5800","-22,152,522.7100","1,234,374.8600","12,474,298.7800","17,277,840.1600","30,695,713.5400","14,682,992.0600","32,086,645.8900","38,005,441.3100","42,137,321.4900","11,099,849.1800","23,561,819.0600","42,131,926.8600","53,697,211.0600","8,899,094.3000","20,534,138.3500","30,497,502.3800","92,412,318.8600","8,642,940.8400","18,174,071.8200","30,788,727.8700","51,639,712.6400","11,013,373.3900","43,089,608.5500","78,814,107.3000","134,129,173.1400","64,212,577.9500","90,709,565.5900","98,213,963.0000","146,656,413.1800","52,165,591.5900","74,517,883.1700","116,349,258.7600","156,571,196.5800","58,209,637.2900","85,215,070.2500","113,728,899.4500","229,207,307.3400","76,453,237.4700","165,703,205.9700","139,359,649.6600","216,164,561.3300","60,191,195.4100","115,753,190.7800","175,305,764.6300","279,570,138.8100","72,484,831.9800","133,109,895.0600","199,771,827.6000","308,893,636.8700"
"283","000738.SZ","国防军工","","","","","","",NA,"110,024,550.0000","","","","97,143,690.0000","","","","56,981,868.5300","","43,755,204.0700",NA,"141,268,086.4900","","31,516,356.2600","","119,131,929.3900","","29,599,840.4000",NA,"29,966,268.9400","","-65,740,415.4000","","-162,081,607.3600","","-124,328,138.5600","","-219,021,222.8200","-16,332,755.5600","-14,543,563.3100","-8,629,146.7700","2,518,043.7200","413,160.1700","2,374,914.9100","3,598,946.8400","6,118,303.1900","647,296.4300","-9,805,997.7400","-24,298,875.8500","-230,387,337.6100","-6,711,967.8700","-15,186,506.7900","-24,886,616.0800","-23,131,418.1500","1,402,001.0500","2,081,998.8700","583,206.8900","11,377,767.2000","3,389,085.5400","4,078,374.3500","4,645,151.4800","2,931,942.6200","344,132.8000","703,119.1400","-46,803,342.9900","-53,857,751.8900","2,087,298.8900","5,647,548.0300","106,748,965.4100","145,326,229.9200","26,561,017.2600","54,470,131.7900","76,774,164.2100","171,395,032.7300","20,303,190.4200","80,480,447.9600","136,535,385.6800","187,766,018.0500","21,631,645.1300","82,647,483.7300","112,666,878.3500","201,317,371.2400","23,986,400.8100","90,939,176.2200","127,097,409.2900","208,335,137.3600","27,085,613.2000","101,890,664.0500","156,788,046.9300","189,174,108.6600","22,068,021.0200","97,150,421.5800","154,302,224.7900","199,374,952.7900","32,135,769.0500","113,827,159.6400","159,750,969.6300","210,697,569.9500","36,115,928.7700","141,706,314.9800","181,279,966.3300","217,071,220.4300"
"299","000768.SZ","国防军工","","","","","","",NA,"57,001,289.7500","","","","52,366,761.1500","","","","55,024,884.5900","","31,400,919.8300",NA,"83,723,353.4400","","48,623,737.9700","","86,934,554.6500","","33,299,593.5600",NA,"52,737,735.7100","","36,170,030.0900","","70,405,687.9100","","14,261,329.0100","","47,743,880.3700","11,367,755.9800","24,044,832.6800","35,741,358.5100","45,174,029.2200","6,262,567.1300","16,685,474.5900","25,396,902.8700","33,545,162.1500","1,790,329.5000","11,287,963.6200","10,784,554.6500","17,553,725.7100","11,996,131.2400","24,698,843.5400","17,713,138.8800","34,981,859.7600","16,727,427.6800","38,692,749.8100","51,005,177.4200","69,668,862.1600","24,223,624.8900","55,786,656.0000","71,398,988.8700","93,818,994.1700","60,696,956.8100","141,969,051.8400","252,414,123.0600","401,552,563.7800","-46,683,370.2500","-81,583,549.8000","-8,538,641.1200","315,677,807.5400","-4,648,657.2800","122,946,906.4200","172,516,779.6500","377,210,221.3200","-24,760,341.6600","14,711,935.0400","38,992,734.1400","133,386,993.8800","-3,989,819.9100","45,694,805.1500","23,083,676.0700","262,896,159.5400","-60,456,356.9200","53,956,633.6500","34,079,265.3200","366,967,265.6700","-165,295,421.3000","-85,473,647.8900","39,820,000.0400","375,643,436.2800","-213,658,055.1100","-116,473,688.6600","-121,339,539.2800","460,683,147.4700","-73,292,860.0200","78,867,769.5800","124,667,000.3200","454,977,873.0100","-122,220,494.4700","50,580,440.1700","115,318,663.8300","474,364,583.1500"
"477","002013.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","10,050,150.2300","","","","12,188,599.8400","","7,106,342.0900","9,789,132.2000","12,284,460.1000","2,278,706.7600","6,783,872.1900","7,264,719.9300","8,097,338.6600","951,119.3400","3,602,297.4700","7,557,981.9200","9,451,932.8000","2,506,959.5500","8,711,282.1600","11,077,408.9900","14,694,186.3700","2,855,803.2600","11,008,927.8800","15,813,946.8900","21,594,539.1000","3,759,677.7500","12,843,718.3300","15,714,266.1400","21,932,483.2600","301,594.5000","14,189,884.3700","23,070,779.0800","30,579,806.8400","8,604,073.0300","17,429,490.2600","27,945,165.4100","35,185,375.4500","13,987,171.5600","22,010,966.2700","33,881,387.0100","40,120,607.9300","12,240,255.7500","20,678,387.3400","31,095,164.8500","389,511,706.5100","17,306,693.7000","201,527,172.9600","269,093,357.8600","422,926,129.3100","-29,161,014.4300","174,851,501.3800","223,701,274.8700","381,815,409.0900","-77,518,825.6500","6,426,923.1700","165,187,616.6200","477,536,167.7100","-32,186,638.4500","129,094,792.4800","227,931,021.7200","575,826,429.1100","5,445,948.9600","180,790,416.8700","303,288,090.2600","586,002,437.1300"
"487","002023.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","26,698,554.3600","","","","30,959,967.5100","","15,514,483.5400","20,436,465.7900","39,532,705.2000","1,490,503.8600","16,928,678.8800","31,067,300.4800","43,100,746.8000","4,729,684.5800","20,065,014.1100","27,146,941.3900","38,136,608.9200","5,459,170.9900","19,766,050.4200","26,420,512.5000","31,467,025.6800","6,544,356.6600","21,193,351.8500","28,086,041.5400","37,364,232.8000","9,966,867.2500","18,550,691.4800","25,391,988.8500","34,586,905.3400","11,250,107.1200","27,641,294.7800","35,468,631.4200","52,824,621.5500","11,864,059.1900","28,233,670.4800","36,367,289.7800","53,560,332.5800","12,421,736.9500","27,414,250.8400","35,390,530.8900","53,174,143.1400","11,872,822.3300","29,799,893.4800","45,700,910.6200","75,881,174.4900","18,983,554.4300","47,827,450.0900","71,135,645.9800","119,790,254.1300","27,556,977.9500","66,786,971.4900","102,005,870.2800","148,691,805.7500","22,549,233.9500","40,429,058.0000","36,799,348.6500","24,969,998.8100","18,821,081.9400","46,271,885.1500","36,537,403.3400","33,937,452.3700","5,207,431.2400","17,925,266.9100","28,456,592.9300","18,493,336.8500"
"615","002151.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","5,305,062.4800","","","","15,991,709.0500","","8,392,281.7400","15,008,508.8000","23,770,434.3800","6,343,765.6700","15,032,632.7200","23,721,947.9200","37,608,271.8300","8,151,527.7700","22,067,991.9000","32,465,458.2400","45,849,235.4300","9,625,133.4600","22,604,961.1200","28,742,138.6300","50,832,644.8800","6,795,173.8000","17,288,440.4700","22,488,475.8400","40,963,954.2100","9,394,447.8400","22,706,586.6000","32,744,085.5500","38,419,138.2400","-15,018,126.0700","9,163,043.0300","37,763,620.6800","55,999,435.0900","-7,783,830.5200","9,151,412.0800","32,723,173.5500","64,626,609.8900","-9,533,184.5500","-1,381,144.6400","21,653,948.9800","50,912,022.7900","-11,682,569.4200","-26,074,496.9200","-24,753,355.6000","47,417,464.3000","-11,917,661.8500","14,059,569.3200","53,957,094.2200","60,016,407.6600","1,113,159.9600","20,124,945.0400","71,223,443.3700","115,007,783.9000"
"654","002190.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","40,521,268.3500","","","","30,198,337.7100","","","14,283,924.6200","35,570,694.1400","2,956,210.9900","13,370,741.9500","22,487,144.1800","34,881,213.5700","3,248,393.7400","17,315,011.0300","22,790,252.4200","41,198,918.6300","4,859,656.0600","19,347,562.8500","27,273,952.2500","41,739,266.2600","6,250,372.7700","21,192,118.1900","30,397,747.5000","48,405,415.0100","11,878,961.4500","26,460,240.2600","54,755,209.0400","72,035,490.6800","-1,371,547.1100","19,190,124.2600","36,219,949.7300","51,602,935.9000","8,351,537.9800","17,005,729.6400","16,565,442.9000","38,176,268.3500","-12,056,656.1200","-12,310,783.1600","-7,539,905.8200","37,194,385.6500","14,486,834.8200","35,950,150.8900","63,327,450.4900","134,625,876.2400","24,583,039.2500","83,596,811.0400","139,977,236.1500","197,446,160.4000","570,275.6000","-13,982,752.3800","-40,807,702.3800","-256,871,671.7400"
"760","002297.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","8,828,098.3400","","","","14,280,479.1200","","","","30,010,442.1200","","14,506,080.8200","15,823,423.7600","27,517,374.1700","3,508,443.0800","14,248,331.3900","18,477,389.0700","27,524,644.3400","6,922,166.7000","16,276,860.8300","21,387,800.5400","27,106,463.5000","4,260,069.4400","16,371,205.7000","27,420,382.4200","38,337,465.0800","12,439,125.5800","21,950,132.5700","33,234,373.3500","21,288,671.3700","1,458,475.2100","20,571,712.0200","16,259,279.0500","-33,197,922.8100","-5,195,670.5500","4,301,654.1400","6,538,828.0500","8,345,872.1400","-13,829,899.4800","-28,041,247.4400","-49,200,290.2800","-139,615,609.6100","-6,187,838.6400","-20,816,507.7200","-26,238,604.8000","9,249,350.4300","-2,651,479.9300","-10,448,860.3000","-23,050,106.7200","-65,760,579.4200"
"876","002413.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","30,284,070.9100","","","","52,100,212.0100","","","","37,157,317.7600","4,991,214.9400","24,909,539.3900","48,066,476.9500","64,563,145.6800","17,041,673.4400","46,209,256.9000","69,123,984.0200","85,090,494.9400","22,463,718.5900","58,592,342.9800","84,182,859.2000","95,927,906.2500","13,879,964.9800","32,460,124.5800","43,343,419.1200","48,448,389.1700","9,458,250.9000","18,363,106.9000","31,403,216.2400","25,515,179.8000","10,130,206.0400","23,346,962.1800","33,709,851.1500","33,397,449.8200","10,517,926.0400","31,786,035.7200","53,494,341.3900","140,553,234.2300","23,918,385.6400","46,571,342.0400","68,053,210.4500","109,301,423.8900","28,679,960.2000","50,981,490.9900","78,305,430.0500","132,200,798.8000"
"1281","002829.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10,945,931.8100","","","","38,996,732.5600","","","","69,714,298.7200","","","","80,226,523.9300","","","29,189,300.7900","66,721,055.4800","3,166,151.0400","17,862,050.1700","41,861,351.9100","72,674,699.5400","4,175,356.9400","19,871,534.8300","39,248,138.2500","84,281,513.6700"
"1377","002933.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105,787,196.0400","","","","110,877,277.3400","","","","116,557,875.9600"
"1378","002935.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55,056,276.8300","","","","63,759,446.9200","","","","69,396,825.1100","","20,260,940.7400","","83,951,026.0100","","","","83,791,226.6900","","24,911,623.1300","28,879,816.0800","92,515,989.5500"
"1389","300008.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,303,897.2900","","","","28,455,125.2700","","","25,505,686.0900","37,831,515.7200","8,687,651.6100","21,458,326.3400","31,057,078.3700","43,531,992.2500","9,954,512.0800","27,026,638.1500","44,681,644.1000","61,706,003.8100","14,520,636.6900","34,626,357.5300","54,843,275.0600","74,562,632.1000","14,215,169.0800","33,081,326.0000","34,319,467.2500","18,074,359.5500","1,877,164.5300","3,765,953.0300","6,620,255.8200","7,048,761.9700","2,490,386.2800","18,245,044.4100","31,774,529.9900","41,145,900.5100","4,690,079.2200","18,567,995.2000","31,547,477.6400","50,883,725.7700","6,906,857.7400","99,837,192.8700","116,347,611.2400","141,755,928.2600","36,780,634.4800","94,992,116.0500","123,597,218.1500","177,237,782.6900"
"1415","300034.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","18,266,249.1200","","","","29,031,229.9100","","","22,675,001.9800","31,284,342.2400","7,996,062.1700","16,161,136.7800","27,146,958.6200","38,067,056.1600","9,074,549.0400","19,425,149.9600","30,907,341.9700","46,447,380.0000","13,712,699.3100","28,858,108.2500","42,086,852.8200","64,390,531.5300","19,591,369.1700","35,476,050.0300","51,860,315.6500","69,136,556.7500","17,807,105.0600","34,105,392.4700","58,855,613.7800","87,860,003.2000","18,908,137.4600","38,926,518.7000","76,696,963.6000","109,583,849.4400","21,302,540.6500","41,988,236.2300","67,051,414.4400","126,039,125.2700","19,411,780.6800","46,252,686.7000","67,169,919.2700","93,404,331.4800","19,889,513.9400","38,770,516.0900","40,646,743.1800","48,965,379.6600"
"1481","300101.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16,414,156.0200","","","","40,999,102.6700","","20,583,922.1800","41,954,102.0300","53,587,205.7300","10,734,510.1300","22,374,083.4600","39,349,916.7000","67,316,131.2100","7,809,532.3500","21,986,481.0100","37,482,411.8800","50,940,120.8000","14,858,956.8500","29,874,967.8200","24,647,755.7400","27,703,134.3700","3,191,759.9600","-13,379,949.8600","7,279,024.4200","-12,209,193.9800","-12,318,746.3400","14,830,331.1600","34,503,448.9400","66,228,330.9700","21,735,486.3400","51,179,140.1200","78,518,158.2600","101,091,292.7900","30,377,109.3100","60,016,140.9200","84,427,082.9600","56,408,479.0900","17,904,037.1300","33,644,583.0400","34,909,098.2900","41,955,688.2400"
"1503","300123.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,145,770.8800","","","","19,100,145.6800","","","15,525,986.8600","28,034,323.7300","4,656,844.8200","16,233,870.7900","22,250,543.0200","31,973,874.4200","7,609,722.1400","21,882,424.6200","28,750,879.6500","44,025,178.6300","9,769,676.9400","26,853,937.2600","36,273,488.1800","54,960,636.1900","10,966,515.6200","29,892,310.2200","43,574,017.6000","61,064,760.4600","11,106,059.0400","15,982,105.4200","23,101,023.4000","21,084,867.6100","-6,128,663.5800","-8,384,401.8600","4,602,826.1500","14,689,137.3700","-9,722,154.1700","4,779,607.9000","8,131,092.3200","15,338,940.5200","-4,761,891.7900","9,667,731.5300","19,500,515.2600","103,261,976.3800"
"1539","300159.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10,226,096.8300","","","","13,334,451.4400","","","20,831,757.6000","23,678,436.2300","-898,956.3000","7,132,607.6900","45,534,099.3900","51,666,331.6000","757,779.7000","10,331,279.2900","60,626,387.7800","79,196,818.3300","975,482.5600","11,806,878.6300","64,816,592.4200","80,060,342.6700","1,081,358.1600","13,995,573.4500","76,928,225.5800","101,759,263.1400","1,209,950.3600","16,126,608.2000","80,981,117.1300","112,046,306.7700","1,177,714.0800","17,007,183.5400","84,787,801.8500","300,419,799.0800","1,517,226.9200","16,754,039.4200","104,608,961.8600","245,083,893.0800","-770,370.3400","87,636,218.5000","249,849,940.6200","393,270,521.6400"
"1774","300397.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7,551,987.1800","","","","118,767,999.2500","","","","133,834,070.2300","","","","162,698,389.4100","","","12,841,478.0700","146,428,496.1800","-12,242,725.2000","-18,626,688.1200","14,393,908.6000","75,284,006.4800","-6,243,083.1400","-15,496,759.9400","-25,430,820.5900","-52,960,310.2400","-8,218,453.1100","-19,470,527.0800","-46,576,956.7200","-63,550,231.7000","14,337,322.6600","23,275,773.5500","33,532,655.7700","76,950,811.1900"
"1801","300424.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60,024,488.6400","","","","72,913,339.2100","","","","73,542,627.9200","10,376,827.1400","27,505,589.0700","52,672,375.4600","80,438,677.3500","13,413,955.5800","29,123,584.8100","49,800,630.0700","72,203,407.7600","965,261.4800","20,039,278.7900","36,925,805.4600","59,862,165.2400","1,834,660.9200","21,525,275.0400","40,389,827.1200","66,291,207.0700"
"1833","300456.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46,370,400.0000","","","","49,549,046.8400","","","","55,379,646.9700","","15,128,346.6400","17,914,215.1600","54,859,128.1100","4,560,640.0600","19,730,895.1300","21,144,490.2200","49,372,129.6100","1,229,062.1500","14,317,063.2300","18,022,539.0500","66,778,895.2300","9,428,723.5900","23,842,365.4000","28,568,717.1700","58,152,301.6100"
"1851","300474.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53,772,094.8300","","","","60,413,916.2200","","","","64,089,013.0200","","","","82,184,899.9200","-1,385,812.4200","41,383,243.8100","75,411,564.5200","88,954,788.7700","23,078,714.5800","53,583,193.5000","90,969,047.1300","105,286,507.5100","13,055,101.3700","55,705,248.1100","93,912,466.8400","118,829,352.7500"
"1903","300527.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39,745,565.2500","","","","63,828,497.4400","","","","89,809,361.6900","","","","105,354,386.2200","","58,757,257.4800","27,618,598.2600","135,892,060.3000","2,062,278.9100","73,994,595.3400","82,249,668.5100","155,025,999.6100","4,244,073.8100","101,341,475.5700","129,253,604.3600","193,005,797.1800"
"1954","300581.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24,510,000.0000","","","","32,013,800.0000","","","","31,131,444.9300","","24,444,800.0000","","46,351,047.4500","","","21,793,348.2500","50,372,682.6600","3,849,058.4200","18,271,835.3300","21,651,319.9100","52,435,599.2100","3,750,573.0700","16,563,994.1000","22,549,689.0900","48,521,376.0400"
"1962","300589.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12,390,151.6400","","","","21,293,799.3200","","","","29,226,879.5900","","","","32,461,382.1600","-5,477,438.4600","8,100,794.8300","20,208,078.7800","36,843,196.0600","3,077,078.4000","15,598,927.2300","21,499,810.1300","35,008,544.2500"
"1972","300600.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30,437,256.0300","","","","42,792,286.9600","","","","42,116,519.3800","","","","67,221,623.9500","","54,563,282.8800","78,264,065.7600","106,788,815.1600","22,290,055.5800","48,524,133.0000","85,928,633.7400","101,707,416.1500","29,092,272.6900","58,289,924.1600","85,439,214.7100","107,774,786.0900"
