"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"46","000059.SZ","化工","","","","133,194,751.3200","","",NA,"147,622,842.2800","","","","158,900,121.4000","","","","209,051,652.6500","","157,787,831.4700",NA,"221,175,414.2400","","62,409,234.4100","","23,312,185.5900","","20,625,490.6000",NA,"110,688,441.7100","","2,378,562.9100","","3,806,681.2300","","2,522,610.9200","6,163,308.7800","3,930,268.7200","3,294,284.3200","10,619,323.1000","3,225,102.7400","-58,206,199.6600","3,689,915.4700","3,410,828.9700","3,260,740.1500","5,840,132.7500","21,044,516.5500","60,398,997.9400","124,367,352.8400","140,094,430.6100","67,913,586.8600","122,904,596.5000","208,209,983.7500","246,462,929.2100","22,941,122.2900","66,161,057.0000","72,553,240.9500","100,394,954.2300","95,481,619.8200","166,234,210.4600","191,344,980.6600","240,099,775.1500","129,699,562.0200","234,418,650.7500","373,721,826.8300","384,840,456.2400","98,430,586.5100","215,372,160.0400","245,615,589.9000","196,106,127.3700","93,291,305.1400","215,751,044.1100","-17,246,044.3800","412,657,982.5700","407,844,709.4400","468,390,081.2600","532,367,127.6100","842,002,132.2000","171,761,191.9800","-77,346,240.0400","-560,841,869.5600","19,933,416.1700","-85,725,154.5200","-332,640,924.3400","-535,776,098.3500","-161,986,533.1500","-319,925,995.9700","-764,779,473.4000","-988,815,703.7100","-1,486,095,772.8800","-151,298,408.0600","276,660,415.0200","117,013,794.1900","362,530,563.5800","473,420,420.6000","925,888,259.0600","1,200,677,064.3600","1,848,144,498.8500","465,081,031.4300","870,343,099.6600","1,295,516,415.6500","1,941,154,830.0200"
"60","000096.SZ","化工","","","","","","",NA,"","","","","","","","","","","",NA,"44,589,833.7000","","","","39,061,554.7200","","16,004,272.1000",NA,"47,568,979.0000","","36,104,004.9400","","69,615,781.7800","","40,845,956.7200","","88,533,639.4600","19,392,100.0000","42,030,393.2600","62,634,094.7800","114,175,188.1700","18,883,263.9700","48,052,976.7800","93,892,909.1200","139,602,769.7600","24,550,028.7300","93,205,260.1000","129,894,360.1200","151,439,262.7500","15,459,839.1100","72,007,633.4400","66,206,699.0000","70,055,030.0200","8,582,870.6400","100,163,765.4200","105,715,333.0400","132,828,371.0000","7,127,650.1400","171,220,370.5600","180,425,508.2000","233,294,030.0000","12,153,826.0600","90,905,247.0000","97,207,841.5700","129,702,623.6500","6,883,890.2700","62,724,638.1800","108,279,641.9000","112,340,371.5800","-16,923,069.5400","33,696,840.2900","58,373,682.5300","87,212,955.7100","-4,817,543.6000","47,283,411.5400","32,347,513.3800","94,166,413.5300","-9,659,336.3200","32,318,836.5700","22,048,393.8300","21,018,129.3400","-6,304,835.3600","27,412,946.9400","18,863,485.9000","68,327,644.4100","17,475,812.8000","70,270,267.2200","76,622,635.0400","43,604,138.7400","139,143,540.4500","188,211,671.8500","212,332,124.9300","149,363,459.0500","8,964,711.2000","83,687,003.6500","108,034,374.5200","296,832,093.9100","38,350,299.4600","99,145,901.2700","123,904,897.0900","154,981,838.4800"
"70","000159.SZ","化工","","","","","","",NA,"","","","","","","","","","","",NA,"22,910,976.1400","","","","15,094,918.3100","","",NA,"27,497,917.4500","","13,543,297.4400","","25,903,284.7800","","739,885.7500","6,627,834.1500","22,826,367.2700","1,318,300.0000","2,301,686.0800","-47,587,813.4500","-12,804,939.5600","2,574,718.8700","7,434,794.7500","2,466,965.1500","-7,567,995.4000","1,133,157.4900","-248,981.6200","1,754,756.2000","-5,607,191.5700","-2,105,906.9800","17,487,257.7200","22,641,358.5000","9,995,944.3700","9,419,779.1000","-10,623,686.3900","16,098,146.0900","4,386,778.5700","6,000,120.4500","16,784,376.5400","44,364,232.8800","66,146,580.9500","18,335,430.8600","79,178,892.1000","135,258,400.7000","151,664,883.2800","17,271,896.9000","65,586,184.4200","91,749,995.9800","150,648,187.4200","10,222,127.0500","56,161,862.0100","86,347,887.1200","649,797,897.9500","18,187,282.7600","68,001,673.8900","152,430,821.8900","332,881,661.0900","27,408,134.7100","44,954,822.2700","20,464,414.0000","101,251,349.0700","25,299,041.0700","32,670,270.0200","61,002,266.7300","35,101,717.6000","13,656,742.6800","6,638,567.5100","68,650,672.9500","132,578,751.5300","-8,953,722.6100","54,438,351.6200","-37,522,155.5100","60,074,134.4600","-25,050,790.1000","-15,690,951.4600","12,856,556.3700","35,865,214.3500","-20,287,407.3700","-61,648,104.4600","-55,478,451.6600","-71,131,359.9700"
"81","000408.SZ","化工","","","","6,405,980.0000","","",NA,"6,967,690.0000","","","","9,227,058.4100","","7,280,510.5800","","14,602,395.9000","","13,375,619.0200",NA,"17,428,822.8800","","8,883,624.4000","","31,266,877.3600","","2,684,058.7900",NA,"45,480,287.7100","","21,291,014.8500","","30,419,953.6500","","6,935,860.7800","","18,091,950.5300","1,438,300.0000","4,012,856.5700","4,408,583.5600","11,174,438.9600","734,459.2400","2,928,157.3900","3,643,127.6800","7,621,249.7800","410,928.7500","-1,066,922.3500","1,387,767.7800","-37,064,271.8500","1,096,287.3500","2,562,847.0900","1,165,713.2800","-103,581,319.2300","-11,591,946.7600","-10,429,143.6300","-7,035,110.2400","10,634,631.7200","274,103.4500","5,332,464.6200","9,797,567.9000","2,906,377.7500","972,915.7600","-34,042,948.7700","-37,981,320.6400","-112,432,511.5400","-9,288,721.7500","-46,661,910.8900","-39,048,553.9200","-161,943,305.8300","-8,615,694.6800","-16,083,093.6000","9,287,972.6300","32,503,271.4600","2,433,764.1500","6,878,431.6300","10,545,609.1900","5,676,178.0800","1,067,485.1000","8,755,014.7600","8,854,084.4200","4,839,869.1200","1,223,544.5800","4,703,119.2900","4,012,433.1300","16,411,820.8800","625,952.9600","5,681,984.1500","-38,560,515.0600","-55,422,653.2800","314,396.8700","-2,831,162.1900","-5,042,787.0700","-60,583,180.7900","274,505.5900","70,686,702.9000","471,478,304.4500","919,244,271.7000","29,206,900.5600","317,186,683.7400","677,802,050.2400","1,216,946,130.0600"
"91","000420.SZ","化工","","","","56,070,870.0000","","",NA,"70,077,270.0000","","","","89,309,630.0000","","28,241,779.1400","","53,885,158.0900","","5,110,783.5100",NA,"62,185,506.8400","","29,133,980.7300","","84,832,236.7800","","38,361,503.1800",NA,"93,377,727.7300","","33,493,267.5300","","48,308,258.9000","","60,067.4000","","-98,864,773.6000","3,080,000.0000","16,771,107.8100","16,880,668.7800","7,927,227.1700","2,793,735.9500","18,158,244.7300","28,040,442.0800","53,533,957.6200","24,996,994.7500","37,346,066.4700","51,578,705.1200","71,063,369.1000","9,987,204.4900","29,372,798.9500","32,860,247.4000","31,464,858.7500","-9,322,392.2100","-10,105,724.0100","83,064.6200","22,190,481.9300","16,230,817.5700","78,220,808.3600","106,507,801.2900","75,150,938.9700","-19,011,720.1900","-76,926,629.9200","-179,877,878.1000","-377,129,386.7300","-43,681,190.3100","-84,155,863.0600","-51,834,475.6500","9,914,369.4700","-23,757,512.2800","-50,535,538.5000","-93,582,449.6500","-86,698,817.6300","19,419,312.7600","9,331,217.9500","-144,353,362.5300","-309,769,913.0100","-19,350,983.0700","-41,928,041.7200","-68,921,909.6300","8,514,650.2000","-46,694,316.3600","-128,839,115.8000","-198,255,209.2300","-430,577,104.7100","122,273,398.7900","106,487,970.3100","84,303,588.8800","-1,756,305.0300","-47,219,575.5900","-6,395,837.0800","-3,838,482.9400","2,504,389.3600","390,208.7600","3,135,449.7400","14,778,346.8300","23,144,341.8200","33,453,114.4400","58,046,159.5300","85,074,320.6700","85,421,383.3300"
"93","000422.SZ","化工","","","","16,326,800.0000","","",NA,"15,165,450.0000","","","","19,406,050.0000","4,669,560.0000","13,380,460.0000","","37,004,943.3400","","29,573,194.5100",NA,"54,322,021.4200","","53,204,467.1500","","101,483,757.2600","","55,408,350.1400",NA,"74,130,903.9200","","17,041,307.4500","","39,441,996.8700","","21,554,698.7000","37,062,440.5500","40,821,211.1600","10,150,600.0000","35,023,261.4300","52,690,957.5800","54,424,795.4500","13,170,503.5300","37,065,891.5700","56,856,065.7700","72,052,852.7000","18,324,011.8600","60,580,616.7500","118,002,349.4000","141,583,846.9500","39,712,717.9700","94,532,135.5000","146,229,407.3200","206,488,484.3200","56,108,534.4100","127,478,283.4300","192,471,921.4100","299,613,575.2900","90,412,436.4800","251,207,505.3200","396,441,960.1400","578,312,736.1000","287,684,766.8000","587,329,932.1400","653,816,255.6900","379,232,610.1700","87,119,754.1100","208,446,312.6800","333,988,769.7200","447,913,605.4900","322,741,622.8700","565,441,504.6200","766,469,581.2300","1,027,329,364.2600","191,245,043.6100","658,590,557.0400","1,126,078,438.5500","1,266,226,836.3000","306,238,702.0800","805,515,341.8700","1,070,491,516.4500","1,473,567,910.4400","197,110,512.4400","345,752,496.7600","372,268,677.7100","200,448,742.4700","53,258,758.7400","65,643,547.4000","49,810,548.4600","78,996,015.9900","11,429,740.7500","36,570,398.0400","42,698,358.0900","54,308,267.4300","1,594,715.8000","-46,505,993.5700","-34,655,912.7500","-1,407,681,287.5200","57,602,879.5400","91,824,842.1500","-1,247,512,202.7300","-5,147,244,769.1700"
"110","000510.SZ","化工","","13,500,000.0000","","31,833,277.3500","","21,956,345.2000",NA,"43,396,550.4900","","24,679,939.5600","","47,491,883.8800","","36,544,813.5400","","74,264,031.4000","","44,147,732.4900",NA,"70,657,658.2100","","2,379,348.7600","","-121,483,648.0600","","-12,604,420.7800",NA,"2,102,486.9500","","13,499,414.1500","","82,076,092.5100","","52,897,833.7700","","94,281,714.5100","21,549,267.5800","58,159,835.2200","83,279,195.6300","103,637,306.3200","32,559,832.3200","57,764,482.5400","87,405,376.5500","110,955,226.7700","39,770,797.1000","69,469,607.4900","115,132,625.3400","133,115,147.6300","32,835,507.3600","49,409,846.8100","77,554,001.7500","84,647,900.2500","11,352,242.0000","35,065,061.9600","50,638,930.7400","71,229,281.0900","16,760,360.8900","48,234,988.7600","69,351,572.8800","82,012,281.7400","17,603,003.6600","-48,509,282.4700","-19,045,854.5100","-65,195,034.3700","-44,471,764.9200","-54,282,860.3400","-47,102,544.2300","7,467,715.4900","9,454,009.1600","22,156,282.5600","31,621,084.0000","83,148,176.0200","-16,057,756.7200","-12,443,140.2400","-20,012,983.4200","-115,874,200.4100","-61,170,931.3400","-88,377,598.8400","-92,754,085.8000","4,322,892.0600","-64,662,680.3900","-85,283,360.8900","-116,222,268.5300","-191,155,497.7400","-33,053,706.3600","-55,409,413.9500","-83,808,207.2500","-146,259,097.9900","-54,649,516.7300","-74,510,775.5200","-93,437,269.3800","6,537,261.5700","737,597.8600","5,492,717.5300","15,214,797.6200","54,320,911.8600","23,069,185.3900","24,485,599.0200","15,913,491.7900","42,288,039.5500"
"119","000523.SZ","化工","","17,937,614.3300","","37,584,647.9300","","31,177,064.7400",NA,"54,182,233.7600","","23,110,046.7300","","47,792,927.6400","","21,787,630.6600","","35,610,134.7300","","11,037,147.4900",NA,"31,148,190.4200","","11,413,750.8500","","22,892,698.4100","","12,625,854.9700",NA,"20,372,141.8200","","7,589,950.7600","","2,432,487.6900","1,557,079.5600","2,019,460.2300","","4,540,223.0400","-7,483,935.3400","-10,102,131.3200","-10,287,883.4500","-115,800,997.3800","654,853.6100","1,552,443.0400","1,872,379.7800","2,217,339.2500","582,916.0500","2,284,710.3700","2,476,131.3300","3,050,700.3700","1,313,692.4300","3,592,904.8100","4,767,449.8500","13,154,222.0500","2,329,975.8700","4,474,151.7500","9,017,474.1100","8,758,979.3400","2,654,568.5400","5,164,260.3400","8,244,915.1900","8,639,126.7600","3,622,146.7500","4,328,896.4800","6,892,328.7200","5,999,794.5300","1,896,204.0600","4,611,053.5800","7,166,949.1000","9,144,143.1300","1,829,319.9100","6,042,745.4200","8,412,555.1200","14,353,454.3100","2,441,421.1200","7,018,592.3000","15,677,309.8100","18,262,736.4800","3,200,652.9600","10,209,943.9900","14,671,703.1700","20,222,844.5000","3,141,756.3000","11,187,197.9500","16,966,822.9900","32,803,543.4000","3,672,074.9900","11,938,068.1000","23,094,543.1200","39,965,780.2700","1,668,859.0300","10,152,144.3500","24,332,539.4800","29,670,159.1900","4,609,279.1200","11,750,213.4100","16,940,764.0500","38,992,067.9800","6,817,976.3800","11,568,677.0300","13,643,803.0300","33,799,643.8000"
"121","000525.SZ","化工","","","","10,022,792.0000","","1,425,602.0000",NA,"2,797,329.8700","","-4,057,584.0000","","530,254.3500","","583,106.6400","","3,152,414.7600","","-814,017.8700",NA,"15,635,550.3400","","563,423.6600","","16,951,614.3500","","37,156,754.5500",NA,"45,939,898.7100","","35,515,439.8200","","39,693,519.7900","","58,596,921.7700","","66,376,080.3000","5,755,813.0600","41,612,990.6400","52,601,666.9500","44,745,249.0300","2,170,701.4400","31,165,908.8700","44,044,335.2300","46,815,974.9900","9,146,578.7200","43,137,968.9700","54,365,989.5700","55,330,340.9100","9,251,080.8900","40,359,439.2600","52,781,168.0200","49,496,464.5900","7,683,424.8200","42,479,412.7800","33,392,922.6400","38,932,914.4400","6,487,437.2500","24,139,646.1600","26,810,276.0300","39,203,220.7700","6,960,449.3000","61,830,956.7500","51,398,751.3600","38,046,724.3500","-7,045,953.9400","27,813,231.7200","28,327,847.4700","2,722,839.8900","2,224,766.4400","5,646,066.6300","-4,701,793.2300","-9,556,345.4100","2,506,666.3700","11,222,911.9600","9,949,280.9000","73,447,822.2200","64,502,689.2500","146,302,237.1500","222,025,273.6200","298,436,319.7800","67,220,752.3900","164,303,827.2200","265,546,625.0600","371,741,086.0800","128,095,383.0200","288,556,071.5800","399,891,977.3200","405,424,582.7400","79,187,319.2800","177,147,425.0800","221,262,827.3400","132,124,299.7000","27,270,716.2900","56,926,917.4100","39,293,336.9700","126,993,710.2200","158,798,539.2800","358,123,333.5500","529,251,084.7600","706,406,196.6100"
"138","000545.SZ","化工","","3,366,336.0000","","17,540,219.8500","","",NA,"23,500,194.5000","","9,723,909.2000","","17,392,439.2800","","5,465,659.1300","","6,435,908.5400","","648,144.9800",NA,"685,458.6400","","2,659,161.8900","","2,520,461.0100","","-36,765,606.6000",NA,"-98,565,858.6100","","-1,855,163.7600","","4,872,220.1400","","2,741,114.0800","3,149,249.0400","-10,487,071.5800","-1,470,000.0000","-2,734,921.0900","-3,381,532.0800","3,242,438.9800","69,880.4200","181,172.4200","1,618,169.6900","7,276,863.3300","420,586.7700","851,393.0200","1,811,803.6400","13,002,791.5500","-2,490,169.5900","-9,515,269.2000","-32,654,842.2200","-126,512,697.2800","-9,794,969.1200","-16,078,601.1300","-23,405,530.8800","-35,837,978.7600","9,398,647.4200","16,364,345.9200","17,404,922.6500","18,788,901.7500","3,218,655.8100","3,914,241.4200","4,336,218.9000","3,322,154.1600","-1,482,246.5200","-18,865,454.2900","-31,476,100.3600","-15,648,626.7800","-1,189,822.9800","-2,027,362.5100","-1,941,641.6700","-47,339,068.8000","-1,855,690.8800","-15,841,154.2700","-7,905,591.4600","-5,560,328.3500","510,497.3700","4,303,891.7500","2,977,423.6800","3,167,298.6500","570,485.2600","40,533,915.6400","65,607,195.4600","94,924,960.7700","8,136,056.5000","21,351,988.1100","34,236,959.1500","41,697,527.0800","11,368,233.3600","65,096,435.1400","94,588,994.2100","131,182,214.1600","15,695,596.2000","33,713,646.8300","48,387,980.5500","120,803,780.1800","53,271,412.5900","96,455,274.2600","131,336,305.2000","165,827,783.1600"
"145","000553.SZ","化工","","","","27,545,299.0000","","17,102,583.0000",NA,"34,196,261.0000","","26,520,830.0000","","50,364,330.0000","","42,564,203.0000","","77,611,470.1100","","61,195,971.0000",NA,"98,739,480.7800","","49,291,483.5400","","71,959,371.3200","","29,491,059.5100",NA,"61,219,305.8000","","14,599,283.4900","17,134,560.2500","16,930,443.4600","3,943,441.1200","11,164,829.8400","14,496,607.6500","8,821,692.1000","-4,530,390.3800","-10,050,334.2400","-23,146,860.2000","-113,645,688.2200","-5,692,471.8200","2,874,141.2400","4,813,352.8100","347,019.2800","1,021,015.0700","2,990,112.6900","6,368,324.6400","3,989,885.0500","1,895,339.2600","7,920,283.0600","14,226,717.8900","6,572,167.7500","5,573,811.3900","17,311,453.2500","27,474,025.4100","31,381,261.4800","5,401,731.3400","16,428,922.7800","26,145,583.8400","32,429,212.1400","26,503,845.9200","78,151,234.9400","137,935,427.0500","154,917,454.3400","32,147,515.2600","45,223,722.2100","46,363,798.0300","19,191,918.3300","6,792,465.9200","11,931,872.0000","15,600,825.6900","23,569,180.1900","8,653,164.6800","20,316,544.0300","37,197,665.2600","53,806,511.5100","14,431,051.8700","24,465,869.5400","50,150,081.7700","104,427,013.5500","37,728,972.8500","126,676,986.7700","191,074,921.8300","319,980,167.9700","131,870,190.5000","288,214,540.2200","428,499,508.9700","491,283,853.2300","77,027,454.4900","117,644,347.9800","147,212,802.3500","141,955,597.8900","8,016,805.8100","16,807,555.5000","20,500,260.4900","-74,489,986.5400","58,716,654.9800","169,191,443.7100","1,599,514,000.0000","1,545,879,000.0000"
"146","000554.SZ","化工","","","","176,230,068.0500","","65,700,679.5800",NA,"76,739,076.7600","","35,218,309.3000","","40,885,506.5200","","25,945,519.0000","","55,622,219.7900","","26,483,248.3700",NA,"51,547,606.9300","","8,852,885.7500","","25,760,184.8200","","12,769,706.8600",NA,"30,210,200.7700","","59,141,831.6000","","134,101,688.6200","","61,618,235.9100","","46,331,202.0600","1,028,536.3500","14,730,269.8700","19,535,724.2400","34,623,923.2200","6,881,542.6500","16,518,490.2000","10,786,552.9000","9,591,994.2200","3,457,366.1200","18,182,591.9100","25,531,128.9300","44,504,269.0300","12,894,502.9100","24,607,440.3400","36,709,381.0200","23,269,708.5000","16,223,789.4000","60,123,329.8200","85,891,462.1600","103,908,499.7800","18,267,023.5500","63,630,631.5300","93,573,550.0900","71,497,415.7500","49,329,543.9400","115,356,236.2100","144,526,089.9400","143,666,372.9900","-11,846,009.2600","6,095,408.4900","11,222,121.3100","8,318,123.7100","2,525,220.1900","5,338,909.7800","6,335,182.0900","7,201,952.5900","3,589,583.9800","7,780,170.8500","9,036,212.4000","9,207,283.7300","5,063,624.1100","10,921,493.2100","19,306,974.1700","23,700,848.0000","3,486,109.3000","6,072,338.0000","10,842,386.1700","12,553,265.5300","1,917,185.2100","3,884,433.4800","10,812,241.2600","6,418,812.5500","1,030,395.9200","3,712,471.9800","6,245,028.0700","3,807,227.0300","202,845.1200","1,411,770.5800","3,322,862.5000","4,652,637.8600","209,511.7400","899,962.7400","1,870,401.0700","2,846,747.3900"
"155","000565.SZ","化工","","","","8,892,878.7600","","7,186,808.4000",NA,"18,301,121.8400","","5,620,331.1200","","7,719,294.2400","","7,946,428.6100","","21,487,649.5600","","12,974,330.7300",NA,"23,345,258.6700","","3,548,487.2800","","29,118,028.2400","","11,139,113.7700",NA,"16,270,449.1000","","-6,840,818.9900","","2,799,837.5500","","827,766.3400","","2,295,258.8000","1,208,103.5600","3,962,166.1400","6,540,769.0400","7,700,709.1900","1,409,613.6500","3,866,453.7400","5,415,650.2300","5,559,264.4400","557,840.6000","1,286,097.5100","1,378,313.8300","3,370,894.5300","-4,505,497.9600","-2,891,527.4300","-2,082,565.9300","1,292,201.7500","-887,555.8700","1,393,993.7000","1,918,674.8100","4,137,364.5800","5,795,655.1400","13,538,297.0900","23,477,591.4900","27,499,661.7300","6,661,551.2300","16,195,139.0700","21,815,511.8900","23,842,631.3000","6,995,385.5600","15,105,274.8300","21,407,926.8000","194,551,344.6500","4,477,035.9600","11,165,557.7700","12,633,821.4700","-12,832,880.8100","5,750,567.6100","8,282,719.7400","9,145,109.8600","-211,665,401.5100","10,312,499.9200","11,445,923.8300","13,568,066.4900","55,189,152.9500","10,400,038.2100","20,335,320.1900","31,871,477.2900","36,052,255.7600","12,074,438.0200","30,063,329.8200","41,688,166.3700","42,334,295.9100","8,379,899.4100","151,574,868.8400","164,111,638.9700","144,573,659.6200","12,038,237.5800","33,865,473.0600","53,765,374.3700","223,481,233.4300","17,025,795.0300","40,043,570.0800","65,906,053.4200","81,125,365.9200"
"170","000589.SZ","化工","","","","20,042,390.0000","","",NA,"20,601,010.0000","","14,005,680.0000","","30,599,615.1700","","50,983,736.3500","","95,061,056.7100","","46,421,171.3700",NA,"83,671,550.5200","","33,292,231.1100","","56,982,050.5500","","22,796,534.3300",NA,"12,227,599.0000","","7,009,396.0000","","16,043,817.0000","","5,743,818.8500","","-77,126,782.0000","2,442,985.0000","18,176,889.8100","27,062,669.9300","27,446,783.0000","6,424,510.4000","19,176,884.9500","28,661,070.5800","38,024,448.5200","4,647,889.7700","7,584,808.5100","15,275,641.7700","22,004,255.8400","5,447,019.0100","13,627,638.4400","24,801,135.7000","48,484,909.0100","14,286,120.6100","36,535,811.2800","50,531,084.1100","48,830,240.4300","19,339,378.2900","50,162,066.3600","69,815,305.7100","86,816,870.0900","24,457,430.3100","49,473,845.7800","77,529,265.0800","48,824,667.6100","29,009,554.7600","115,244,896.2000","211,694,330.7600","363,797,825.5200","36,306,119.3200","75,975,531.0900","111,033,271.6600","124,949,207.9000","19,835,956.0300","41,934,962.9800","60,003,167.1100","95,974,610.2100","29,374,393.4500","45,654,055.1800","63,097,160.2300","128,454,622.7900","36,382,768.7100","95,362,233.7800","130,354,375.2800","174,346,566.2300","53,756,322.3800","89,483,727.5600","130,374,824.8600","166,981,873.9700","43,519,184.7500","65,849,921.4300","80,886,065.8900","-258,503,010.1700","-6,498,782.7800","-50,462,702.4500","7,010,470.7500","14,765,428.1400","114,753,489.7100","7,455,810.5100","-14,604,107.2800","-221,691,547.6300"
