"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"17","000020.SZ","电子","","22,534,987.0000","","46,714,233.0000","","27,559,893.0000",NA,"45,708,606.2900","","23,571,342.0000","","45,977,207.0000","","11,146,949.0000","","37,590,287.0000","","11,066,350.0000",NA,"-69,270,607.0000","","-21,563,672.1400","","-52,189,598.0000","","3,120,236.8100",NA,"9,673,371.4700","","3,296,474.5800","","2,878,053.6300","","1,617,699.4100","","3,045,897.7100","659,618.5000","-2,745,986.2300","2,724,047.1500","5,360,058.9800","513,539.7900","496,007.8500","567,068.8300","-7,734,400.7100","115,892.5400","-1,930,937.4000","-3,699,230.9900","-44,341,967.4700","-711,419.7600","404,375.8600","3,646,108.8600","6,622,306.7300","567,797.1800","570,082.9800","1,294,786.8000","-23,262,805.5500","118,919.6300","-2,275,256.0700","9,907,520.6100","22,065,920.9700","1,523,607.0500","-2,503,393.2800","-1,455,057.0300","7,567,912.5400","2,102,778.8900","4,359,222.8000","10,105,170.7100","4,154,592.6500","12,049,390.4300","17,375,496.3400","16,674,674.3400","9,177,262.8100","3,338,309.9400","9,280,724.6300","9,063,595.2100","10,374,521.2000","4,728,832.8000","6,426,237.8200","6,291,595.0200","3,241,897.7000","818,247.0100","1,967,980.4300","808,082.6800","-6,517,401.4400","694,997.4000","1,455,936.9300","990,696.0000","7,687,620.2700","511,851.8500","14,177,311.0300","19,994,553.0100","-6,731,513.1100","469,935.6900","7,272,956.2200","4,509,368.5600","5,457,710.3300","421,173.3700","2,146,472.0000","348,389.4500","974,409.3900"
"38","000045.SZ","电子","","","","42,799,626.1900","","23,098,673.0400",NA,"34,508,835.1200","","15,756,855.1500","","20,721,140.1000","","5,801,947.7100","","15,689,237.2900","","10,128,147.0500",NA,"17,599,521.3500","","1,408,401.1900","","-122,373,455.1400","","9,909,907.5900",NA,"22,842,496.0100","","15,951,538.4900","","27,536,603.8900","","15,904,773.0100","19,108,285.6500","27,301,394.9200","4,800,000.0000","15,945,585.5300","21,006,169.6400","841,462.4100","3,218,216.9300","12,329,128.1900","20,532,170.3100","34,681,192.7000","3,830,195.4800","14,780,976.1500","25,453,806.4000","35,622,671.3600","4,100,106.9700","13,501,659.3200","21,183,563.7100","30,697,196.4800","2,541,358.1100","8,688,292.6200","13,120,459.8100","11,069,646.1600","1,869,462.4200","6,691,162.0200","11,441,730.9800","11,966,190.5100","8,169,175.2200","34,647,719.3500","41,376,149.5300","44,212,891.0800","9,415,730.9200","22,611,368.5500","38,303,135.9000","38,015,487.1400","11,388,831.9800","24,858,502.7000","36,876,694.6200","40,709,271.2200","14,191,877.3400","32,363,976.6900","42,676,720.4700","48,915,594.4700","8,604,015.8500","-18,736,243.0700","-60,759,872.1300","-80,988,887.5900","-4,837,718.0500","-3,642,102.1700","7,417,008.2400","47,222,590.9700","-10,972,224.8200","-21,644,510.1000","-38,202,525.3300","-113,591,328.2600","4,339,711.6300","7,668,027.9500","6,182,632.9800","8,497,227.4000","-10,246,461.6000","-30,097,851.4000","-52,428,913.1100","-87,270,604.5400","1,087,685.3200","12,536,435.6200","39,079,487.9200","73,661,677.8700"
"41","000049.SZ","电子","","","","14,086,391.3500","","",NA,"9,920,319.4200","","1,946,912.0100","","3,204,957.0900","","327,211.7500","","1,063,381.3100","","1,986,338.3500",NA,"-4,053,154.5200","","17,801,796.5400","","29,665,555.0400","","-4,286,978.0600",NA,"19,649,174.0800","","849,848.2500","","437,192.2700","","-5,387,888.6300","","14,526,082.7100","-4,620,000.0000","-8,302,649.6400","-12,129,437.5800","1,824,405.4200","-5,252,910.9800","-11,632,600.9900","-15,939,236.9400","-33,245,595.0300","-2,965,122.8400","-5,972,674.0300","-5,745,292.1400","6,346,342.2800","7,249,216.2100","13,279,816.2800","18,916,600.0600","24,314,254.8600","9,205,417.8600","13,880,603.3600","23,001,577.3300","32,518,229.9000","-4,936,036.9300","95,782.1000","-1,848,925.4800","4,862,496.2800","-128,787.7100","-2,006,431.3500","2,483,494.5200","-770,381.5200","-9,249,809.0900","-20,327,145.2800","-46,624,133.4200","-39,530,348.1500","12,954,994.0400","31,003,343.2500","56,245,398.5000","87,673,160.9300","29,772,698.2900","51,793,034.6600","80,407,461.9100","157,032,735.5700","46,238,514.0100","62,353,978.4200","106,399,548.2300","170,730,071.6200","58,887,801.9000","95,631,324.7800","152,583,417.9000","275,036,663.6600","67,110,638.0200","117,849,464.2700","193,114,943.4300","312,881,212.7800","80,552,631.3100","157,221,802.0200","234,875,092.0400","308,094,744.5300","49,410,950.5600","91,597,954.9000","167,267,579.0300","349,686,870.6700","89,475,053.2000","142,816,003.3500","227,973,461.6400","363,769,831.7800"
"42","000050.SZ","电子","","","","27,762,316.4700","","",NA,"29,126,642.6100","","12,500,000.0000","","27,209,658.9400","","9,470,000.0000","","17,601,099.2000","","18,517,799.7400",NA,"46,214,849.7800","","16,210,354.5800","","28,580,601.1500","","10,438,321.4100",NA,"22,006,194.9000","","15,215,584.6600","","32,518,007.3400","","16,500,464.4100","22,213,675.3900","24,630,376.3000","7,938,470.3900","14,613,972.5900","4,632,507.4700","-34,854,045.1200","11,000,277.0200","20,242,660.2400","26,914,176.0700","45,645,462.2200","11,086,522.7500","35,038,279.0600","47,396,706.8100","93,392,474.4200","11,555,407.7400","31,569,016.0400","38,784,378.9200","56,684,228.4000","13,744,401.2000","43,077,704.4700","73,689,380.5000","94,887,114.1100","16,392,588.3500","44,796,040.5300","66,708,471.8700","85,354,075.6700","8,099,408.0100","37,398,516.7100","29,750,006.5200","-71,063,863.3100","-109,106,967.4600","-192,670,848.8000","-213,918,424.7700","-309,900,979.8100","1,851,543.7200","61,872,064.4100","113,119,065.4000","140,605,462.0000","11,828,436.0800","67,951,889.0000","100,344,644.2000","257,435,132.0000","-12,918,597.5700","38,121,539.0000","124,459,676.0000","137,560,832.0000","-3,474,654.1500","55,324,148.0000","229,613,650.0000","285,538,393.0000","52,377,123.7500","133,806,234.0000","390,202,604.7700","686,930,624.0000","125,277,641.8400","257,859,628.0000","333,459,708.0400","555,573,174.0000","90,885,529.2600","264,696,892.0000","377,678,017.0500","569,177,393.3700","225,139,303.8700","447,737,744.6900","753,390,445.9100","807,204,315.6200"
"49","000062.SZ","电子","","","","","","",NA,"59,981,511.0000","","","","68,704,167.0000","","","","69,908,469.9400","","36,478,736.0600",NA,"65,769,529.1400","","73,821,523.8800","","131,440,302.3100","","97,794,893.2600",NA,"116,550,214.3900","","54,792,652.2700","","96,815,833.1900","","32,152,908.9500","42,271,567.0000","60,134,463.0000","10,680,134.0000","21,996,039.0000","25,699,148.0000","26,403,698.1600","2,948,119.9100","13,107,740.1500","8,503,640.9200","1,594,683.4200","13,130,656.5500","16,668,207.6300","33,962,938.6800","39,323,982.1900","15,502,320.6300","29,501,766.4400","46,703,807.2600","28,344,755.9200","16,866,958.4300","52,097,004.9300","62,574,603.5100","77,392,016.5600","-8,113,704.7400","11,291,401.7900","95,014,131.0600","63,573,949.0200","-24,422,928.9400","-44,957,789.1400","-5,535,598.6500","31,918,772.5000","-39,742,848.7400","-40,741,860.2500","-12,053,708.7100","203,063,812.5200","28,040,506.4200","47,607,043.3600","139,633,146.4800","176,990,650.7100","16,031,328.2300","27,966,288.4300","38,665,433.5200","49,553,089.0500","2,336,805.5700","32,523,925.1600","82,639,284.0900","282,894,726.5600","805,163.0100","72,613,082.9500","110,894,136.1300","406,031,046.2500","133,455,114.2000","348,453,897.0900","424,372,695.1400","471,453,396.4800","50,480,574.5700","164,142,601.2500","219,348,668.2000","373,710,371.7200","59,729,831.9300","131,401,599.1300","269,698,497.7400","439,803,713.5700","81,413,530.1500","210,511,994.0000","353,191,682.8600","456,713,726.9800"
"85","000413.SZ","电子","","","","16,147,000.0000","","",NA,"117,311,000.0000","","","","172,427,377.2000","","66,655,413.0000","","102,126,554.0000","","-7,328,810.1400",NA,"-381,049,489.0000","","-156,541,835.0000","","-258,159,088.0000","","13,961,791.0000",NA,"56,886,176.0000","","27,146,355.0000","","100,048,288.0000","","61,491,850.0000","","46,169,141.0000","360,000.0000","1,073,141.0000","8,766,610.2300","33,238,296.0000","6,023,830.6300","3,804,252.0000","10,664,351.0000","25,813,911.0000","1,272,963.3400","723,143.0000","7,101,813.0000","31,770,584.0000","926,254.0000","-1,251,864.0000","-36,449,943.0000","-442,995,546.0000","-36,755,499.7300","-61,490,769.8500","-92,566,287.6000","-76,888,606.0900","164,550.9000","1,127,595.6800","3,190,151.7100","11,143,867.7800","2,614,722.5500","2,976,770.9000","3,524,427.6900","4,897,858.5700","151,414.6400","-5,622,916.1100","-12,580,803.1400","-32,783,254.1000","-6,488,368.3200","-11,901,505.0800","-14,812,226.3600","4,065,431.6700","-6,728,301.8200","-10,107,348.2400","-2,393,848.9400","12,135,603.2500","49,417,784.0400","89,858,790.7800","174,651,816.9100","241,028,130.1100","90,089,576.7600","140,253,895.8500","246,329,721.8000","409,544,339.1200","220,553,478.7200","439,098,956.3500","640,740,245.0200","909,167,158.1100","220,408,956.1500","453,866,152.5100","825,135,050.6500","1,392,523,686.1800","365,992,915.3800","570,324,423.8500","847,814,546.0200","1,310,524,656.3400","430,861,163.9200","695,829,403.0300","1,116,236,561.0800","1,938,871,134.7600"
"127","000532.SZ","电子","","","","65,050,651.0000","","41,250,496.0000",NA,"69,901,061.4600","","14,415,346.0000","","-16,209,092.7000","","-27,205,275.0600","","6,086,870.8500","","1,176,697.5600",NA,"6,543,917.7300","","-1,770,274.3200","","-148,039,629.3700","","279,195.8400",NA,"1,914,276.2800","","-12,741,225.1000","","-155,920,807.3900","","18,591,206.7700","","25,395,823.1700","2,164,130.6100","39,524,878.1300","41,218,881.1400","42,294,489.3100","1,848,841.8500","39,256,648.9500","45,981,880.9600","55,187,601.9900","8,977,703.5300","8,629,216.8600","12,040,028.2600","-8,203,569.8000","3,729,835.7500","311,133.5300","-457,147.4300","13,707,465.7900","6,282,882.0200","22,246,138.0900","19,522,681.9200","47,117,510.0100","13,253,050.7200","38,478,938.6600","53,618,516.6600","57,221,552.8900","-10,672,998.8600","-17,789,004.5800","-19,201,277.0300","-41,593,107.7600","20,121,124.6000","57,300,196.6000","64,310,359.2700","46,419,531.0600","477,676.3300","67,704.9400","29,289,149.9600","27,362,067.4200","2,991,882.8100","5,930,828.6100","24,332,036.4600","39,936,528.6000","8,151,173.3100","17,134,265.2500","29,684,406.9300","60,873,216.5800","8,742,266.4300","35,819,144.1800","54,713,485.8700","74,825,745.7900","5,881,107.7200","22,656,139.5800","29,080,408.8700","45,994,880.2300","14,009,286.8700","28,239,593.3600","40,800,520.0700","54,402,987.5200","10,426,888.5600","28,784,714.9300","39,855,166.7900","54,131,198.7200","9,254,577.9000","19,740,969.2200","33,133,029.0700","64,762,663.8000"
"130","000536.SZ","电子","","","","29,047,430.4000","","19,846,734.8900",NA,"31,301,812.9800","","7,524,600.3800","","5,788,460.9500","","1,352,961.2600","","-19,408,106.0800","","-5,635,871.0000",NA,"1,202,995.0300","","-28,837,359.3500","","-126,611,580.3900","","-18,309,926.5200",NA,"-50,997,125.8400","","-8,856,499.7400","","-44,506,510.9900","-11,603,260.7900","-20,341,581.5000","-28,718,300.0000","10,429,422.3000","1,352,800.0000","583,289.0700","-1,007,406.4800","-32,954,454.7400","-4,004,969.9500","-7,122,731.8400","-8,259,530.0500","-28,838,608.4600","-522,576.1300","5,029,595.1100","8,902,892.5200","13,319,895.5500","953,844.4400","3,318,694.4100","4,473,519.4500","1,698,227.7000","909,923.1300","2,309,453.9400","-2,072,289.5500","15,110,933.7700","-1,123,453.8300","16,563,928.2100","21,821,459.8800","19,610,260.2300","2,366,965.1000","5,558,938.0100","8,958,287.4500","6,526,731.8900","1,904,000.0000","57,110.8500","76,069.2300","7,147,521.8400","135,353,475.5600","225,103,844.3000","335,078,448.1500","467,516,353.0500","100,400,973.2000","180,808,521.3100","293,871,391.9000","461,081,069.2200","113,101,233.5700","183,754,344.1200","314,601,124.5000","361,585,782.1900","100,952,268.0500","255,605,762.9500","465,512,317.7100","527,387,879.4900","136,945,215.7300","227,820,673.0000","311,090,712.2800","374,065,420.8600","54,168,585.1100","73,918,734.8900","112,111,011.2700","200,599,868.7700","55,870,229.8200","389,341,490.3700","397,428,889.3700","380,723,198.4700","53,252,824.3900","67,731,156.7200","176,320,171.7800","198,474,445.1600"
"135","000541.SZ","电子","","","67,868,723.2600","94,716,548.1900","","78,321,985.5000",NA,"145,745,912.3100","","87,735,392.4300","","171,771,542.0300","","87,120,053.3800","","177,951,041.1300","","89,609,765.2900",NA,"136,392,907.5000","","81,273,222.7900","","148,623,968.5700","","86,913,891.7900",NA,"158,892,116.5000","","75,428,267.3900","","160,289,507.1800","","91,202,521.4800","137,024,352.1400","172,376,388.9000","53,428,326.2800","101,538,015.5200","148,722,595.2000","204,013,464.3800","53,380,523.9700","115,468,713.8300","178,720,279.2100","226,361,974.6300","59,820,525.6100","116,584,886.3200","180,608,270.6400","232,373,809.1600","60,148,834.2600","120,030,032.6400","176,715,319.9700","220,807,591.4200","53,745,630.0800","116,084,504.0100","165,895,603.1500","267,886,251.4000","124,215,455.2000","296,713,781.9100","385,352,024.7900","428,975,853.5600","-70,989,777.1100","161,258,888.0300","197,769,582.3600","225,446,451.1400","46,098,783.9000","80,265,342.8700","147,291,311.4200","226,236,846.2000","27,327,789.8300","81,334,783.6700","165,850,014.3400","271,097,445.9600","69,487,931.0600","122,222,209.5000","224,371,088.1400","297,273,941.3800","55,836,114.6000","133,749,788.2300","217,690,616.5100","400,229,859.2600","67,818,677.1100","152,984,477.0800","241,832,654.4000","252,284,967.8500","70,659,231.9800","187,228,634.4800","300,068,818.1500","266,665,952.7200","97,970,797.5000","96,515,596.9200","67,590,370.3100","37,684,725.3900","107,398,622.8900","206,612,262.2600","280,723,274.2900","1,073,256,393.7400","121,805,398.2100","231,884,976.2400","682,748,732.6000","745,820,319.2600"
"209","000636.SZ","电子","","","","2,979,123.0000","","",NA,"12,019,646.0000","","","","23,945,767.9100","","13,328,620.0000","","44,361,233.2000","","44,640,501.9100",NA,"71,283,713.7200","","55,527,475.4700","","124,910,914.9500","","113,214,619.7300",NA,"231,761,205.5300","","172,620,969.0800","","374,094,942.3700","","74,928,829.2900","","34,729,119.5800","1,732,300.0000","14,925,040.0500","32,141,810.3800","18,274,498.0000","6,914,429.8400","17,437,109.0000","25,706,497.1000","27,695,535.1900","4,463,275.1900","16,349,500.7300","28,703,073.7200","24,104,043.1400","933,097.2200","9,784,581.7800","16,272,645.1300","15,117,308.3100","17,371,444.8600","44,061,610.7800","54,243,474.1500","87,359,274.2200","53,692,507.2600","86,066,339.4400","162,060,938.9800","176,171,911.6500","-71,764,598.3400","-99,296,865.3500","-87,677,019.6600","-432,839,162.1700","-13,951,541.9300","593,240.6700","17,562,632.7500","55,710,523.1800","36,593,870.0300","121,512,924.0400","190,300,450.4700","222,239,515.4100","24,829,066.7800","81,032,785.2700","112,683,903.4500","165,063,163.2700","1,381,948.8000","52,952,900.3900","65,672,410.5100","70,278,190.9200","4,752,750.6000","38,215,832.5500","45,405,447.0300","88,839,613.5000","8,134,547.9200","40,466,605.8800","52,184,112.7900","95,111,396.3300","4,186,495.8400","42,011,128.5700","46,375,629.6300","64,780,471.4200","32,277,965.3800","84,928,242.8800","116,705,320.5900","93,413,944.7500","31,197,721.5300","117,307,791.5200","192,794,739.2200","262,039,119.7100"
"228","000670.SZ","电子","","","","","","",NA,"19,012,213.0000","","","","30,376,029.0000","","17,737,763.0000","","44,250,668.0000","","44,338,597.0600",NA,"92,434,603.4000","","45,208,061.0600","","103,767,131.2200","","42,179,976.3100",NA,"78,170,570.1900","","28,830,062.0500","","52,803,959.3600","","20,442,604.2700","","-64,812.2400","1,446,614.9200","-25,961,728.1900","-43,652,235.7700","-147,095,951.4500","-19,618,319.1100","-32,501,003.2400","-26,018,900.2100","25,949,388.8500","1,042,759.4200","535,367.7200","185,762.4600","-137,750,246.1200","-27,462,914.5200","-55,294,808.9300","-83,415,729.7000","-347,764,819.5600","-29,981,560.6300","-64,265,591.7000","-90,148,613.3500","-183,452,370.1900","-22,417,555.8100","-53,991,805.5400","-84,843,941.1400","71,449,170.8500","326,927.4100","6,471,333.6100","4,822,265.3100","5,604,608.2800","1,363,867.1300","1,907,759.1700","2,919,957.5300","6,751,662.9100","386,791.1200","1,636,125.4300","1,132,857.7100","11,184,387.0600","568,962.5600","6,107,084.5700","4,163,510.6800","2,148,049.1800","575,938.9200","1,299,862.0600","327,667.2900","2,447,331.2200","-3,989,624.2300","5,601,011.1000","5,917,684.0800","4,457,390.1400","-8,485,717.7900","714,044.4200","-14,662,617.4700","4,884,903.5700","3,220,883.6900","-30,589,022.1400","-26,530,658.3600","9,488,699.2700","17,268,874.9600","22,748,908.4900","16,098,126.0100","23,237,724.5500","4,722,567.2000","4,193,189.4900","-20,979,628.2700","-326,896,908.8300"
"252","000701.SZ","电子","","","","29,639,523.3600","","",NA,"24,738,324.1300","","","","27,945,229.3600","","","","38,636,096.4400","","21,784,377.9200",NA,"48,109,574.7200","","15,427,480.6300","","20,411,679.0000","","6,863,397.1300",NA,"11,506,215.8500","","8,112,820.2700","","7,213,618.4800","","114,829.4300","","-15,150,527.8800","1,580,562.2200","3,568,424.4700","6,702,183.1600","11,537,298.7500","828,301.1500","3,694,671.2300","6,236,182.0500","10,914,904.1200","8,853,428.4200","15,703,716.3400","23,988,451.3700","28,784,027.8500","6,193,233.2900","11,849,110.8500","13,461,818.9800","24,976,169.7300","8,317,107.7800","20,686,225.8400","30,165,291.0300","52,072,936.9300","12,262,225.5700","35,024,020.4900","47,737,410.2900","65,102,537.3400","17,750,633.9200","34,321,115.4700","38,888,888.3200","58,957,816.6700","24,653,374.9400","49,418,855.2300","58,949,957.5800","75,880,597.8300","31,885,607.0200","55,856,787.8800","74,677,048.1500","93,949,743.5200","30,218,054.8800","66,371,035.6100","87,464,106.3600","131,735,847.6400","47,707,319.7500","71,518,209.9700","149,313,043.6500","142,630,347.5300","49,840,886.1000","83,807,219.1500","296,839,961.1900","292,875,955.4000","44,163,699.2900","68,443,483.6800","104,573,879.3200","202,135,134.7700","45,880,811.2700","78,086,556.3300","90,318,649.5200","122,050,638.5400","36,818,653.3500","110,926,567.7100","100,494,352.1500","127,707,113.9000","59,550,679.5000","94,227,406.3200","137,309,314.8800","77,897,073.7300"
"272","000725.SZ","电子","","","","","","",NA,"100,586,000.0000","","","","107,761,000.0000","","","","114,435,000.0000","","72,491,000.0000",NA,"130,995,000.0000","","34,213,674.0400","","67,021,000.0000","","19,808,380.6500",NA,"96,289,841.0000","","65,304,257.0000","","147,599,652.0000","","76,850,102.7100","87,441,225.3100","104,043,937.0000","53,921,109.1700","113,852,385.0800","144,442,529.8000","169,036,322.0000","52,750,244.5200","192,715,030.0300","315,122,140.3000","439,261,704.0000","293,147,285.2000","544,147,642.4900","505,511,676.5700","287,757,476.0000","-441,015,307.0000","-966,928,629.0000","-1,310,612,038.0000","-1,496,090,749.0000","-499,605,572.0000","-1,741,903,770.0000","-2,606,904,023.0000","-1,786,950,861.0000","-118,101,845.0000","36,312,079.0000","562,830,280.0000","897,106,952.0000","379,964,211.0000","627,370,921.0000","103,304,631.0000","-996,771,096.0000","-517,014,063.0000","-919,127,940.0000","-941,173,925.0000","-65,263,893.0000","-332,005,970.0000","-617,679,176.0000","-1,147,678,976.0000","-2,268,032,806.0000","-740,854,006.0000","-1,326,538,316.0000","-2,311,681,216.0000","693,677,317.0000","-710,533,688.0000","-1,077,106,680.0000","-923,113,036.0000","184,383,068.0000","400,128,827.0000","1,165,280,769.0000","1,812,545,397.0000","2,972,129,191.0000","689,686,375.0000","1,162,898,767.0000","1,993,913,172.0000","2,715,913,970.0000","977,243,916.0000","1,953,153,768.0000","1,988,794,041.0000","1,638,109,932.0000","102,420,165.0000","-587,503,568.0000","158,119,196.0000","2,045,170,759.0000","2,604,866,868.0000","4,594,562,005.0000","6,794,028,374.0000","7,860,411,559.0000"
"274","000727.SZ","电子","","","","","","",NA,"41,186,581.8900","","","","46,484,950.0400","","","","44,609,862.5900","","42,579,197.4900",NA,"53,477,227.0700","","42,431,496.2100","","59,193,210.9600","","21,141,355.4000",NA,"46,007,817.6600","","49,863,431.9000","","104,735,562.6800","","36,804,968.5600","","56,246,225.5700","10,886,872.5500","38,229,229.1000","46,450,432.9400","61,120,298.8700","1,783,356.2800","23,609,733.9600","-7,924,407.6400","-11,413,898.9800","3,435,127.9300","10,268,515.6800","10,517,349.3800","10,866,838.9700","-10,580,128.7600","-17,805,530.7700","-39,053,624.9400","-194,225,037.8700","18,551,038.0800","4,941,635.5100","-3,987,640.0500","-3,224,775.6900","2,699,196.2600","19,173,421.7100","44,044,322.3200","-445,261,322.8400","12,666,909.9300","22,033,975.7300","18,212,985.7700","16,245,239.7500","-28,639,505.5800","-34,998,973.8700","-46,129,932.3600","7,356,324.5800","-21,408,502.4400","-14,213,152.7500","-6,059,969.1000","-38,978,288.3200","-13,572,339.5500","-15,558,870.1500","-28,200,088.7100","-16,284,963.3000","-34,756,540.0500","-46,818,911.0400","-59,673,652.5800","-72,463,466.7400","-35,104,226.3400","-66,740,101.6100","-86,250,398.4100","-14,520,979.5000","-6,811,616.2800","8,135,311.5700","11,741,941.7500","14,885,481.6900","-10,200,295.2800","-9,843,965.4700","-20,427,337.4600","17,357,657.2000","-29,124,568.4200","-32,249,876.7200","-49,762,338.5500","83,454,880.7800","-413,417,346.9800","-328,288,820.9500","-384,247,003.4600","62,675,566.0400"
