"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"257","000708.SZ","钢铁","","","","134,897,400.0000","","",NA,"145,559,400.0000","","","","106,825,500.0000","","","","111,137,063.2200","","84,279,715.8500",NA,"148,480,316.0200","","54,753,363.6000","","70,062,510.7500","","45,520,163.5500",NA,"27,564,350.2500","","14,428,479.4200","","13,666,780.6600","","14,183,418.2800","","15,685,589.8000","6,359,146.0400","12,155,131.2600","12,553,011.2000","-261,932,588.0000","10,901,735.0200","21,443,150.7600","48,019,500.0300","-42,719,149.0000","8,348,502.6100","41,340,682.0000","43,365,846.8800","27,014,555.0000","1,287,428.0000","33,150,735.0000","48,031,897.0000","80,367,507.0000","46,889,305.0000","196,358,556.0000","256,485,384.0000","317,659,280.0000","77,966,570.0000","171,069,285.0000","246,776,209.0000","323,626,851.0000","84,595,006.0000","209,457,050.0000","293,567,893.0000","200,880,836.0000","30,382,758.0000","112,028,198.0000","204,171,812.0000","332,790,958.0000","144,174,224.0000","293,218,541.0000","414,916,929.0000","561,883,303.0000","159,554,009.0000","317,731,923.0000","448,683,827.0000","584,931,442.0000","81,996,845.0000","188,751,068.0000","206,799,842.0000","218,220,885.0000","55,838,076.0000","110,909,502.0000","167,302,404.0000","201,661,490.0000","45,330,240.0000","131,636,534.0000","225,789,201.0000","268,057,028.6500","59,868,868.7800","138,772,913.9800","205,707,106.6300","270,392,922.2700","56,818,677.4200","145,637,207.4000","213,973,783.2800","292,680,656.7300","65,281,051.5800","189,328,369.6200","278,516,753.6800","394,900,713.8100"
"258","000709.SZ","钢铁","","","","","","",NA,"634,638,000.0000","","","","340,232,000.0000","","","","427,257,000.0000","","246,769,020.8400",NA,"503,406,913.8500","","255,338,773.7600","","513,440,776.2600","","262,025,446.6100",NA,"535,092,971.1400","","339,198,994.0200","","592,538,885.4600","","336,796,226.4400","","732,812,406.5600","136,741,774.0800","308,280,210.5700","475,756,872.3900","582,536,553.3000","179,239,403.8800","336,738,597.7700","599,738,915.7900","884,483,218.8900","300,535,538.4400","508,937,755.9000","861,875,620.9100","1,325,475,127.6900","354,771,158.3400","646,371,848.6000","848,866,253.0900","1,107,861,319.0800","104,602,740.4400","672,717,926.8600","1,140,762,525.2400","1,409,425,711.1100","519,148,854.6500","1,288,869,993.3600","1,922,726,335.2700","2,426,050,910.7000","783,994,922.7400","1,913,147,218.9600","2,606,366,079.9800","2,062,941,029.9500","76,333,162.9400","80,320,730.1000","334,661,319.5700","1,004,271,975.7600","414,250,695.2800","732,499,976.6500","1,060,898,884.4100","1,484,293,427.9000","412,373,180.1400","856,268,503.3600","1,044,269,053.1600","1,452,653,238.7200","354,733,851.1100","400,129,168.6100","375,501,577.2000","138,908,944.6100","32,931,510.3800","70,992,658.8000","129,400,552.1500","137,128,173.7300","178,818,229.9600","357,137,828.0800","526,156,600.7800","717,290,973.6000","160,989,060.2300","301,464,458.5600","392,172,792.2200","401,751,758.3900","70,468,864.5200","371,233,267.0300","857,720,751.6600","1,429,754,080.0900","673,688,626.0400","1,293,163,004.9800","2,329,772,140.5300","2,125,843,391.3300"
"265","000717.SZ","钢铁","","","","","","",NA,"171,091,462.0000","","","","93,292,053.0000","","","","112,998,520.0000","","89,496,723.5000",NA,"176,043,021.0000","","73,547,949.0000","","181,617,885.1700","","64,684,108.9000",NA,"183,234,075.9100","","83,589,643.7900","","225,299,369.4800","","127,750,940.7300","","258,683,423.6400","53,389,768.2200","144,221,582.3500","246,120,576.7500","349,079,804.9300","222,013,350.4500","404,893,121.5200","638,571,014.0600","981,728,134.9000","277,666,607.6200","740,405,359.3900","826,551,529.8200","948,255,922.6900","210,657,076.8800","376,971,064.0500","386,538,246.7700","136,216,530.9400","30,578,225.0200","278,929,293.9300","378,010,469.8800","423,974,533.0200","95,926,034.6600","460,740,841.8600","636,418,910.9100","827,378,272.0000","152,661,911.0600","442,841,855.8600","484,531,457.7600","-1,611,496,599.3300","-168,822,419.8000","-217,559,000.0100","39,451,980.8300","92,696,033.1200","50,394,447.2200","116,592,315.8900","-54,378,614.8100","20,944,952.0700","26,574,836.7700","61,998,441.6900","20,843,070.6200","-1,138,215,621.8200","-331,969,183.6900","-783,075,093.8600","-1,500,735,864.9700","-1,951,594,613.8800","34,550,277.4800","10,975,305.8500","108,150,078.4400","101,470,312.0700","-314,379,411.7200","-735,959,274.0600","-863,320,944.9000","-1,388,271,755.6800","-430,958,496.5100","-880,029,060.6400","-1,783,319,958.9400","-2,595,500,516.9900","-231,093,382.0900","-228,823,567.3200","-112,713,283.5100","101,427,310.0500","168,158,813.1900","649,647,813.7000","1,750,262,407.5400","2,516,547,383.1100"
"295","000761.SZ","钢铁","","","","","","",NA,"334,838,447.0000","","","","287,200,778.0000","","","","375,363,415.0000","","190,575,000.0000",NA,"381,312,773.0000","","159,191,776.4200","","297,564,768.0000","","176,432,750.6400",NA,"332,663,357.0000","","204,916,866.0000","","349,806,924.0000","","162,239,964.5200","","274,844,180.0000","35,000,000.0000","163,021,623.9200","242,253,401.5500","384,915,214.0000","84,942,184.0000","195,538,866.0000","253,421,967.0000","524,724,466.6200","103,414,884.6700","198,933,941.1600","321,370,395.8600","732,062,544.1900","194,824,360.8700","521,248,064.0500","540,158,975.7200","632,216,696.8900","102,452,896.6700","301,318,703.5900","894,212,535.9600","1,625,954,120.5100","314,569,075.3500","904,777,735.8300","1,232,538,470.5300","1,592,000,891.2600","402,286,898.6700","1,015,441,808.4700","1,416,335,499.6700","165,089,865.3500","43,834,535.9000","-909,886,400.3900","-1,433,242,891.1800","-1,545,191,032.3700","372,266,276.5400","688,606,765.0400","860,121,829.7200","925,322,043.8200","304,872,807.6300","595,356,626.0400","779,568,858.9700","795,550,459.1800","87,917,946.7100","144,895,281.4600","129,392,093.3500","69,455,538.1200","102,075,684.7400","166,135,357.6000","276,793,083.0300","279,444,735.2600","117,795,716.1500","189,169,492.7800","243,387,603.6800","314,873,152.1600","100,955,775.0400","144,984,682.5900","174,355,799.2500","-3,240,928,357.2400","46,834,425.1500","206,295,737.8700","617,660,162.5300","825,479,406.6500","306,484,786.8800","529,967,744.0500","1,341,858,908.8100","1,609,390,707.7300"
"302","000778.SZ","钢铁","","","","","","",NA,"175,354,294.0000","","","","151,782,146.0000","","","","143,090,904.0000","","82,028,730.4800",NA,"174,665,135.6800","","86,719,773.8200","","197,844,796.8500","","120,091,324.7100",NA,"244,817,945.1100","","152,941,701.0300","","301,677,273.8500","","187,953,082.1100","","424,356,172.7700","125,772,534.0000","243,830,385.0600","348,784,905.1400","470,444,898.7500","130,157,739.5600","295,926,267.3100","485,441,542.9600","607,243,696.9200","191,167,847.9300","370,594,562.6400","546,214,113.0600","716,930,046.1500","233,261,785.8500","375,794,869.5900","510,747,135.4400","617,022,952.9500","154,645,152.6700","310,148,005.2000","435,498,424.8000","569,796,250.9800","181,507,074.1200","388,246,737.9000","547,006,220.5800","744,204,054.8600","221,411,849.2100","515,126,070.4300","725,404,179.2400","730,234,438.2800","194,421,244.8300","626,695,630.9100","978,710,603.2400","1,051,444,959.8600","336,318,583.2400","766,876,103.0900","1,141,565,223.7300","1,544,522,079.5400","445,647,011.1200","948,503,482.0800","1,389,735,096.0900","1,754,544,914.6700","453,877,433.4700","855,917,064.2000","1,007,823,796.3800","1,516,039,938.1100","388,336,182.3200","493,569,601.1700","560,320,817.3900","1,083,547,429.3400","238,629,739.9700","429,483,500.7400","569,280,233.3300","556,719,787.8500","13,864,459.0700","272,426,112.6300","199,132,368.5200","467,035,610.2500","10,787,763.5500","198,367,446.9000","244,701,511.1000","450,495,210.0800","220,969,102.4700","474,970,947.5900","789,624,003.5100","1,065,633,315.0700"
"339","000825.SZ","钢铁","","","","","","",NA,"","","","","160,413,602.0000","","","","133,789,194.0000","","",NA,"122,279,845.0000","","","","198,819,218.0300","","131,820,471.8400",NA,"291,017,128.0400","","153,205,630.7500","","300,595,570.0700","","173,077,236.7300","","311,314,849.3900","65,377,324.5900","159,882,267.8600","251,002,132.6600","329,642,263.9800","99,855,891.2600","252,824,792.3800","458,752,703.5900","689,059,947.1300","253,893,205.3000","487,471,335.4800","743,184,033.8900","1,096,509,369.3000","321,333,895.4800","566,785,763.2800","756,427,660.4100","830,660,447.8500","147,987,706.9300","719,490,825.5300","1,436,545,223.9400","2,534,006,070.4700","1,257,178,181.9300","2,810,251,739.2400","3,687,130,360.7000","4,371,101,461.5300","937,198,999.5900","2,180,274,430.5000","2,611,412,945.6500","1,220,607,726.0100","-717,904,099.7600","-698,661,146.4600","21,177,935.1300","895,156,034.2600","448,063,999.8300","826,617,124.6700","997,716,162.5300","1,371,964,350.2100","447,115,995.1500","848,340,953.8000","1,252,707,560.0500","1,789,414,519.6300","145,411,553.3400","322,393,993.6700","609,883,757.3400","998,638,039.1900","200,660,594.3300","241,459,087.4200","334,031,125.5200","499,177,918.4300","113,449,316.8000","263,469,709.8100","414,518,927.0200","277,619,436.1800","1,210,694.5800","26,051,771.8300","-827,963,912.9700","-3,826,318,686.9300","-575,035,273.2700","242,137,101.3800","750,948,033.4100","1,021,774,671.9300","287,018,087.2000","674,773,037.0300","2,063,726,182.4000","4,368,599,683.7900"
"382","000898.SZ","钢铁","","","","","","",NA,"382,012,000.0000","","","","201,550,000.0000","","","","441,452,000.0000","","248,265,000.0000",NA,"510,700,000.0000","","104,604,000.0000","","123,775,000.0000","","69,034,000.0000",NA,"291,261,000.0000","","231,618,000.0000","","489,749,000.0000","","196,580,000.0000","362,273,000.0000","403,743,000.0000","57,786,000.0000","190,920,000.0000","386,060,000.0000","594,588,000.0000","263,907,000.0000","620,390,000.0000","905,287,000.0000","1,432,579,000.0000","280,903,000.0000","695,985,000.0000","1,194,824,000.0000","1,776,337,000.0000","603,904,000.0000","1,222,200,000.0000","1,713,358,000.0000","2,079,485,000.0000","1,131,000,000.0000","3,109,000,000.0000","5,247,000,000.0000","6,845,000,000.0000","2,394,000,000.0000","4,804,000,000.0000","6,567,000,000.0000","7,525,000,000.0000","2,443,000,000.0000","5,980,000,000.0000","8,253,000,000.0000","2,989,000,000.0000","8,000,000.0000","-1,563,000,000.0000","330,000,000.0000","686,000,000.0000","1,152,000,000.0000","2,759,000,000.0000","2,530,000,000.0000","1,950,000,000.0000","47,000,000.0000","144,000,000.0000","122,000,000.0000","-2,332,000,000.0000","-1,936,000,000.0000","-2,080,000,000.0000","-3,335,000,000.0000","-4,380,000,000.0000","526,000,000.0000","688,000,000.0000","750,000,000.0000","755,000,000.0000","286,000,000.0000","577,000,000.0000","922,000,000.0000","924,000,000.0000","18,000,000.0000","151,000,000.0000","-894,000,000.0000","-4,600,000,000.0000","-615,000,000.0000","297,000,000.0000","967,000,000.0000","1,615,000,000.0000","1,077,000,000.0000","1,831,000,000.0000","3,297,000,000.0000","5,612,000,000.0000"
"411","000932.SZ","钢铁","","","","","","",NA,"","","","","","","","","307,955,229.5600","","",NA,"313,836,421.1400","","","","308,138,117.3500","","203,068,285.9100",NA,"311,207,245.5400","","127,478,221.8600","","393,643,963.1000","","231,263,915.5400","374,100,380.0600","534,259,247.1500","115,454,376.9500","284,186,760.2200","432,700,082.0300","587,016,937.7300","177,174,612.0700","408,147,873.7300","616,177,450.3800","839,746,016.1800","286,596,481.8300","549,411,420.4300","781,441,499.0600","1,145,860,254.0500","413,586,665.9700","752,345,172.9600","804,138,399.6200","718,794,719.8000","97,538,505.4100","416,595,505.7900","789,789,020.9000","1,400,411,886.5000","355,263,125.2600","834,603,422.7100","1,311,351,240.0100","2,059,716,895.1300","-330,284,936.6400","801,698,144.5900","1,276,364,349.3300","1,090,437,297.1200","-405,264,723.9300","-588,001,651.2500","-300,678,669.6400","103,777,060.0500","-303,545,011.6900","-432,449,896.9600","-1,513,546,980.5600","-2,740,394,150.7900","-214,716,193.6400","-217,390,411.4600","-192,176,209.9200","73,128,415.3000","-781,043,205.1700","-1,416,442,632.9100","-2,706,577,337.3400","-3,463,224,202.2800","-391,189,662.7800","-388,548,309.3100","-264,990,295.7100","147,466,525.8700","-187,490,063.6900","40,134,675.0700","79,336,095.1300","146,555,205.3600","-229,260,676.6600","-220,087,005.5400","-1,514,430,600.4400","-4,019,117,057.3900","-1,159,885,976.1300","-1,376,253,477.6800","-1,619,525,889.5300","-1,552,929,370.7800","353,808,881.6100","1,186,107,359.3000","3,311,982,379.9000","5,296,260,073.8000"
"427","000959.SZ","钢铁","","","","","","",NA,"","","","","","","","","563,178,247.8000","","",NA,"608,412,172.8500","","","","844,344,269.9800","","349,415,540.2500",NA,"721,610,405.5900","","398,244,860.9800","","758,917,230.0100","","399,476,955.3300","","708,401,681.6000","252,536,700.0000","424,665,903.6700","584,443,800.5900","684,107,300.5400","148,795,882.3500","329,140,133.1000","611,493,313.3700","831,008,440.4900","262,727,635.9100","485,176,124.8000","802,423,892.8600","1,061,546,689.6000","278,710,673.1900","472,550,373.7100","733,569,295.9700","752,863,678.3500","81,541,601.8700","277,803,375.1200","424,427,971.8200","437,540,591.5100","131,872,564.8900","371,753,535.7300","522,422,549.4200","609,827,599.0500","197,134,805.6900","550,565,411.1400","567,439,345.3900","354,300,378.7100","48,445,991.0300","35,964,913.0900","351,495,670.8900","304,058,550.1100","64,394,354.5100","69,580,177.6700","258,057,904.7800","232,429,559.4400","19,218,882.8700","221,128,537.6400","14,847,243.8300","-194,949,640.7600","-204,264,093.5600","-466,117,286.9900","-485,027,225.6400","-534,646,770.1600","-190,801,943.6100","-328,008,831.3100","-484,328,625.9300","-341,893,944.3000","-11,100,570.8400","-35,021,457.3400","-58,575,027.8500","-28,561,508.8700","-372,956,800.3000","-363,095,325.5700","-826,448,972.6300","-1,476,231,988.9700","-540,947,042.8200","32,931,659.4300","209,722,120.3300","471,632,510.9600","780,622,770.4300","1,301,825,178.0500","2,470,414,974.6800","3,107,401,826.6200"
"539","002075.SZ","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","16,971,012.7600","","","","30,537,729.0900","","","21,279,019.0100","36,252,208.2800","6,071,017.1700","29,034,126.4900","35,465,662.7400","48,179,424.8500","14,020,126.8600","30,839,955.5900","36,024,400.8100","-182,111,960.1200","-62,904,518.3000","-96,164,666.5200","-148,480,737.8700","-516,397,707.5100","-35,628,950.7300","-85,429,426.0500","-140,718,144.8100","-163,230,121.2200","-41,973,279.4500","-21,014,104.8100","-71,598,891.1600","734,257,239.1200","185,914,079.6000","333,313,574.0400","498,781,048.0900","539,474,324.7300","23,550,068.3200","53,239,960.6900","-55,585,833.5400","14,499,506.3700","5,713,948.0400","12,474,090.0300","25,712,697.5600","40,886,861.5400","7,403,579.8000","73,795,692.9600","103,709,633.3900","69,483,234.9300","9,894,090.6200","-51,659,810.1800","-90,378,620.1700","-129,434,753.5200","5,461,963.8100","126,285,123.9900","250,543,469.9900","434,182,533.0400","213,371,355.0000","402,365,728.6700","748,513,151.7600","1,416,704,376.4000"
"574","002110.SZ","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","693,432,375.5800","","","","444,473,030.6600","","","128,990,026.7700","147,914,681.2600","51,151,960.5800","189,656,395.7900","300,903,027.6500","371,224,433.0600","101,627,504.5200","211,134,073.3700","308,458,199.1800","499,380,330.0200","193,957,155.1300","531,036,962.1000","562,794,175.0000","34,840,816.8700","-151,206,970.9900","-283,534,399.6200","4,172,242.4000","42,270,512.0400","43,051,592.1100","72,765,204.0200","79,197,006.9200","109,943,441.8300","57,803,853.4300","151,419,761.1200","247,679,186.4700","253,258,594.6300","3,379,556.8000","15,326,333.3000","-266,135,120.0000","-215,436,447.1500","25,284,108.4500","-30,994,863.9400","-13,427,653.0000","53,898,311.5700","-46,559,788.6100","-43,128,437.3700","-18,948,436.5100","31,952,705.4400","-175,636,773.6600","-269,144,792.7800","-648,189,284.5700","-928,636,422.4000","43,187,546.5600","360,335,124.0200","523,511,841.4700","926,534,702.3500","407,639,926.6700","1,080,587,197.7000","2,476,353,522.1300","3,989,725,330.1400"
"781","002318.SZ","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","48,660,558.6600","","","","90,600,082.4000","","","78,693,392.4600","89,499,437.3300","20,368,305.7600","58,169,256.0900","85,315,465.9600","103,989,095.8800","16,861,864.5700","42,462,752.7700","63,276,072.0400","83,412,131.9600","24,210,517.6800","67,221,249.1500","101,865,538.5700","121,197,886.6600","30,308,438.0500","75,629,483.5800","127,942,385.7700","160,842,888.4200","45,522,530.3200","103,701,365.5400","172,872,103.2900","220,799,792.4700","50,086,469.1200","105,641,526.1500","162,998,717.9500","187,219,001.1700","29,845,764.2300","71,045,963.3800","113,748,848.6400","112,874,149.7800","23,318,357.5800","60,992,844.3000","103,893,142.7500","158,648,078.2700","23,350,304.6100","65,394,914.5500","105,899,558.8400","128,706,429.7700"
"906","002443.SZ","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52,874,043.8700","","","","86,122,397.0500","20,677,516.8500","48,570,672.4700","70,659,542.4000","102,804,614.3800","20,539,533.5600","44,463,157.2200","57,150,735.4200","74,202,695.2800","12,992,237.4300","29,443,492.9900","49,848,509.7500","62,290,940.4500","16,527,022.1800","48,467,115.7800","74,433,027.9900","100,309,336.1400","24,692,392.8200","64,089,819.9600","92,785,213.7900","109,986,950.1500","9,005,026.8600","36,395,505.1600","50,171,996.7000","71,206,687.6200","10,966,948.2500","52,273,163.9400","76,009,972.4100","90,333,713.3500","9,498,048.7000","49,096,291.2800","38,072,282.0400","61,812,497.2700","6,345,710.8900","39,337,737.8600","108,851,827.1500","165,754,462.1200"
"941","002478.SZ","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164,391,393.0100","","","","327,541,143.7500","","","190,906,494.2800","245,929,193.5300","37,806,170.7400","103,843,063.5300","171,567,496.5400","233,842,168.1300","49,292,776.0300","116,890,479.3800","203,568,332.4300","292,501,101.9900","50,456,431.8100","103,007,097.2400","172,782,980.7700","230,335,187.6900","51,001,359.8200","108,516,913.4300","202,976,133.2600","259,159,532.3800","60,106,869.1500","126,261,868.1200","214,439,227.9400","282,709,848.5700","50,320,216.8100","101,394,014.2500","176,068,032.4900","225,760,312.3800","31,937,390.1200","66,601,918.6500","100,703,212.7200","129,541,644.9600","25,894,555.2600","70,138,186.2300","106,381,825.3900","160,390,857.3400"
"1213","002756.SZ","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","72,954,532.0100","","","","147,143,474.7900","","","","268,770,538.5200","","96,039,407.3000","","201,361,838.7300","","","","237,987,063.7300","","","","231,668,971.8800","","","","226,062,790.2100","","","","231,731,775.7700","55,019,932.2100","153,517,052.2000","219,615,283.2700","264,135,464.8700","51,564,461.8900","122,163,357.7400","189,087,013.2000","221,595,229.0500","53,691,658.7500","132,374,335.1200","205,637,291.1100","253,604,980.4200","65,098,892.2900","166,574,505.8600","260,387,094.3600","351,419,352.0100"
"2120","600010.SH","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"259,225,566.1300","","","","241,622,024.1400","","",NA,"251,711,645.8800","","146,055,849.5400","252,982,556.6100","288,891,610.4300","","173,422,692.8600","238,019,711.7400","256,658,839.9600","55,593,509.1100","135,364,843.4800","210,113,480.6700","305,433,330.6000","85,942,050.4300","203,992,860.3100","321,713,705.6100","565,552,987.5600","116,590,007.5800","431,544,027.2300","665,609,348.6100","878,093,249.0300","262,034,889.6300","724,988,346.5100","1,007,641,297.9600","1,006,419,202.0700","89,753,355.0400","310,289,953.0100","494,740,169.1300","667,225,105.8900","198,011,649.6500","453,731,159.0800","1,040,050,723.9700","1,746,451,736.5500","514,609,538.9900","1,105,184,061.5200","1,253,959,224.9000","920,343,068.2700","-113,390,900.9100","-747,517,049.7600","-328,884,044.1100","-1,629,814,262.3300","51,108,094.3700","376,041,742.8800","506,109,187.1700","196,787,453.4700","100,761,393.1200","367,604,701.8200","638,845,893.3800","496,551,541.7100","10,729,888.5700","69,710,838.3700","80,489,332.0900","258,204,205.4900","93,560,560.8700","102,015,468.1600","149,048,188.8000","248,673,284.4100","-15,377,452.8800","26,078,870.1200","45,350,274.6700","201,308,705.2400","5,670,516.8500","-464,922,049.6400","-1,342,761,015.2800","-3,302,333,117.2800","-559,411,716.0000","11,098,141.7400","213,400,952.3500","85,133,705.1400","196,481,510.8100","578,922,903.8800","1,404,836,115.2000","2,050,900,701.0700"
