"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"75","000400.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7266,NA,NA,NA,41.8496,NA,10.8956,NA,20.4651,NA,6.0498,NA,14.7695,NA,11.143,NA,18.6574,NA,5.8164,NA,14.972,NA,6.0687,NA,11.9612,1.0133,5.3303,"7.6658","10.0559","1.0210",4.9366,7.3976,"10.2977",1.0168,"4.6202","7.0520",8.1185,0.8422,3.4281,5.2285,"6.2707","0.5997",3.1756,"4.0475","6.6201",0.6012,"3.4531","3.9256","5.5877",0.4802,1.973,"2.6719","1.7929","0.3569","2.6459","3.7960","5.9280",0.4404,2.9987,"3.8617","6.2821",0.4381,3.0147,3.8691,"6.3458","0.5314",4.2193,5.3914,"12.4635",2.4059,6.3149,9.7865,"17.1671",2.4631,"7.6676",14.0232,23.7167,0.1861,"1.3198","2.8948","12.0511",0.5686,1.7407,3.8453,"13.0192",0.7013,2.2639,4.209,"8.3884"
"167","000585.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,16.8468,NA,7.006,NA,13.2612,NA,2.1409,NA,5.4047,NA,2.1747,NA,5.2789,NA,2.0817,NA,0.4577,NA,0.2591,NA,-10.2098,NA,-1.4313,NA,-27.1724,NA,-9.8505,-18.0934,-110.2086,-2.9783,9.0601,"9.6763","15.8890","0.2951",0.7731,3.2757,"4.7238",0.3387,"1.2860","1.6650",0.3355,0.6972,1.1267,1.486,"3.0138","0.7648",1.1923,"1.4990","3.6272",0.9504,"0.0904","-0.6580","-51.8404",0.0472,0.1044,"-0.6204","-17.3795","-2.7768","-3.3706","-3.9040","2.4362",-2.3758,0.1659,"-2.5786","-2.7467",4.7851,6.3747,4.9687,"-11.3892","-3.1925",-7.1516,-4.1899,"4.1848",-0.4104,-0.165,-0.533,"3.5856",-1.2502,"-0.6297",-0.3133,2.1804,-0.9328,"-0.5471","-0.3167","1.6919",-1.5847,-4.5159,-8.1496,"-39.8153",-8.0185,-10.3453,-14.7114,"-19,098.3197"
"172","000591.SZ","电气设备",NA,NA,NA,10.0361,NA,NA,NA,7.188,NA,2.452,NA,8.6086,NA,3.2469,NA,15.4702,NA,5.0199,NA,11.9094,NA,4.4167,NA,17.387,NA,8.3221,NA,12.5598,NA,5.0434,NA,13.2176,NA,5.4848,NA,11.9339,1.8662,3.1298,"3.2213","7.5851","1.7874",3.2523,2.4868,"4.0837",0.9608,"1.7358","2.3895",5.3485,1.235,1.8554,2.5337,"4.7303","1.2062",2.1271,"3.4046","5.6624",1.5344,"2.8427","3.0588","6.2385",1.6583,2.3903,"7.2588","6.1756","1.5008","4.0459","5.4297","5.6927",1.3867,3.6702,"5.6595","4.6272",1.8517,4.6224,4.5454,"2.7014","1.7840",4.6877,6.4784,"7.6323",1.8224,4.4425,6.0467,"7.6293",1.6644,"4.0963",-0.3001,0.9101,2.555,"4.6689","0.2728","14.7281",0.4811,2.6081,4.7766,"7.5440",0.6606,3.4302,5.9227,"6.8788"
"238","000682.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,25.5685,NA,NA,NA,27.1384,NA,7.9716,NA,24.5922,NA,16.3244,NA,30.2154,NA,22.6913,NA,40.9023,NA,21.0592,NA,40.1068,NA,17.8884,NA,37.7954,NA,16.5011,NA,6.459,-5.5998,-12.1827,"-17.6875","-75.0747","1.1556",2.037,3.2613,"1.4136",0.2502,"0.4003","0.6216",0.9263,0.1372,0.4771,0.7424,"1.1755","0.1263",0.4904,"0.8605","0.1669",0.1526,"0.6808","1.1702","1.4048",0.1826,0.7634,"1.2974","1.4473","0.2193","0.7942","1.2190","1.6204",0.2547,0.7888,"1.2099","1.4983",0.174,0.524,0.9638,"1.5983","0.2150",0.6143,0.9592,"1.7735",0.2915,0.8762,1.3503,"2.5793",0.3039,"1.0642",1.4476,3.0507,0.371,"1.3369","1.7080","3.3749",0.3785,1.4863,1.9171,"3.8739",0.5093,1.5993,2.1236,"3.8339"
"324","000806.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5124,NA,NA,NA,32.5836,NA,NA,NA,22.7412,NA,4.6988,NA,14.3052,NA,6.2875,NA,16.7507,NA,13.4483,NA,26.0741,NA,14.2541,NA,22.6661,1.2974,4.9041,"6.6547","8.7917","1.8300",6.4818,8.5097,"7.9912",2.7312,"6.1744","8.6257",0.5976,1.8385,3.2577,4.9206,"0.0763","0.3539",0.2242,"0.4382","-13.0634",1.5646,"0.7144","0.6924","0.8697",0.6227,-1.7532,"-3.0795","-15.2342","12.3263","6.2683","4.4216","3.5395",0.1159,0.2746,"0.0630","-6.7837",-1.4745,0.2446,0.0919,"-19.5836","-1.5254",0.8421,0.6764,"2.9238",0.1336,-2.0012,-1.6457,"1.4581",-2.8992,"-1.5644",0.8576,3.1534,2.1824,"7.0656","7.2870","7.2402",-0.6284,0.3206,0.1742,"0.6363",-0.6485,-1.0363,0.1234,"0.4940"
"402","000922.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4532,NA,NA,NA,-6.4498,NA,8.2306,NA,-10.8013,NA,3.6809,NA,7.4627,NA,4.936,NA,7.1747,2.8217,5.3164,"5.8704","-9.7436","1.1294",3.0051,3.346,"1.5371",0.6949,"2.3763","2.5113",0.4334,-0.8763,-2.8389,-3.9665,"-32.5232","-7.5254",-13.8608,"-19.1558","-21.1905",-6.8167,"-11.7863","-18.2798","3.7125",-3.9338,-4.6707,"-8.9297","-36.5498","-7.0217","-13.9737","-32.4291","-59.1847",-8.9778,-25.0121,"-24.1429","4.6968",-12.5313,-27.9387,-50.6569,"-88.6569","-153.6882",15.7214,22.0573,"27.0392",2.1497,5.1738,6.5885,"0.7973",2.6258,"6.6247",9.1757,-1.9555,-1.2178,"-2.2898","-7.6586","-12.4635",-1.6177,-13.1683,-15.8476,"-26.4341",-0.5158,0.3835,3.6172,"8.0667"
"492","002028.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","30.5250","",NA,NA,"36.3067",NA,"15.2336","12.4304",20.3805,2.4177,6.8133,13.1383,"20.7185","2.7939",7.7829,"15.3180","28.3731",3.2264,"4.1067","9.4827","22.7333",4.4072,8.36,"13.5494","17.6236","4.0928","8.6801","14.1158","34.9863",5.1225,8.1673,"12.3812","19.4902",0.7489,2.3349,3.4086,"5.5155","0.1611",2.7475,5.3233,"8.9853",0.8617,3.6637,6.7235,"11.4101",0.2687,"4.2253",9.7627,13.4593,1.4763,"3.9045","6.4368","10.2044",1.2374,3.6649,5.9575,"8.6560",0.4064,3.4214,4.3312,"5.8213"
"522","002058.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",28.0853,NA,NA,NA,"14.3722","",7.6346,"5.1396","6.1886",0.2004,"3.1099","5.0482","6.7214",0.828,2.359,"5.0112","5.1263","-1.2538","0.8408","2.3984","4.5027",-0.1372,2.0657,"4.7626","7.3434",0.316,3.307,5.8011,"7.0451","-1.3721",-0.4899,1.4107,"2.6669",-1.4579,-0.321,0.5139,"3.0987",-1.1192,"-0.4645",0.3174,2.9971,-2.2348,"-3.3764","-4.2345","-5.8784",-2.9631,-1.176,-0.1991,"2.8341",-2.3723,-2.5071,-1.1807,"1.5012"
"538","002074.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",23.1479,NA,NA,NA,"12.2984","",9.9232,"9.1767","12.1437",1.7221,"4.7610","7.8075","10.2925",2.5732,7.5328,"10.8328","11.4525","1.6714","5.0527","7.6043","9.1500",1.6391,5.1762,"7.5992","6.9694",2.1194,7.8024,10.5459,"8.7007","2.6485",9.0608,10.3249,"8.4471",2.6325,7.0241,7.1677,"6.4082",2.2954,"4.3920",5.7286,7.8279,1.8627,"13.8532","20.3792","33.3010",9.6559,16.5596,22.1717,"29.6598",5.0029,10.8177,15.181,"13.7761"
"554","002090.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",27.426,NA,NA,NA,"30.5210","",17.3434,"23.3925","17.5004",2.0999,"6.4612","8.9377","12.1305",2.4313,6.4491,"9.6198","11.7471","2.1439","5.7581","8.4691","11.2626",2.1806,5.4463,"6.5561","10.2616",1.8571,4.0601,5.5077,"7.9895","1.7923",3.864,5.396,"7.8205",1.9833,4.4823,6.3307,"10.2809",2.6204,"5.9625",8.4025,16.2928,7.3088,"9.4678","11.6584","14.5094",1.9552,4.4595,6.7824,"9.6500",2.8509,6.4587,9.4156,"12.9864"
"576","002112.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",20.5893,NA,NA,NA,"18.1845","",NA,"13.1360","16.6883",1.8139,"5.1651","7.9496","9.4501",1.5753,3.868,"5.7631","6.0448","1.6957","5.0690","8.2321","9.5428",1.9747,5.5432,"9.1353","9.6819",1.1409,0.3321,0.5024,"-7.0184","-2.4627",-1.086,0.5,"1.3298",0.74,1.5151,2.3518,"4.3083",0.7863,"1.5186",1.9952,3.5597,0.3051,"1.2016","1.3031","2.0104",0.1795,8.0411,3.7121,"1.0620",-2.5613,-6.2167,-11.4156,"-28.1859"
"585","002121.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"18.1638","",NA,"","24.1518",0.4712,"4.3254","9.5930","24.2317",0.4261,4.2916,"9.2116","13.6363","0.5717","6.1165","12.7610","17.2830",0.6656,10.0441,"19.1960","16.2630",0.4002,4.9522,8.1202,"6.4667","0.5386",5.1063,6.8963,"6.9055",0.5339,4.1804,5.3803,"6.6162",0.535,"4.1352",6.1764,9.0403,0.5742,"3.7514","7.0837","10.4025",0.4234,3.1246,2.9719,"10.9277",1.3272,3.7358,7.3765,"12.2814"
"593","002129.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"16.0766","",NA,"","19.9625",4.6465,"6.1915","8.5334","13.5025",4.373,6.2424,"7.9831","10.7885","0.1078","-1.3464","-3.0363","-6.2877",-0.8521,1.0708,"3.4040","6.6519",5.2183,11.4348,13.1268,"11.2779","0.2827",0.5925,0.131,"-3.8250",0.2919,0.8113,1.32,"2.0670",0.9401,"1.9827",2.0073,2.6297,0.5183,"1.4169","2.2714","2.4138",1.0084,2.4297,3.3898,"3.8762",0.9872,2.5743,4.0746,"5.2312"
"632","002168.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",33.515,NA,NA,NA,"29.8164","",NA,"","23.1910",NA,"6.6277","7.5043","11.3938",0.6367,3.2464,"5.4495","9.5729","0.8070","4.2176","7.2456","14.3599",0.6388,4.492,"8.5135","9.1247",0.367,2.4898,4.6023,"6.8154","0.4739",2.3971,4.3527,"5.8433",0.425,1.7423,3.1595,"3.1706",0.313,"0.1849",-1.6923,-8.2149,1.8852,"9.9596","10.1955","11.6443",-1.5351,-1.8158,0.4177,"6.0369",-0.4045,-4.7988,-6.7578,"-7.9592"
"633","002169.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",29.389,NA,NA,NA,"35.1045","",NA,"","28.3666",NA,"7.2106","8.5657","14.9160",1.2432,2.8921,"5.4783","9.1089","0.6695","2.7973","5.9515","12.2346",0.8657,3.6194,"7.0292","9.0940",0.609,2.299,4.4691,"4.6348","0.5395",1.5968,0.9117,"-8.7830",-0.7937,0.7691,2.2931,"3.6488",0.2044,"2.3840",3.8947,7.2066,0.2434,"3.9026","5.8656","12.3769",0.8846,5.5935,4.7154,"5.7612",0.3868,2.4727,3.0444,"4.5595"
"640","002176.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",15.294,NA,NA,NA,"30.1537","",NA,"","26.2345",NA,"12.3660","10.5092","14.0199",1.2039,5.4113,"8.2215","7.2273","0.3316","1.5867","3.1630","2.5734",0.3955,2.798,"5.0682","8.7731",2.6241,6.6944,6.3901,"9.6418","1.3330",3.3666,5.5564,"5.8145",1.301,3.5932,6.2061,"6.5866",1.3298,"3.4428",3.107,2.7601,0.9359,"1.7955","2.3438","1.8080",1.0381,3.0239,4.8444,"6.3957",1.2099,1.6565,5.5097,"7.2486"
"648","002184.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",26.936,NA,NA,NA,"28.0078","",NA,"","27.7330",NA,"12.5702","16.7000","13.6757",1.3865,4.8498,"5.8035","8.8067","0.9080","3.1271","4.1869","6.0809",0.6135,2.4166,"3.0549","4.2637",-1.2487,1.3434,2.3232,"2.8456","-2.4162",-2.3593,-2.5316,"0.3057",-2.3487,-1.3633,0.6732,"4.2630",0.3443,"1.5364",3.8874,7.3735,1.1314,"3.8205","6.3406","9.8469",1.1188,1.0569,1.0655,"1.3962",-1.5813,0.2487,0.7052,"1.3085"
"660","002196.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",19.5026,NA,NA,NA,"17.1916","",NA,"","18.4826",NA,"16.3681","20.2053","16.0455",3.2833,5.5162,"6.1709","6.5024","1.4914","2.1258","2.3839","1.7151",2.2668,3.5934,"5.8928","8.6743",4.7311,7.4874,9.7381,"13.9828","3.4354",5.9824,6.9098,"6.8432",1.8224,1.4693,1.3858,"1.1871",0.2636,"0.4352",0.7541,1.4317,0.6583,"1.0884","2.1548","3.9114",0.8156,2.198,3.1977,"5.1949",0.9271,2.3976,3.6177,"5.5051"
"666","002202.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",33.1307,NA,NA,NA,"46.0662","",NA,"","66.5727",NA,"20.8466","19.5809","36.1510",2.6524,5.0838,"7.7242","27.4430","5.1386","13.9458","24.9273","39.1230",4.7352,15.1364,"27.8637","24.7649",1.5364,3.2476,4.6898,"4.6379","0.0479",0.562,0.2995,"1.1875",0.2508,0.7176,1.4494,"3.2558",0.38,"2.4674",8.6677,13.0063,1.6777,"8.4175","13.6883","18.0753",2.1868,8.3456,11.9301,"16.3483",0.9003,5.5861,11.026,"14.3200"
"676","002212.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",25.6768,NA,NA,NA,"52.7246","",NA,"","39.7109",NA,"","23.0467","30.4244",3.0333,7.1855,"10.9601","18.1548","2.5406","5.2001","7.9182","12.5553",1.0432,5.7058,"7.7432","10.3164",1.0947,3.993,6.5067,"8.3080","1.0301",2.6694,4.5055,"5.6301",1.0103,1.4997,2.2567,"2.9284",0.5343,"1.6039",2.3789,2.9961,0.5501,"1.6067","2.3379","3.1775",0.6881,2.4365,3.7019,"1.9190",-0.4637,-0.1788,0.5122,"6.2718"
"682","002218.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",52.7794,NA,NA,NA,"79.9733","",NA,"","63.5284",NA,"24.2663","","41.3633",4.0373,9.186,"12.9155","16.7757","1.5635","2.8846","3.7941","4.8300",2.0417,5.0702,"8.8781","12.8799",1.6249,0.6966,-3.4098,"-12.6267","0.4869",0.8951,0.9187,"0.3737",0.2601,0.4663,0.6645,"0.9056",0.3125,"0.5890",0.7143,-0.3783,0.3395,"0.6082","1.5284","1.5489",1.0389,2.2072,3.2034,"4.8468",1.1513,3.1712,4.3925,"5.8932"
"691","002227.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"30.7739","",NA,"","42.5130",NA,"","","41.6998",5.2852,5.4173,"6.9356","12.7992","0.7812","1.3533","1.9628","4.1466",0.4466,1.3716,"2.1561","4.5349",0.4526,1.215,1.4362,"2.7328","0.3441",0.6874,1.251,"3.9710",0.402,0.8404,2.1827,"7.9740",0.4736,"1.4204",2.6045,11.408,-1.6597,"-1.1894","-0.6527","1.2425",-1.1965,-1.0985,-1.0793,"1.1608",-0.9468,0.1332,0.2115,"1.8544"
"713","002249.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"56.7766","",NA,"","66.9549",NA,"","","85.4122",16.6754,15.4864,"19.0386","20.2157","4.8248","11.1117","14.9990","16.2425",3.8026,8.9774,"12.2256","17.4709",4.4575,9.895,8.8678,"11.9686","1.2220",3.4197,5.0648,"7.4265",1.4137,4.1961,5.9485,"8.4431",1.8673,"5.2613",6.6189,9.579,1.5246,"4.1729","6.2505","9.5286",1.2623,3.3651,4.9969,"8.3862",0.5809,1.6792,2.4316,"4.7208"
"719","002255.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"35.5129","",NA,"","39.4808",NA,"","","42.9821",6.0863,10.152,"14.1222","22.3023","2.3367","8.5907","11.0251","13.8780",1.9905,5.4085,"9.0593","11.4822",1.906,5.4446,8.4769,"11.5734","1.8784",5.9182,8.6069,"11.2682",1.7883,5.8134,6.3948,"7.0248",0.88,"3.0633",3.3369,4.1685,0.7525,"3.3171","4.2158","4.4601",0.6167,1.2672,2.2631,"3.2998",0.8893,1.9816,3.0904,"3.5427"
"729","002266.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"35.8202","",NA,"","79.1742",NA,"","","61.9134",NA,21.253,"15.7125","23.0778","2.3707","6.7639","9.6527","14.5945",1.2076,5.3416,"7.6851","13.6732",1.2344,5.6195,7.9275,"15.3021","1.4070",6.1293,7.7539,"9.7682",1.2146,3.1968,4.0652,"5.0878",0.4204,"1.7171",2.7411,3.966,0.2067,"1.0025","1.7378","2.4622",0.2125,1.2348,1.7285,"2.2008",0.665,1.7385,2.5969,"2.8742"
"733","002270.SZ","电气设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"32.7214","",NA,"","25.7566",NA,"","","33.2793",NA,18.739,"13.3791","17.2134","2.3051","5.5863","9.4197","11.7481",1.2728,2.5462,"4.1901","4.6533",1.0086,2.9094,4.2099,"4.8333","1.0414",2.2701,3.2922,"3.3625",0.5423,1.5751,2.4065,"3.2141",0.4335,"1.1095",1.841,3.1346,0.4501,"0.3907","-0.0149","17.9397",1.7897,5.4631,8.32,"13.3631",1.7332,5.1307,7.5611,"15.1396"
