"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"45","000058.SZ","商业贸易","","","","40,884,392.0000","","",NA,"120,519,632.0000","","","","156,151,851.0000","","108,827,501.7000","","156,846,486.4300","","178,769,069.6100",NA,"100,387,071.1200","","217,196,200.7400","","337,280,447.8100","","186,916,545.6300",NA,"379,453,877.3100","","224,922,062.4900","","304,680,117.7100","","125,556,798.1900","","214,311,045.0800","87,240,000.0000","192,502,205.2600","313,404,737.0700","391,524,527.0700","95,244,975.2200","188,525,674.2400","295,867,552.1300","361,752,537.7300","73,309,337.9000","168,269,319.7900","265,602,977.8300","344,130,249.6300","45,674,087.6000","63,835,987.7100","62,783,788.0100","61,624,854.3900","21,999,123.4400","39,877,908.5600","73,473,425.2300","72,958,379.8100","13,183,908.9000","-13,642,264.2400","1,392,597.2100","41,337,955.0900","29,377,892.3900","61,124,931.1900","89,732,741.5600","114,508,905.3900","33,133,615.8300","52,895,232.9600","73,814,236.7200","93,028,470.7000","31,086,714.5300","55,498,177.9400","78,757,191.8800","99,927,023.0400","27,799,537.0900","55,582,013.5600","73,786,405.5300","79,138,297.1600","29,351,998.2700","50,209,174.0500","75,324,780.7300","88,448,527.9600","34,469,395.9300","55,678,938.2900","88,200,547.0800","87,279,533.3800","31,632,631.7400","54,974,319.1200","83,140,376.8700","93,786,828.0800","42,550,298.6400","43,503,174.0300","61,307,077.1800","95,666,787.8800","41,158,360.5300","31,546,684.7200","58,253,694.8600","75,371,831.2900","83,064,990.9700","155,105,882.7300","224,720,610.1100","525,588,837.1900"
"48","000061.SZ","商业贸易","","","","9,590,781.7900","","",NA,"5,413,560.7400","","","","21,465,713.1000","","","","32,499,293.7200","","20,984,760.0000",NA,"60,106,185.8500","","108,194,976.0700","","186,373,773.7000","","113,343,589.6600",NA,"233,827,332.2500","","145,376,501.6100","","357,673,218.0100","","193,214,344.2400","294,628,552.9300","385,252,069.3500","108,799,000.0000","177,107,282.0400","343,138,786.5300","471,327,464.5600","147,065,565.9200","289,772,902.8300","427,288,222.6100","586,081,476.7900","139,474,693.1000","299,456,338.7200","438,760,171.1900","602,163,021.5200","151,429,037.3700","295,178,998.6300","428,900,667.6100","613,484,918.0400","156,052,735.9100","268,547,685.4300","383,310,174.8500","538,519,225.7300","134,030,202.3800","252,088,722.0800","380,979,273.6900","626,211,218.7500","174,476,848.9400","318,223,965.8600","457,675,295.3200","579,520,113.5000","149,948,330.2300","292,586,721.3900","448,851,877.7600","589,635,340.5500","127,157,205.0900","253,515,306.4600","383,131,622.9000","383,376,540.6400","111,442,889.3500","217,134,156.0500","481,686,304.6000","586,086,217.4700","147,464,888.8000","304,121,176.0400","412,017,376.9600","537,215,512.1500","247,093,834.7500","420,301,657.6800","576,765,425.6400","727,044,169.2200","162,416,125.7200","364,716,689.9700","504,291,129.8900","644,239,121.6500","151,183,130.4600","373,001,796.8700","523,620,073.8400","704,876,197.9200","167,515,387.1900","349,806,610.7300","508,809,069.8400","630,739,036.2600","174,240,956.9800","342,009,284.8600","534,908,492.0700","838,292,857.2800"
"64","000151.SZ","商业贸易","","","","","","",NA,"","","","","","","","","","","",NA,"80,623,113.7800","","","","75,057,359.5000","","",NA,"109,990,355.3600","","44,128,858.7900","","119,699,824.4000","","76,341,593.3000","","149,644,474.0900","15,861,075.2300","55,209,448.4100","66,062,337.7400","99,456,900.4100","21,514,123.4500","41,381,496.3300","56,061,999.2900","86,870,411.1700","6,916,795.6500","33,807,003.2500","61,890,111.4900","113,179,173.8100","32,374,499.2600","89,628,806.0100","143,341,491.5500","211,921,346.4700","31,424,164.8600","95,270,497.3600","143,544,817.4100","200,445,655.5300","15,905,443.2300","62,801,146.1500","81,224,004.4500","98,910,778.0600","9,158,326.5000","43,983,895.0900","53,113,227.9700","105,580,022.9200","15,402,041.8400","47,838,351.2400","69,018,167.6400","92,013,279.7400","28,163,684.6200","48,332,766.9300","65,662,484.2400","90,846,532.7000","34,796,868.1700","48,618,843.6300","61,776,831.4300","92,821,718.5200","27,506,858.8000","48,061,506.8000","74,396,811.3400","171,900,063.2000","48,240,627.3800","93,181,151.4300","140,619,550.8200","249,453,685.2300","44,008,578.6900","140,647,968.2500","232,610,998.7400","312,820,738.8500","44,215,282.5900","120,526,112.8000","133,189,564.0800","234,889,574.4500","54,968,275.8600","113,836,665.4500","152,389,934.7400","203,206,262.8000","69,997,463.2000","145,207,312.2300","211,953,588.2900","302,646,570.8500"
"66","000155.SZ","商业贸易","","","","","","",NA,"","","","","","","","","","","",NA,"284,756,962.7400","","","","225,170,697.7300","","",NA,"221,821,412.8500","","119,319,281.5600","","211,920,798.4600","","97,872,911.1000","","152,827,361.9700","18,348,909.3200","101,194,641.2000","164,256,656.6400","184,603,554.4700","58,680,569.9000","139,936,701.1200","212,700,550.6300","253,732,780.1300","26,346,667.4100","37,818,028.3200","82,044,400.4400","217,129,879.5800","67,734,319.3800","248,523,351.3200","432,138,395.6000","558,671,899.9100","97,944,708.8000","275,686,470.5200","331,624,040.2500","438,605,746.3900","92,354,406.3200","204,758,947.7200","367,070,907.5100","495,554,519.4200","162,845,461.8000","340,654,426.0000","471,696,387.6400","586,843,943.8300","137,250,380.6700","209,980,397.4100","265,237,175.8200","423,031,820.6500","58,759,770.7400","118,659,490.6800","155,887,185.2800","209,931,306.4300","109,652,452.9500","133,114,728.9800","201,258,896.9400","206,940,767.5100","-3,081,890.2300","55,037,679.0800","151,451,339.0600","382,065,780.7400","7,118,777.5100","46,880,156.1300","75,349,725.2400","101,117,557.0400","7,610,641.4600","995,448.0800","2,522,715.5800","-1,318,640.7300","5,910,720.2600","9,558,869.6000","10,616,133.4700","21,846,483.5900","1,306,586.3600","10,661,928.7800","26,107,801.2300","55,691,987.5000","18,016,717.8900","69,798,671.5600","246,605,651.0000","371,908,301.3900"
"88","000417.SZ","商业贸易","","","","21,821,351.0000","","",NA,"24,280,965.0000","","","","27,084,743.0000","9,644,613.0000","14,114,883.1700","","26,984,015.6600","","16,837,222.2300",NA,"30,353,053.5700","","39,907,176.5000","","84,059,307.8000","","46,043,109.9000",NA,"92,687,241.3000","","53,063,899.1100","","100,025,249.1800","","72,973,686.8800","","139,815,635.0400","42,139,611.7600","75,576,144.0600","108,582,910.1800","153,846,902.7800","48,691,757.4200","84,815,477.5500","125,085,143.8700","181,971,556.1500","76,550,791.8700","130,395,996.5600","186,418,541.7000","261,355,083.9800","88,903,756.4100","148,766,866.6800","209,228,855.1700","282,090,315.7700","103,295,370.7200","182,379,693.5900","264,408,594.4600","371,105,266.1600","165,006,130.6300","293,108,687.0800","419,762,906.0400","558,895,188.3300","231,864,345.0400","404,327,183.4000","603,689,746.4100","764,603,914.8500","280,654,957.6000","514,827,392.3900","729,169,475.7000","926,366,349.6600","339,211,784.3800","595,989,210.9400","860,010,325.7400","1,111,003,488.8300","434,528,154.3400","777,226,936.5500","1,094,085,639.7400","1,364,424,579.0000","507,350,876.3500","867,902,686.1300","1,188,249,062.9300","1,527,786,233.8400","515,442,465.9200","885,063,251.2000","1,255,332,706.4700","1,639,763,549.4800","522,571,059.3500","896,249,807.1400","1,251,046,308.8000","1,768,482,181.8200","487,112,841.1800","876,392,583.0100","1,233,759,250.7200","1,706,249,006.6400","495,603,840.6300","950,747,764.0000","1,341,788,791.3900","1,743,413,424.9800","525,464,623.3100","942,005,167.3400","1,410,578,285.3600","1,866,223,657.6700"
"90","000419.SZ","商业贸易","","","","12,201,672.5200","","",NA,"16,465,970.0200","","","","19,635,363.3800","","13,365,291.8500","","27,077,711.6100","","31,942,740.7700",NA,"46,408,191.1700","","42,996,167.0600","","119,077,313.3900","","72,169,771.9200",NA,"158,800,420.0100","","76,378,894.0500","","157,231,769.2500","","84,555,870.5500","","170,029,781.9500","42,068,300.0000","79,480,863.2800","115,802,298.6200","173,443,654.6700","39,088,953.5100","66,081,506.4600","102,990,754.9200","143,362,533.5600","42,458,224.3100","73,018,402.7400","109,670,399.1700","163,442,402.0400","48,372,219.7100","89,462,373.8900","141,159,426.1200","197,767,642.8300","52,371,032.7500","104,662,445.9600","159,409,357.2300","244,419,919.9600","70,878,193.2000","155,200,221.6700","247,744,504.9000","369,883,161.2900","95,857,832.7500","195,836,930.9900","286,904,380.6000","398,128,723.3200","110,216,333.4600","227,980,741.9300","354,787,574.5400","512,433,101.3100","169,064,870.8800","341,448,157.3600","507,542,702.0800","680,173,394.3000","201,598,069.3800","396,926,025.1100","569,757,307.2300","776,472,020.9400","209,927,111.1700","410,319,824.5100","596,569,845.0600","821,081,719.3700","191,657,781.8400","390,521,556.4100","577,747,861.6400","782,667,336.1600","199,307,362.6900","395,263,091.6800","578,271,452.0700","781,486,814.8000","201,529,022.2100","390,659,915.1000","558,985,498.7300","743,567,909.9700","188,823,851.8400","362,588,917.5300","529,307,198.2300","715,949,509.4200","199,313,772.7600","379,277,956.2000","544,939,390.2800","747,079,008.3100"
"102","000501.SZ","商业贸易","","","","216,290,247.0900","","112,107,570.2800",NA,"231,586,616.0600","","60,247,673.4000","","110,052,643.7900","","17,891,721.1700","","56,049,748.0100","","42,082,527.4500",NA,"136,160,324.4100","","96,301,405.5500","","237,655,023.5800","","124,047,101.0100",NA,"274,060,606.2800","","177,073,920.4100","","328,692,061.9500","","174,688,316.4400","","319,471,670.1100","102,830,961.1200","182,023,040.5600","269,562,530.5900","424,519,356.2400","153,429,293.2400","269,421,408.5900","388,529,618.7700","544,844,198.1200","178,670,927.0200","312,646,364.0700","448,921,971.8100","614,609,432.7700","188,124,867.2300","323,637,647.4300","456,195,245.2900","628,031,132.5600","210,728,151.3800","353,795,531.0100","492,752,932.4800","674,891,005.0400","269,087,589.1800","479,357,674.3100","696,966,934.1200","1,054,372,386.6200","334,803,447.2700","621,392,671.2800","907,735,703.7000","1,336,908,982.3700","394,869,133.0600","700,943,076.3500","1,040,841,637.2500","1,530,044,700.0200","528,261,044.3400","972,467,843.7600","1,430,937,999.4700","2,002,148,252.2400","660,917,489.0300","1,217,838,376.3200","1,763,133,590.6000","2,457,937,569.9900","783,389,704.0000","1,452,179,787.3900","2,099,495,753.0300","2,901,463,183.8700","864,977,343.2500","1,624,942,680.1100","2,370,917,357.3700","3,281,423,542.9100","910,497,890.4200","1,677,384,510.2700","2,411,587,831.3200","3,424,032,818.1600","977,364,226.0400","1,823,151,669.3000","2,632,643,997.4400","3,657,559,536.2800","950,208,502.1800","1,888,990,242.4800","2,735,103,471.2800","3,759,105,424.8500","938,739,970.3200","1,909,700,284.7000","2,775,278,950.8800","3,920,626,397.8300"
"113","000516.SZ","商业贸易","","-8,392,567.3200","","484,432.9500","","168,670.4200",NA,"-113,701.4100","","174,893.5800","","-598,044.0000","","2,518,787.0500","","7,035,086.2600","","15,946,649.3400",NA,"25,079,157.5200","","34,895,194.2900","","65,236,346.4400","","33,105,965.4300",NA,"66,078,099.6700","","44,506,581.3100","","85,779,893.3100","","45,793,651.7900","","109,925,145.4700","34,731,503.7400","62,354,243.2400","95,593,629.2300","136,701,119.1100","39,257,586.5100","58,881,606.9500","92,821,375.5100","154,394,723.6200","44,568,137.6500","80,496,836.3500","118,976,078.6100","174,156,045.2600","44,422,814.5800","86,528,609.2800","126,985,236.8400","184,396,884.4900","55,922,641.3900","104,293,537.2300","153,828,943.5400","219,030,832.8800","74,466,569.4900","136,343,341.4500","195,662,973.1900","281,719,545.0700","85,295,974.7000","160,111,599.6300","228,825,637.7200","309,143,971.8500","87,947,657.7800","170,296,437.3700","240,000,000.7900","331,876,561.9300","115,299,096.4500","227,771,091.7500","318,188,207.3400","444,019,566.8200","136,971,039.1300","263,483,736.6500","381,262,968.6600","547,851,614.8900","158,205,663.2100","306,860,923.5100","431,002,602.8900","606,126,090.2300","172,776,124.6200","327,992,150.3500","453,678,767.3700","665,582,492.6100","193,985,195.2300","371,045,646.1700","543,109,490.7900","755,583,342.8000","203,306,891.7300","379,248,615.8200","536,985,537.8300","743,569,596.9500","201,541,360.1800","382,093,119.8300","548,565,285.1600","739,430,285.0600","198,711,381.4700","369,136,113.6200","539,519,976.6300","743,655,650.9000"
"151","000560.SZ","商业贸易","","","","32,524,460.3700","","15,399,014.7700",NA,"31,500,339.0600","","8,191,715.7600","","18,879,536.3300","","4,498,863.9800","","12,830,872.0000","","2,974,000.0000",NA,"3,134,163.8200","","44,158,753.7200","","106,862,977.4700","","54,546,409.0100",NA,"151,506,576.2000","","57,706,247.4800","","107,860,646.7500","","45,247,777.3500","","100,023,662.5400","21,284,087.2600","39,688,369.9200","60,249,527.7200","75,787,374.2100","24,158,997.8300","48,499,752.6300","71,758,911.9400","97,792,913.1700","36,681,574.0100","65,611,533.8600","92,497,296.7200","154,792,111.8700","33,941,936.3600","72,898,404.6200","112,019,714.8100","149,909,333.6600","35,189,332.0500","73,244,537.0900","103,773,496.5800","230,949,976.9400","46,811,092.1000","98,140,813.1100","149,631,831.0600","311,649,742.5800","70,597,588.9100","147,572,123.9700","197,694,566.4400","216,333,328.1900","62,426,076.5400","118,051,579.8300","191,310,535.1600","253,672,093.3600","79,966,671.7300","154,737,244.4800","238,422,378.3500","336,393,247.2000","94,847,019.1200","189,255,079.3700","285,592,465.4100","434,378,092.6700","121,933,893.1300","240,099,674.2300","389,233,919.8500","664,710,179.9100","146,572,670.5900","276,289,417.9900","388,494,928.1300","597,405,229.3000","260,799,501.6500","368,561,390.3200","452,034,371.0300","528,911,762.5700","119,857,406.1500","207,815,096.0600","285,338,248.9300","350,832,868.1800","90,888,389.4200","198,965,718.5600","271,078,104.3300","368,982,347.2400","93,198,174.3200","181,696,566.5900","261,868,690.8900","393,311,289.7700"
"154","000564.SZ","商业贸易","","11,184,555.9500","","24,629,191.0400","","21,801,804.1500",NA,"41,310,483.4100","","18,175,446.6600","","32,459,202.2300","","21,423,549.2400","","42,902,362.0900","","15,592,641.2700",NA,"13,450,682.8700","","65,298,931.0700","","122,837,814.4600","","66,829,772.5700",NA,"131,673,164.8800","","80,130,277.6300","","159,554,161.7900","","92,394,018.2700","","178,610,509.6300","30,755,143.9900","55,209,648.6300","83,611,581.9500","120,240,705.2200","38,286,119.3000","72,436,033.2700","98,164,730.7900","131,960,414.6800","34,732,072.5600","67,383,149.1000","98,264,205.7400","140,193,142.6000","36,468,267.3400","69,104,324.8900","99,154,411.3000","138,229,967.3500","37,506,007.8400","70,445,019.1400","100,369,552.9700","142,669,854.1600","47,924,099.3000","87,502,655.4500","126,560,828.0100","202,220,354.9700","55,567,446.2700","104,573,185.7900","152,506,313.7700","235,492,301.5600","66,285,274.8600","130,458,204.9400","172,436,800.7800","246,486,442.1800","141,404,071.2200","254,996,836.5500","369,078,189.5200","502,109,591.5700","154,544,465.0200","289,255,900.7800","422,826,017.8200","629,314,143.0500","171,003,695.8600","331,918,076.8400","511,032,562.8700","759,024,772.5300","202,838,558.4700","376,770,944.2500","565,641,349.3500","907,191,297.2800","236,492,382.4000","472,886,602.9200","677,535,059.3400","983,187,994.4100","240,763,671.5800","493,842,722.4800","931,060,226.4800","1,315,140,947.4700","283,645,811.3600","606,318,775.4600","1,826,361,858.5300","2,743,942,633.8800","726,701,675.5200","1,506,060,553.7800","2,473,163,745.0500","3,714,119,685.6400"
"200","000626.SZ","商业贸易","","","","2,616,601.4700","","",NA,"7,617,114.1400","","","","5,307,618.0500","","4,895,563.5400","","11,354,168.2000","","2,125,291.3900",NA,"-1,159,143.3300","","-106,052.6000","","6,855,929.3800","","6,909,075.1300",NA,"23,657,584.5000","","37,408,593.8700","","82,640,655.2400","","44,783,126.7800","","131,066,415.4900","52,112,300.0000","113,903,818.8300","179,196,851.0500","255,963,631.0200","78,645,723.9200","159,016,110.2400","238,419,637.9100","349,917,115.3100","85,799,368.5700","194,637,167.0200","365,650,295.3700","457,774,963.5100","100,323,793.4600","202,315,450.7500","343,499,141.2100","347,064,787.3200","102,485,270.6800","247,010,922.8500","401,375,799.3600","360,041,632.6100","82,018,868.2100","201,866,146.4400","323,938,160.2300","500,361,545.7900","127,953,006.2700","317,659,825.0200","510,262,541.0100","404,528,568.9000","98,210,778.2900","145,821,695.7300","273,892,319.2100","527,568,596.7000","182,966,357.8700","294,242,277.1900","371,092,641.3700","659,270,832.5800","210,096,592.5100","453,113,084.6500","637,403,337.3700","705,645,120.5700","169,765,712.9700","271,969,550.2800","420,322,555.6100","653,609,387.1100","130,349,898.6800","117,366,254.1400","221,745,208.2100","372,372,225.8400","14,805,974.3700","110,746,629.9300","212,928,567.7500","202,576,933.4300","51,887,775.2200","379,492,700.6300","292,248,475.1700","452,962,822.9900","86,241,291.2500","516,509,213.8100","730,595,404.6700","1,714,818,847.7100","291,943,038.3000","102,787,917.2100","492,715,490.5700","640,419,139.2100"
"263","000715.SZ","商业贸易","","","","","","",NA,"64,906,487.4100","","","","57,374,998.4400","","","","60,308,793.5500","","26,695,429.7400",NA,"61,749,381.2300","","71,760,591.0600","","138,350,849.0100","","62,605,584.3500",NA,"110,742,452.0500","","32,050,482.6600","","84,497,747.9100","","106,467,632.2700","","210,354,660.7000","64,396,373.8500","115,696,032.0800","174,667,331.7700","248,203,037.5600","76,674,082.7400","129,313,415.1600","194,070,041.2400","272,395,515.6600","81,607,929.7700","149,094,777.0900","216,697,163.8200","302,580,888.0300","95,669,136.9400","170,329,841.5400","245,870,827.7400","333,914,489.1600","105,862,651.8800","191,167,320.5500","271,150,325.1900","364,079,996.8900","127,100,797.8200","229,230,673.2900","321,330,205.8500","415,634,293.0200","134,985,343.4800","240,504,338.4800","337,430,314.4900","450,556,681.0800","125,336,896.5100","237,774,713.1400","346,614,893.8400","465,330,398.3200","145,063,957.8500","250,321,972.9000","292,601,761.7200","438,397,326.2800","168,425,275.3400","307,151,038.6100","442,609,731.2400","611,706,409.6300","167,846,490.2100","316,984,802.1600","440,340,275.0100","589,510,192.4500","161,089,740.2800","313,760,612.6000","445,609,300.5500","593,811,808.7600","157,190,079.2700","304,193,993.9900","430,016,358.6500","558,244,163.4400","147,472,770.9100","282,668,416.4000","399,350,616.8100","512,818,886.9100","133,666,922.1900","250,203,528.2300","357,382,153.6700","448,300,650.4800","124,695,202.5600","227,065,671.2700","343,959,265.2300","448,395,420.8900"
"293","000759.SZ","商业贸易","","","","","","",NA,"15,693,989.3600","","","","11,947,606.1900","","","","18,593,211.6200","","9,445,779.3000",NA,"34,996,480.6600","","46,705,231.7600","","70,085,399.8100","","36,989,844.3800",NA,"76,914,406.7800","","87,192,698.3900","","182,427,349.6600","","99,156,288.2900","","210,469,416.9100","68,530,866.4500","128,208,771.5500","190,059,465.3100","263,015,875.6800","97,193,460.1400","179,901,559.8700","269,932,959.7000","378,539,165.3900","144,274,586.3500","209,783,503.0700","297,795,532.1700","397,506,678.0500","154,553,503.3700","261,010,560.9500","392,471,613.1000","505,644,615.7700","186,287,558.0100","321,036,166.2300","462,145,298.4200","616,154,901.4900","339,622,772.6300","598,000,958.3700","883,530,674.2300","1,166,698,778.5900","453,996,172.4900","788,075,205.6700","1,132,228,601.2400","1,522,814,306.1800","478,200,642.5100","849,287,659.3500","1,264,210,157.9000","1,766,872,057.4900","604,602,414.5200","1,075,368,854.6100","1,542,647,660.9300","2,177,672,715.5300","718,722,847.4300","1,283,891,505.2700","1,896,482,426.3800","2,599,917,393.7400","823,990,810.0600","1,466,646,087.1400","2,183,199,223.3200","3,019,643,091.4100","824,296,899.9300","1,512,298,402.5700","2,271,550,793.2400","3,190,054,158.3200","882,677,054.0300","1,648,707,983.5100","2,456,202,335.7000","3,413,224,707.8900","883,744,078.7800","1,611,087,210.5800","2,370,868,108.8100","3,306,235,248.7300","877,418,235.7600","1,578,192,138.3100","2,305,951,210.7200","3,131,713,545.9200","880,293,613.4400","1,618,285,377.2200","2,377,287,531.2900","3,224,619,718.3600"
"307","000785.SZ","商业贸易","","","","","","",NA,"65,447,898.6700","","","","64,997,526.0000","","","","73,662,858.9100","19,546,031.3500","38,058,766.9100",NA,"86,622,499.2700","","91,723,710.2900","","179,306,959.0700","","100,816,562.2700",NA,"188,329,698.3900","","94,155,289.9700","","192,624,060.7800","","107,477,688.9800","","207,670,726.6600","63,567,513.6700","114,885,390.2700","159,589,343.1000","220,852,648.6800","62,788,229.2800","108,110,527.2100","154,223,198.3000","221,773,167.8100","76,157,890.4700","136,833,245.7200","190,749,684.2300","261,435,951.9900","78,148,025.8100","135,686,700.8600","200,860,945.0400","264,103,061.3100","96,205,408.5200","164,341,377.3500","232,328,867.4300","311,829,055.5300","130,048,630.6200","234,426,856.8400","346,594,911.3300","473,064,007.3300","152,709,145.9000","276,341,943.3200","406,538,638.8000","558,009,116.7400","162,044,356.8900","285,065,135.8900","418,279,793.3800","569,149,783.3200","179,492,133.9900","332,402,759.7500","489,135,067.1100","679,837,636.6300","216,185,948.5700","401,334,369.3700","587,967,932.5600","774,462,909.0700","226,377,375.9400","415,407,027.5200","601,924,415.3400","802,761,628.6400","216,652,057.2800","402,797,443.5400","593,662,684.4900","815,361,129.6800","222,369,393.7500","423,272,853.8000","615,828,028.7900","849,559,597.5300","212,106,341.9800","418,097,759.5600","600,330,640.8100","810,848,363.7500","215,502,911.1200","426,739,722.7300","602,325,581.4800","790,183,849.1800","201,513,078.7600","399,218,889.9400","576,871,306.9900","782,956,876.9800"
