"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"2","000002.SZ","房地产","","","","30,947,298.8500","","29,730,075.5100",NA,"111,705,623.7500","","53,618,882.9400","","141,857,382.0000","","34,480,675.1400","","96,240,279.9800","","47,565,980.7000",NA,"133,823,681.8300","","213,183,535.9500","","530,140,650.0800","","241,715,967.1300",NA,"626,286,592.2300","","306,634,832.8100","","815,156,873.8300","","512,861,111.9000","","841,113,819.1600","137,901,343.6300","353,730,847.0800","514,683,058.2700","885,939,077.3000","171,223,108.7200","507,945,478.8400","722,314,610.0100","1,391,002,481.2900","302,357,660.1500","766,659,846.9800","1,045,990,441.4900","1,934,117,183.7200","575,124,666.0000","1,516,029,035.6600","1,968,282,505.8000","3,032,584,286.2100","743,030,042.6900","2,263,728,795.6000","2,834,201,148.5900","5,072,747,158.8000","1,321,276,848.3300","3,740,037,283.7600","4,956,537,999.8900","10,803,499,343.6500","1,826,842,562.1000","5,044,463,208.3400","6,645,711,824.5300","11,452,631,755.5900","1,904,668,202.4000","5,165,527,511.5300","6,714,850,356.9600","10,763,715,086.6700","2,010,348,519.4300","4,828,240,410.4700","6,458,390,051.4500","15,016,247,406.7100","2,807,337,189.7800","6,473,018,144.0200","8,771,776,158.4000","20,775,800,112.0600","3,177,205,988.6500","8,147,863,737.6800","11,993,141,247.6600","26,778,333,251.3200","3,871,058,140.1400","9,792,193,294.7200","14,532,716,055.1000","31,076,142,178.7200","2,885,682,188.6000","8,923,260,505.2800","13,252,736,568.0500","30,664,194,903.4300","2,270,337,078.7100","10,894,247,577.4200","16,205,917,203.6400","39,418,074,497.5500","3,378,271,927.6800","13,393,243,989.4500","20,970,991,752.2700","48,756,078,900.8400","4,188,877,201.6100","17,634,759,054.3500","27,713,422,556.5800","63,094,963,659.7400"
"5","000006.SZ","房地产","","","","67,040,901.0900","","43,545,620.9300",NA,"67,780,102.8300","","29,232,838.2400","","53,103,800.0200","","6,500,720.4600","","72,804,449.4900","","103,865,659.7100",NA,"139,943,273.5000","","124,829,613.0600","","312,941,738.8800","","129,753,860.5200",NA,"273,567,573.9600","","107,634,050.4100","","340,191,132.5400","","159,888,856.6000","","362,896,272.9500","71,504,900.0000","156,456,094.6400","229,007,541.2400","237,994,734.4100","43,702,644.8100","129,111,452.2700","178,333,587.6100","119,160,367.9100","40,795,147.0200","40,627,059.6500","108,957,784.8600","245,522,895.1700","51,638,185.2100","102,188,867.0700","148,982,124.5200","280,401,669.8900","70,230,348.6300","272,382,637.1400","309,699,893.2200","390,953,607.9000","36,271,085.4500","63,665,934.4000","127,371,214.6000","399,098,271.2500","320,844,352.1100","372,265,829.9500","416,631,252.6700","516,964,264.8300","69,151,809.7500","170,374,916.1200","239,098,828.7000","474,522,674.7600","57,305,163.6900","182,002,225.4900","269,704,198.4300","630,486,270.8600","128,483,176.0400","280,956,578.4800","499,691,783.5100","778,714,388.5800","149,603,365.2100","447,149,241.9600","572,899,864.6300","1,015,592,962.8900","96,436,130.4200","381,942,502.1400","527,392,083.7900","1,089,986,595.6800","69,152,622.1800","142,757,446.6800","198,523,374.7400","615,779,713.7300","360,819,641.0300","531,153,701.2800","645,083,584.4100","983,156,095.3100","137,163,323.1100","291,814,699.8000","380,543,051.5800","773,225,111.6600","211,289,673.7200","457,988,115.7400","618,112,051.5800","797,789,825.0700"
"10","000011.SZ","房地产","","","","167,149,022.5300","","8,160,069.1200",NA,"58,506,384.4400","","55,686,840.8500","","166,862,454.0300","","32,461,768.4700","","35,755,872.6800","","-6,909,330.3300",NA,"-85,692,677.7500","","76,780,670.3900","","192,623,226.2700","","62,900,745.7200",NA,"194,302,749.3300","","65,600,609.1900","","175,766,080.7300","20,660,000.0000","81,595,644.6600","139,490,000.0000","287,957,154.5600","34,910,000.0000","71,055,014.9600","105,430,000.0000","226,583,123.3700","25,215,878.3100","66,371,560.2400","104,532,713.2600","363,255,274.9100","29,377,761.4800","100,869,587.8200","176,495,200.7000","423,765,125.7000","25,173,431.9000","98,713,704.7700","144,513,808.9400","288,641,976.6000","22,021,297.6000","40,184,500.7500","54,283,724.9700","55,618,300.4700","10,142,064.6600","20,754,953.1800","33,803,865.9600","52,800,056.3200","20,629,170.8000","34,892,184.6700","49,645,604.7100","193,851,638.3600","42,551,423.9000","188,110,334.3200","267,093,308.1900","267,485,431.8700","19,171,578.2000","157,346,380.9400","191,865,585.5300","237,028,845.5100","400,023,370.6700","448,055,679.6600","492,052,948.2700","500,151,707.1000","28,212,018.4900","172,615,644.9100","304,830,426.2600","620,506,840.2500","336,287,907.9200","511,050,786.5900","545,293,705.7400","561,606,564.7300","59,944,233.4800","188,244,002.5500","278,278,257.9700","470,909,021.7700","27,171,646.7200","92,926,003.7100","144,282,096.5400","269,169,486.6100","25,773,897.4900","53,304,695.7000","78,945,882.0900","715,536,919.8600","422,802,002.3900","461,395,540.5500","773,026,360.2400","812,946,669.6700"
"12","000014.SZ","房地产","","","","47,552,067.0900","","26,082,200.0000",NA,"17,298,333.4000","","21,251,900.0000","","4,132,794.3600","","29,182,034.3500","","-52,335,582.3500","","26,467,082.9100",NA,"-19,075,758.2600","","6,068,143.0600","","17,737,733.5300","","6,670,914.3000",NA,"12,226,508.7700","","7,608,638.0600","","11,704,567.9100","","31,484,297.4000","51,020,000.0000","84,211,238.7200","17,383,513.3100","35,292,018.5100","46,387,961.4000","79,679,775.3600","13,266,786.0200","33,120,510.0100","56,167,122.3200","85,073,123.0300","15,344,544.8900","38,335,670.2600","60,712,476.5600","97,048,003.8500","21,255,673.7800","58,152,270.3700","75,682,167.6200","114,639,541.4900","37,527,895.0800","78,214,220.9300","92,528,093.3400","100,993,275.5300","9,425,468.4700","25,483,873.3700","34,201,837.7400","69,275,404.0800","3,685,527.1200","8,394,883.5000","10,421,736.3100","151,001,585.7500","23,087,071.0000","99,893,821.1800","174,002,912.7800","222,854,924.0200","115,088,329.3000","139,272,963.0500","145,621,676.4900","206,786,626.3800","19,585,649.1400","62,821,893.0600","94,204,491.5700","175,895,847.7400","23,632,363.6900","39,999,771.8600","56,317,093.7400","153,254,244.9600","32,160,496.9400","64,860,334.6100","96,449,466.5100","156,984,714.8000","53,395,928.5600","89,132,468.4000","99,237,118.6900","206,843,454.7600","11,321,089.1700","36,327,114.5100","47,164,843.2200","136,254,544.2400","6,296,887.2800","15,454,854.9700","21,443,868.5000","105,864,481.6900","9,627,772.8400","36,843,553.7100","53,966,125.5700","83,906,777.7100"
"25","000029.SZ","房地产","","","","302,936,724.1500","","242,840,000.0000",NA,"486,288,315.3900","","223,530,000.0000","","428,720,881.7700","","297,470,000.0000","","-32,351,392.7200","","48,770,605.8200",NA,"97,005,072.5800","","129,973,662.3800","","172,264,388.0000","","113,466,246.0000",NA,"249,034,051.4800","","126,896,575.7800","","274,230,930.5500","","90,286,481.5400","106,415,419.5800","174,683,100.1200","25,552,300.0000","49,039,567.8400","78,306,256.1700","128,984,095.5100","19,931,534.2600","-17,333,694.2600","87,542,055.2700","180,358,161.6900","11,897,853.8700","33,126,472.1400","40,458,059.3500","27,940,529.8600","17,689,285.5000","36,598,540.1900","52,861,785.5100","84,995,947.2900","32,743,468.0500","58,606,138.7000","87,089,264.3100","17,649,059.0300","22,687,915.7400","32,515,548.5500","73,353,167.4700","157,957,695.9300","31,432,877.0700","72,201,421.6200","101,151,588.7300","159,969,840.0300","25,791,059.0800","47,525,186.3300","73,985,284.4400","142,055,265.6400","17,120,484.3400","124,728,687.7100","170,149,052.5500","227,166,680.0900","51,006,617.5700","122,901,817.2600","169,668,814.5300","223,818,916.4300","49,361,398.1600","92,165,510.2400","140,184,033.1100","228,641,953.3000","24,289,100.0800","49,445,701.8800","71,843,986.0100","405,391,059.6000","55,102,157.0000","99,378,005.3500","155,589,625.8100","543,275,042.6200","61,011,575.1700","320,294,563.1700","413,867,647.0900","556,125,254.2000","53,321,738.8500","195,491,515.8600","342,570,451.8400","493,941,502.2600","60,463,939.1700","212,443,872.9100","247,905,894.9000","314,180,153.6600"
"27","000031.SZ","房地产","","","","69,389,431.4800","","75,544,863.3400",NA,"53,046,089.1100","","41,841,732.1700","","74,072,115.6400","","25,518,224.1700","","57,795,049.3300","","5,286,599.6600",NA,"38,260,385.0100","","77,250,076.4500","","160,240,963.2500","","61,332,336.4000",NA,"117,228,532.8100","","60,553,800.0900","","129,698,463.9500","","63,084,099.7700","","162,482,317.2300","36,422,800.0000","82,127,992.1000","122,641,914.0600","186,537,939.2400","34,612,548.5000","79,851,840.6700","121,207,771.1100","174,301,422.3000","37,674,248.8600","82,815,246.2600","126,274,404.6400","176,828,801.3800","36,752,556.5600","80,910,582.8000","124,612,164.5300","172,921,705.2000","39,067,337.1700","88,602,492.5900","134,770,809.3700","180,684,343.7000","35,417,178.4000","76,699,598.4000","118,941,154.1400","377,365,414.3300","90,233,126.8300","181,187,073.5900","216,412,304.3600","432,287,046.1100","39,022,095.9200","86,834,567.6900","158,000,659.8500","542,561,527.2200","104,326,677.8400","143,556,775.0500","179,644,030.5900","700,080,120.5600","132,957,639.5800","471,876,330.2000","654,775,899.1100","1,549,126,431.0800","228,847,866.4900","333,929,393.5900","599,413,196.1000","1,609,129,354.0100","194,032,825.8900","627,821,621.2800","941,515,406.1300","2,039,950,185.0900","323,788,278.5600","745,302,494.5100","924,894,632.4900","2,276,098,099.0400","118,825,053.1100","230,132,229.4100","915,124,361.4700","2,088,922,399.6100","849,639,252.2600","1,368,305,785.8000","1,746,794,695.2300","3,721,490,915.4800","634,442,082.4000","1,144,943,037.1800","2,319,953,776.2100","3,885,391,277.9300"
"31","000036.SZ","房地产","","","","13,880,127.5200","","48,621.3300",NA,"5,613,721.3700","","522,483.0000","","-233,471.4700","","-5,695,051.0000","","-509,660.6200","","-1,565,016.3300",NA,"-31,474,555.6600","","","","171,018,865.3200","","97,728,160.6900",NA,"314,678,624.9300","","188,301,282.7700","","512,426,931.6200","","288,729,696.2300","","997,269,518.4100","196,096,475.8100","305,658,320.8900","452,509,782.9300","785,262,119.2400","149,636,923.3800","225,912,618.2700","303,320,731.6400","604,270,962.9100","120,711,371.0100","176,822,258.8400","188,794,019.5700","235,852,689.7500","6,186,526.6900","38,763,510.6600","180,125,099.3200","334,261,358.3100","137,167,532.1400","248,649,875.3700","494,153,443.8700","606,368,208.0500","101,163,265.2500","236,757,538.9300","202,852,043.8700","-152,746,557.0600","-37,378,791.7600","28,810,922.4400","33,511,745.8000","36,044,216.9100","229,655,440.6100","375,207,842.8400","555,065,323.6500","767,443,401.0700","41,666,357.7100","72,919,895.2000","103,459,609.4400","458,509,032.5400","63,684,345.7100","126,596,401.7500","169,082,154.6700","187,858,027.8100","67,209,646.3800","97,909,376.9700","118,035,356.8900","148,599,539.1500","18,788,913.1100","38,645,924.1800","61,395,944.7400","84,335,213.6300","19,698,679.9500","50,155,400.4300","67,482,850.6700","87,329,052.2600","17,225,395.9700","38,433,433.4100","62,453,193.7100","221,530,845.1600","18,061,835.3000","39,416,794.8900","56,759,910.4500","1,032,522,531.5400","822,171,281.2800","1,265,418,936.8800","1,351,648,159.1300","1,741,687,482.2400"
"36","000042.SZ","房地产","","","","136,516,296.3700","","",NA,"138,795,708.1200","","95,239,858.5800","","150,116,151.1900","","62,743,841.6000","","112,911,890.8000","","60,428,274.0900",NA,"144,491,586.1700","","113,174,766.1000","","251,956,904.0100","","128,264,966.8000",NA,"309,451,950.5400","","133,673,749.8800","","309,455,052.7300","","163,842,638.4800","","357,008,634.5300","72,974,900.0000","190,818,198.2500","254,871,744.0000","387,498,133.9200","99,147,915.3800","188,320,330.6700","245,809,062.3500","396,035,134.7300","54,836,667.3400","121,101,608.0100","247,565,759.6000","454,022,455.4200","81,926,702.8900","210,356,279.8300","285,896,899.5500","311,748,661.3800","54,151,255.8200","200,602,455.9700","261,836,042.3400","306,548,174.7700","35,604,956.1900","100,113,386.9900","152,042,133.6800","319,291,038.3800","43,734,785.0600","100,222,601.9600","133,478,188.2700","335,283,148.8900","47,852,840.8800","333,980,189.2600","398,219,145.0300","515,882,008.1100","88,412,912.2200","185,922,405.6100","277,495,412.5700","505,030,503.5400","248,782,332.7800","321,863,854.6800","407,522,749.8900","645,212,378.1700","332,570,582.0900","433,925,703.3700","665,921,801.1600","847,103,948.7200","109,245,271.3200","237,952,881.5100","346,046,022.2100","709,069,841.6600","353,766,130.5500","509,297,085.8100","629,966,483.8700","872,435,023.1800","739,415,151.6700","804,766,265.8900","900,433,425.5000","1,307,800,145.8200","227,812,378.8400","483,716,714.6300","838,302,504.4100","1,502,154,935.9800","206,113,789.0900","583,582,262.0000","759,091,933.6700","2,014,525,653.0200"
"37","000043.SZ","房地产","","","","59,768,210.8100","","22,514,977.0500",NA,"55,858,310.5400","","26,111,966.1100","","29,784,069.0500","","23,429,143.7400","","37,942,406.7500","","24,422,242.5000",NA,"47,239,265.6600","","77,675,746.4900","","112,372,866.4900","","73,284,545.2800",NA,"115,883,423.5100","","75,954,825.2600","","134,042,273.4100","","69,558,419.9100","","134,863,747.8500","30,388,084.2100","60,942,139.5100","83,703,057.7200","162,434,512.3300","27,484,783.9000","51,134,224.7600","85,867,940.2500","135,900,366.2900","36,692,889.8800","70,991,817.8700","120,146,220.8500","162,262,760.9300","42,063,592.9400","81,101,885.8900","120,911,544.6500","290,305,899.4000","63,888,711.9400","144,689,630.8500","212,266,336.9300","341,898,125.7300","81,257,933.1500","158,592,562.9100","248,034,090.8200","655,175,391.7400","91,496,038.2400","186,942,853.3300","263,133,037.3000","434,255,758.3200","87,428,862.1300","215,385,217.4100","315,977,837.2600","470,681,697.5000","118,710,593.6700","220,112,475.3100","463,351,376.9500","941,893,447.9000","132,915,166.0300","355,705,130.7200","467,444,600.0800","983,056,793.8400","130,014,599.1100","258,986,534.8600","360,578,296.3600","938,105,010.3700","109,466,605.3800","259,547,609.9000","479,989,666.6000","1,287,004,621.2800","202,478,763.3700","383,366,777.2800","565,548,535.7100","1,145,083,902.0200","139,838,700.9400","309,179,380.9100","459,064,654.6700","890,043,016.3200","103,560,639.8900","399,819,705.1900","579,459,354.4400","895,247,499.6500","189,561,066.3900","407,972,949.8400","719,744,117.1400","1,049,480,552.7300"
"39","000046.SZ","房地产","","","","31,788,465.4300","","35,548,197.3200",NA,"56,575,691.6800","","24,448,100.0000","","71,382,073.9400","","15,649,007.1800","","65,110,117.9600","","7,695,350.9300",NA,"61,349,159.2400","","18,501,715.3400","","92,202,402.8600","","22,520,438.8800",NA,"34,416,516.4800","","54,596,771.3900","","77,227,300.9100","","35,062,668.4100","65,616,747.8500","120,605,080.7300","12,033,200.0000","36,603,070.5900","64,834,027.1900","116,433,193.1600","21,806,954.9700","37,087,578.3500","77,950,874.7800","162,164,962.8800","35,082,279.2500","74,020,299.0100","104,972,205.7000","199,676,137.7000","38,348,719.3400","60,898,138.9900","83,227,036.6000","108,919,554.7900","5,230,389.5300","20,193,579.8700","25,393,437.1100","367,204,580.9300","144,255,764.9300","499,370,452.4600","833,931,659.9800","1,182,318,828.0500","155,202,113.3700","329,476,674.3700","384,275,518.7700","455,212,079.9600","48,822,232.1000","247,148,849.6100","477,436,906.1100","779,250,970.0600","244,954,589.3800","265,369,605.3500","518,350,713.0700","535,965,764.1500","24,290,028.8800","125,969,944.1300","509,693,387.9900","640,696,089.4800","79,551,155.4900","241,868,972.5200","630,897,350.8800","1,619,819,141.0000","273,029,834.8200","563,112,452.1600","919,097,225.3200","2,191,101,357.7300","235,789,439.5000","538,815,289.0800","805,023,373.2700","2,190,133,102.8500","294,218,424.6500","767,303,700.9500","1,695,732,119.2300","2,981,014,937.8500","992,102,717.6700","2,845,247,767.9500","4,362,037,222.6300","5,019,484,730.8600","603,252,903.0600","671,891,762.9900","883,686,579.4800","2,323,644,227.4700"
"44","000056.SZ","房地产","","","","15,145,356.0000","","",NA,"17,076,222.0000","","","","14,599,324.4500","2,836,800.0000","4,375,392.3700","","10,425,033.1800","","8,568,498.2600",NA,"8,156,809.2500","","27,455,206.5000","","91,500,670.1100","","52,453,512.6500",NA,"98,132,969.8500","","36,885,982.3800","","104,141,226.7200","","41,963,188.8600","58,822,247.8800","79,298,682.2100","15,186,700.0000","26,748,535.6400","44,006,312.2700","37,028,171.0600","7,077,778.7300","12,660,967.0900","16,716,011.3700","22,933,780.2200","6,531,026.1200","15,098,553.1400","18,219,224.7000","-4,332,494.6400","38,745,846.0700","44,309,186.9600","45,288,408.1800","47,939,472.2400","1,642,172.6500","2,923,930.7800","4,288,823.5700","-11,679,591.2400","4,950,710.6100","5,849,959.2700","6,920,285.3700","12,706,899.8700","1,077,091.5900","1,815,499.9600","2,905,986.4300","4,199,956.4300","-242,092.4600","849,574.9000","719,358.4300","3,024,914.0900","-546,012.5000","-32,771.5300","617,534.1800","-132,317.0500","2,082.0700","-714,808.5600","139,457.4700","172,506.6400","359,329.2600","-1,878,609.0000","-6,040,121.1900","10,218,968.0800","1,018,477.2100","1,633,539.0800","2,340,317.1300","8,671,095.1200","9,938,138.4400","13,128,166.1100","23,457,977.1700","31,042,059.8900","71,249,055.1900","123,608,087.6500","128,446,198.7700","180,837,107.9300","44,406,281.5900","97,806,216.9800","151,663,794.4900","221,344,027.6700","109,335,759.7900","212,267,880.3600","371,499,585.1300","445,115,043.7500"
"54","000069.SZ","房地产","","","","","","",NA,"29,294,497.7600","","","","25,095,375.4000","","","","32,334,559.8900","1,633,456.0200","17,320,942.2200",NA,"24,075,227.8100","","16,173,382.4900","","49,800,760.0700","","43,319,660.8200",NA,"82,039,798.8700","","29,225,580.5400","","45,554,487.5600","","26,119,412.8200","","45,749,621.8500","7,759,618.8300","48,557,352.3500","99,485,917.6000","303,698,716.7200","64,706,050.0600","53,117,399.7800","133,083,840.3600","218,978,098.2200","63,416,162.2000","132,302,553.2400","218,755,400.0600","248,786,843.7100","61,843,341.8300","139,670,255.8600","231,325,362.0600","302,653,178.2600","74,612,229.8000","144,892,936.2100","286,851,474.0800","636,817,567.1700","44,077,731.0300","150,289,771.4900","391,685,321.5900","830,148,990.9300","150,987,466.0600","387,835,222.2300","822,816,681.4700","1,246,618,056.0200","88,565,913.3600","353,216,835.8000","811,955,902.8200","4,010,226,036.2100","763,459,875.3000","2,473,966,345.0900","3,258,229,981.9900","6,419,633,562.9500","806,207,446.9900","2,383,332,551.0300","3,634,173,331.2700","6,726,395,730.3600","964,328,288.8100","2,778,299,066.7600","4,253,473,591.4300","8,238,163,924.2000","1,265,461,045.9700","3,901,525,960.7700","6,411,434,415.3500","9,799,760,692.5600","1,824,230,732.8600","4,729,814,451.6300","6,897,437,576.0000","10,861,756,502.8300","1,364,567,850.5900","3,380,901,885.2700","5,848,792,830.2600","10,770,980,629.2100","1,655,419,981.3400","3,496,905,899.0300","6,206,599,501.6600","12,228,057,899.7900","1,905,460,883.4700","4,365,327,616.8900","6,327,440,666.6800","13,319,306,520.6400"
"59","000090.SZ","房地产","","","","","","",NA,"","","","","","","","","140,768,403.0400","","",NA,"175,350,977.0600","","","","216,688,394.8700","","105,733,295.1300",NA,"265,544,984.7600","","91,191,886.3300","","205,715,904.0400","","93,347,507.5900","111,076,522.2700","189,833,492.1900","32,666,500.0000","87,363,500.9500","102,130,665.0000","167,177,154.8300","27,842,892.1300","76,731,641.0200","112,184,737.2600","197,840,222.8900","26,094,336.3200","54,857,059.6000","93,797,815.2300","152,451,344.1600","26,159,119.3800","44,378,421.5300","116,496,441.7500","220,322,667.0200","70,578,682.3300","72,098,396.2600","144,994,302.4300","248,886,479.4500","21,252,677.5900","48,626,448.4500","173,969,989.2800","358,864,996.0100","47,963,815.4100","69,644,779.6000","73,527,383.4300","124,445,678.0400","29,949,768.5400","64,552,016.6200","118,918,760.7700","102,770,125.9100","15,862,053.9900","74,580,547.7900","298,435,544.3700","364,838,432.4900","226,476,843.4700","305,370,768.8700","437,340,963.5300","523,173,566.9900","94,224,009.7000","208,114,140.1200","334,537,578.9200","429,650,827.5600","154,812,070.9500","224,979,732.6400","339,820,591.1000","680,960,379.1400","88,435,940.5600","183,352,157.4700","292,649,428.5400","710,019,406.1000","118,448,683.6900","397,108,367.8300","554,514,685.7300","840,488,828.0000","171,931,442.4300","326,892,370.9600","504,550,444.7400","922,549,896.0500","447,900,829.6400","690,288,842.5000","983,637,308.2000","1,308,811,510.0500"
