"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"19","000022.SZ","交通运输","","","","96,850,868.8400","","62,677,867.6000",NA,"144,942,200.1500","","76,800,800.0000","","128,359,112.6800","","55,792,300.0000","","162,360,996.5600","","43,690,190.7200",NA,"114,557,931.0600","","58,493,221.6100","","121,212,708.1900","","71,519,528.1000",NA,"167,225,137.1100","","88,922,503.3900","","180,825,419.9800","","76,329,581.2400","","205,420,830.0000","89,927,362.5500","170,570,063.0000","284,845,262.0000","393,035,908.0000","123,128,632.7300","269,695,216.0000","451,991,620.0000","651,082,889.0000","191,935,164.0000","435,234,211.0000","720,620,126.0000","1,000,461,512.0000","310,961,273.0000","633,452,292.0000","947,669,594.0000","1,150,000,565.0000","276,863,424.0000","575,063,790.0000","885,005,591.0000","1,117,861,261.0000","260,419,457.0000","519,747,284.0000","857,409,815.0000","1,142,150,108.0000","273,405,098.0000","558,325,597.0000","849,122,671.0000","1,018,495,503.0000","165,584,539.0000","347,787,340.0000","552,621,397.0000","732,957,405.0000","219,010,663.0000","466,974,475.0000","742,835,290.0000","934,289,457.0000","232,439,808.0000","450,182,054.0000","679,255,338.0000","869,074,730.0000","210,030,793.0000","435,389,619.0000","693,495,863.0000","878,093,470.0000","222,595,059.0000","472,310,941.0000","702,616,522.0000","863,878,999.5900","185,604,059.8400","409,519,220.3400","621,370,790.1400","812,829,430.0600","185,110,088.9400","413,443,000.3100","668,680,713.1900","862,340,105.4500","202,967,646.0800","409,483,185.2400","656,308,077.6700","843,869,027.5700","205,371,596.7500","388,535,894.4300","809,279,724.1000","1,000,050,630.5300"
"57","000088.SZ","交通运输","","","","","","",NA,"114,636,246.6100","","","","152,595,558.2900","","","","165,599,016.8000","","62,798,082.1500",NA,"152,215,050.4500","","65,258,164.7900","","129,082,785.6300","","50,695,294.7100",NA,"127,511,939.6700","","46,300,707.0800","","107,788,627.8700","","91,190,201.0600","","201,525,056.7200","51,663,191.4500","115,438,185.7300","191,364,895.8600","255,596,891.6900","52,446,702.5300","106,150,249.8200","180,125,785.3300","250,423,470.9300","62,190,625.5300","125,200,762.1000","198,372,191.4900","261,300,801.6700","59,188,899.8700","129,035,045.6700","228,835,918.0000","309,587,997.4700","78,404,401.7300","173,144,569.0300","273,314,133.6300","319,484,500.6000","79,812,385.4000","175,820,536.2000","289,022,580.3600","359,238,327.7000","68,027,469.3500","135,495,479.4900","201,083,749.2300","257,286,690.3400","57,099,081.4000","120,360,504.4900","183,193,967.1600","250,378,268.0500","62,152,570.2300","123,106,331.4000","189,250,987.6200","255,611,253.6100","58,505,936.7100","107,745,277.0500","160,973,527.4200","208,617,431.4900","44,283,525.1800","92,063,513.2100","134,169,703.9800","174,294,848.3300","37,861,841.4100","78,297,782.5700","125,505,084.1700","169,533,065.6200","35,127,886.4300","73,404,093.3500","120,970,837.5000","156,341,677.4200","29,685,187.6200","58,278,963.5100","92,688,829.6900","115,203,709.6700","32,849,505.0100","66,743,530.5900","109,388,255.2800","136,417,802.1400","36,532,431.3700","74,422,570.9300","121,004,574.0700","151,591,012.5100"
"58","000089.SZ","交通运输","","","","","","",NA,"","","","","80,631,895.6300","","","","90,983,485.5000","","",NA,"91,848,933.0100","","79,895,094.4700","","151,434,691.1400","","95,278,328.2700",NA,"209,834,831.8300","","120,338,301.5500","","213,347,128.5900","","151,184,847.4400","","275,648,387.4400","94,420,322.2700","192,536,226.4500","285,240,116.6700","354,275,837.3300","97,121,551.6200","173,551,528.0600","261,379,708.4600","343,090,986.1100","113,749,972.6800","224,062,661.2100","322,247,083.9600","395,750,917.5400","109,537,190.7000","234,045,493.5500","325,561,935.1100","436,316,558.6900","131,155,265.6200","260,121,081.9800","398,684,613.4100","504,388,665.6600","139,663,182.0600","287,761,427.8800","436,590,977.0100","678,963,076.1600","192,044,838.9700","390,372,569.7000","537,176,953.9100","685,429,112.7400","189,869,884.9300","384,924,989.0300","592,081,176.4600","747,880,454.7500","238,089,998.9300","457,037,035.5600","673,006,453.4800","824,870,637.2900","235,526,854.2600","473,490,217.6600","697,098,688.7900","867,200,741.9100","243,818,697.1000","487,112,887.6800","724,983,203.6200","921,551,090.2200","237,293,817.2800","482,263,631.1200","707,755,654.0800","819,948,112.6000","145,563,689.4700","306,188,634.7000","458,602,195.6000","560,269,709.3100","180,765,870.1700","380,405,153.9700","565,405,153.9600","831,799,269.2900","187,684,124.5100","374,733,749.2800","576,656,714.5900","774,760,802.6600","201,385,161.8300","444,950,027.4000","668,014,358.1900","877,365,769.3600"
"61","000099.SZ","交通运输","","","","","","",NA,"","","","","","","","","","","",NA,"71,276,991.8900","","","","89,687,512.9900","","45,008,708.5000",NA,"91,083,228.1300","","42,259,059.7900","","95,332,288.5900","","54,059,741.5600","","102,493,909.5900","21,211,975.2200","54,710,362.5900","94,685,503.5400","115,455,810.6900","23,862,352.9300","65,342,099.7600","114,091,305.4300","162,040,330.4100","28,399,107.4800","55,017,563.3000","103,117,054.8500","148,715,757.8400","25,808,359.6900","66,197,353.6100","103,018,544.1600","148,152,509.0100","27,167,267.6000","48,465,165.2600","98,507,300.9600","146,044,018.2100","23,275,676.5800","39,712,721.5800","92,924,750.1200","147,999,132.1500","31,102,530.3400","61,978,517.2800","99,902,046.1600","172,294,084.6200","42,090,198.9000","80,010,401.8900","136,201,871.5600","190,007,824.3900","64,418,855.1800","120,826,288.8700","172,426,732.3700","212,823,283.1700","48,752,292.1500","109,885,958.5700","176,218,767.2600","252,305,414.5100","70,594,462.4100","131,066,929.7200","223,161,910.1600","296,740,547.4900","50,594,058.1600","138,245,054.8500","248,556,167.3200","301,922,118.3800","78,469,698.0200","191,183,717.3600","285,493,988.7400","385,363,384.0000","77,649,377.9600","175,854,459.2600","312,500,822.4900","424,492,690.1700","47,259,632.4200","125,383,599.1200","165,203,651.0900","219,960,540.1900","39,683,483.2900","79,775,824.9400","159,779,029.9500","246,628,883.4700"
"98","000429.SZ","交通运输","","","","","","",NA,"133,142,130.0000","","","","145,491,759.0000","","86,339,319.0000","","196,146,435.3200","","109,318,234.0000",NA,"222,642,851.5500","","76,065,576.5100","","153,744,270.7000","","97,542,935.9900",NA,"174,738,221.9800","","82,015,956.7500","","154,264,519.2700","","192,739,880.5100","297,047,509.0100","376,432,942.6500","112,146,800.0000","235,003,590.9900","379,870,987.6900","485,892,982.6300","132,924,801.9500","246,849,471.8000","381,323,689.1600","518,769,487.3100","146,196,622.2600","288,304,794.1100","446,708,978.0900","591,298,908.7400","175,734,330.4400","357,634,277.5700","525,654,683.5800","674,357,372.7700","168,221,965.3800","312,729,316.7300","501,392,305.3700","653,793,837.7600","192,199,717.0800","379,730,015.1900","573,130,369.6300","739,063,374.9800","143,469,200.1100","295,380,709.0000","444,078,460.8700","549,339,159.1800","164,750,727.0900","288,623,099.3000","389,258,001.6000","426,859,391.7400","143,359,175.1200","241,782,912.2300","349,856,779.2200","448,528,059.0200","122,103,066.1700","242,467,327.7800","349,929,563.7200","409,015,022.7500","124,019,419.0600","248,050,187.9900","381,721,442.6100","415,730,858.2200","103,964,388.3800","203,579,390.7700","297,669,808.6000","354,796,866.3200","141,839,329.9900","293,818,488.3200","473,901,886.3900","553,622,964.7400","171,884,021.1100","337,741,223.9400","509,280,297.7500","623,074,147.6100","179,769,239.3400","742,261,359.2400","1,175,740,922.1000","1,503,435,080.0700","434,368,745.8800","899,636,943.5200","1,437,508,580.6600","1,825,932,844.4100"
"108","000507.SZ","交通运输","","","","119,476,304.8400","","-10,433,576.1600",NA,"-11,201,592.6600","","2,233,894.1900","","3,372,686.4200","","-5,890,086.8600","","-22,092,925.9200","","1,166,591.7800",NA,"-54,853,712.7700","","556,649.8500","","-2,275,947.3400","","15,216,544.5800",NA,"29,329,759.3500","","24,145,993.3200","","53,521,131.7800","","20,814,931.8100","","42,570,083.1900","7,315,235.5300","15,291,944.8900","24,873,086.3700","38,717,513.2000","8,633,846.7100","19,516,579.8500","29,774,155.3900","39,252,502.3400","8,794,850.0000","19,514,972.3200","29,644,889.0700","40,981,639.3600","9,672,942.9600","22,861,948.6600","33,555,179.7200","39,727,620.8500","6,531,375.7000","15,093,494.2500","22,865,079.8900","32,904,506.9200","16,051,443.0700","34,974,206.0200","52,359,628.9000","78,398,977.1300","77,299,454.2200","134,780,897.3600","138,818,761.3200","141,209,388.3400","-1,196,861.3100","-613,371.4600","11,397,467.4200","16,591,175.1600","3,829,023.2800","27,916,665.9400","34,657,627.1800","90,639,589.0300","13,724,291.1500","30,777,816.3700","48,378,588.5000","71,841,196.6700","28,551,870.8000","56,468,618.3900","87,356,363.4100","117,739,322.0800","33,306,559.9500","68,723,362.3000","107,854,336.5100","156,691,002.0200","40,543,693.3500","83,075,580.4800","213,892,604.7200","303,547,937.7500","83,189,864.7500","188,950,758.9300","283,286,292.7200","373,006,467.2200","87,503,958.9500","181,673,193.9100","265,346,360.2800","386,962,958.3100","90,964,626.2500","193,223,155.4900","297,984,528.4600","432,479,214.9700"
"117","000520.SZ","交通运输","","","","69,007,219.7400","","51,813,442.5000",NA,"106,866,376.1100","","38,282,343.7400","","95,723,573.4600","","50,193,783.6300","","67,771,106.0900","","49,792,773.4600",NA,"122,178,536.5200","","22,346,982.6200","","53,748,052.0700","","56,225,487.3100",NA,"108,742,209.8000","","50,582,476.4800","","112,127,065.9000","","31,153,894.1600","51,896,691.8400","65,178,818.6500","14,672,556.2900","37,590,599.2600","65,781,536.4400","91,065,571.0400","25,488,935.8400","45,336,838.2100","84,256,306.1800","111,945,976.7300","13,372,869.9300","48,321,179.6400","103,282,708.2100","134,125,848.2200","18,101,592.2300","25,650,774.7600","57,219,907.8100","78,467,121.2400","14,298,126.3500","25,918,537.8900","73,647,389.2800","142,687,291.8800","65,292,635.0800","141,493,046.3100","209,581,683.3600","340,722,088.2000","105,934,317.1800","273,749,002.0100","394,538,892.6300","398,794,050.0100","8,296,104.5200","-3,127,455.5200","-51,601,846.8500","-180,596,496.7100","24,073,719.7500","127,865,096.0000","70,720,935.6400","164,919,973.2900","-73,850,927.8800","-108,821,507.6300","-157,875,978.0500","-249,974,393.1000","-135,007,105.5800","-237,071,766.9700","-408,183,129.4100","-538,201,321.2900","-85,290,326.3300","-159,821,531.5400","-251,973,920.4700","-218,146,183.4200","35,839,640.8300","67,370,117.6800","91,828,699.6200","120,027,591.6900","23,930,660.4900","51,281,265.0100","73,240,021.8800","105,372,065.4300","19,454,211.4500","41,059,127.6700","76,997,227.5900","131,121,910.3800","24,204,187.4800","48,779,481.3000","88,228,710.9700","131,996,463.3900"
"141","000548.SZ","交通运输","","","","69,993,558.4600","","47,104,451.6300",NA,"39,866,118.0200","","14,580,232.2200","","7,351,663.0900","","-33,390,908.6100","","-107,395,342.9100","","-4,164,741.3700",NA,"-92,864,353.3900","","19,871,402.1100","","53,649,393.4800","","49,177,966.9800",NA,"68,227,482.5400","","38,661,050.6700","","66,461,088.9900","","43,730,574.4300","","78,618,712.0700","24,423,398.4100","32,425,435.8700","47,124,034.7800","101,445,706.6500","21,955,323.1400","34,049,606.1900","43,462,292.4500","68,656,644.4200","27,906,397.3800","44,679,046.1600","81,641,973.2400","114,793,294.6700","31,290,207.0000","41,084,483.4100","61,974,892.5500","58,991,401.5500","23,804,971.0200","49,380,188.5200","77,289,781.5200","107,847,891.4900","274,093,009.0500","305,113,147.6600","330,590,358.3000","346,222,635.8400","30,908,268.1200","65,233,191.6200","100,829,077.1300","143,294,737.3000","32,384,708.6600","69,040,853.5000","103,950,782.3600","145,558,132.8900","37,895,394.8400","77,732,398.5300","117,448,966.6500","191,231,187.7600","43,759,521.3700","88,656,628.7500","135,340,179.0300","177,481,194.9600","41,739,983.6000","81,067,636.0800","113,125,999.7700","148,852,792.9200","34,106,848.6700","70,291,748.0700","102,854,790.6600","131,871,836.5900","32,115,339.0400","65,497,811.3100","101,478,668.2800","122,864,855.1100","21,489,828.2200","43,616,106.4300","66,476,461.0800","103,320,516.3200","22,605,102.1400","46,486,442.3100","81,998,297.5800","118,930,218.3900","23,764,660.6000","225,056,112.2500","256,007,442.9600","266,821,354.1400"
"148","000557.SZ","交通运输","","","","8,397,169.8100","","12,491,465.8900",NA,"9,567,362.6900","","4,094,164.0800","","19,238,228.0200","","4,966,755.3300","","45,727,651.7100","","35,722,050.4700",NA,"50,863,569.5000","","166,459,147.1400","","227,692,315.7500","","104,143,066.5000",NA,"46,078,900.2600","","223,616,088.4300","","25,385,792.4500","","19,164,054.9100","","26,913,660.9800","5,199,157.0700","1,579,254.2200","14,803,869.6600","1,796,720.1300","1,258,721.8200","1,061,726.9800","1,619,383.6600","2,737,714.1800","-1,070,846.6200","-3,988,977.3800","-4,413,582.0600","-7,236,890.6000","1,692,083.7900","2,267,658.5800","3,480,924.5400","6,222,273.5000","1,214,922.2200","1,092,606.1500","1,170,719.6200","-4,414,188.4900","502,406.7300","2,791,757.3000","3,424,851.6700","5,454,207.9700","-912,641.1400","1,693,609.7000","2,916,951.6600","9,137,615.4700","292,818.7000","1,024,836.4800","1,036,563.2700","1,018,053.9300","","","","","","","","","","","196,046.4600","1,671,382.0000","534,704.5500","911,999.0200","2,829,029.5400","6,938,604.1100","697,036.4700","1,885,095.2700","2,754,288.1600","4,513,511.5700","619,322.7400","2,210,621.6600","2,771,829.3100","6,900,096.4200","4,043,342.9500","-1,105,042.2600","25,517,907.6400","123,056,913.1700","46,603,916.9600","95,922,922.3100","145,764,373.0900","263,239,754.1300"
"165","000582.SZ","交通运输","","","","","","",NA,"13,365,508.3300","","6,015,274.7200","","10,179,427.9800","","4,053,158.9700","","14,374,225.0900","","14,671,623.2000",NA,"23,225,735.2100","","3,969,917.0800","","32,804,946.8200","","6,334,185.7700",NA,"30,619,147.4700","","5,473,910.8900","","14,884,420.7300","","13,599,386.8300","","20,798,489.3600","108,200.0000","2,312,079.3000","3,264,210.2300","1,316,946.9400","4,191,134.1600","6,013,355.8600","7,705,089.7400","16,336,430.7200","-1,763,271.6100","3,810,291.3600","5,288,767.5900","3,799,991.8100","10,747,899.2500","20,136,360.8800","21,412,182.8300","23,484,486.8900","4,493,985.0100","6,802,500.0700","13,841,020.6200","-9,526,702.4000","4,502,267.2200","12,913,526.6300","27,195,476.6100","31,295,108.1600","10,351,837.9900","26,781,061.5900","46,722,514.7600","56,778,336.3600","15,796,900.7700","32,134,720.5200","47,658,466.9000","59,192,573.7000","20,668,147.5300","45,810,918.2800","68,106,707.8400","93,641,451.3600","22,225,135.2900","56,646,488.0500","83,032,063.3000","110,647,952.3600","40,391,749.1800","69,547,304.8800","105,333,042.2100","142,467,639.2000","29,831,436.5500","57,858,063.4800","99,001,051.1400","1,065,522,084.3000","237,030,199.6000","553,527,681.7600","880,576,054.4900","1,132,326,560.9500","225,692,553.3500","545,027,385.2400","785,519,520.4000","941,131,174.9600","220,904,190.3200","530,946,799.7700","780,087,912.0500","1,006,304,847.0100","227,599,780.1500","558,941,821.7200","834,168,608.8800","1,156,774,421.2700"
"341","000828.SZ","交通运输","","","","","","",NA,"149,183,439.0000","","","","312,092,680.0000","","","","277,720,426.0000","","98,198,341.4400",NA,"367,573,812.3700","","116,964,991.3800","","388,150,242.9900","","259,749,679.3800",NA,"763,277,790.0000","","378,533,214.3900","","468,561,382.5500","","16,444,318.1900","","-157,099,938.7700","12,767,207.5700","84,467,435.0300","145,988,153.7500","250,072,273.5400","69,000,367.0700","146,206,918.7200","238,728,428.1800","351,386,335.5200","44,845,233.4800","93,428,080.6700","174,163,307.5400","256,581,732.6200","68,473,089.3400","147,818,962.8800","232,346,144.5600","294,096,236.4400","60,543,061.9300","128,820,344.4400","206,230,054.2100","277,200,855.7500","74,268,480.5300","154,966,527.8000","244,445,196.5300","300,811,449.4300","60,357,940.4400","125,237,655.6400","198,625,210.9300","252,701,275.5600","56,662,567.0300","122,877,956.1100","198,105,721.2100","269,202,372.9300","78,941,161.1600","177,475,922.3400","282,276,720.7500","361,465,644.7200","107,650,886.2200","219,500,550.8300","337,805,068.9900","429,884,937.4000","114,906,677.5100","233,092,076.8100","358,248,294.9700","461,952,320.0800","109,011,438.0400","228,619,699.7800","358,778,625.7800","467,404,270.2600","124,645,226.9800","278,140,068.3600","455,758,000.6400","600,485,562.9100","148,141,171.5300","295,015,304.9700","482,035,886.3200","661,226,276.9600","180,827,636.5100","395,000,116.0500","625,256,333.5500","797,074,761.3900","213,967,586.7200","455,079,239.4300","707,711,817.5800","939,925,586.4800"
"373","000886.SZ","交通运输","","","","","","",NA,"138,733,926.2600","","","","152,618,969.7100","","","","183,079,370.6700","","72,354,433.7700",NA,"161,046,936.2300","","84,060,574.3000","","229,372,474.7100","","58,396,380.9700",NA,"185,393,211.1900","","86,419,540.5900","","178,410,194.3300","","77,788,938.4900","","138,726,568.3400","40,930,359.3900","70,935,053.3000","95,837,977.3600","118,977,058.8600","21,297,028.2800","58,163,525.3000","80,801,070.7700","80,927,804.7800","24,845,238.4200","53,240,051.4000","73,628,607.1500","103,618,264.0700","23,230,482.5400","43,622,495.5500","62,069,166.9000","96,283,254.7900","23,230,478.4200","38,654,431.6300","57,130,332.9300","75,535,188.9300","22,999,514.3500","45,461,823.9300","70,141,013.1100","86,538,183.4700","21,268,276.7700","45,973,783.4100","67,536,505.1400","109,468,449.9300","20,584,514.3300","38,497,428.5000","58,316,164.1400","104,823,248.7600","24,543,358.7800","43,496,384.8200","63,657,758.3600","226,384,776.9300","128,788,159.9900","168,276,743.1700","200,924,086.7300","245,939,732.9700","59,113,772.9600","96,605,122.5100","125,931,009.5500","158,186,449.4700","60,761,595.2900","90,466,668.5000","108,246,216.2500","219,355,583.0100","22,113,253.8200","43,661,748.0600","92,826,952.8400","100,583,811.4300","30,087,530.1600","53,486,031.1400","87,611,257.4100","86,498,514.3100","31,391,566.4500","61,172,324.3500","90,522,477.0400","163,627,704.9200","75,564,960.9600","144,338,717.8600","176,397,295.7600","249,441,095.6100"
"384","000900.SZ","交通运输","","","","","","",NA,"","","","","51,154,536.6000","","","","69,926,495.7300","","",NA,"72,351,450.0900","","","","123,655,616.4200","","86,638,115.3800",NA,"173,214,199.8300","","72,151,745.7300","","185,283,566.0300","","158,909,459.3500","","337,924,413.7000","81,678,578.6600","174,144,876.0200","271,813,566.4100","357,643,350.3600","84,531,462.9000","155,280,520.5600","247,950,087.2100","316,232,131.8100","142,486,154.0300","297,334,737.4700","477,556,432.3500","644,924,690.0800","179,751,602.5500","389,139,263.6500","571,045,027.7600","792,240,527.3400","201,792,290.0500","398,541,149.3800","613,017,591.1500","852,993,347.2000","249,792,633.8700","534,910,247.6600","902,952,713.6700","1,026,583,250.6600","227,045,214.8600","517,725,091.0100","805,030,939.7300","919,173,881.2400","243,657,365.7900","497,991,569.7200","763,630,520.5400","1,103,004,131.0100","281,510,962.7900","554,100,121.1200","843,613,479.0500","1,179,373,539.7700","296,848,105.5300","594,759,697.9700","901,395,311.1700","1,199,171,154.9800","291,244,953.5700","510,536,810.5200","736,744,792.3900","1,024,996,368.4800","230,019,693.9600","480,498,918.3700","706,718,062.2500","1,013,947,771.7800","282,378,078.9200","561,658,086.1600","884,131,327.7600","1,238,515,306.7200","295,838,184.8400","624,216,162.6000","961,533,531.6700","1,267,590,867.1800","288,556,282.0700","739,429,212.6900","1,155,778,330.2700","1,572,701,938.7900","364,328,737.7500","739,071,359.6500","1,193,218,621.1500","1,531,973,056.3900"
"388","000905.SZ","交通运输","","","","","","",NA,"","","","","","","","","66,481,187.7400","","",NA,"93,154,710.5800","","","","108,984,960.1900","","63,503,869.4700",NA,"114,819,786.9100","","60,128,817.1000","","133,811,377.9800","","59,411,241.1600","","129,657,752.5400","35,674,921.4400","73,880,790.3700","114,212,663.6500","160,303,909.0800","38,093,925.7600","84,343,317.2700","119,779,354.8100","177,317,440.7300","40,733,096.9800","88,358,114.7900","146,995,237.5300","201,069,648.7500","61,780,252.2800","128,820,486.8900","186,801,714.7200","242,565,579.2800","56,403,264.1800","120,419,172.8500","177,472,764.0200","229,048,340.4500","61,512,688.1100","132,227,819.9900","200,991,158.1900","274,720,642.7400","72,771,978.4600","154,859,211.8100","210,638,739.6300","260,613,213.1500","42,836,825.6600","106,463,540.8100","172,825,968.7500","223,754,353.9200","54,369,067.2100","122,076,155.4200","197,372,622.9600","264,403,662.3400","71,331,360.6800","156,639,951.3600","241,450,926.9500","314,482,043.7000","83,074,412.3500","176,779,837.4300","262,987,224.3900","354,228,063.9200","75,043,913.2300","172,291,422.3300","261,193,922.4700","360,888,436.7100","81,692,237.4700","184,378,933.9200","296,065,126.1500","361,909,080.8300","80,814,177.9000","185,329,725.0400","277,551,421.7600","358,330,595.2400","72,033,471.6300","173,215,764.9600","280,422,275.9300","523,354,238.9600","111,206,216.8700","234,479,636.7400","355,985,365.8300","481,029,377.8000"
"463","001965.SZ","交通运输","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,192,776,400.0000","","","","1,407,876,400.0000","","1,038,827,761.4100","1,644,392,146.0600","2,154,764,200.0000","484,265,100.0000","1,096,788,921.5700","1,687,818,350.0900","2,283,384,148.3400"
