"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"75","000400.SZ","电气设备","","","","","","",NA,"58,187,362.0000","","","","59,429,452.0000","","","","67,694,457.0000","","32,252,221.8900",NA,"78,947,990.0000","","75,811,112.0200","","187,146,558.0000","","132,444,233.3700",NA,"345,102,513.8800","","175,256,723.4900","","415,821,376.0500","","202,412,750.7500","","475,001,845.6100","66,591,359.3100","206,187,622.6600","304,611,923.8200","423,012,749.4400","71,686,396.3700","229,101,272.7300","357,747,163.1100","530,484,534.0900","95,905,140.4400","266,638,043.4300","399,234,026.3200","527,065,594.5900","101,882,929.6500","228,372,230.4900","339,809,465.1000","460,564,706.9600","101,316,738.8100","254,098,573.4000","423,786,615.0100","658,036,147.0000","132,422,924.3200","359,253,007.6100","517,206,989.7400","739,577,618.0400","130,889,449.7900","335,454,938.5600","524,699,035.0800","776,765,526.3300","140,100,941.1700","394,204,061.6500","588,565,392.7200","960,425,564.4800","159,502,801.5300","430,935,846.8700","651,613,660.9300","1,084,996,460.1000","197,410,090.9000","505,189,341.1100","783,485,234.2300","1,394,593,320.2200","345,228,542.4900","721,078,466.2700","1,004,098,473.7600","1,704,351,816.1400","343,206,135.6200","677,689,525.0200","1,072,387,812.4100","1,856,350,848.1000","398,582,656.3900","918,432,078.7900","1,539,385,862.5900","2,816,734,424.9600","192,429,025.0000","497,865,298.9600","844,318,306.7500","1,995,531,922.3100","248,476,166.3400","530,357,174.7600","889,580,340.1700","2,180,134,657.0800","231,355,171.1500","618,843,335.3900","1,010,050,575.4800","2,043,348,385.3800"
"167","000585.SZ","电气设备","","","","63,590,000.0000","","",NA,"72,326,999.0000","","48,857,000.0000","","108,999,829.0000","","34,969,000.0000","","51,537,565.0000","","38,644,000.0000",NA,"61,633,000.0000","","185,720,000.0000","","336,189,778.0000","","147,935,000.0000",NA,"303,067,603.0000","","136,275,425.0000","127,400,000.0000","167,436,091.8700","","112,209,911.4200","150,660,281.0000","176,709,465.1200","82,228,195.0000","185,096,265.0800","235,462,550.0000","307,191,845.1600","53,548,269.0000","109,160,005.0000","163,446,854.0000","196,575,421.8700","15,563,199.0000","35,499,247.0000","56,783,121.0000","92,721,940.6100","19,439,222.0000","53,102,419.3900","86,053,707.0000","140,893,040.6800","28,765,972.0000","56,882,050.2800","88,586,289.5600","134,186,681.6200","25,342,870.5200","48,262,639.0000","93,630,322.4400","111,494,262.6700","23,672,594.3700","56,513,187.8100","79,788,235.6900","112,934,776.2700","9,862,069.3400","45,613,656.2300","59,541,126.3600","122,686,472.8100","9,395,837.3700","39,037,411.3900","47,364,513.9300","73,481,349.7100","4,138,953.2200","40,980,975.0000","49,477,645.9900","55,288,882.1900","3,040,175.2900","2,555,315.1100","21,723,971.1200","59,183,745.2300","11,938,289.8200","25,865,621.2400","35,839,642.4700","56,125,424.9200","5,006,936.0800","19,858,633.9300","32,235,044.5300","47,078,944.1300","5,055,462.8700","17,671,312.7800","27,583,457.3800","39,274,141.6600","3,481,385.6300","6,522,708.7300","9,023,905.4000","8,431,362.9900","1,286,771.7000","3,604,514.7900","5,091,838.0200","5,680,411.0000"
"172","000591.SZ","电气设备","","","","11,761,412.5700","","",NA,"2,989,394.4800","","1,169,421.4700","","5,150,828.1500","","1,770,425.7400","","6,849,820.5800","","3,575,402.3000",NA,"8,893,905.2400","","33,778,948.3800","","72,442,248.2800","","40,543,490.8400",NA,"73,923,070.5500","","46,692,957.2500","","100,074,293.1700","","50,444,990.8200","71,641,330.3700","111,867,309.8900","41,442,500.0000","82,487,013.7700","128,677,677.1500","178,041,318.4200","45,432,053.4300","96,515,680.1800","135,811,897.1600","187,767,983.1000","48,607,797.6400","93,898,097.5100","135,659,544.7800","189,094,909.5300","52,413,058.7300","96,224,234.2400","138,656,358.6500","195,766,121.9700","55,073,689.0300","97,566,843.5800","149,279,295.5400","218,026,746.8900","67,942,363.4200","125,493,649.1100","185,692,391.1900","250,048,245.6000","72,061,000.8800","146,851,606.3900","199,073,758.5200","284,698,814.2000","86,532,327.7000","168,442,954.4000","256,551,631.9000","375,175,058.6600","100,316,376.4000","207,614,195.7000","310,521,889.6700","422,093,119.9200","124,510,758.8200","264,813,631.0700","393,955,438.0700","578,188,719.9300","159,331,291.6400","327,856,688.8400","488,785,963.7400","643,310,653.5700","161,795,019.7800","347,501,267.9700","490,729,133.2800","653,445,941.0500","170,062,073.8200","351,511,833.8700","484,108,744.4700","706,062,067.9400","179,313,253.5600","398,727,193.4700","553,338,718.2500","1,233,466,826.8100","202,657,562.8200","615,598,040.4400","987,064,909.0400","1,382,806,306.5000","265,432,780.3800","803,641,843.9000","1,350,138,499.5700","1,732,926,782.0000"
"238","000682.SZ","电气设备","","","","8,393,282.3800","","",NA,"18,530,017.0500","","","","23,157,520.3500","","9,023,335.4300","","32,529,835.1700","","41,502,019.8100",NA,"83,356,346.2100","","97,605,528.1700","","200,919,289.3500","","200,099,708.2900",NA,"424,966,037.3300","","298,619,914.2800","","624,546,276.3400","","309,142,717.9900","","106,201,866.6300","22,593,059.1100","44,386,514.8300","75,547,229.5500","53,737,102.0000","31,555,995.6300","65,689,121.1500","103,643,706.3200","149,172,468.9200","35,801,905.6000","61,114,937.1400","106,240,835.6300","187,194,220.9900","39,942,988.6300","83,215,479.0400","123,573,197.2600","190,861,690.5000","43,012,282.2500","92,029,654.9900","141,819,326.4100","202,051,340.5700","41,237,081.1500","88,572,055.1400","144,724,440.7300","212,720,844.3500","44,347,203.8000","109,815,602.2200","170,596,107.7900","278,839,261.4200","54,805,223.4200","122,545,239.0500","190,950,804.3600","288,469,963.9700","58,337,927.6900","133,094,531.2200","208,372,880.6600","315,750,965.5300","79,096,207.4300","164,509,857.6900","254,171,922.2500","382,350,034.9200","90,105,187.0500","181,604,598.3600","295,358,421.5800","482,076,889.9400","123,794,299.1100","234,166,582.3900","380,008,116.7700","599,820,039.5500","128,705,235.8300","268,965,406.9600","433,254,024.8100","638,677,919.1000","130,308,922.0800","292,721,081.8000","456,985,882.4700","642,031,119.0700","127,920,772.9000","298,642,680.1500","466,101,125.8100","690,357,190.2500","130,355,159.7800","332,567,696.6200","545,208,366.4800","829,704,366.7100"
"324","000806.SZ","电气设备","","","","","","",NA,"15,886,643.6000","","","","30,319,339.3100","","","","39,347,292.7700","","",NA,"46,082,413.9800","","26,470,975.4100","","50,860,918.7700","","26,082,782.4200",NA,"66,680,134.2000","","69,189,781.5200","","139,727,304.5300","","92,268,499.6700","","172,042,351.8600","37,079,990.7600","82,714,944.7000","132,263,263.1000","176,775,454.9600","56,076,309.0000","117,986,464.9300","181,411,795.4100","224,857,125.9300","84,933,865.5100","173,880,685.6500","252,290,902.9600","245,300,254.3500","82,864,310.1200","178,408,865.4400","266,160,670.8700","283,710,194.5000","66,606,009.8500","137,781,584.0600","217,143,190.8100","190,125,487.6300","68,903,594.5400","165,183,788.8200","303,278,490.2400","421,085,441.4100","111,670,198.0800","171,515,538.1200","279,383,439.8700","422,882,026.2700","42,273,458.8500","116,429,299.6000","199,689,169.9500","268,274,891.7500","51,440,256.9400","115,014,845.6800","186,822,621.7000","230,845,729.4800","40,733,971.0500","100,014,628.6600","168,508,290.5600","136,029,975.6100","47,475,814.4700","119,156,586.8500","173,923,501.0300","214,234,105.3200","44,665,317.2500","99,968,573.0700","155,961,970.7500","216,954,429.2600","21,961,890.1300","72,667,971.7600","139,677,195.5200","210,998,674.1800","26,328,257.2200","90,036,366.0800","147,219,785.5600","216,241,732.9600","37,585,036.6900","142,029,613.0900","205,102,880.7600","305,065,997.9400","63,290,950.6200","136,353,591.1300","207,769,607.1800","276,280,653.6100"
"402","000922.SZ","电气设备","","","","","","",NA,"","","","","","","","","99,158,254.9600","","",NA,"107,096,369.9600","","","","112,102,706.9500","","54,490,253.7700",NA,"111,060,077.6700","","38,097,927.5400","","85,105,615.5100","","47,290,001.5600","","90,267,184.7200","28,562,700.0000","52,571,364.7900","70,844,742.2700","83,592,282.1600","22,228,241.9400","46,625,323.6800","64,668,058.5900","85,511,920.8700","18,417,444.4600","37,034,091.8500","52,465,894.0500","67,799,408.8700","6,805,967.5100","12,014,088.8200","12,670,710.7000","4,443,148.6700","3,478,319.5300","10,588,695.4600","19,410,709.6100","-12,648,959.8700","4,336,290.4000","18,272,530.1200","20,607,420.2200","16,069,697.2900","1,254,241.8100","6,996,702.6400","12,096,777.1600","5,601,449.5400","4,590,766.7600","12,074,204.1700","9,527,780.0000","11,909,043.1000","4,260,013.5900","7,986,263.8000","20,293,224.4400","31,600,567.7300","2,227,063.0000","5,951,022.8600","12,072,018.4200","17,856,970.3000","-425,267.8000","331,890,890.8000","497,102,548.6000","680,041,796.3200","105,196,004.4000","254,090,375.1600","377,245,807.2100","422,119,554.1200","128,750,535.3500","287,310,616.4800","416,841,466.7400","362,598,221.6000","34,104,766.2400","84,855,882.8000","49,389,721.1900","182,510,481.6100","27,292,656.2000","49,492,570.4900","81,198,200.1800","195,398,763.5700","30,511,959.3200","111,223,745.0800","223,458,137.6700","443,319,765.4800"
"492","002028.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","48,909,344.8500","","","","57,901,674.3900","","28,931,977.3100","47,649,266.0800","78,549,892.6600","25,511,548.6100","47,083,585.9400","71,810,907.6200","109,888,080.5000","38,320,346.7600","92,985,322.7300","150,609,864.5500","249,576,635.3200","51,202,415.8300","123,365,220.4800","213,460,783.7700","376,284,487.6800","79,576,666.3900","190,442,034.6400","344,420,841.7700","547,264,018.8400","94,428,817.2700","270,391,054.8300","463,846,371.0300","635,799,376.9600","129,768,399.6900","325,592,062.7300","555,173,853.4700","827,795,696.9800","161,639,048.0900","316,235,681.6300","512,874,647.6900","769,791,454.0700","114,662,746.5200","275,208,295.2100","413,601,698.9200","706,112,615.0800","143,594,505.9200","391,962,884.2700","660,125,550.2700","1,132,235,510.9500","220,716,551.7100","501,472,085.3600","841,237,215.8900","1,332,784,557.2100","156,939,721.5900","479,231,808.0400","839,926,876.2200","1,342,130,673.9800","214,231,176.1800","502,139,572.2200","822,211,343.2200","1,322,591,090.5100","240,121,524.8500","561,005,139.9700","930,126,342.5600","1,515,563,014.9200","208,062,645.6100","618,846,933.6400","946,907,992.0300","1,416,787,707.9500"
"522","002058.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","40,397,803.4400","","","","52,727,533.5400","","25,228,793.2000","39,194,574.3700","52,090,656.5300","8,963,427.2500","24,054,586.8000","33,718,322.2100","42,883,052.9300","7,746,422.8300","20,183,294.4400","31,275,883.6600","39,987,327.8600","9,064,885.4500","21,097,327.0300","33,941,877.4900","42,501,462.9300","6,349,506.3500","19,252,618.0500","33,144,710.5200","44,493,498.7600","7,669,856.6700","20,191,630.2200","35,605,868.3300","49,724,350.9200","9,048,375.9500","24,500,695.3700","40,839,746.7300","57,171,753.9100","7,072,514.0300","20,467,644.4000","34,863,808.3000","48,779,995.4800","7,176,892.2600","19,472,307.6200","33,930,702.0100","51,331,388.0500","7,152,703.0400","18,523,025.3200","31,103,336.4100","48,704,920.4800","6,328,763.4800","15,084,147.5100","24,191,476.7000","33,882,266.2800","4,444,004.9900","12,177,979.8800","23,010,801.3700","36,341,030.4800","4,395,370.9300","13,604,246.5900","24,817,590.6400","41,260,185.2900"
"538","002074.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","46,255,451.5500","","","","51,643,646.0200","","","40,010,341.5500","53,901,770.8800","13,471,595.8400","35,581,546.0100","54,857,702.6200","75,268,939.2800","18,854,924.5400","43,172,212.0400","63,678,589.5000","95,611,040.4700","29,864,485.9800","65,144,054.5100","99,326,450.0500","121,285,284.4400","23,632,327.1500","57,494,147.7700","93,456,467.5900","110,685,110.6400","22,592,107.0200","62,622,491.8500","96,121,592.6500","119,571,754.8200","32,153,404.9400","94,555,015.2900","129,278,958.3100","157,194,519.8900","33,395,741.6000","106,855,215.9400","145,200,265.1600","185,042,961.0700","46,718,804.2400","109,056,916.7500","160,427,826.5100","214,900,846.6000","42,566,288.8900","104,335,357.8200","167,733,308.3700","234,650,442.1600","35,313,642.1000","407,056,847.9900","669,763,230.1500","1,220,452,639.6100","590,569,217.6900","1,135,091,517.2400","1,633,514,977.3700","2,201,775,903.8400","411,673,821.0700","856,400,194.1900","1,370,266,317.3500","1,843,268,035.2900"
"554","002090.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","69,322,760.7000","","","","99,022,337.2900","","","65,944,627.8900","96,821,063.8000","20,198,090.1800","49,718,778.4700","75,622,292.1300","106,802,065.1600","19,128,271.0300","53,484,022.6700","78,915,575.4100","108,938,031.9700","29,220,371.4700","57,910,712.3400","90,421,374.5700","118,278,810.8700","25,580,039.2000","60,624,009.8700","96,597,870.7600","130,766,524.8800","30,902,024.7700","80,551,385.2000","112,352,948.2600","161,980,242.1500","42,380,452.1200","83,004,044.3600","129,635,142.1700","182,413,967.3800","45,709,535.9400","95,323,521.6800","147,612,772.2100","224,772,031.7800","55,850,187.3900","129,371,529.8400","203,324,378.9200","289,716,895.1400","71,061,263.7800","158,828,443.9500","238,015,189.9400","347,236,142.1400","74,981,410.5400","172,989,452.4700","259,568,934.8000","378,808,359.9400","103,474,263.4900","238,010,107.3800","360,795,674.0200","499,434,376.5200","126,122,147.9200","280,745,942.5000","402,897,091.4600","535,167,928.1300"
"576","002112.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","93,417,687.7100","","","","109,460,302.3900","","","","122,783,790.2400","29,609,776.1000","69,333,951.6000","97,470,479.9200","132,821,435.1100","28,661,834.0100","73,733,348.2000","117,425,262.4500","169,551,902.5200","35,278,748.4400","81,342,318.2700","139,056,851.8700","200,323,016.7500","35,896,660.5600","90,073,596.8700","151,346,131.2500","220,096,667.9400","42,811,187.5800","92,025,040.0600","142,030,759.8200","196,004,712.7700","40,341,202.7300","82,566,370.3100","126,088,276.1700","174,810,705.7100","37,007,556.5300","84,189,107.4000","135,431,270.4500","180,855,979.8400","45,810,352.6200","96,474,106.9900","157,784,539.6800","225,212,733.0200","47,636,048.4400","100,891,940.1300","154,081,077.9200","214,970,822.9700","34,449,677.7700","91,177,409.3300","138,395,547.6900","197,330,847.8600","29,871,237.4800","56,965,948.0900","72,783,188.7200","82,156,748.1700","9,732,501.5800","22,444,327.3600","41,972,290.3000","41,021,682.7800"
"585","002121.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","54,597,080.3900","","","","72,207,258.5800","8,467,097.7300","25,090,191.6500","44,222,661.2800","84,349,184.4700","8,529,994.9700","36,550,742.9800","63,581,266.9000","127,516,050.8700","16,707,183.9500","53,456,153.4100","95,710,944.4100","159,558,696.5000","20,282,205.3800","64,021,757.6000","124,204,473.5400","192,465,511.2700","28,449,993.9600","134,734,326.1200","245,659,307.7500","356,508,667.2000","47,340,700.2100","151,157,339.5600","252,916,111.7700","332,891,636.6600","64,922,067.8400","204,436,106.6100","285,343,279.3800","376,766,961.3300","60,970,884.4400","178,108,544.2400","266,752,149.9900","401,714,836.4600","71,243,602.9800","215,710,136.4000","362,919,633.0200","596,306,842.2100","102,211,637.8500","299,846,585.4900","500,272,372.3000","716,094,875.6500","157,474,120.5700","436,211,469.2600","663,809,077.5500","984,916,544.1100","260,176,455.6200","567,428,285.0300","884,211,053.0300","1,275,285,935.4800"
"593","002129.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","107,558,773.7700","","","","112,186,602.2500","45,189,860.9600","90,874,536.6400","134,285,609.2900","178,870,864.4000","50,169,241.7500","113,268,375.5400","163,349,551.2400","229,025,837.9900","72,099,007.5500","148,079,877.7300","202,426,411.4200","250,586,255.7100","21,289,982.5500","16,510,044.4700","13,350,878.4700","15,158,615.4800","11,100,875.4400","75,942,514.2000","160,461,672.4600","337,372,559.5800","192,417,651.4100","364,316,479.0400","456,500,531.5300","466,308,432.8200","22,327,966.7400","106,253,581.1600","164,196,505.3800","251,485,090.6600","74,475,135.5600","153,914,817.0200","281,289,957.7000","458,216,059.7500","146,347,244.9000","310,773,529.3900","512,250,755.2200","724,374,872.5100","115,802,058.7700","283,293,301.9000","474,681,702.6100","749,486,825.5400","222,201,893.8100","464,451,006.2700","680,012,552.0800","919,634,620.2200","269,449,830.4600","754,227,323.5700","1,288,797,010.0100","1,878,510,907.3100"
"632","002168.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","58,407,548.5000","","","","67,439,163.2900","","","50,106,234.1600","73,804,563.1500","10,423,963.6200","28,758,110.9200","48,462,349.8300","75,827,886.9500","10,566,970.4100","36,636,526.8400","63,267,832.1500","106,808,016.5400","16,021,345.0300","45,703,529.6900","87,037,162.9400","142,087,621.5700","16,382,038.7600","64,896,086.9900","110,890,786.9500","174,228,577.9800","20,945,768.0600","61,565,298.7600","107,526,007.3000","161,672,288.9000","24,986,813.2100","66,459,674.5900","119,642,880.5800","166,680,078.1100","26,110,717.3000","70,618,738.3400","120,442,972.4500","147,335,992.5600","27,810,510.4200","57,724,740.1400","77,576,318.8300","88,581,248.1400","7,774,883.5300","22,963,259.0400","43,120,690.9400","69,253,581.0400","9,709,490.1000","38,271,875.4500","69,409,830.4600","105,212,822.3500","14,192,702.5400","39,962,219.3400","62,189,640.6800","132,335,026.1400"
"633","002169.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","29,096,936.0200","","","","40,719,066.5700","","","41,304,132.5500","70,171,896.8900","13,815,842.8300","30,768,279.0800","55,287,611.0400","93,431,583.2200","20,218,078.8000","42,162,327.7800","79,042,643.8800","106,646,076.7900","19,919,622.7400","44,821,472.5500","83,335,296.0100","137,450,874.1100","26,011,262.1300","58,696,125.9100","90,782,620.0500","147,745,299.3800","27,532,243.5700","62,968,815.3200","95,086,835.9300","141,010,797.9600","25,846,775.7400","51,552,326.1100","63,203,100.8100","96,268,839.4800","24,941,991.9200","79,387,802.1400","135,784,168.2200","203,023,286.7400","30,413,635.9000","88,960,347.4200","136,508,928.5200","200,560,767.5800","30,109,007.3500","100,408,436.5000","151,094,253.2300","323,065,920.4800","63,996,507.6200","163,915,192.4100","249,185,536.0300","343,037,934.0700","47,613,344.3400","157,728,643.2800","238,473,470.6600","399,616,453.1000"
"640","002176.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","41,731,633.6600","","","","62,313,440.0200","","","51,730,370.8800","75,623,414.7600","14,672,778.7600","41,508,256.1400","61,621,444.8900","85,009,949.6000","18,526,941.1100","48,138,958.0600","78,155,744.1100","87,476,469.7100","11,482,592.2600","30,907,505.3800","53,898,243.6000","69,168,987.1700","16,148,941.8600","42,163,555.4200","68,185,758.5000","110,324,553.3400","31,026,182.3800","79,803,277.9300","127,721,179.0700","172,339,609.7900","35,319,244.7400","65,440,480.3300","115,257,433.5100","153,668,123.7800","32,924,868.9500","95,208,584.5700","158,468,619.7700","206,289,410.2000","45,264,281.3900","104,353,673.6500","159,065,201.4400","193,092,010.5500","41,251,112.6900","103,840,220.6300","150,901,737.0300","219,060,947.0100","153,207,798.3600","364,497,706.0700","600,352,406.3800","725,098,191.1000","84,250,357.1800","231,527,083.6500","501,516,094.7900","833,942,403.0200"
"648","002184.SZ","电气设备","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","88,064,912.9900","","","","104,628,110.6000","","","89,067,165.0900","131,668,509.7400","29,123,048.6900","75,930,030.3100","109,002,296.8100","157,043,175.7900","39,677,880.2900","90,096,269.5100","127,157,732.0600","185,557,380.6500","37,878,243.4200","85,725,642.3400","129,633,647.6800","194,228,258.2400","44,596,816.8300","107,192,556.2400","155,785,456.4700","223,560,533.8600","41,117,272.4700","109,726,727.6200","165,570,016.6600","231,811,813.3100","32,669,584.3500","86,826,869.2200","144,217,102.6200","208,577,891.4000","34,720,653.3300","96,364,413.1000","161,140,732.4700","252,546,364.8200","57,690,511.3100","135,605,406.8200","208,154,662.4100","312,248,784.1300","77,013,518.1900","173,383,519.9800","269,687,160.2300","404,875,544.9400","74,439,240.8300","161,597,222.0500","239,808,905.7000","365,810,057.4500","55,238,679.3700","158,872,436.2700","256,240,438.7500","405,972,044.5400"
