"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"6","000007.SZ","综合","","","","22,969,501.2200","","17,655,899.3800",NA,"-7,408,889.8800","","-1,736,000.0000","","-27,828,796.2900","","-14,411,000.0000","","499,601.4100","","9,505,124.4700",NA,"8,428,617.0500","","47,200,994.9900","","110,114,596.8700","","50,091,653.1900",NA,"49,576,398.7500","","9,034,241.3400","","3,557,743.1900","","3,546,864.4900","5,701,847.5300","97,800,026.5100","22,201,784.4700","57,212,247.2500","77,950,882.5200","134,349,087.7500","36,970,438.5400","72,833,294.2400","92,736,949.6700","154,152,895.8500","17,115,236.6900","39,756,470.2800","54,958,591.0800","77,228,496.7300","17,146,381.5100","34,754,762.4600","51,750,996.2200","129,743,959.8500","21,702,319.4300","54,195,045.3100","83,325,299.4800","104,110,127.3900","25,161,207.3900","49,390,401.1200","89,990,999.2400","124,892,889.5200","30,707,372.6600","56,305,088.9000","88,423,426.2300","116,633,018.1300","25,240,007.2100","47,711,002.2100","73,301,133.6200","96,797,713.6900","20,586,868.3100","46,722,218.7600","73,742,375.4400","104,149,838.5700","23,606,381.1500","54,940,425.8000","85,667,544.0300","120,506,987.3800","27,796,857.3800","62,202,598.2100","97,661,480.4200","130,658,686.5400","18,726,728.1200","45,433,687.3700","73,052,052.4400","132,494,283.0100","20,936,682.3300","42,755,261.1600","71,313,715.6900","94,951,421.6900","20,850,666.9600","43,807,384.9200","65,295,914.7800","71,225,604.1600","5,168,615.2200","11,051,358.8200","18,573,690.6800","24,226,499.8900","9,266,894.0100","14,188,247.9200","21,767,036.6200","26,220,262.7600"
"8","000009.SZ","综合","","","","155,698,657.0000","","67,657,960.8100",NA,"196,195,613.0700","","33,071,724.0900","","10,773,180.1800","","2,297,709.6800","","-87,829,934.1000","","-31,092,280.9600",NA,"-96,317,776.5400","","82,074,206.9100","","145,776,481.0000","","103,891,944.5300",NA,"268,479,728.3800","","88,003,665.8600","","198,211,020.0500","","100,989,638.7400","","246,817,033.2800","36,464,214.7600","101,842,845.2000","154,848,678.8400","269,967,162.6500","55,408,592.4700","138,752,891.0500","205,752,222.8300","451,702,527.2500","71,257,830.0900","215,339,454.1000","328,478,353.6300","438,650,088.6400","98,003,546.2000","245,571,123.8100","350,122,724.4900","582,642,892.7300","118,845,422.8700","266,748,634.8400","400,770,923.9100","630,040,073.8700","95,851,912.8400","204,797,798.7300","341,251,043.3700","549,512,161.5300","164,954,386.6100","424,271,201.5700","665,947,763.9900","943,219,581.7000","227,253,669.4100","497,972,205.7300","689,643,021.9500","941,599,741.2200","319,281,629.2000","633,411,176.7100","816,082,262.2700","1,098,964,936.2500","237,567,120.8000","634,347,392.8700","886,505,333.7600","1,295,006,359.1000","271,839,492.7500","686,771,356.5100","965,569,507.7100","1,284,411,159.6300","340,251,728.7400","710,248,896.1500","945,296,690.0200","1,237,677,138.6700","256,345,129.0600","608,814,406.2700","899,928,818.6800","1,271,074,175.3400","293,267,382.5500","670,512,687.1900","1,003,523,320.6200","1,518,029,687.7200","464,863,411.7900","883,506,595.4400","1,290,996,274.3500","1,853,799,587.5500","405,101,809.3500","971,142,499.8700","1,600,019,415.6400","2,243,561,004.1200"
"82","000409.SZ","综合","","","","9,635,533.0000","","",NA,"12,874,201.0000","","","","11,513,852.0000","","12,499,344.0000","","22,553,492.4000","","11,779,622.1900",NA,"22,284,773.7900","","25,814,091.1500","","14,035,568.7800","","-289,566.1700",NA,"-1,018,218.2300","","250,603.8300","","9,934,543.0700","","6,299,296.3000","","4,941,786.1200","4,432,089.1200","8,061,125.1200","8,278,062.8400","8,156,699.2600","94,750.0000","143,810.6000","303,942.7400","260,768.7300","","8,366,407.2100","9,636,429.9000","10,473,149.4700","","787,563.7500","796,052.6300","3,411,422.5100","","-186,643.1800","-186,643.1800","-230,627.3800","","","","","","","","1,536,644.6000","","71,212.3900","225,176.7100","366,037.8600","","","","110,000.0000","","545,644.9100","1,399,118.4100","3,358,948.9800","1,899,561.1300","3,075,155.4300","3,724,809.0600","182,523,697.0500","41,825,341.5000","102,374,518.8000","157,314,032.3600","242,428,807.9800","49,914,633.6700","89,676,924.0400","113,336,732.2600","97,221,423.0800","7,923,551.8300","26,133,934.9900","163,814,845.2800","454,761,155.4400","78,237,134.2000","197,328,044.8300","328,091,228.7700","245,921,493.8300","45,228,226.9500","90,525,428.6000","148,764,953.5600","115,881,346.7900"
"124","000529.SZ","综合","","","","151,008,802.8700","","67,629,900.0000",NA,"154,659,654.6600","","94,335,200.0000","","168,699,757.3200","","94,304,950.2600","","184,888,830.3700","","77,145,656.7200",NA,"154,863,498.3900","","107,798,928.8300","","153,968,850.1200","","106,666,883.7600",NA,"-42,115,164.7200","","31,492,304.0800","","146,966,051.7800","","51,038,767.4600","","-14,120,846.6200","20,713,010.4700","57,713,447.8000","92,367,919.9000","-84,626,567.5400","20,353,106.0400","33,308,516.9800","15,952,360.6600","-60,359,326.8300","19,349,810.4600","38,333,586.8300","70,734,553.8000","18,848,103.4400","-1,626,041.8900","-4,730,901.8100","-41,353.1400","-6,731,158.3000","6,290,564.1000","7,436,692.4800","11,329,085.3100","49,721,493.9300","8,588,153.2000","11,020,991.7000","14,646,474.5900","16,542,983.9700","3,882,841.0100","4,291,186.6200","3,029,808.6300","1,007,782.9800","48,216,226.2800","77,095,939.1600","113,139,069.5800","150,566,616.9700","25,927,953.8800","61,897,281.8800","103,788,184.1800","168,362,812.0800","43,118,235.3000","100,394,856.6100","152,258,469.9200","190,649,729.2300","66,410,176.1100","107,240,282.5700","144,962,560.5900","190,090,864.0800","63,185,297.4300","127,859,184.7800","175,011,649.4600","227,270,144.4400","50,130,263.4300","111,675,596.3200","168,082,070.2300","202,838,310.1900","60,294,946.6000","121,871,800.5400","170,978,492.1100","227,862,945.2600","69,382,898.0800","151,555,360.1700","215,190,265.8600","282,277,042.6400","78,654,791.4800","148,058,758.7400","213,691,194.2500","304,476,630.9800"
"206","000632.SZ","综合","","","","15,730,090.0000","","",NA,"14,546,670.0000","","","","10,842,369.1200","","","","14,430,087.6400","","20,725,661.9300",NA,"26,625,582.8700","","27,586,353.8100","","33,259,210.0700","","19,843,016.8400",NA,"66,982,722.7900","","46,756,980.4500","","97,629,278.4900","","46,270,471.1300","","169,696,709.1800","79,900,424.6400","143,478,404.5700","211,072,756.0200","287,074,117.0000","91,561,552.5200","195,523,878.5900","256,736,417.7800","282,926,880.9200","51,697,966.7600","126,233,389.8200","156,821,696.6000","243,015,012.6500","53,637,923.4500","126,715,524.0400","163,079,321.6300","187,201,455.9600","50,406,794.8700","101,647,885.0000","162,352,458.9100","319,154,006.2900","80,383,799.0900","120,018,500.6700","177,738,125.1100","272,922,856.7100","57,841,177.2900","103,151,009.8000","91,591,033.7900","194,858,348.3900","63,743,548.6500","107,794,969.6400","159,504,551.2500","213,648,950.7400","79,122,836.7000","163,145,555.6000","228,030,980.8800","298,390,429.1100","77,746,303.7100","154,284,354.5600","210,827,873.6300","236,352,350.1300","49,722,487.5100","129,967,648.7900","185,087,626.3300","232,542,370.3200","73,671,145.6900","108,566,795.7400","187,117,916.8000","277,258,119.3100","99,871,278.4200","117,567,534.3300","178,319,445.4300","122,615,214.7500","74,183,023.0300","109,195,195.7100","201,488,937.4000","370,674,736.5700","67,563,874.5700","149,869,740.9900","239,587,086.3100","310,182,609.6000","96,899,937.5200","193,836,523.7900","307,744,138.1300","543,318,569.7200"
"211","000638.SZ","综合","","","","16,260,000.0000","","",NA,"26,912,000.0000","","","","35,797,267.5000","","16,603,000.0000","","34,699,362.5800","","20,611,330.8800",NA,"43,189,493.6500","","30,224,506.6600","","71,522,874.1200","","31,488,035.1700",NA,"40,716,499.4300","","24,391,675.1200","","56,551,443.7500","","22,741,957.3400","29,470,226.7200","22,073,974.7700","5,559,891.2300","11,467,742.1400","15,413,732.0300","26,201,016.6600","5,880,683.8100","11,478,373.9300","16,593,161.9300","20,162,870.2700","7,407,678.2000","11,463,218.3400","19,956,038.9400","19,396,387.5600","4,282,819.9000","7,790,405.4700","10,773,064.9500","11,518,188.7000","3,529,971.4700","8,342,444.8200","11,598,304.6200","12,592,201.8700","4,363,666.7000","13,098,693.7100","16,610,038.1100","23,592,182.2800","5,841,228.0300","12,507,192.6000","15,389,230.8400","77,834,840.9400","17,308,921.9700","27,433,336.3100","53,179,611.6900","96,454,060.4500","21,326,402.7000","33,303,626.4100","47,905,952.7000","93,654,331.1000","16,710,550.6100","32,682,923.7600","32,682,923.7600","54,604,847.5700","","","5,701,760.0000","6,211,361.4300","3,316,261.3600","5,435,540.3500","6,032,655.5700","11,158,380.1700","1,928,186.7900","6,460,934.8900","7,292,367.8100","7,601,048.8300","-843,111.4600","3,548,486.3500","5,226,998.5200","-8,858,771.5200","1,071,072.1900","2,988,721.2100","5,813,380.8800","18,417,328.2800","10,849,178.0200","40,416,790.6400","50,653,230.7100","32,743,986.0100"
"215","000652.SZ","综合","","","","","","",NA,"","","","","6,220,044.4500","","","","2,668,648.9600","","182,216.5800",NA,"38,216,492.4100","","41,727,301.9200","","115,351,173.4200","","51,150,365.6300",NA,"131,137,815.4100","","57,254,831.9600","","161,591,440.9100","","86,804,578.7500","","176,115,971.0200","21,849,501.4800","45,136,073.4900","94,811,642.6400","158,244,785.0500","46,430,465.0000","84,945,319.9400","130,728,451.1900","196,569,338.7600","43,294,489.0100","88,544,557.2300","113,608,844.6300","136,326,225.5000","47,756,837.9200","77,817,057.4400","136,042,595.9400","237,714,075.8500","68,017,930.6200","167,348,513.2000","261,400,445.0700","346,753,497.1200","28,653,211.3000","75,156,721.7200","144,993,701.2300","259,783,680.1000","47,414,681.6600","153,117,813.0600","254,834,129.8300","360,201,716.8600","26,624,857.8100","95,316,746.3200","191,563,696.8600","604,763,553.7000","131,082,953.5800","254,891,641.6300","505,399,439.4900","1,019,805,461.5400","123,626,772.9000","259,878,150.6000","544,826,688.5900","561,392,010.6000","44,283,799.2300","391,643,862.1400","500,672,964.4600","808,910,016.3600","207,252,055.1000","352,475,594.2700","558,937,207.5000","962,580,433.1500","153,598,795.4900","204,414,511.5900","248,112,881.1900","1,120,763,068.6900","115,948,651.1700","151,349,387.9600","280,299,794.6000","711,692,498.8200","64,637,123.1500","241,129,658.3400","376,085,622.1600","968,141,216.0600","73,807,309.4000","212,081,106.7900","347,084,319.7400","1,005,170,510.1000"
"345","000833.SZ","综合","","","","","","",NA,"","","","","47,974,112.2700","","","","62,381,471.4600","","",NA,"53,500,486.2700","","","","104,422,329.0900","","43,905,394.6900",NA,"77,692,332.5600","","55,880,023.1900","","134,006,611.6300","","74,412,956.2600","","123,933,555.0200","39,398,534.7600","80,431,194.2200","106,989,583.9900","117,260,244.9100","27,936,845.0300","58,062,116.1900","79,116,224.4200","97,288,286.5600","37,491,271.4600","79,506,408.7700","123,262,948.5000","155,690,411.3300","34,797,853.2800","87,894,750.7900","144,678,562.0100","179,391,450.5900","35,834,958.8900","72,875,686.7700","122,049,335.3100","165,130,297.5300","58,283,709.4400","121,439,283.8100","188,645,468.8700","233,410,103.6100","76,886,537.5600","150,535,298.5000","207,618,246.2100","246,805,506.1100","31,060,639.6600","72,381,451.8400","120,676,301.4600","169,026,744.9000","63,531,779.7900","122,618,373.9000","174,538,997.5300","246,533,089.7300","63,478,234.2200","125,880,029.5800","180,134,909.0800","204,481,914.1700","32,131,393.7400","69,493,693.9400","92,884,818.7000","125,546,635.1300","10,352,081.9700","26,161,912.9400","71,665,451.7100","79,783,728.5700","27,079,629.7100","53,800,565.6700","74,821,750.2100","110,956,006.8600","32,574,263.5700","64,464,357.5300","291,034,975.0900","369,463,839.6600","55,437,453.9700","113,753,526.3800","165,729,964.0400","212,897,188.0300","51,143,573.3300","125,009,021.0800","195,176,228.7400","271,578,031.4100"
"350","000839.SZ","综合","","","","","","",NA,"109,720,912.7300","","","","103,700,471.3300","","","","125,424,579.2200","","",NA,"116,336,089.5500","","139,740,966.6200","","213,415,444.0700","","155,248,275.7900",NA,"218,119,468.3700","","128,401,907.6800","","257,145,153.2900","","135,759,060.2600","","200,944,245.9000","55,194,999.1800","122,396,327.2200","196,181,908.4700","256,526,816.5600","62,019,893.6200","147,312,184.6000","283,237,939.0400","426,856,178.9200","118,257,997.8200","234,806,819.6500","359,540,227.2600","706,400,526.2400","135,620,249.6300","333,465,063.2400","526,034,459.7000","750,738,898.9800","177,697,047.5800","386,555,215.8600","594,939,044.1300","770,462,657.8100","168,657,461.1000","342,676,658.8400","555,539,955.9700","838,405,418.1800","192,995,651.8800","436,037,930.5000","667,055,990.2300","619,942,070.3800","128,392,879.6800","394,875,550.5800","507,105,979.7200","537,852,034.1100","136,366,653.3800","285,050,440.7000","320,052,246.7000","510,224,983.0100","108,195,458.5400","217,607,069.9400","278,558,757.3400","353,136,815.7800","63,210,431.6400","171,429,738.5900","293,481,837.9800","360,739,960.9100","71,441,014.3400","172,279,976.0700","254,704,382.5500","306,073,932.9800","65,812,557.3000","149,184,771.9400","275,995,882.2600","329,690,184.4400","37,789,361.4000","87,398,157.0000","139,032,716.4700","411,707,357.8900","148,881,906.8900","330,625,262.6200","508,756,320.9300","753,470,379.3600","210,620,455.9000","477,992,906.0800","639,802,801.9600","782,383,489.3400"
"369","000881.SZ","综合","","","","","","",NA,"","","","","27,729,732.4100","","","","20,196,822.1500","","",NA,"83,836,657.1200","","36,296,276.4700","","97,803,333.6000","","34,148,916.3400",NA,"123,903,820.4700","","47,985,374.2900","","150,617,727.8600","","67,216,871.5600","90,479,754.9200","188,974,745.3900","29,736,762.3900","75,694,655.3300","100,962,077.0800","149,033,500.5200","33,062,647.3200","74,267,568.3100","120,751,069.1800","192,099,157.1300","47,974,356.3400","104,275,627.6700","149,850,393.6200","245,005,299.8000","57,725,153.5600","125,660,694.0000","191,405,562.4100","260,908,918.1900","67,105,900.8100","127,108,796.6800","191,153,350.7100","296,574,797.9100","64,494,962.2900","115,090,610.3300","173,335,061.1200","325,238,494.8900","60,544,905.3400","155,127,218.5700","285,697,823.8800","466,153,826.5800","99,124,788.5700","230,458,436.4200","344,389,435.2000","454,124,940.6400","107,100,216.5300","243,232,418.3200","356,606,335.5500","527,112,229.9600","109,269,751.6300","235,665,907.7300","311,696,063.8200","468,130,690.0500","101,397,747.8800","207,386,130.9300","322,541,753.9800","539,667,728.1600","74,113,530.9500","159,796,419.3300","201,404,096.4700","317,988,159.4200","81,373,561.9500","168,481,479.1400","244,564,330.4600","349,093,864.7600","58,266,699.4200","37,226,845.6600","101,990,376.7900","184,696,778.6600","21,295,556.1100","106,012,222.7200","147,096,797.0800","599,343,058.1500","190,611,804.2300","475,749,870.1100","771,995,162.7300","1,154,319,945.2100"
"410","000931.SZ","综合","","","","","","",NA,"","","","","","","","","286,582,150.8100","","",NA,"282,223,866.7300","","","","323,293,106.9200","","149,225,798.1100",NA,"308,688,625.4700","","162,183,291.4300","","273,661,961.7400","","209,803,898.8600","","459,439,140.3400","101,334,700.0000","234,712,640.6500","353,418,969.5000","292,653,171.9600","73,839,172.8900","166,137,711.0100","247,150,396.5800","291,386,897.7000","82,919,283.9400","270,398,517.5900","360,044,749.8600","616,328,069.5800","96,105,516.0700","176,453,842.2400","247,830,818.4800","269,283,913.2300","56,132,619.0100","111,092,383.3100","168,375,045.8400","212,073,282.7100","86,695,853.2400","172,599,159.1700","209,269,462.7500","342,810,893.7300","95,860,093.5300","209,935,268.3100","277,459,822.0900","436,576,732.6700","97,458,540.8800","213,751,894.9100","315,354,039.2200","464,762,361.9200","89,840,655.0300","198,187,711.3100","274,053,061.2700","453,130,149.9400","92,212,025.1900","199,848,668.8700","339,277,130.5300","459,574,905.4600","107,334,615.3500","254,204,822.1900","356,563,877.6500","461,711,917.9900","95,714,624.0700","217,479,330.3100","346,035,575.9800","447,143,216.2700","73,166,440.4100","177,185,536.5300","279,848,977.5300","423,126,773.7000","68,554,480.2400","168,217,743.1500","282,838,611.8500","422,340,324.9900","115,412,361.6600","265,698,984.9400","423,741,078.4200","652,209,619.6500","125,213,255.5900","282,680,651.8600","506,617,581.2400","798,632,114.2500"
"455","000993.SZ","综合","","","","","","",NA,"","","","","","","","","","","",NA,"115,394,671.1400","","","","116,998,802.7400","","43,855,906.5300",NA,"99,255,599.8800","","36,972,594.6100","","98,711,173.9700","","64,533,954.6900","","111,221,080.2100","14,174,905.2900","50,301,302.2200","85,500,379.0800","117,553,405.1500","29,180,529.4300","58,294,122.5200","63,414,691.9300","65,470,883.3100","3,906,409.7900","11,115,039.6100","31,393,988.8900","30,324,398.5000","19,913,323.1400","60,849,036.2100","103,394,598.5400","133,469,958.1800","24,551,422.9800","62,824,669.0600","124,064,350.4400","153,097,102.6600","23,598,373.4000","46,455,041.3300","86,065,908.2800","115,539,160.0000","26,834,402.8700","63,204,199.3100","103,907,234.4600","187,242,239.8300","28,501,912.4700","56,798,419.8300","132,107,530.6700","169,802,495.8900","23,713,410.8800","134,162,496.6300","190,241,076.3000","209,359,515.7800","32,842,586.9000","53,835,980.2600","98,533,023.5900","108,063,156.9000","46,460,773.1500","124,931,200.9100","181,993,533.4400","270,913,342.4300","71,034,341.8400","186,881,900.5500","280,526,352.9000","344,094,930.8200","76,552,853.0700","199,358,904.4800","310,011,869.3100","410,495,656.1400","68,502,191.6100","152,373,242.6000","241,744,615.3900","358,313,711.1800","77,745,888.3800","200,882,878.7300","288,596,625.8200","350,413,243.6000","62,941,768.6900","193,133,108.7700","303,952,463.8600","298,549,593.7900"
"482","002018.SZ","综合","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","41,138,849.9600","","","","51,242,596.6700","","25,560,797.1000","45,770,939.1300","63,372,123.2100","6,868,822.1200","29,556,821.1800","47,822,573.6400","64,684,439.1500","10,318,964.5600","35,835,834.4400","61,306,153.8800","78,728,509.6900","13,708,791.9600","46,337,769.0300","76,124,845.0600","97,272,715.9600","21,489,213.2400","76,743,617.7600","128,741,510.8500","192,368,800.1000","95,502,187.5700","288,974,694.0700","387,077,140.5700","446,081,741.4700","-8,877,600.6800","25,425,942.4900","55,881,723.4000","149,761,734.2700","21,471,759.6200","54,661,316.0300","66,230,527.7700","27,742,300.0200","18,828,408.8400","40,830,077.0300","57,401,033.3800","57,018,100.0300","20,106,943.8900","66,918,023.0700","95,552,776.4800","138,399,431.1800","43,708,988.1000","107,174,941.8200","151,758,956.3900","175,539,176.2600","48,470,851.7300","129,837,871.1200","182,165,670.6100","223,543,796.9900","47,532,224.4200","119,734,052.4000","184,382,179.8500","357,887,541.7300","156,236,377.5600","313,565,800.2900","516,245,391.7700","757,607,101.0500","192,132,131.6300","382,919,278.4800","590,001,361.4300","711,308,078.5000"
"1393","300012.SZ","综合","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","52,813,232.6000","","","","87,044,137.9300","","","90,944,569.8800","127,725,656.1000","27,693,083.8100","71,448,014.1600","114,828,759.4100","156,299,862.4000","35,762,699.5000","86,198,952.1400","145,058,131.1500","206,004,172.4300","48,875,696.2300","129,402,762.7800","209,186,413.3400","304,353,180.2600","70,265,789.4000","167,521,846.0300","269,320,952.3300","379,974,348.4700","81,770,113.8300","202,632,939.1700","333,329,288.7000","480,644,593.9500","89,479,179.5000","217,991,895.4800","354,572,398.6900","535,132,872.7900","104,068,476.5400","263,627,026.2500","431,012,462.2600","691,649,838.0700","100,216,011.3000","293,420,502.9600","529,226,027.6100","828,772,314.7500","172,213,764.3100","388,629,901.6400","646,154,551.9500","931,576,204.2700"
"2057","300688.SZ","综合","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11,848,297.0700","","","","45,998,838.2200","","","","86,557,049.6900","12,059,705.4500","41,476,497.3500","65,383,705.6400","110,155,194.0900","12,599,211.0600","43,704,219.5700","68,004,979.3900","115,988,374.9500"
"2147","600051.SH","综合","","","","42,524,087.1700","","",NA,"49,821,055.9300","","","","79,343,436.2700","","","","60,307,640.1200","","44,507,553.5600",NA,"89,809,436.6000","","82,906,023.4700","","168,883,818.0500","","66,960,984.6800",NA,"165,864,701.6000","","108,117,116.6700","","209,865,075.5600","","116,006,955.6000","","259,239,566.3900","51,601,026.9300","114,984,728.6000","170,661,364.7100","295,958,110.8100","64,273,894.5900","136,218,999.9400","214,612,454.3700","379,099,161.8900","48,987,090.4900","129,815,613.5600","207,912,359.8900","253,522,882.5100","54,093,996.6500","119,875,990.8300","196,479,597.8900","270,306,961.3900","59,267,657.9400","277,073,816.5500","651,781,941.5000","838,020,039.6400","56,320,153.2300","111,265,303.9900","187,952,491.1500","223,290,448.7400","70,595,330.5100","138,219,487.5000","209,722,099.1900","289,883,743.8100","44,366,953.4800","175,707,528.7400","266,365,402.0300","390,465,855.3200","84,321,351.1800","148,023,808.3100","205,556,059.5000","346,331,922.4100","213,753,800.4600","287,919,706.9800","440,929,148.5100","522,467,765.6300","66,689,032.8900","115,494,540.3400","175,245,834.5000","242,502,825.0700","61,988,746.5900","135,313,225.9100","193,442,207.2800","274,679,556.4000","83,245,427.7400","385,589,459.9000","526,864,978.1400","662,072,495.9800","223,065,093.0100","299,111,520.4600","382,770,889.7500","530,778,273.5500","81,433,892.1200","233,759,587.8800","462,356,126.1900","588,329,294.5000","88,326,856.6600","212,663,784.6300","495,163,844.8200","772,795,638.7500"
