证券代码,证券简称,"主营业务利润
[报告期] 1993一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1993中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1993三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1993年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1994一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1994中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1994三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1994年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1995一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1995中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1995三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1995年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1996一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1996中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1996三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1996年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1997一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1997中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1997三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1997年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1998一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1998中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1998三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1998年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1999一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1999中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1999三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 1999年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2000一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2000中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2000三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2000年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2001一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2001中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2001三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2001年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2002一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2002中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2002三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2002年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2003一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2003中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2003三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2003年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2004一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2004中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2004三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2004年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2005一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2005中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2005三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2005年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2006一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2006中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2006三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2006年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2007一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2007中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2007三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2007年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2008一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2008中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2008三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2009一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2009中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2009三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2010一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2010中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2010三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2011一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2011中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2011三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2012一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2012中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2012三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2013一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2013中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2013三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2014一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2014中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2014三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2015一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2015中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2015三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2016一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2016中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2016三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2017一季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2017中报
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2017三季
[报表类型] 合并报表
[单位] 元","主营业务利润
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元"
000001.SZ,平安银行,,,,"295,149,382.5300",,"202,709,934.3900",,,,"237,771,242.9900",,"491,895,721.9600",,"393,239,745.5100",,"811,390,710.7200",,"369,495,035.1200",,"678,260,551.8400",,"370,681,702.7000",,"688,220,862.4100",,"182,764,625.6300",,"391,651,621.0000",,"50,018,037.0000",,"553,631,449.0000","211,625,830.0000","267,570,000.0000",,"561,748,514.0000","398,179,208.0000",,"1,228,174,987.0000","1,904,903,531.0000","390,284,412.0000","883,829,390.0000","1,207,938,080.0000","1,687,475,510.0000","703,813,299.0000",,,"2,790,499,500.0000","803,712,562.0000",,,"2,894,458,973.0000","806,536,796.0000",,,,"2,185,014,153.0000","4,537,500,000.0000","7,189,633,000.0000","9,983,195,000.0000","3,270,640,000.0000","6,547,087,000.0000","9,882,167,000.0000","13,361,454,000.0000","3,501,230,000.0000","6,968,498,000.0000","10,345,845,000.0000","14,045,306,000.0000","3,799,509,000.0000","7,889,220,000.0000","12,213,621,000.0000","16,697,683,000.0000","5,368,983,000.0000","11,187,498,000.0000","19,016,789,000.0000","27,136,717,000.0000","8,863,892,000.0000","17,889,868,000.0000","26,961,942,000.0000","36,336,662,000.0000","9,947,000,000.0000","21,602,000,000.0000","34,409,000,000.0000","48,124,000,000.0000","14,841,000,000.0000","32,052,000,000.0000","50,528,000,000.0000","67,925,000,000.0000","19,099,000,000.0000","43,195,000,000.0000","66,106,000,000.0000","89,492,000,000.0000","25,644,000,000.0000","51,930,000,000.0000","78,868,000,000.0000","104,270,000,000.0000","27,466,000,000.0000","53,570,000,000.0000","79,088,000,000.0000","104,764,000,000.0000"
000002.SZ,万科A,,,,"30,947,298.8500",,"29,730,075.5100",,"111,705,623.7500",,"53,618,882.9400",,"141,857,382.0000",,"34,480,675.1400",,"96,240,279.9800",,"47,565,980.7000",,"133,823,681.8300",,"213,183,535.9500",,"530,140,650.0800",,"241,715,967.1300",,"626,286,592.2300",,"306,634,832.8100",,"815,156,873.8300",,"512,861,111.9000",,"841,113,819.1600","137,901,343.6300","353,730,847.0800","514,683,058.2700","885,939,077.3000","171,223,108.7200","507,945,478.8400","722,314,610.0100","1,391,002,481.2900","302,357,660.1500","766,659,846.9800","1,045,990,441.4900","1,934,117,183.7200","575,124,666.0000","1,516,029,035.6600","1,968,282,505.8000","3,032,584,286.2100","743,030,042.6900","2,263,728,795.6000","2,834,201,148.5900","5,072,747,158.8000","1,321,276,848.3300","3,740,037,283.7600","4,956,537,999.8900","10,803,499,343.6500","1,826,842,562.1000","5,044,463,208.3400","6,645,711,824.5300","11,452,631,755.5900","1,904,668,202.4000","5,165,527,511.5300","6,714,850,356.9600","10,763,715,086.6700","2,010,348,519.4300","4,828,240,410.4700","6,458,390,051.4500","15,016,247,406.7100","2,807,337,189.7800","6,473,018,144.0200","8,771,776,158.4000","20,775,800,112.0600","3,177,205,988.6500","8,147,863,737.6800","11,993,141,247.6600","26,778,333,251.3200","3,871,058,140.1400","9,792,193,294.7200","14,532,716,055.1000","31,076,142,178.7200","2,885,682,188.6000","8,923,260,505.2800","13,252,736,568.0500","30,664,194,903.4300","2,270,337,078.7100","10,894,247,577.4200","16,205,917,203.6400","39,418,074,497.5500","3,378,271,927.6800","13,393,243,989.4500","20,970,991,752.2700","48,756,078,900.8400","4,188,877,201.6100","17,634,759,054.3500","27,713,422,556.5800","63,094,963,659.7400"
000004.SZ,国农科技,,,,"14,237,469.8000",,"11,154,980.8100",,"1,409,385.7100",,"67,130,366.1000",,"29,078,476.2700",,"29,613,186.8000",,"-106,690,792.2400",,"-3,456,385.3800",,"-13,088,391.5000",,"35,864,451.2500",,"19,109,447.2600",,"10,517,793.6600",,"35,633,564.7300",,"19,835,280.0600",,"45,298,558.7100",,"13,727,379.7400",,"33,465,387.6000","11,568,492.9500","22,209,320.1500","38,591,367.3000","55,476,653.3300","7,180,320.3600","18,702,616.7200","28,798,240.6800","50,475,918.8200","4,145,501.6600","13,310,085.9100","24,168,078.8400","36,656,508.4400","5,195,089.6600","11,678,995.5100","16,031,843.7900","23,642,031.7100","4,907,586.6100","7,223,451.2300","9,780,482.1800","20,269,125.9000","4,782,740.5000","7,844,508.5800","11,243,077.5300","15,166,967.1300","5,233,033.7100","10,509,508.4700","13,710,290.7000","19,563,840.5200","4,883,723.9100","12,175,012.6700","17,063,320.1000","29,306,899.2000","7,575,184.1800","16,672,885.7100","37,946,841.3500","47,061,704.6000","8,576,421.7500","17,175,750.7400","25,982,375.2500","36,053,077.1400","5,951,788.8100","12,975,115.7000","22,553,079.4000","39,604,704.8300","6,663,197.2600","16,098,706.9300","25,161,357.4500","35,787,857.0300","4,981,911.2300","13,691,342.4300","24,199,852.4100","26,410,764.3400","7,063,828.7300","17,952,465.9200","26,970,466.2400","36,039,490.0600","2,435,882.6400","20,634,301.2900","55,210,071.6000","66,921,086.4700","1,516,348.2400","6,412,439.3900","34,000,821.0100","82,703,649.7800"
000005.SZ,世纪星源,,,,"-30,150,011.6200",,"29,072,700.0000",,"69,433,336.5000",,"30,973,700.0000",,"52,054,297.5900",,"2,278,018.2700",,"24,608,272.3600",,"-7,239,080.5400",,"-45,548,040.8600",,"17,434,015.2100",,"36,253,587.3000",,"13,825,890.0900",,"67,189,358.8700",,"40,010,419.4500",,"76,537,230.4100",,"33,392,170.3400",,"28,242,922.2600","-344,552.7800","5,354,336.0600","15,102,558.6100","13,458,057.1200","3,184,580.7900","18,863,303.3200","24,108,265.3100","34,989,937.4700","11,309,186.1500","18,243,963.3400","27,512,536.2300","18,138,126.8100","6,281,708.2700","10,915,186.9900","16,560,075.9700","14,930,945.9700","89,678,714.0000","109,197,608.7100","125,727,614.4100","118,823,069.9900","47,256,378.6900","77,737,654.0000","93,308,613.5200","157,457,920.2100","9,012,046.1400","25,117,454.7100","45,898,378.8300","54,370,139.7600","6,065,910.4300","8,646,428.0400","9,274,416.6400","6,623,580.1800","4,577,651.7200","8,196,619.6200","8,527,027.1700","52,864,364.1800","4,134,063.9000","6,454,893.1800","2,637,539.8100","91,066.6100","3,228,358.2700","657,718.2500","-303,378.4300","32,758,615.5200","2,606,861.8000","-310,579.5900","1,615,436.6200","10,760,868.3300","1,557,370.4400","2,875,407.8300","6,936,267.0100","11,315,494.0000","3,275,894.3200","8,736,834.9800","9,028,715.5000","23,650,482.8000","19,955,270.5800","52,822,302.9200","94,896,720.7300","144,603,980.3400","23,931,184.3500","60,233,858.8900","91,994,261.1000","177,987,442.6100"
000006.SZ,深振业A,,,,"67,040,901.0900",,"43,545,620.9300",,"67,780,102.8300",,"29,232,838.2400",,"53,103,800.0200",,"6,500,720.4600",,"72,804,449.4900",,"103,865,659.7100",,"139,943,273.5000",,"124,829,613.0600",,"312,941,738.8800",,"129,753,860.5200",,"273,567,573.9600",,"107,634,050.4100",,"340,191,132.5400",,"159,888,856.6000",,"362,896,272.9500","71,504,900.0000","156,456,094.6400","229,007,541.2400","237,994,734.4100","43,702,644.8100","129,111,452.2700","178,333,587.6100","119,160,367.9100","40,795,147.0200","40,627,059.6500","108,957,784.8600","245,522,895.1700","51,638,185.2100","102,188,867.0700","148,982,124.5200","280,401,669.8900","70,230,348.6300","272,382,637.1400","309,699,893.2200","390,953,607.9000","36,271,085.4500","63,665,934.4000","127,371,214.6000","399,098,271.2500","320,844,352.1100","372,265,829.9500","416,631,252.6700","516,964,264.8300","69,151,809.7500","170,374,916.1200","239,098,828.7000","474,522,674.7600","57,305,163.6900","182,002,225.4900","269,704,198.4300","630,486,270.8600","128,483,176.0400","280,956,578.4800","499,691,783.5100","778,714,388.5800","149,603,365.2100","447,149,241.9600","572,899,864.6300","1,015,592,962.8900","96,436,130.4200","381,942,502.1400","527,392,083.7900","1,089,986,595.6800","69,152,622.1800","142,757,446.6800","198,523,374.7400","615,779,713.7300","360,819,641.0300","531,153,701.2800","645,083,584.4100","983,156,095.3100","137,163,323.1100","291,814,699.8000","380,543,051.5800","773,225,111.6600","211,289,673.7200","457,988,115.7400","618,112,051.5800","797,789,825.0700"
000007.SZ,全新好,,,,"22,969,501.2200",,"17,655,899.3800",,"-7,408,889.8800",,"-1,736,000.0000",,"-27,828,796.2900",,"-14,411,000.0000",,"499,601.4100",,"9,505,124.4700",,"8,428,617.0500",,"47,200,994.9900",,"110,114,596.8700",,"50,091,653.1900",,"49,576,398.7500",,"9,034,241.3400",,"3,557,743.1900",,"3,546,864.4900","5,701,847.5300","97,800,026.5100","22,201,784.4700","57,212,247.2500","77,950,882.5200","134,349,087.7500","36,970,438.5400","72,833,294.2400","92,736,949.6700","154,152,895.8500","17,115,236.6900","39,756,470.2800","54,958,591.0800","77,228,496.7300","17,146,381.5100","34,754,762.4600","51,750,996.2200","129,743,959.8500","21,702,319.4300","54,195,045.3100","83,325,299.4800","104,110,127.3900","25,161,207.3900","49,390,401.1200","89,990,999.2400","124,892,889.5200","30,707,372.6600","56,305,088.9000","88,423,426.2300","116,633,018.1300","25,240,007.2100","47,711,002.2100","73,301,133.6200","96,797,713.6900","20,586,868.3100","46,722,218.7600","73,742,375.4400","104,149,838.5700","23,606,381.1500","54,940,425.8000","85,667,544.0300","120,506,987.3800","27,796,857.3800","62,202,598.2100","97,661,480.4200","130,658,686.5400","18,726,728.1200","45,433,687.3700","73,052,052.4400","132,494,283.0100","20,936,682.3300","42,755,261.1600","71,313,715.6900","94,951,421.6900","20,850,666.9600","43,807,384.9200","65,295,914.7800","71,225,604.1600","5,168,615.2200","11,051,358.8200","18,573,690.6800","24,226,499.8900","9,266,894.0100","14,188,247.9200","21,767,036.6200","26,220,262.7600"
000008.SZ,神州高铁,,,,"-6,822,520.2500",,"405,924.6400",,"-3,562,728.2100",,"-482,568.7900",,"-6,134,204.5500",,"-8,914,017.0600",,"-15,140,824.9700",,"-8,328,528.9800",,"-10,966,266.6400",,"3,455,097.5400",,"12,760,423.0000",,"5,721,464.8200",,"44,492,594.0000",,"33,834,749.0000",,"43,596,089.0000",,"3,083,597.0000",,"5,416,292.8300","823,858.7400","1,390,913.0000","2,151,068.3900","3,088,065.5400","742,667.3300","1,057,373.5500","2,614,301.9900","4,059,392.9300","975,159.0100","2,031,993.0700","3,097,945.0300","7,712,198.6400","1,089,030.6900","1,773,155.8600","4,158,059.8600","9,102,010.3500","595,403.8800","758,076.6500","1,251,935.0600","1,805,529.3600","574,941.4100","258,026.0300","583,150.2600","1,275,801.5600","535,258.4900","1,050,821.0100","1,474,787.0200","2,148,107.8600","617,964.3700","1,012,216.7600","1,691,316.2400","2,284,573.3000","656,506.2200","1,141,098.1100","1,878,636.7000","2,282,456.6600","682,353.9000","1,426,802.0300","2,072,992.3600","2,697,504.7900","628,089.9600","1,080,629.7300","1,624,262.9400","139,663,202.2300","26,347,394.8500","56,043,393.9100","85,749,481.9900","116,652,598.6700","26,181,607.6900","54,598,505.0800","87,666,491.2400","117,187,112.2100","99,635,040.9200","207,096,793.6800","336,161,490.4900","586,711,008.8700","96,238,709.3000","289,504,233.1200","497,638,544.6000","960,042,350.7700","74,795,331.5900","255,311,855.7100","477,357,183.7600","1,106,253,517.4200"
000009.SZ,中国宝安,,,,"155,698,657.0000",,"67,657,960.8100",,"196,195,613.0700",,"33,071,724.0900",,"10,773,180.1800",,"2,297,709.6800",,"-87,829,934.1000",,"-31,092,280.9600",,"-96,317,776.5400",,"82,074,206.9100",,"145,776,481.0000",,"103,891,944.5300",,"268,479,728.3800",,"88,003,665.8600",,"198,211,020.0500",,"100,989,638.7400",,"246,817,033.2800","36,464,214.7600","101,842,845.2000","154,848,678.8400","269,967,162.6500","55,408,592.4700","138,752,891.0500","205,752,222.8300","451,702,527.2500","71,257,830.0900","215,339,454.1000","328,478,353.6300","438,650,088.6400","98,003,546.2000","245,571,123.8100","350,122,724.4900","582,642,892.7300","118,845,422.8700","266,748,634.8400","400,770,923.9100","630,040,073.8700","95,851,912.8400","204,797,798.7300","341,251,043.3700","549,512,161.5300","164,954,386.6100","424,271,201.5700","665,947,763.9900","943,219,581.7000","227,253,669.4100","497,972,205.7300","689,643,021.9500","941,599,741.2200","319,281,629.2000","633,411,176.7100","816,082,262.2700","1,098,964,936.2500","237,567,120.8000","634,347,392.8700","886,505,333.7600","1,295,006,359.1000","271,839,492.7500","686,771,356.5100","965,569,507.7100","1,284,411,159.6300","340,251,728.7400","710,248,896.1500","945,296,690.0200","1,237,677,138.6700","256,345,129.0600","608,814,406.2700","899,928,818.6800","1,271,074,175.3400","293,267,382.5500","670,512,687.1900","1,003,523,320.6200","1,518,029,687.7200","464,863,411.7900","883,506,595.4400","1,290,996,274.3500","1,853,799,587.5500","405,101,809.3500","971,142,499.8700","1,600,019,415.6400","2,243,561,004.1200"
000010.SZ,美丽生态,,,,"7,898,025.1100",,,,"15,590,346.8100",,"7,005,546.4500",,"13,913,781.0400",,"5,651,990.4000",,"6,533,460.1700",,"3,186,329.7400",,"4,702,016.6600",,"9,958,907.3600",,"52,598,065.0000",,"15,360,924.7500",,"39,680,264.2200",,"19,216,371.3300",,"48,946,166.6600",,"16,046,286.3000","11,472,717.6100","16,734,323.9500","948,100.0000","4,193,031.9500","13,268,511.5900","58,004,274.1100","7,319,159.0600","28,899,330.5000","55,055,551.1400","83,252,346.2500","17,978,801.2800","33,959,461.1600","57,996,637.6900","88,713,641.5300","21,702,572.8900","58,073,889.6700","90,280,557.0200","42,963,584.6200","3,660,446.8300","21,332,575.9200","22,427,126.9400","42,692,928.5100","6,582,767.4700","18,840,057.5600","24,513,530.3200","45,599,232.4300","9,491,500.8200","20,422,275.7700","30,966,957.8000","46,198,675.0200","8,455,548.7800","25,913,656.0000","37,367,900.3000","47,605,135.5900","8,748,736.7800","18,310,691.3100","28,838,235.6900","52,702,997.1600","5,306,688.5300","12,058,027.6600","30,259,289.8600","64,021,128.5200","7,769,264.5300","17,856,109.1600","26,046,835.6000","62,749,705.9800","7,377,473.0000","42,897,413.9000","65,137,067.5900","105,300,085.5200","5,796,808.4600","18,357,480.3700","25,786,930.6200","36,595,762.5000","19,827,740.8700","49,087,108.3300","71,856,353.9600","175,005,684.0300","30,580,463.2200","155,932,196.9800","208,259,678.7700","280,962,044.0100","30,030,562.3900","69,592,795.0000","187,991,042.9400","35,896,881.9900"
000011.SZ,深物业A,,,,"167,149,022.5300",,"8,160,069.1200",,"58,506,384.4400",,"55,686,840.8500",,"166,862,454.0300",,"32,461,768.4700",,"35,755,872.6800",,"-6,909,330.3300",,"-85,692,677.7500",,"76,780,670.3900",,"192,623,226.2700",,"62,900,745.7200",,"194,302,749.3300",,"65,600,609.1900",,"175,766,080.7300","20,660,000.0000","81,595,644.6600","139,490,000.0000","287,957,154.5600","34,910,000.0000","71,055,014.9600","105,430,000.0000","226,583,123.3700","25,215,878.3100","66,371,560.2400","104,532,713.2600","363,255,274.9100","29,377,761.4800","100,869,587.8200","176,495,200.7000","423,765,125.7000","25,173,431.9000","98,713,704.7700","144,513,808.9400","288,641,976.6000","22,021,297.6000","40,184,500.7500","54,283,724.9700","55,618,300.4700","10,142,064.6600","20,754,953.1800","33,803,865.9600","52,800,056.3200","20,629,170.8000","34,892,184.6700","49,645,604.7100","193,851,638.3600","42,551,423.9000","188,110,334.3200","267,093,308.1900","267,485,431.8700","19,171,578.2000","157,346,380.9400","191,865,585.5300","237,028,845.5100","400,023,370.6700","448,055,679.6600","492,052,948.2700","500,151,707.1000","28,212,018.4900","172,615,644.9100","304,830,426.2600","620,506,840.2500","336,287,907.9200","511,050,786.5900","545,293,705.7400","561,606,564.7300","59,944,233.4800","188,244,002.5500","278,278,257.9700","470,909,021.7700","27,171,646.7200","92,926,003.7100","144,282,096.5400","269,169,486.6100","25,773,897.4900","53,304,695.7000","78,945,882.0900","715,536,919.8600","422,802,002.3900","461,395,540.5500","773,026,360.2400","812,946,669.6700"
000012.SZ,南玻A,,,,"189,270,711.2800",,"104,416,299.1100",,"180,199,614.2500",,"99,456,979.3400",,"126,973,414.2500",,"81,117,735.5600",,"146,304,427.9900",,"62,207,633.8900",,"117,400,464.0000",,"111,103,230.0200",,"249,291,387.1500",,"132,603,171.7900",,"272,040,802.9400",,"184,268,553.5200",,"415,403,650.9500",,"179,307,180.1500","284,163,194.0000","376,231,009.0000","82,113,415.0000","193,741,128.0000","301,683,630.0000","404,509,958.0000","92,868,613.0000","202,690,040.0000","341,603,225.0000","478,916,871.0000","150,429,867.0000","322,631,959.0000","508,294,087.0000","626,214,500.0000","150,306,547.0000","352,501,314.0000","556,681,724.0000","735,683,128.0000","161,580,182.0000","405,359,456.0000","658,750,595.0000","938,874,283.0000","253,950,415.0000","539,640,607.0000","940,367,327.0000","1,266,565,618.0000","316,966,161.0000","686,783,304.0000","1,023,202,421.0000","1,273,753,978.0000","229,467,020.0000","643,669,825.0000","1,197,911,686.0000","1,838,394,012.0000","562,680,467.0000","1,196,649,884.0000","1,924,904,639.0000","2,793,676,003.0000","749,142,993.0000","1,534,865,895.0000","2,140,989,764.0000","2,548,967,400.0000","284,149,829.0000","690,097,863.0000","1,163,746,700.0000","1,591,678,660.0000","395,172,324.0000","999,051,964.0000","1,631,002,518.0000","2,184,635,462.0000","373,479,821.0000","807,666,870.0000","1,268,234,008.0000","1,688,119,451.0000","314,662,525.0000","664,870,558.0000","1,076,622,158.0000","1,567,533,756.0000","502,562,570.0000","1,127,962,467.0000","1,752,463,349.0000","2,308,709,488.0000","513,616,336.0000","1,145,077,624.0000","1,868,166,669.0000","2,538,518,448.0000"
000014.SZ,沙河股份,,,,"47,552,067.0900",,"26,082,200.0000",,"17,298,333.4000",,"21,251,900.0000",,"4,132,794.3600",,"29,182,034.3500",,"-52,335,582.3500",,"26,467,082.9100",,"-19,075,758.2600",,"6,068,143.0600",,"17,737,733.5300",,"6,670,914.3000",,"12,226,508.7700",,"7,608,638.0600",,"11,704,567.9100",,"31,484,297.4000","51,020,000.0000","84,211,238.7200","17,383,513.3100","35,292,018.5100","46,387,961.4000","79,679,775.3600","13,266,786.0200","33,120,510.0100","56,167,122.3200","85,073,123.0300","15,344,544.8900","38,335,670.2600","60,712,476.5600","97,048,003.8500","21,255,673.7800","58,152,270.3700","75,682,167.6200","114,639,541.4900","37,527,895.0800","78,214,220.9300","92,528,093.3400","100,993,275.5300","9,425,468.4700","25,483,873.3700","34,201,837.7400","69,275,404.0800","3,685,527.1200","8,394,883.5000","10,421,736.3100","151,001,585.7500","23,087,071.0000","99,893,821.1800","174,002,912.7800","222,854,924.0200","115,088,329.3000","139,272,963.0500","145,621,676.4900","206,786,626.3800","19,585,649.1400","62,821,893.0600","94,204,491.5700","175,895,847.7400","23,632,363.6900","39,999,771.8600","56,317,093.7400","153,254,244.9600","32,160,496.9400","64,860,334.6100","96,449,466.5100","156,984,714.8000","53,395,928.5600","89,132,468.4000","99,237,118.6900","206,843,454.7600","11,321,089.1700","36,327,114.5100","47,164,843.2200","136,254,544.2400","6,296,887.2800","15,454,854.9700","21,443,868.5000","105,864,481.6900","9,627,772.8400","36,843,553.7100","53,966,125.5700","83,906,777.7100"
