"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"28","000032.SZ","通信","","-97,248,109.2100","","34,827,334.5500","","19,216,200.0000",NA,"29,709,679.8700","","4,132,800.0000","","6,586,612.2100","","5,183,900.0000","","2,235,940.2200","","3,692,222.0500",NA,"-7,318,101.0500","","31,252,886.4700","","70,224,861.1000","","39,701,054.4200",NA,"94,121,664.7000","","32,124,152.5600","","111,692,972.5900","","60,988,554.1800","","153,268,844.3700","38,249,933.8900","71,364,960.6300","111,228,357.8500","147,778,991.5000","53,440,572.1200","83,187,707.9200","139,571,548.3900","214,896,493.0600","49,397,852.3500","89,128,366.6500","148,267,505.5300","191,121,997.6700","49,039,470.8900","90,426,762.7400","127,428,455.1500","164,767,440.1800","46,793,741.3000","86,894,737.0500","133,176,443.4100","202,506,489.8100","42,721,397.4100","84,771,977.2600","136,390,878.1200","264,665,328.6100","114,033,415.5200","185,095,133.7100","243,738,976.0500","286,951,321.0300","42,508,966.2000","72,771,068.1600","110,492,110.9200","216,129,094.7800","37,868,544.0000","77,208,560.2800","148,851,750.8600","240,671,211.4900","64,064,188.7400","133,802,135.5500","191,589,836.8500","269,148,917.0200","25,033,758.2800","57,148,699.4800","104,803,012.1200","177,508,084.2700","61,586,561.6900","113,771,526.4900","147,957,791.9500","197,601,632.8900","30,125,287.1700","65,647,036.3800","102,492,663.9400","163,396,365.6400","30,198,807.3900","59,862,574.3900","211,613,073.6000","266,208,880.8200","57,164,234.2400","120,463,908.2300","186,087,316.3400","264,509,402.0900","52,388,162.1600","115,044,304.1100","189,454,069.2400","287,204,582.6300"
"50","000063.SZ","通信","","","","","","",NA,"80,815,120.5500","","","","68,361,399.1100","","","","190,914,376.6600","","116,390,741.5900",NA,"124,950,598.4500","","369,456,376.0900","","1,041,484,649.6700","","512,991,550.7000",NA,"1,250,251,130.0300","","678,020,948.0800","","1,758,471,157.5900","","1,348,351,983.6400","","3,580,293,596.0500","616,327,080.8100","1,511,528,386.8500","2,218,875,824.8700","3,946,055,073.4100","857,156,223.9600","2,067,795,286.9500","3,437,945,944.6100","5,891,729,295.2000","1,500,355,075.5600","4,303,111,110.0000","6,177,333,642.0000","8,258,135,000.0000","1,712,602,000.0000","3,843,072,000.0000","5,643,499,000.0000","7,525,463,000.0000","1,494,857,000.0000","3,619,670,000.0000","5,624,920,000.0000","7,748,527,000.0000","1,846,349,000.0000","5,436,296,000.0000","7,755,454,000.0000","11,492,374,000.0000","3,008,805,000.0000","6,477,655,000.0000","10,092,425,000.0000","14,385,043,000.0000","3,914,142,000.0000","8,583,252,000.0000","13,578,368,000.0000","18,956,291,000.0000","4,259,944,000.0000","9,810,994,000.0000","14,831,320,000.0000","21,779,771,000.0000","4,815,139,000.0000","10,196,463,000.0000","16,324,211,000.0000","24,634,201,000.0000","5,095,972,000.0000","10,755,789,000.0000","13,796,287,000.0000","18,935,861,000.0000","4,583,632,000.0000","9,979,402,000.0000","14,990,573,000.0000","21,028,288,000.0000","6,117,692,000.0000","11,515,190,000.0000","17,660,795,000.0000","24,379,928,000.0000","6,977,813,000.0000","14,626,220,000.0000","21,769,447,000.0000","29,782,362,000.0000","7,157,656,000.0000","15,561,717,000.0000","22,119,347,000.0000","30,264,316,000.0000","8,059,553,000.0000","17,029,555,000.0000","23,538,769,000.0000","32,867,336,000.0000"
"55","000070.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"135,604,746.0000","","","","136,624,138.0000","","59,267,261.2600",NA,"148,226,209.0000","","56,861,945.8300","","131,960,276.0000","","55,754,406.9900","","133,005,626.6500","14,424,261.3200","34,350,677.0300","60,036,364.9100","101,261,164.3000","12,441,662.8400","41,179,878.6300","59,604,123.6800","85,664,766.4300","7,784,162.9000","28,532,759.4300","55,863,418.5000","91,858,833.7600","8,904,040.3800","28,580,186.7800","41,965,991.9300","51,120,605.5500","11,495,301.4700","26,627,813.0300","39,416,171.5200","55,152,251.8600","11,021,818.0100","27,322,716.8500","45,123,280.0900","65,439,220.8900","11,969,087.5000","32,013,162.6400","56,879,701.5700","91,166,354.9400","17,895,103.2700","47,575,290.2600","88,024,599.3800","124,681,829.1700","33,463,167.1400","72,550,551.4500","113,732,482.6000","165,459,581.0400","41,432,710.3200","84,575,129.1200","142,345,609.0500","199,952,695.2800","49,408,543.6600","110,521,148.7700","181,501,900.7100","270,188,121.5200","49,969,253.9000","126,108,721.8900","200,605,582.3000","286,476,462.8200","60,656,612.5500","149,094,119.1600","246,147,530.1700","345,710,038.7200","71,961,854.7200","182,091,881.2800","283,750,932.7200","429,895,413.1600","148,498,376.5800","326,998,687.8500","513,351,099.3300","774,822,761.4200","181,140,667.6200","400,444,690.5400","613,233,362.8300","878,998,613.9200"
"152","000561.SZ","通信","","","","65,897,165.0000","","74,285,074.0000",NA,"97,949,441.0000","","105,025,447.0000","","87,093,521.0000","","35,305,183.0000","","75,703,455.0000","","20,516,790.0000",NA,"20,831,504.0000","","66,424,878.2600","","219,999,705.5200","","55,952,650.8700",NA,"9,822,740.9300","","78,597,883.6800","","111,610,599.0400","","70,769,155.5400","","96,749,496.7000","21,880,523.7100","39,531,875.5000","55,443,256.7200","32,829,195.7400","18,665,765.1100","37,871,097.2000","57,368,209.2700","75,025,636.5100","21,915,691.6300","52,721,875.3500","71,595,394.9500","91,205,749.7900","6,566,967.7800","26,027,619.4700","6,019,398.2200","46,098,955.3400","-2,750,457.7300","-2,677,819.8700","108,178.9000","-1,958,800.6800","2,024,097.1700","7,797,604.4000","11,054,057.7800","12,161,312.1700","1,194,861.8200","2,064,536.6200","2,322,796.6200","1,057,640.2500","-304,314.6300","6,434,055.2100","6,350,747.6200","6,270,604.9500","62,927,708.6100","114,088,231.0800","174,407,893.4000","332,349,949.4900","52,471,311.1600","132,841,913.2800","206,320,209.7000","385,910,539.0400","82,496,714.8700","154,620,506.4800","213,689,101.1900","324,103,204.5600","27,443,115.6600","91,193,156.3300","146,552,153.7700","317,820,914.9900","36,572,510.9900","126,769,565.7300","193,546,042.9600","368,505,730.6700","35,919,750.0600","137,789,025.2800","209,578,334.8100","440,376,519.6700","58,479,683.1200","167,876,458.8200","289,212,067.8100","482,865,789.0300","55,850,926.1300","184,278,059.6000","278,187,825.1800","526,011,147.0300"
"168","000586.SZ","通信","","","","","","",NA,"66,440,831.6900","","","","44,563,916.7300","","24,759,046.6800","","34,579,446.4700","","4,611,765.0200",NA,"23,711,860.0800","","14,864,529.8900","","27,346,145.8300","","13,523,277.5400",NA,"13,950,410.9000","","5,028,387.3300","","13,355,317.1800","","5,992,817.8200","","9,421,202.8200","1,746,570.6500","3,865,071.0000","4,725,231.4000","7,921,024.5700","14,699,971.2800","36,384,182.0300","57,164,346.6200","86,723,285.4900","28,712,958.1900","61,931,202.2000","90,289,227.7500","126,884,485.3400","27,305,556.0900","48,047,727.6700","73,542,749.7000","89,918,824.1700","14,617,096.2900","47,228,897.7600","89,785,287.8700","143,624,281.0400","18,387,629.8600","37,097,404.5600","51,407,890.0900","75,618,167.5400","14,585,245.1700","34,660,458.4200","38,204,236.1300","56,937,427.7900","11,145,964.3200","25,374,888.7900","40,763,709.6400","75,694,593.8100","9,237,440.0600","29,946,115.6100","52,681,162.1900","89,999,396.8700","23,260,765.0800","49,002,859.2600","78,024,495.3900","115,464,923.3800","17,218,539.3000","34,399,518.1100","60,119,214.4900","89,952,209.5400","14,745,618.0500","31,216,015.4500","43,579,556.1000","65,850,409.6400","13,166,423.3800","30,797,130.3400","52,087,050.8600","82,455,567.2200","11,116,176.7100","26,076,706.1700","43,677,825.3100","68,967,048.1400","18,841,847.7300","39,465,903.2600","53,611,694.9900","76,597,725.6900","16,416,533.3300","38,188,919.3400","59,608,242.1600","83,334,840.4200"
"242","000687.SZ","通信","","","","146,425,000.0000","","",NA,"117,402,284.3600","","","","160,612,761.8400","","","","138,184,986.3900","","69,797,042.1000",NA,"141,856,228.7200","","83,972,327.6400","","134,408,619.1000","","84,028,900.2200",NA,"147,631,543.8000","","62,528,625.2700","","110,111,962.4600","","29,704,840.8400","","55,115,098.2100","26,009,515.7700","61,880,920.9800","98,867,024.7700","127,943,891.2000","40,685,706.1000","85,231,780.2800","125,159,206.9400","148,825,764.1100","27,681,079.0500","51,083,225.8700","61,285,732.1100","85,044,366.8900","9,610,965.1400","23,232,873.2800","31,921,707.2900","29,998,881.3800","-2,093,687.1400","25,085,310.2400","57,945,203.3200","104,270,098.9200","37,257,899.8700","73,120,427.2600","105,879,930.8000","162,976,743.3800","38,159,634.1300","39,217,672.7800","28,737,981.1600","-8,485,279.0500","-19,214,708.3800","-168,493.7900","23,691,309.8000","61,728,105.4900","2,813,609.0900","20,735,206.0000","41,271,254.7700","85,953,963.4600","37,605,735.1000","76,180,482.5800","91,838,859.7200","111,362,833.5600","15,666,516.2100","36,402,170.5400","67,651,305.6900","58,926,456.4500","5,761,273.7400","13,471,792.2700","15,666,112.6900","21,069,534.2800","-9,039,565.4100","9,852,810.0500","20,361,662.0500","37,097,803.0900","-572,114.9000","12,862,099.0500","51,710,457.7100","72,252,664.2100","89,857,462.4600","208,787,906.5600","272,460,550.4800","417,043,479.9200","100,631,344.8000","232,492,367.6300","311,949,494.3300","559,316,335.9800"
"347","000836.SZ","通信","","","","","","",NA,"8,011,214.1100","","","","10,309,489.8200","","","","35,444,185.1800","","",NA,"35,758,100.7100","","31,794,439.9900","","64,461,653.1500","","36,648,402.2000",NA,"76,511,422.2200","","48,393,262.1500","","94,227,137.7500","","56,816,315.2500","75,237,729.4000","147,856,922.1000","24,858,100.0000","56,839,666.9300","90,562,449.0500","139,110,020.2800","12,575,962.9600","31,299,024.1000","41,902,051.6200","-16,525,080.9600","1,430,075.0100","-4,841,813.7600","17,748,886.6200","12,868,645.8200","6,378,166.1300","-30,765,355.1500","-31,478,371.0600","-12,687,866.8400","33,679,107.1900","68,260,560.9300","105,385,963.3900","129,894,413.6600","24,380,322.9800","56,560,634.8800","89,595,355.6000","122,214,514.1400","30,822,431.4300","54,433,306.9700","67,504,384.5500","90,315,543.6700","16,830,634.4300","32,361,838.9800","63,420,757.3300","161,394,978.6800","28,606,659.1300","64,945,442.8100","100,406,851.8100","130,671,802.4400","37,940,384.6400","63,919,946.4700","106,633,991.0200","150,708,406.7900","47,564,328.6500","84,470,801.4900","149,729,609.2300","206,290,080.9300","19,202,083.7200","43,890,539.5500","53,681,717.8900","109,757,185.5100","12,498,881.3500","35,372,326.1100","57,703,609.6000","25,427,530.8500","19,623,081.8700","39,854,939.7700","62,447,396.2500","98,514,451.9000","34,116,395.8200","70,964,521.0300","112,099,096.3200","149,043,671.2900","45,891,226.6000","111,062,182.5100","177,723,143.4700","232,033,598.0100"
"353","000851.SZ","通信","","","","","","",NA,"","","","","19,273,153.3200","","","","33,129,041.4500","","",NA,"39,522,594.4100","","25,174,733.4100","","32,842,833.0800","","14,374,905.0800",NA,"34,185,439.3200","","12,406,003.5100","","26,939,149.7100","","6,013,613.9700","","4,912,019.7600","110,009.7500","4,386,304.4900","-4,341,154.2800","2,464,360.1000","365,025.8300","28,521,035.7000","41,837,987.2500","53,340,753.5000","8,188,390.1700","36,541,638.8300","51,825,599.6700","77,773,475.6700","12,492,872.9800","44,257,604.6600","60,244,644.6200","91,602,215.7700","11,910,537.3000","42,854,218.9600","61,985,143.7600","88,342,329.0300","12,482,343.6700","20,730,821.2200","39,426,693.7900","70,801,423.7700","12,890,637.4900","47,374,632.9000","67,196,607.1700","80,171,431.2400","16,439,961.6900","71,196,525.0300","132,717,661.3800","205,119,965.7000","50,434,251.3000","133,168,172.3100","197,986,301.3500","256,356,647.3200","47,862,584.6200","123,868,518.5000","189,782,741.5400","257,579,742.7400","53,124,274.9900","132,957,347.6200","201,573,350.6000","274,565,555.7000","42,788,663.7000","139,509,277.9900","225,046,106.2900","299,579,077.8200","95,771,838.4100","222,108,298.7900","328,213,335.7000","484,553,104.9100","105,320,976.4700","248,237,477.3500","375,062,132.4100","554,107,966.1700","91,710,503.7200","250,134,921.7600","379,184,422.4000","541,751,301.0100","104,348,662.5200","275,616,423.2400","395,204,447.3200","479,279,799.5400"
"376","000889.SZ","通信","","","","","","",NA,"11,415,020.0000","","","","15,899,280.0000","","","","22,730,707.3400","","8,407,550.0000",NA,"26,079,213.5200","","26,120,760.6000","","49,730,967.0300","","22,010,356.5900",NA,"114,943,474.8900","","65,951,089.4300","","135,023,982.2300","","73,271,154.8200","84,421,795.0800","157,076,693.6500","40,171,000.0000","85,656,593.2500","120,664,875.8500","181,544,693.9400","29,804,700.6500","59,550,415.2100","79,850,673.5800","152,366,068.9100","36,749,733.1900","90,164,521.1000","131,069,965.3100","168,781,541.9200","31,553,424.2400","63,180,847.7200","88,047,864.7600","87,344,683.9700","28,217,448.2000","62,951,586.3900","97,937,370.4800","118,689,408.4500","35,804,224.0000","75,733,127.9900","112,373,857.0900","167,957,437.0300","52,774,381.5800","106,771,126.9700","153,358,209.4500","198,331,644.1100","46,007,206.3600","90,564,130.3600","147,037,221.6800","183,134,707.9000","53,325,588.1400","110,516,412.3300","165,071,597.4900","208,555,837.7000","81,064,152.3600","138,776,701.5100","196,760,005.8300","289,931,342.3300","86,709,581.9400","156,966,150.7300","214,356,851.6500","367,922,217.8800","95,565,285.6500","173,800,423.8200","247,022,144.4100","347,571,852.9900","103,408,943.7900","181,657,505.5700","261,355,902.9400","376,018,081.0300","119,899,923.1000","248,702,252.7700","368,706,883.8500","465,626,694.9500","107,434,331.8600","199,643,429.3300","308,477,379.3100","440,729,042.7900","100,733,806.9100","203,284,171.9100","331,225,963.0200","489,882,770.8300"
"438","000971.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"71,000,629.8200","","","","55,243,507.9200","","33,898,956.0500",NA,"74,833,967.0900","","41,235,888.6300","","83,864,783.5100","","30,842,057.2200","","81,023,333.2900","15,326,384.2200","25,793,329.8800","41,791,721.7000","66,013,713.0300","12,398,881.7500","23,626,823.4700","44,411,262.7700","70,021,837.7300","12,719,565.9000","23,423,789.1300","40,709,833.2600","64,667,367.0500","13,981,458.3100","28,352,992.7500","44,318,223.8900","65,467,391.1300","12,026,275.6700","25,388,689.6000","39,570,525.8600","14,384,094.3800","1,955,991.7800","6,990,842.9000","5,461,960.5200","-37,842,329.1100","-10,771,803.5100","-18,680,375.2400","-29,889,755.3000","-52,075,552.9900","-13,592,185.2600","-24,021,719.8500","-39,690,402.6700","-57,091,339.6900","-1,915,230.9400","-5,904,314.2900","-5,473,105.6700","-962,581.8000","2,241,039.3700","3,820,413.4600","5,197,603.9200","7,861,818.3900","399,337.2900","3,009,803.8600","2,423,533.5000","2,528,700.1500","-1,877,276.4700","-2,749,335.0300","-3,044,203.8500","-4,057,403.8400","371,326.9900","813,621.4400","451,596.5400","680,038.1700","-73,626.0100","-2,276,132.9400","-2,029,519.1100","53,305,835.6400","61,740,743.9300","93,726,422.6000","127,164,460.4700","217,121,240.6900","76,475,293.2300","147,472,928.4700","220,731,096.9700","280,851,630.9200"
"481","002017.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","127,265,147.7500","","","","74,564,951.8800","","59,642,939.8500","84,884,162.6400","118,125,279.6200","36,885,227.0700","67,730,867.1000","96,111,756.2700","123,090,584.9800","39,010,786.6600","64,775,467.1600","80,436,257.6400","98,043,574.2400","26,693,039.3000","51,538,279.1700","78,991,534.1000","105,233,006.4400","37,462,645.2400","76,705,199.6100","120,459,669.0700","151,405,913.5500","47,891,584.5100","113,948,925.4000","157,351,517.4400","205,623,613.0500","44,387,559.8500","90,743,085.0400","128,955,004.1800","179,203,771.3500","51,001,107.0900","119,473,359.2300","161,216,305.8700","228,245,194.1200","55,564,024.9100","113,209,418.0400","169,672,145.5300","256,131,980.1000","70,444,944.4200","132,666,719.8100","185,001,085.3300","260,817,674.3000","55,136,234.2300","121,479,944.5400","187,337,341.2200","273,174,022.0500","58,482,376.4100","144,770,993.2400","221,378,242.2000","304,865,600.3900","67,997,495.7200","154,568,106.5300","240,388,118.0600","356,216,441.3200","72,061,826.1900","160,976,947.0700","248,173,051.6800","383,039,104.3000","79,440,836.8800","156,375,374.5300","211,873,412.9300","283,490,991.6700"
"553","002089.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","45,438,841.1000","","","","47,226,153.2000","","","30,557,714.5400","55,455,483.3000","7,453,248.2700","19,391,302.6800","34,143,568.9800","54,457,286.9600","8,109,000.1600","27,655,223.0100","49,820,097.0400","77,353,360.6900","18,632,360.7200","46,383,285.3900","75,794,348.9700","122,275,312.7200","37,933,773.2100","89,871,439.8500","140,389,868.0400","185,754,103.6000","41,219,852.6900","88,951,625.2300","141,252,843.8200","206,295,064.3400","41,186,165.1900","102,455,945.1200","190,388,319.2300","273,030,990.5800","64,656,616.1900","152,269,950.9300","221,881,140.7500","283,544,087.0700","38,186,172.7100","121,610,268.2800","177,773,328.3400","246,748,496.9000","50,993,156.1800","117,878,549.3000","185,074,111.1400","341,850,414.1200","72,612,077.3700","190,994,632.1100","316,532,623.9800","442,402,277.9900","52,939,940.1300","216,129,605.3800","257,433,310.3100","234,523,306.7900","57,450,808.1700","127,909,761.8500","173,599,785.9400","193,955,914.2600"
"557","002093.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","45,079,670.2300","","","","57,640,008.1700","","","44,382,601.4100","68,940,055.1800","23,264,200.3400","41,799,502.3300","55,252,647.0500","81,108,122.9600","25,773,217.5300","51,332,622.0500","80,140,621.1300","116,423,030.8800","62,082,839.1000","124,582,096.2400","170,228,989.1900","245,469,412.1300","72,300,715.8700","143,725,190.5000","202,599,131.3900","291,786,747.0100","81,928,301.0800","159,191,611.2100","224,673,400.5800","304,611,195.4500","103,391,488.8800","190,121,809.2000","269,203,344.5400","351,822,144.5500","89,575,142.6100","158,618,278.1000","229,473,295.4100","329,812,136.7100","75,256,528.3300","140,065,610.5400","194,326,186.2300","278,244,603.5900","81,741,042.0000","124,148,494.1000","183,337,544.0200","287,726,593.9100","78,851,685.7700","137,479,068.0000","195,031,591.5800","279,605,701.5300","95,320,307.0500","165,623,239.1300","238,849,566.9900","329,973,351.5400","106,050,597.4700","214,642,983.7500","282,743,259.3800","415,636,041.4600"
"568","002104.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","35,986,765.0900","","","","73,183,953.6600","","","53,789,198.4900","84,333,741.3800","18,744,451.6600","42,273,996.0300","64,918,975.1400","89,363,266.0100","21,498,741.5200","51,732,229.0400","78,049,051.3500","118,101,895.0900","32,324,743.0100","76,991,178.8100","109,986,347.3900","145,345,041.5100","34,964,622.6500","78,570,437.9900","116,298,819.9900","150,580,843.2000","38,645,673.1800","79,284,058.1200","125,511,655.1900","191,623,161.6500","50,354,988.0700","112,271,695.3200","169,405,941.1200","254,474,429.1200","57,863,539.2400","130,022,638.0900","197,637,624.6700","287,782,032.0400","78,084,085.1500","174,235,855.9400","274,095,660.7100","395,885,180.1200","92,228,844.6400","223,726,454.4300","360,205,353.9200","502,398,829.9400","117,530,341.9200","260,051,722.4500","426,403,248.6400","640,598,556.7100","129,963,208.9700","208,761,441.5300","314,978,834.7900","457,999,693.0400","97,452,203.9200","209,703,603.7000","301,057,717.7800","369,214,470.0100"
"579","002115.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","53,545,714.8600","","","","70,097,542.9600","","","48,541,247.0900","77,817,100.9400","17,994,011.8500","38,602,800.6200","55,309,574.7400","82,177,778.8900","20,279,647.9800","39,610,751.3700","63,179,001.0500","99,240,511.1000","31,479,010.8900","62,977,600.8400","92,167,742.1300","157,888,022.1700","51,103,736.8300","98,057,314.7900","165,096,965.5700","273,884,667.0400","63,811,594.5500","127,833,713.0100","198,804,981.5400","307,973,200.7300","75,317,952.0100","161,300,717.7500","246,391,921.7800","367,006,923.8500","64,585,057.1500","158,693,381.2200","244,588,968.3500","345,157,335.6400","57,191,873.0100","119,763,086.3100","163,544,119.0500","176,920,948.3700","34,445,219.1100","92,010,396.3800","149,263,771.1500","247,507,061.8200","38,068,942.6300","126,797,502.5100","178,485,063.6700","253,647,938.9400","33,325,930.9600","82,172,025.1300","138,176,813.6800","256,191,881.6600","40,602,161.1800","110,316,413.9000","181,694,271.4300","301,647,795.2700"
"658","002194.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","94,812,486.3700","","","","132,367,504.5000","","","186,128,883.8700","239,182,990.6400","48,718,013.3300","124,087,304.7900","211,797,978.6800","299,669,752.5600","72,721,172.9400","167,169,294.1500","283,030,672.9900","396,919,919.9200","98,602,016.6100","181,273,229.2100","308,888,314.6900","414,123,695.3600","71,390,383.6800","137,806,941.4100","200,081,513.2500","358,598,270.3600","88,476,549.9400","195,402,209.3000","265,626,191.0400","322,495,894.2200","38,681,899.3000","86,470,501.5100","126,061,639.4800","185,189,757.7700","34,508,341.7600","75,773,408.6400","134,624,796.3800","191,530,933.4600","68,997,179.2600","155,806,287.8000","252,893,160.3000","335,740,257.8000","76,617,288.2400","141,707,521.6300","222,363,953.5100","304,101,104.7000","70,212,690.6500","127,913,263.1700","122,155,967.5300","63,933,934.7800","-71,147,464.8600","-94,880,902.0700","-155,737,934.1900","-159,871,390.7600"
