"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"3","000004.SZ","医药生物","","","","14,237,469.8000","","11,154,980.8100",NA,"1,409,385.7100","","67,130,366.1000","","29,078,476.2700","","29,613,186.8000","","-106,690,792.2400","","-3,456,385.3800",NA,"-13,088,391.5000","","35,864,451.2500","","19,109,447.2600","","10,517,793.6600",NA,"35,633,564.7300","","19,835,280.0600","","45,298,558.7100","","13,727,379.7400","","33,465,387.6000","11,568,492.9500","22,209,320.1500","38,591,367.3000","55,476,653.3300","7,180,320.3600","18,702,616.7200","28,798,240.6800","50,475,918.8200","4,145,501.6600","13,310,085.9100","24,168,078.8400","36,656,508.4400","5,195,089.6600","11,678,995.5100","16,031,843.7900","23,642,031.7100","4,907,586.6100","7,223,451.2300","9,780,482.1800","20,269,125.9000","4,782,740.5000","7,844,508.5800","11,243,077.5300","15,166,967.1300","5,233,033.7100","10,509,508.4700","13,710,290.7000","19,563,840.5200","4,883,723.9100","12,175,012.6700","17,063,320.1000","29,306,899.2000","7,575,184.1800","16,672,885.7100","37,946,841.3500","47,061,704.6000","8,576,421.7500","17,175,750.7400","25,982,375.2500","36,053,077.1400","5,951,788.8100","12,975,115.7000","22,553,079.4000","39,604,704.8300","6,663,197.2600","16,098,706.9300","25,161,357.4500","35,787,857.0300","4,981,911.2300","13,691,342.4300","24,199,852.4100","26,410,764.3400","7,063,828.7300","17,952,465.9200","26,970,466.2400","36,039,490.0600","2,435,882.6400","20,634,301.2900","55,210,071.6000","66,921,086.4700","1,516,348.2400","6,412,439.3900","34,000,821.0100","82,703,649.7800"
"24","000028.SZ","医药生物","","","","36,955,130.9600","","17,642,575.5300",NA,"30,744,278.8000","","4,200,493.6900","","27,049,445.6300","","15,714,273.4300","","28,969,663.3600","","13,388,850.6200",NA,"-31,204,955.9900","","15,091,419.4200","","25,765,189.8500","","19,842,890.9400",NA,"34,840,245.5300","","17,566,426.4100","","38,394,960.8200","","232,199,748.3800","334,284,647.6300","459,654,425.7200","103,309,259.4900","197,474,237.1700","305,127,226.4900","410,397,147.4700","114,290,828.0900","236,642,689.1400","331,060,187.8800","393,269,265.4300","101,085,671.5700","197,950,636.6300","299,933,338.5200","370,790,294.2600","94,463,796.0700","191,949,277.2800","278,575,856.8500","370,982,909.9300","137,536,272.9300","297,676,021.7100","433,395,589.4800","573,412,011.5900","152,764,237.8500","315,592,556.8800","507,688,237.6000","694,855,346.2700","151,217,540.5800","341,017,135.7100","534,340,420.3100","721,406,607.6700","182,123,878.0400","428,985,335.6200","654,143,800.0400","913,052,515.5300","259,084,477.7200","540,449,220.1300","819,028,136.5400","1,118,854,127.3300","335,129,925.7700","660,033,100.1300","970,052,860.3100","1,295,674,908.4400","384,076,520.7400","808,650,941.0700","1,204,825,269.9800","1,556,864,557.0100","425,078,861.5800","828,931,153.2400","1,262,266,236.1900","1,717,733,662.6100","487,419,240.1300","958,402,063.5100","1,397,710,708.7000","1,904,960,647.1100","521,202,028.7200","985,698,436.6000","1,476,497,764.1100","1,970,588,312.5100","519,486,721.1600","1,021,214,427.1600","1,497,953,492.0100","4,475,920,986.3000","1,034,711,827.5500","2,097,587,597.8800","3,171,113,545.5400","4,324,155,784.8700"
"56","000078.SZ","医药生物","","","","","","",NA,"","","","","10,464,537.3700","","","","18,060,273.7900","","",NA,"46,334,366.9600","","","","47,162,703.6300","","41,583,144.9200",NA,"67,678,472.3000","","73,938,527.0800","","156,238,408.7700","","189,236,366.8400","322,884,376.7800","524,793,830.2400","92,590,000.0000","231,938,608.3200","389,809,092.3300","593,373,483.7600","79,386,032.9900","211,428,353.2800","347,896,298.5100","528,448,693.4000","85,747,789.9300","160,149,229.8400","239,701,982.6400","469,318,878.1600","98,493,050.4400","193,338,136.9800","285,005,112.2600","242,246,357.8100","95,054,810.8700","182,465,569.1800","280,982,995.7500","357,169,265.4700","92,986,654.6800","206,553,844.3000","308,674,315.7700","346,804,254.8300","91,481,672.0600","171,826,204.3600","258,567,158.9400","345,235,189.0600","79,877,644.2500","175,582,219.3900","305,152,108.2900","457,536,230.2900","138,953,540.4600","285,993,959.3000","450,665,802.0300","646,761,877.5200","208,484,533.9000","413,173,975.3400","620,426,760.5000","861,365,942.3600","222,686,490.2700","484,315,272.7500","718,452,393.0600","948,417,443.2300","270,843,934.5300","553,936,740.1200","846,534,129.4500","1,185,098,485.0900","335,875,621.4000","670,184,445.0900","1,015,878,419.9000","1,401,521,143.8800","336,367,640.9400","717,254,724.8400","1,082,338,872.3100","1,594,138,683.8100","378,740,279.7600","800,293,941.7200","1,292,552,702.2000","1,975,817,046.9400","500,470,841.6700","1,164,017,793.8500","2,101,026,622.4800","3,509,137,041.1000"
"63","000150.SZ","医药生物","","","","","","",NA,"","","","","","","","","","","",NA,"40,626,604.3300","","","","44,803,506.6800","","29,878,673.6500",NA,"53,063,468.2100","17,651,160.1800","27,116,466.5700","","61,689,415.3800","","21,908,625.1800","","13,088,988.9200","1,272,400.0000","940,992.5500","2,396,739.9300","3,803,210.9800","-1,571,773.4200","1,779,592.5500","3,791,750.9400","21,449,898.9600","9,802,092.5600","19,298,319.7700","24,608,493.6900","33,478,835.8500","5,103,649.2700","3,554,466.7700","9,183,913.1900","12,407,680.3600","-1,377,152.2600","-1,144,077.2400","-1,787,232.3500","-658,499.8400","1,924,826.6100","4,724,670.1400","4,152,391.1300","76,174,435.3300","9,964,608.8000","22,234,892.6700","34,922,143.6900","125,364,914.4900","3,061,644.4900","45,845,955.8200","101,613,719.7200","140,315,533.3300","4,360,635.9100","14,629,259.5400","10,546,712.6000","34,586,937.6300","6,067,126.1300","12,439,078.8600","21,024,251.4400","31,662,350.8100","7,494,155.0600","19,375,901.5000","23,588,538.9500","26,702,006.9500","5,118,664.5800","6,142,634.8200","6,416,444.8200","166,261,706.7200","5,329,880.3900","15,965,381.9000","18,837,800.0400","20,983,233.0400","38,244,800.0400","85,884,967.4700","138,714,349.7500","197,027,267.7800","56,816,737.8800","188,049,529.1000","302,876,037.2300","323,007,515.3900","132,674,219.8500","308,158,453.9700","477,552,547.3700","655,491,138.9900"
"65","000153.SZ","医药生物","","","","","","",NA,"","","","","","","","","","","",NA,"15,698,445.2100","","","","17,994,473.7900","","",NA,"21,340,451.5600","8,175,439.9900","17,470,865.2800","","43,804,796.8300","","47,619,672.3100","","77,134,825.5900","13,252,518.6600","28,594,646.4500","52,712,347.2500","70,509,573.3400","13,598,076.0100","32,690,143.7900","49,810,458.7800","67,738,435.6300","15,102,070.3400","32,253,528.6900","53,993,596.7200","73,110,058.2600","21,144,167.3400","46,141,731.5900","82,432,657.9200","110,534,585.0700","26,856,302.3400","58,824,212.1000","94,575,587.6700","126,333,998.1700","27,336,741.9700","72,133,681.6900","123,308,217.0600","172,442,253.7600","48,115,231.1300","101,910,012.5300","162,282,114.5700","229,095,290.6200","50,247,344.3500","110,219,883.5600","181,376,153.6300","256,801,994.0600","62,743,445.2200","135,376,761.1100","209,424,300.2200","279,388,597.1700","68,583,078.0500","136,621,976.5300","204,530,628.3600","295,925,493.0600","3,669,158.0800","162,275,549.9000","254,410,085.3800","373,220,970.0600","84,854,242.4900","174,743,783.5200","266,500,652.4000","390,424,097.8300","95,373,931.5700","201,851,440.4800","309,047,813.7700","441,080,675.4200","102,856,231.2900","202,344,594.6200","305,193,743.7500","408,904,322.3900","108,847,615.3000","238,209,562.0300","356,154,294.5300","518,584,554.2700","133,721,112.0100","302,819,798.4900","466,534,659.4000","757,943,179.2800"
"78","000403.SZ","医药生物","","","","22,534,295.5900","","",NA,"11,656,635.3900","","","","13,895,482.1900","","7,796,882.1700","","11,613,851.0600","","6,244,385.9900",NA,"17,478,091.4900","","21,537,135.3800","","64,592,352.2100","","80,145,891.1500",NA,"136,691,590.1400","","101,220,838.0500","","168,931,263.2600","","90,345,639.9200","114,913,401.3700","164,422,515.3300","33,388,300.0000","85,445,683.6800","113,449,809.0600","140,319,544.8900","30,093,704.9300","73,825,484.5100","113,253,606.3100","149,581,282.9100","40,379,451.0300","86,692,329.1800","105,043,881.2800","132,958,189.4800","29,729,562.2200","63,595,320.8500","106,830,182.0900","134,866,106.0900","27,112,501.1900","56,567,636.0600","90,241,130.4100","114,623,568.5900","16,858,839.1400","46,847,215.2000","80,074,538.8400","162,016,934.5100","56,051,894.9700","101,800,665.6100","146,557,632.7600","160,666,222.8600","25,423,042.6500","66,547,135.5500","132,570,157.3800","215,165,252.8100","86,545,533.8800","158,167,330.0300","225,611,658.7500","300,363,022.7100","79,785,599.4500","152,675,862.0900","231,210,386.5300","304,856,335.8700","76,842,143.9200","153,128,984.9700","221,772,949.9200","286,635,116.0000","68,296,685.7500","145,466,745.4500","225,488,441.9800","281,730,003.0800","55,399,913.0300","93,190,517.1400","170,431,357.1600","275,881,953.8700","56,286,549.3200","143,572,023.0600","212,004,225.1600","262,025,281.2400","74,704,409.6500","147,781,571.0500","229,339,810.0800","311,853,635.8100","87,718,854.3000","194,328,368.4200","297,654,425.3500","384,114,273.2700"
"84","000411.SZ","医药生物","","","","21,737,400.0000","","",NA,"17,160,800.0000","","","","8,461,600.0000","2,427,900.0000","7,717,958.5500","","8,650,793.8800","","911,200.6100",NA,"15,234,722.5700","","16,807,443.4000","","421,245.0400","","-2,553,526.7400",NA,"-5,587,724.1900","","-19,818,601.2400","","-21,718,390.8600","-2,210,000.0000","-4,374,973.1000","-5,200,000.0000","-5,328,626.2400","17,871,714.5600","31,816,429.0300","47,488,811.5000","74,903,761.6400","16,202,842.6200","34,900,923.3600","51,482,529.1500","82,501,480.3900","17,900,544.9700","37,618,218.8900","56,904,757.9000","87,658,494.0000","24,235,584.0600","48,187,877.4700","74,137,071.8700","107,777,281.1200","29,463,215.8100","57,628,535.8800","87,738,328.3700","123,171,707.3200","34,463,542.0700","72,896,429.2300","110,557,908.3400","178,675,774.5400","52,907,853.5600","108,353,361.0700","159,615,426.4500","217,157,621.2600","54,772,006.0300","121,964,458.0300","180,190,435.4000","259,918,207.9200","73,481,559.7800","167,633,790.4800","253,357,539.1200","351,749,699.4500","98,425,215.4200","209,400,861.7800","329,926,529.2200","493,972,609.4000","144,901,947.0600","289,335,402.6700","456,740,230.1200","653,681,159.3300","160,293,374.5600","365,958,886.4800","537,221,767.8400","745,647,444.1300","175,629,469.4400","368,679,160.3300","562,821,593.1300","797,008,182.9500","204,719,861.4000","380,312,376.2600","579,159,728.0300","840,618,633.0200","226,340,678.2100","447,376,403.4200","672,341,694.3800","950,888,866.8100","227,619,713.4100","497,865,795.0700","743,871,916.9500","1,113,821,478.5100"
"94","000423.SZ","医药生物","","","","10,784,763.5200","","",NA,"18,402,275.9800","","","","20,501,250.3800","","13,470,526.3300","","26,625,265.9600","","16,848,860.7300",NA,"35,076,944.5900","","49,372,189.0600","","122,758,584.3700","","66,134,028.3800",NA,"166,406,239.3600","","92,193,446.3000","","251,238,070.1700","","110,175,877.4800","","276,718,336.0900","75,528,305.2400","150,965,357.7800","217,304,867.7900","335,664,189.8600","78,177,550.4800","155,129,350.8400","227,180,462.5600","358,976,169.5300","84,010,076.9300","184,337,648.9700","307,801,084.8300","446,980,928.4400","95,106,943.2600","180,695,546.1000","293,082,139.2500","483,770,074.9200","99,949,465.5500","218,505,582.2500","356,500,567.0000","586,745,773.7900","165,825,569.9000","318,410,795.5800","460,233,900.0600","721,949,415.7500","195,681,981.2400","365,404,811.3100","533,763,682.4800","823,308,953.6900","173,939,161.1100","384,544,888.2200","621,528,778.2800","998,907,670.7700","325,159,437.5200","640,590,836.8100","892,931,224.3500","1,331,623,784.1400","457,484,523.2100","795,037,687.0500","1,172,533,941.1200","1,794,048,305.7400","528,537,376.5200","811,184,880.4500","1,307,550,498.6900","2,209,062,465.3100","621,645,833.3700","1,059,983,153.4300","1,765,440,521.0500","2,504,275,793.9900","633,137,327.5900","1,103,792,046.2800","1,639,022,663.1900","2,578,849,315.7100","982,334,903.3500","1,628,961,288.2800","2,379,065,273.9100","3,456,329,304.7800","1,053,623,921.9100","1,811,319,733.4600","2,617,208,974.2700","4,160,064,911.5500","1,162,290,103.1700","1,901,738,817.1100","2,831,709,611.2600","4,703,473,801.9300"
"104","000503.SZ","医药生物","","","","8,194,870.6300","","14,864,974.1500",NA,"-7,800,044.2000","","2,740,599.5100","","-30,699,220.2200","","-642,883.6000","","-8,333,969.3500","","-22,433,174.6200",NA,"-75,614,053.2200","","1,567,594.6300","","13,531,209.2100","","28,665,682.7500",NA,"71,844,819.5900","","62,551,620.8400","","148,324,559.8700","","95,794,289.4000","","168,778,210.4500","34,572,100.0000","95,985,493.2700","119,796,471.7500","197,526,240.5200","44,197,975.7800","74,513,496.0100","111,923,005.0000","174,744,805.6600","58,101,304.5900","104,149,629.1700","127,625,296.6500","149,631,398.0600","35,055,079.9000","63,262,792.6300","89,013,351.4900","90,639,181.3600","24,230,192.9800","61,576,297.1600","83,270,066.2400","103,314,728.0500","34,019,218.9700","87,670,968.4500","108,578,249.5300","133,075,316.6800","38,301,342.7700","104,393,428.0600","133,532,831.9100","176,680,920.8600","47,608,439.0300","108,875,006.8400","133,692,804.8100","150,324,298.7200","28,237,666.9000","55,752,159.8400","83,943,708.1800","97,261,669.7300","22,599,497.2800","25,179,414.3200","42,913,383.2400","66,866,090.7900","15,752,897.3100","47,179,531.6900","65,058,832.7600","113,263,891.9600","24,530,902.8200","76,295,013.9800","93,033,401.0600","109,740,212.4200","26,993,099.2500","58,000,341.8000","73,506,144.9200","83,473,474.4400","19,946,586.6700","43,561,320.2100","39,492,060.4300","77,900,338.4200","21,469,902.1900","43,556,391.9400","46,120,291.0800","65,681,113.8800","8,178,948.7000","17,202,081.3400","10,607,268.4000","1,753,442.5700"
"111","000513.SZ","医药生物","","","","82,249,319.5700","","48,921,425.3500",NA,"89,930,266.0100","","42,715,706.5400","","58,258,014.1800","","29,130,143.3900","","49,584,536.8200","","16,686,539.6900",NA,"31,461,238.1700","","151,126,092.8800","","318,361,554.0600","","213,677,603.8400",NA,"510,366,229.0300","","277,114,104.3600","","542,472,695.8000","","300,525,682.2600","","651,215,325.0900","134,739,226.7300","323,675,418.7900","505,938,846.1000","703,850,225.3500","219,999,246.1400","499,963,741.9300","684,399,115.4400","892,614,356.1000","203,286,242.9600","393,683,840.0400","572,471,882.8000","761,192,806.3900","185,421,185.6900","375,839,395.3200","539,763,973.7400","715,796,820.5800","167,612,519.0000","338,240,463.9600","501,954,785.0600","700,228,493.8600","187,079,051.2300","350,958,957.1300","544,321,014.8800","770,421,986.6200","216,126,698.7800","477,895,054.6600","703,344,209.0000","937,858,303.4800","280,293,528.3100","648,560,235.9900","992,997,673.5200","1,358,131,804.0600","330,917,280.5600","683,977,831.4500","1,035,342,027.7400","1,431,376,070.3300","379,209,582.1400","776,012,069.8100","1,216,989,721.7200","1,724,247,685.7500","527,758,964.3900","1,111,968,702.6600","1,723,887,299.9400","2,319,291,783.7700","644,781,189.1400","1,326,203,416.8200","2,027,459,629.6500","2,865,542,827.6200","727,530,965.4100","1,598,866,637.3800","2,496,235,414.1600","3,332,130,419.5700","942,516,044.4200","1,869,571,718.7000","2,940,483,544.2400","3,964,177,542.6900","1,097,501,321.3000","2,380,121,514.4200","3,625,881,193.8600","4,783,634,564.3000","1,362,258,971.5600","2,707,800,496.4000","4,148,099,150.1100","5,318,857,276.5900"
"115","000518.SZ","医药生物","","","","6,848,713.5800","","",NA,"6,267,086.4000","","2,755,161.0200","","-9,962,442.9100","","-9,604,614.6500","","-28,783,083.7100","","14,230,790.7600",NA,"82,069.2300","","62,856.9300","","-183,726.4000","","10,672,421.9200",NA,"30,974,836.5600","","36,781,049.7500","","65,046,520.4900","","63,109,126.9600","","123,393,985.0600","53,222,162.7100","79,011,932.1200","122,575,982.5500","138,116,380.8200","43,628,381.9400","77,317,872.5700","108,603,426.6600","130,750,824.0000","60,590,109.9100","80,186,200.0800","99,271,418.6000","87,482,367.8800","13,715,618.1500","14,402,469.2500","20,858,237.0000","33,226,852.2300","12,686,356.4500","34,403,922.6800","54,993,944.6500","78,513,716.3400","7,225,786.5200","26,350,483.8300","43,618,711.0000","44,025,197.0700","15,937,755.3400","31,589,692.9000","47,425,795.6000","-1,510,036.3800","18,126,482.0700","26,606,225.8200","42,883,278.7000","81,304,796.4600","22,096,377.8800","43,044,122.4000","66,523,091.5500","95,067,447.6400","29,757,840.4800","56,333,859.3000","81,085,253.4100","113,735,422.9900","25,299,832.2600","52,677,369.2800","82,767,306.1700","124,769,232.0400","23,676,735.1900","54,189,862.9200","79,876,197.8600","102,357,068.9700","47,819,746.7900","75,840,353.3000","106,118,108.6000","139,765,169.0600","29,880,096.5100","68,291,594.3200","109,688,768.2200","146,027,368.4900","36,836,706.3600","81,585,134.9100","140,911,762.8000","210,340,785.6300","67,557,659.9400","127,799,233.7300","194,005,231.5000","259,835,224.2300"
"132","000538.SZ","医药生物","","","","15,873,366.3600","","10,873,500.0000",NA,"16,913,352.9300","","10,868,500.0000","","13,214,203.7100","","14,187,000.0000","","21,102,193.1700","","15,892,000.0000",NA,"30,023,494.9000","","60,854,938.3100","","106,855,051.5400","","53,399,048.7100",NA,"125,498,686.1800","","108,927,685.2100","","238,378,926.2300","","135,745,588.4800","217,134,732.0400","308,260,764.4900","77,974,324.6900","173,192,671.4300","279,758,381.1300","387,913,654.4700","91,088,709.3000","196,082,785.8100","301,470,536.9500","410,043,782.6500","99,448,648.3000","260,583,767.2400","402,821,713.2600","548,368,853.5700","148,923,635.1100","324,861,398.3100","502,938,392.0200","673,207,623.1900","232,097,645.7500","429,829,342.0200","654,771,940.8300","909,262,597.4900","222,969,956.0000","468,017,428.5900","726,006,736.3500","1,302,705,937.3500","293,570,484.2100","736,652,998.1600","1,087,015,722.1200","1,734,488,781.2600","348,209,127.0100","1,032,083,561.6800","1,514,050,884.0400","2,139,709,702.9400","577,688,930.0800","1,325,484,024.3800","1,967,227,584.4400","2,992,302,930.4300","634,170,220.5600","1,598,081,764.4800","2,369,853,737.8100","3,329,412,569.0900","781,869,899.0300","1,710,191,089.6700","2,835,359,056.7400","4,039,315,968.4700","947,526,150.2700","2,175,427,941.7000","3,405,011,159.2900","4,620,064,877.8400","1,243,263,724.4900","2,547,445,010.0700","3,979,770,867.3000","5,583,023,291.7200","1,359,846,160.0600","2,872,256,633.3400","4,533,204,457.4300","6,227,747,171.7800","1,457,848,844.1400","3,093,908,278.5400","4,965,443,967.1600","6,538,862,035.7100","1,765,417,851.3800","3,718,510,207.2200","5,607,482,779.6500","7,413,385,904.8700"
"156","000566.SZ","医药生物","","","","9,443,078.6000","","15,786,091.5800",NA,"35,957,608.5800","","25,377,000.0000","","27,329,266.0400","","11,388,000.0000","","10,246,804.1100","","-26,711,524.0900",NA,"-51,798,546.5000","","22,856,581.2000","","44,716,667.3700","","25,452,949.8800",NA,"54,427,860.0600","","23,406,342.3300","","49,236,609.0600","","35,242,711.1100","","77,261,996.3000","16,529,000.0000","39,319,883.8500","61,421,695.6500","80,322,725.5500","23,059,999.8200","47,179,632.3900","74,416,683.6100","106,744,556.8900","23,643,213.2500","52,862,518.1100","82,031,616.9000","117,341,682.6000","21,271,947.8000","48,823,739.8000","81,221,058.7800","108,361,351.4700","21,159,228.5900","49,415,351.8700","78,214,967.9100","91,681,227.7100","23,183,130.5700","57,300,370.8100","87,104,489.9700","89,034,148.6500","38,215,014.2700","78,427,476.9100","115,279,006.4100","140,859,916.1500","53,705,164.9500","101,715,990.4400","152,773,593.2000","163,739,239.3200","53,081,182.9800","105,383,485.8800","160,637,283.7100","220,935,442.5900","54,445,818.3700","119,898,641.2900","198,497,742.8400","258,299,977.6200","72,981,600.1900","167,763,165.3800","254,359,389.6300","388,615,113.0100","106,351,422.8100","198,426,727.9000","280,028,662.9300","417,918,708.0000","114,744,933.6600","243,885,009.2800","382,828,519.0100","537,340,725.4200","188,096,909.6100","318,769,982.8800","509,590,332.8800","682,577,863.3400","166,727,389.4500","295,874,449.0100","428,922,632.8000","767,660,475.9900","212,649,889.0700","313,725,136.4600","502,822,125.2000","854,301,458.8400"
"171","000590.SZ","医药生物","","","","9,109,800.0000","","",NA,"15,621,669.1000","","","","19,510,107.5100","","486,498.9600","","15,005,814.8100","","7,346,925.1300",NA,"27,236,585.9500","","30,689,000.7300","","83,565,695.5600","","50,218,057.9500",NA,"110,334,915.5400","","69,089,120.3800","","141,868,887.8900","","55,724,986.4400","","93,285,469.2000","20,220,382.1100","43,056,744.3000","66,340,671.2100","106,933,476.5400","20,871,748.4100","47,643,478.3100","70,003,244.9000","96,029,919.6300","19,454,754.2500","47,788,040.3400","74,392,402.3900","126,502,857.0200","24,657,279.4700","51,081,459.0900","80,775,684.5900","129,029,883.7100","20,500,490.0500","43,690,656.2500","69,156,635.0200","102,312,353.8700","-2,166,836.9900","34,280,439.0300","-1,712,391.3800","104,840,882.0300","20,853,017.4700","55,879,275.6500","76,592,867.8300","117,831,962.4000","26,071,856.6800","64,275,883.9300","94,751,787.2300","138,889,813.7300","34,016,878.4000","63,866,028.7600","110,876,496.1800","173,770,070.5700","47,554,579.7300","88,392,625.2200","139,244,706.5000","188,182,051.4400","50,664,843.6900","89,659,802.8700","126,067,501.0400","179,503,570.5300","50,643,898.0100","90,060,750.6500","113,936,013.2200","126,666,628.5400","26,443,339.5600","45,376,163.4200","73,167,599.3800","101,120,558.1400","45,715,654.5200","86,453,170.2000","123,533,819.6900","158,847,456.8600","48,911,204.3000","83,766,833.5000","114,430,488.7200","158,589,392.4800","36,559,996.9000","81,840,287.9300","115,557,611.3500","182,500,832.8900"
