"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"33","000038.SZ","传媒","","","","29,712,232.5800","","8,229,171.0400",NA,"22,113,525.2900","","7,654,900.0000","","15,064,107.0200","","2,819,337.3500","","8,286,792.7900","","2,095,871.8300",NA,"5,638,821.7500","","6,065,074.8200","","17,156,799.6300","","7,375,314.0000",NA,"13,053,000.3000","","3,559,761.4900","","4,315,708.0400","","683,102.9800","","2,733,751.3900","-163,313.9600","-10,827.6300","3,568,303.3700","10,047,714.0600","2,315,201.8700","7,269,173.4600","9,072,491.8800","14,283,654.9400","2,007,516.4300","4,105,300.8200","4,780,945.1800","5,779,018.1600","1,714,923.2100","2,726,915.8000","2,777,875.3800","2,807,060.1700","","","","","136,065.0500","671,333.3900","514,401.4700","362,840.5100","-151,560.9600","-303,121.9200","-454,682.8800","","","","","32,750,036.8600","15,018,155.2500","36,633,848.2900","39,519,715.5000","70,020,289.0200","-36,353.6600","-448,533.7800","20,816,311.5700","24,216,116.4800","1,329,899.1600","2,220,096.0600","16,372,330.8400","33,646,750.0000","2,344,444.2700","1,891,982.4500","9,008,110.8200","28,327,463.7300","2,617,143.5300","-4,253,304.9800","-3,973,959.5800","-22,112,334.0200","4,114,640.4200","10,267,166.2200","20,249,314.4700","46,573,046.3300","68,550,131.4100","139,952,188.3300","189,922,127.8100","367,534,924.9600","133,401,632.1600","257,837,159.5300","340,260,917.7800","471,786,735.9100"
"67","000156.SZ","传媒","","","","","","",NA,"","","","","","","","","","","",NA,"23,247,120.4400","","","","31,433,365.6800","","",NA,"33,032,040.0400","","16,316,753.9800","","36,941,519.7800","","12,694,036.7200","22,452,521.8500","31,066,477.5400","9,397,200.0000","23,755,250.5600","40,850,589.3900","60,373,628.2000","16,768,510.5100","29,048,060.2900","51,125,022.4800","35,775,687.1300","19,808,602.6900","5,737,459.3700","6,321,090.5200","9,112,457.3100","9,396,870.8300","18,239,674.2300","25,956,729.4600","26,675,855.7500","5,267,537.9300","10,586,713.9700","15,964,968.8000","34,448,974.3500","9,755,399.0000","19,634,461.1700","29,614,626.7500","48,326,722.2800","13,562,962.5400","26,638,755.6700","50,058,628.9900","71,966,010.9500","19,486,381.1500","38,019,051.8000","73,087,651.4600","108,322,572.9900","-1,666,305.2700","29,061,479.0000","55,644,578.3600","91,419,116.6100","22,573,091.7100","46,169,128.2900","81,381,386.8200","119,799,997.1900","28,255,564.5500","57,693,049.4100","422,243,441.1700","599,402,987.3200","166,022,155.1800","355,406,359.6500","522,741,269.6500","757,235,099.3300","233,810,677.0600","476,414,635.2000","721,492,743.6400","991,485,252.5000","278,798,792.0800","574,933,649.4900","874,618,866.4500","1,248,073,703.3500","303,620,821.1100","625,825,316.5600","974,729,608.0500","1,369,295,700.4000","318,105,270.8200","657,683,957.9400","1,001,924,343.2600","1,424,561,267.9900"
"105","000504.SZ","传媒","","","","146,241,493.0000","","69,075,201.6800",NA,"58,902,448.9300","","17,861,728.5100","","-9,028,161.4400","","-10,477,740.9100","","-99,164,800.2100","","7,996,587.0500",NA,"868,495.0100","","7,232,747.5700","","-36,459,994.8900","","5,842,241.3500",NA,"-49,277,857.3900","","10,643,054.9000","","-1,020,253.0200","","50,229,952.9900","","81,300,755.7000","18,264,900.0000","45,528,614.9900","68,236,360.9000","99,194,529.6600","19,399,611.8500","41,787,311.2600","68,980,336.6300","105,179,488.2000","19,452,275.9100","46,993,645.6100","69,824,372.5900","102,546,532.9700","19,053,674.6600","40,270,459.8700","58,527,494.3800","71,990,968.6600","16,659,438.0700","35,052,909.7300","46,268,146.3600","63,005,364.8500","10,202,650.4800","22,754,999.4200","35,088,526.1800","53,032,724.8400","15,259,552.8000","16,547,074.5900","22,700,733.2100","22,947,207.7700","3,344,413.1500","7,123,575.1300","13,368,464.3700","17,239,068.8200","2,072,844.8000","9,041,406.3800","15,681,889.0700","30,398,284.2400","3,436,371.5400","10,030,243.5700","14,876,632.1300","14,584,770.6600","6,710,910.3400","10,086,768.0900","13,737,440.2500","24,650,093.0200","-2,849,166.8900","-4,248,267.3200","-3,160,511.9200","-1,674,594.1300","273,771.2400","2,159,687.1000","2,726,682.7200","4,590,092.2300","-1,012,940.5100","427,047.6100","1,595,384.4500","1,246,059.0000","-172,737.8400","366,492.3800","3,179,821.1000","20,899,972.5900","603,856.3400","3,565,217.9500","4,312,230.2100","17,132,798.2400"
"122","000526.SZ","传媒","","","","5,938,186.4600","","2,396,807.5800",NA,"1,138,989.0600","","-4,350,543.4200","","-10,385,495.5700","","-6,107,142.5000","","-13,249,079.1500","","-6,486,104.5000",NA,"-12,900,187.3400","","1,047,555.8900","","2,104,871.3100","","1,070,268.6700",NA,"1,233,368.1700","","35,768.2400","","19,940,923.8700","","533,299.6200","","38,454,757.3900","3,740,000.0000","7,983,424.1000","12,737,797.2300","8,317,761.2100","144,218.9200","812,748.4600","1,426,319.4800","3,207,813.9500","941,223.1700","2,964,898.4400","6,471,910.9200","12,622,255.8000","3,358,132.9800","4,908,776.2200","5,795,661.5700","10,529,385.6900","2,680,858.9700","1,313,171.7300","2,013,692.2800","5,487,934.6000","875,811.2200","1,800,173.2900","2,719,030.5200","1,926,742.0600","45,606.0800","190,807.8300","285,655.2600","1,075,217.6500","130,503.3600","829,212.0000","2,292,884.7100","7,934,506.2900","674,034.9600","1,270,145.3400","1,186,693.8800","15,724,686.7000","482,566.4400","4,462,713.5300","4,929,333.4900","6,089,072.6500","174,198.5000","2,596,049.2500","10,757,787.5800","10,787,180.6400","2,876,771.6600","3,577,142.9800","4,480,002.0400","5,442,394.2900","1,063,111.4500","3,378,517.0200","8,000,142.6500","11,941,938.7100","3,943,384.8800","7,454,148.7500","11,206,203.4400","14,836,673.0500","3,941,024.7700","68,432,802.7200","208,342,537.1300","319,789,103.3600","199,501,504.6400","557,353,825.7200","699,106,907.7700","795,071,843.6100"
"185","000607.SZ","传媒","","","","21,035,000.0000","","",NA,"16,680,000.0000","","","","20,666,439.0000","6,458,000.0000","","","20,384,122.1700","","102,845.1900",NA,"-19,457,945.2000","","44,629,570.7700","","65,121,168.6700","","23,898,723.7800",NA,"161,408,177.5300","","110,508,749.4500","","214,826,193.6100","","165,277,480.2900","","336,336,152.9900","57,788,630.5900","149,477,054.4200","242,393,206.9700","364,161,401.8900","76,155,426.8600","175,963,374.6600","269,398,686.2900","369,810,887.7600","70,549,595.2200","152,309,082.3000","230,027,407.9700","360,485,552.6800","82,506,375.9300","177,871,990.7200","291,891,840.3700","409,223,019.9300","101,475,140.4500","215,848,544.9700","321,072,503.5100","410,698,596.5700","-3,213,304.9000","140,370,667.3600","241,712,491.0200","330,270,891.8400","96,419,893.9700","188,156,463.3500","286,078,405.5500","406,193,755.6800","118,321,875.9400","208,591,810.4500","336,963,821.8600","467,515,121.3000","78,245,237.0500","169,108,403.2700","239,010,575.7000","286,095,435.3000","51,687,839.6500","128,523,884.0400","226,657,567.9900","357,090,446.2800","61,370,060.1600","139,135,237.3700","294,343,400.0200","453,590,968.9800","90,707,714.0600","251,636,829.3300","388,469,418.8700","549,142,713.8300","98,935,359.0100","235,036,373.8700","401,417,744.9200","387,820,776.9300","42,984,942.5900","178,648,602.4300","291,576,947.2600","411,722,517.3500","36,388,863.0900","193,059,563.3600","366,750,895.4700","544,699,371.4400","58,453,570.3700","195,212,745.7600","293,314,489.1500","445,152,770.8100"
"223","000665.SZ","传媒","","","","9,480,273.0000","","",NA,"13,677,935.4200","","","","13,338,756.9800","","","11,040,415.6600","14,524,345.9900","","9,843,391.0700",NA,"32,051,243.9800","","26,087,712.4300","","49,026,739.6200","","31,142,638.8200",NA,"55,342,435.2900","","38,424,361.2400","","80,419,550.7600","","34,396,172.1800","","86,746,232.1100","17,684,384.2300","32,109,954.8000","47,291,341.8800","69,289,569.0800","16,346,025.2800","33,866,075.6000","51,078,158.8300","64,705,851.9700","10,211,092.4700","25,811,105.3000","39,871,680.8200","40,484,980.5400","11,391,578.6700","24,061,345.1200","37,395,708.3400","43,788,080.4000","12,017,379.5600","36,117,981.0100","54,628,278.4400","80,203,615.6400","24,034,244.7100","57,565,813.7200","71,484,760.4300","110,688,286.6800","12,914,111.7800","34,332,830.6300","58,139,167.5500","71,672,156.9200","10,820,024.9300","54,357,231.8900","95,150,180.5700","133,613,709.0300","55,484,422.4400","108,781,950.2000","150,918,991.4300","191,889,256.8300","54,427,985.1800","108,221,470.4400","159,146,243.4800","198,183,346.0000","56,403,524.4000","115,979,073.8900","170,563,183.5400","478,965,540.6900","147,072,692.7600","254,981,829.1700","355,224,599.5300","528,944,543.1600","150,212,319.0600","268,176,029.4100","375,845,458.4900","826,750,031.1600","289,249,337.6700","527,610,759.0300","769,035,415.5200","1,155,327,329.3900","264,181,767.3400","522,744,632.6600","761,125,153.3600","1,124,266,298.9600","246,856,689.4400","530,237,432.3800","781,303,470.5500","1,202,111,873.9000"
"231","000673.SZ","传媒","","","","37,747,309.0000","","",NA,"26,940,412.0000","","","","31,069,259.0000","","","","29,922,895.0000","","24,321,575.0000",NA,"44,461,631.0000","","39,227,570.4000","","60,890,345.4000","","35,499,286.0900",NA,"71,542,983.3900","","31,903,168.0900","","86,360,477.7700","","50,650,747.4200","","59,184,939.6100","15,694,215.8600","29,944,880.6200","48,003,146.7700","46,338,541.9600","4,776,831.0900","16,523,590.0600","28,902,472.0300","35,814,818.6300","5,787,165.4900","21,262,490.6700","38,628,260.6000","47,374,235.0000","5,027,452.1800","16,056,652.0800","26,213,180.8300","26,275,221.5100","-2,352,894.6600","-5,006,435.0500","-6,006,665.4600","-245.9200","-451,843.2100","6,241,484.7000","14,950,393.2900","28,559,946.8000","-2,218,973.5100","-4,560,112.4200","-6,568,903.3900","-5,498,562.1200","","","","-942,363.2700","63,400.8900","85,153.1000","496,566.3700","565,889.6700","319,781.2000","399,761.5400","517,391.4600","23,253.0700","160,698.9100","3,475,026.4700","5,160,946.4600","8,510,743.1000","2,097,911.9000","3,592,921.7800","4,652,597.2500","7,959,589.6700","371,924.5100","9,888,647.2200","14,738,944.9600","16,297,459.0200","-0.0100","47,704,208.7700","112,149,416.2900","202,710,927.4400","31,528,125.4200","70,486,456.3900","205,080,705.4300","290,356,475.7500","50,413,636.0500","147,830,958.3100","188,947,101.2900","375,459,190.1900"
"232","000676.SZ","传媒","","","","","","",NA,"7,740,229.3800","","","","10,271,165.3500","","","","15,713,171.0000","","10,119,117.1400",NA,"21,493,938.3300","","14,114,137.0900","","39,323,886.5100","","18,252,506.5400",NA,"48,312,576.3600","","23,355,009.0100","","52,821,871.5800","","48,626,967.9400","","72,520,715.2000","11,591,451.0000","49,721,355.0900","88,106,966.1800","111,421,827.9400","17,355,604.7200","48,053,677.3100","76,167,959.5100","127,691,736.7400","18,044,607.5900","63,226,275.5300","97,322,376.2900","161,253,715.8200","24,853,651.3100","55,091,474.6000","87,424,073.0200","162,491,400.8400","35,079,467.5600","65,952,615.5700","98,037,818.8600","170,947,485.5800","26,655,944.1100","65,628,068.0500","100,680,119.2400","178,092,674.0100","37,580,533.0900","79,273,913.5300","119,833,389.2500","155,617,509.8800","22,631,507.6900","55,596,208.4500","75,938,872.3200","114,022,849.5400","25,262,948.8200","59,431,039.8800","92,008,177.9000","191,433,851.3900","16,513,489.9200","68,442,180.7500","105,401,056.4300","153,413,044.3800","26,579,070.9400","65,275,486.6500","99,490,838.0700","112,738,729.1500","25,078,463.1600","58,498,903.5400","100,850,447.3200","129,032,776.4800","23,988,669.7500","53,108,635.8400","78,623,575.1600","120,087,202.0700","28,210,667.4800","50,487,892.9800","84,264,079.6300","105,753,486.9700","23,686,845.2800","131,653,056.4100","283,868,215.4700","498,274,106.4500","169,673,624.7800","347,194,439.3600","559,617,442.0400","906,153,296.5400"
"237","000681.SZ","传媒","","","","8,799,065.0000","","",NA,"9,014,282.0000","","","","12,272,029.0000","","","","17,889,752.0800","","10,765,783.8300",NA,"13,645,207.1100","","15,468,052.2100","","31,401,109.1700","","16,774,018.5500",NA,"36,922,591.6000","","18,553,559.4800","","49,601,133.8000","","29,304,351.6800","","47,359,671.2600","9,462,230.1500","18,402,580.8500","25,628,110.4800","32,686,234.2000","7,350,445.2700","14,990,730.9700","24,623,244.0600","37,713,088.6000","6,645,298.4300","6,597,144.7700","14,441,095.8400","14,856,047.0500","8,217,883.3100","8,482,911.7400","11,546,685.4700","50,614,063.5700","3,481,528.5700","9,919,879.8000","8,714,544.2800","-1,846,952.5900","-984,126.7500","-623,899.2000","3,115,081.3600","222,132.5400","909,106.0300","1,644,570.1100","717,587.1700","-5,618,232.7400","19,942.2300","98,752.0600","848,462.5600","1,113,875.2400","80,406.6700","-41,408.5200","-58,102.4500","-85,316.8000","-1,730.6700","31,387.3500","43,379.3400","2,624,255.5600","","7,186,241.4800","23,345,630.0600","25,713,569.9600","-5,124.0000","26,578,250.7100","28,625,256.4400","33,135,168.0200","146,199.9600","100,048,266.7500","158,286,862.1900","213,896,079.3800","51,442,394.2400","111,543,403.0200","171,322,772.4900","310,423,370.4300","72,353,575.5200","182,749,171.1900","287,762,961.5500","425,505,851.7000","72,132,512.9000","231,371,858.5400","356,650,179.6000","530,780,084.7300"
"267","000719.SZ","传媒","","","","7,933,387.6700","","",NA,"12,474,038.3500","","","","11,458,544.2100","","","","12,676,837.1900","","16,869,883.3500",NA,"14,921,236.8400","","14,636,258.4200","","29,064,438.1700","","14,162,655.3300",NA,"32,384,088.6000","","21,538,461.1000","","56,072,572.4300","","31,022,558.5500","","59,015,265.0200","10,900,129.1700","23,676,938.6100","35,760,042.8400","61,750,453.4000","9,864,070.5000","19,282,590.3400","30,083,288.8100","42,463,128.3700","12,564,385.4600","21,051,301.7900","29,561,209.3400","-3,299,912.4000","7,180,589.3600","4,929,748.7000","-21,643,757.6100","-28,612,269.5800","35,901.0000","-764,902.8300","-5,056,269.3200","-11,079,302.3300","-35,432.5700","-163,743.8400","-169,997.0200","26,779.7400","","","","","","-196,315.4900","-2,220,202.4400","-563,847.9900","","","","","","163,809,715.5100","293,669,946.5700","417,268,910.7500","86,394,280.3300","195,672,923.5200","296,628,382.3000","481,443,495.8100","104,037,386.8000","266,283,799.6000","451,594,467.9000","594,208,934.3300","105,682,715.4500","257,973,773.6000","1,292,735,242.7100","2,031,578,695.5100","375,306,310.6700","944,129,338.7100","1,364,380,611.7800","2,067,886,872.3800","423,345,212.8500","983,670,991.2700","1,514,635,932.3900","2,209,669,560.0000","461,067,737.5400","1,079,704,062.4300","1,585,395,669.9700","2,357,248,680.9500"
"314","000793.SZ","传媒","","","","","","",NA,"27,725,270.8900","","","","17,735,170.1600","","","","24,436,531.0900","10,651,577.6500","8,825,012.1200",NA,"39,882,466.3300","","5,024,681.7200","","81,578,966.2800","","33,243,812.3200",NA,"51,561,864.5200","","19,266,599.4800","","127,152,391.6400","","58,135,996.7300","","106,857,423.0300","20,255,638.4800","56,482,977.5300","87,458,326.2800","119,095,793.0400","30,714,194.2800","69,627,297.3800","105,401,761.9200","159,231,755.3400","30,263,532.2900","56,724,023.5500","83,861,825.1300","115,257,719.7400","45,245,984.8300","96,600,087.0200","149,549,148.9800","202,802,070.5800","57,994,257.2000","104,686,443.9200","155,934,230.6800","197,632,942.3700","50,320,755.0300","96,814,983.7700","151,358,544.7700","568,092,339.6300","124,278,163.5200","338,976,207.5000","524,142,325.7700","778,221,346.2100","135,066,957.2800","328,312,217.9800","582,265,647.8900","857,611,729.4100","198,635,980.6100","446,782,262.5700","736,384,798.3900","1,061,211,338.6600","258,329,238.7000","590,265,232.7300","942,406,043.5700","1,320,752,415.8500","237,835,022.4700","606,439,765.2800","946,778,497.2900","1,470,302,128.7400","272,966,849.4100","629,956,448.7400","997,687,530.5300","1,441,425,629.2700","279,451,710.4500","766,828,098.3700","1,150,810,925.1700","1,727,561,912.5000","323,974,511.9700","858,301,029.8500","1,210,185,484.1600","1,820,991,198.2200","279,413,491.7500","681,634,594.0400","1,064,455,053.4700","1,632,049,843.9700","299,620,491.6600","608,156,441.6100","893,110,640.0000","1,365,536,039.3200"
"322","000802.SZ","传媒","","","","","","",NA,"15,873,283.0000","","","","23,396,670.0000","","","","28,146,936.0000","","11,302,232.0000",NA,"30,006,046.9800","","22,251,785.0000","","59,065,909.6400","","29,662,296.2000",NA,"70,705,408.3800","","26,807,380.1400","","72,745,354.6700","","33,214,289.6400","39,533,739.8500","51,939,179.6700","6,577,800.0000","15,644,981.7600","35,860,648.0000","55,685,337.4800","8,293,073.4200","12,249,603.5600","24,039,437.1100","49,432,506.4900","5,653,580.7600","30,162,381.1200","34,398,607.9000","56,614,721.6900","11,067,689.1700","23,940,616.2600","39,709,128.0800","43,945,163.9400","17,400,875.3600","33,007,695.7200","53,822,126.5100","64,151,052.1000","14,420,874.7900","35,561,982.3600","61,484,778.3800","68,778,233.0400","19,128,083.4700","39,465,529.4800","57,379,778.4900","83,129,186.1600","18,082,452.8100","41,576,428.1000","63,016,535.8200","88,655,739.1700","22,118,312.6400","43,601,939.6100","66,968,077.1400","86,294,869.0600","23,842,993.4200","51,452,038.0800","73,231,920.5300","95,939,962.2700","21,355,518.8300","47,967,281.6800","68,490,400.3100","84,308,092.0000","23,775,198.1800","43,459,822.6800","57,370,614.9900","78,179,707.9100","23,722,659.8300","48,742,211.4500","104,067,479.7800","195,178,081.8200","25,659,906.6700","52,478,143.6100","102,919,358.5900","161,831,604.2700","22,003,345.9200","79,138,224.4300","143,127,837.9600","488,663,839.9600","46,961,404.9100","122,945,119.3500","138,027,206.3800","640,388,653.1100"
"346","000835.SZ","传媒","","","","","","",NA,"","","","","1,766,490.8900","","","","21,269,119.1600","","",NA,"43,991,065.6900","","","","57,905,476.8000","","27,421,805.0000",NA,"80,999,116.8900","","49,186,967.6500","","120,246,334.3900","","75,428,035.3800","","178,223,360.2000","32,027,500.0000","63,594,877.3000","79,319,798.5200","98,409,465.5300","10,272,431.2500","32,532,125.5800","36,196,925.7600","52,418,704.1600","5,818,460.9000","14,802,068.8900","29,021,485.9900","42,977,113.8300","3,580,872.7900","9,100,216.5100","23,845,126.7800","41,333,787.2700","11,994,848.3800","11,517,031.0200","29,700,189.4500","55,838,783.7600","26,088,776.4200","88,840,761.1600","128,042,827.4900","188,085,404.8500","82,314,081.5300","166,985,070.7100","221,448,735.9900","218,146,440.9000","31,045,226.1500","57,170,067.1600","110,946,552.2000","124,981,816.4700","25,814,641.0200","57,439,605.4200","96,100,528.7800","119,899,378.0000","39,306,094.7200","73,896,203.7600","96,993,827.5800","130,652,704.7100","21,521,676.0400","64,725,988.6900","74,822,679.9600","100,217,682.0800","31,820,881.6800","62,628,776.6800","88,463,015.4200","121,620,522.0900","10,963,787.7100","20,835,444.6100","35,733,118.7800","51,243,013.3400","8,497,016.0100","48,532,733.9500","82,254,747.4800","115,374,416.0100","7,497,768.2500","69,655,343.7100","106,987,652.8700","141,692,899.5200","32,049,188.7800","63,419,165.0400","93,871,581.6200","170,812,998.6800"
"378","000892.SZ","传媒","","","","","","",NA,"","","","","11,895,692.5200","","","","6,919,313.4700","","",NA,"14,503,455.0300","","","","57,577,730.4700","","14,990,804.5600",NA,"48,542,569.9300","","21,801,720.4900","","89,845,240.1000","","73,060,526.1900","132,311,308.0100","176,425,087.6200","41,000,400.0000","108,738,856.6600","152,591,515.9600","197,079,661.3200","52,510,567.0600","138,527,173.4900","218,581,748.3300","300,629,392.4500","57,731,930.3200","152,557,104.2300","219,564,559.5600","243,542,945.6100","-8,170,084.2700","-10,131,076.0500","-18,089,772.4600","-34,432,362.9500","-5,778,576.5200","2,320,845.7100","-548,378.9600","17,178,390.1500","1,321,044.6100","1,358,653.3900","1,386,741.5500","164,380.1400","10,680.8900","10,680.8900","10,680.8900","10,680.8900","","","","","","","","468,029.4600","643,620.0000","1,840,997.9400","4,139,586.5800","4,102,855.3500","828,785.7900","3,120,593.6600","3,111,143.6600","4,718,531.0600","-9,450.0000","2,362,970.5900","2,353,520.5900","2,503,582.2900","-9,450.0000","-9,450.0000","-9,450.0000","","","","","6,720,509.7200","946,677.7000","2,836,189.2600","3,281,368.5100","452,410,964.7000","7,122,585.5100","29,771,562.7500","66,912,641.5600","686,654,107.3800"
"397","000917.SZ","传媒","","","","","","",NA,"","","","","45,667,036.5500","","","","59,319,912.2100","","",NA,"97,844,858.3900","","","","151,747,108.6200","","77,511,275.2200",NA,"175,169,498.4400","","117,691,732.6100","","258,550,252.3000","","135,492,570.7700","","311,130,279.1500","63,471,220.6800","145,763,673.0600","205,370,357.3400","250,830,641.2200","82,302,194.5600","159,223,928.4000","210,528,865.4700","258,190,036.9800","96,420,029.4900","194,654,509.3900","257,746,805.0800","348,774,558.5900","96,314,830.0100","185,506,778.2400","259,319,291.1500","439,371,610.5500","104,308,122.9400","234,010,400.5200","314,615,171.0700","359,637,177.4700","164,159,833.2900","300,887,306.8500","438,828,045.7000","618,708,349.9600","217,997,134.1500","381,991,096.8300","586,322,446.0700","869,597,095.5500","210,783,419.2500","401,039,418.5800","611,527,406.6300","825,932,886.3000","296,272,114.2500","554,913,016.7100","733,322,473.0600","1,198,172,788.1900","290,181,301.7100","515,890,060.1600","790,825,567.5000","1,188,901,346.7400","419,462,780.2300","918,579,080.5500","1,197,384,629.0700","1,582,651,944.1500","569,329,154.9600","923,908,115.5800","1,388,993,942.2700","1,830,729,873.8800","473,343,092.9600","899,458,128.9200","1,306,722,829.6500","1,722,355,020.9000","453,650,892.2800","811,789,583.4400","1,174,761,764.7600","1,819,501,360.3900","575,326,569.2000","950,652,787.2600","1,475,235,039.5300","2,011,452,636.3200","488,114,616.7900","853,759,509.0000","1,228,779,116.1100","1,487,708,366.3400"
