"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"116","000519.SZ","国防军工","","-25,907,838.8300","","26,483,378.0100","","7,062,681.7700",NA,"8,739,322.0500","","1,846,876.6600","","2,483,602.7300","","984,089.0300","","370,106.1700","","266,144.6500",NA,"2,425,523.7000","","14,625,702.4300","","29,920,572.4300","","18,513,564.7700",NA,"51,186,411.5500","","34,740,953.9700","","54,813,522.4500","","35,340,606.2700","","40,102,199.8700","7,076,541.8600","19,411,743.1100","26,121,965.6400","27,155,034.1600","11,821,873.4700","23,370,758.3600","31,322,407.4700","31,079,729.0600","10,425,611.7000","19,782,096.2000","23,386,012.3900","23,107,056.7000","3,723,742.4800","9,658,774.1100","12,470,321.7200","12,720,027.8200","4,344,494.3700","11,138,905.8700","17,000,964.0500","27,685,388.0100","7,638,059.0400","15,457,615.5700","22,759,711.4900","28,154,597.7400","8,342,270.0300","19,099,049.0300","29,683,021.2600","30,947,977.7000","9,592,704.1400","27,805,977.6300","44,565,580.2400","65,001,172.6700","19,801,130.3600","37,013,250.9700","46,013,776.0800","69,017,357.8100","19,335,695.3300","32,698,745.3200","42,835,225.4600","56,753,995.7700","11,103,310.9800","22,698,365.2000","30,777,422.0000","46,164,424.0400","8,144,708.8700","19,931,250.7500","518,112,523.0000","761,870,897.7700","155,574,255.0100","362,211,339.4000","507,909,368.9200","728,679,612.5400","116,835,715.6200","288,272,709.4300","416,262,805.5500","557,563,093.0300","70,657,802.7500","146,021,035.5900","227,751,580.2100","776,111,346.0400","97,985,243.9500","260,077,898.2800","428,900,112.3000","868,608,882.0300"
"140","000547.SZ","国防军工","","4,728,639.0000","","11,391,192.4400","","7,414,025.3100",NA,"13,165,071.6600","","3,141,900.8000","","6,669,979.9300","","3,240,772.1400","","3,861,810.0100","","1,433,467.6300",NA,"19,063,578.9900","","7,659,998.9700","","13,831,088.3900","","38,448,959.7900",NA,"91,058,627.6300","","29,184,023.0300","","78,669,614.4900","","51,651,262.8600","","94,463,154.8400","16,529,929.2000","29,939,805.3100","41,873,706.6900","57,296,658.3100","11,271,735.1700","26,733,134.2200","35,375,311.4000","63,275,032.7700","13,373,184.7500","33,344,654.8500","48,689,492.5900","83,114,423.1000","13,449,599.9400","36,092,794.3800","53,141,888.7400","93,281,973.6700","15,099,945.9500","38,399,871.7400","68,972,390.0400","109,272,258.3500","28,909,683.3300","66,637,783.4300","90,468,196.2400","137,796,430.4000","25,463,699.2700","59,159,164.9700","85,722,499.7500","134,979,173.8300","24,681,456.6700","61,671,514.4900","95,589,224.3700","138,421,918.6100","25,920,145.2100","59,407,505.6900","97,460,465.9000","156,076,508.9100","32,526,428.8600","79,323,686.8000","107,910,396.7100","170,500,979.8100","24,088,593.7900","57,646,366.8900","82,656,928.5300","169,709,647.1600","26,259,033.1500","41,840,253.9400","89,420,571.7100","178,508,438.6600","32,526,452.5200","80,615,228.7300","155,435,394.3100","298,326,786.3500","50,734,278.3100","113,492,880.7300","297,345,459.4400","527,899,644.9500","153,534,300.5900","315,571,743.8400","478,859,652.6200","785,739,070.4400","176,521,818.9000","366,514,030.4600","579,172,205.7700","843,696,767.1900"
"283","000738.SZ","国防军工","","","","","","",NA,"75,256,020.0000","","","","43,948,130.0000","","","","22,132,531.8100","","10,713,470.6600",NA,"26,683,561.3700","","48,420,046.6700","","164,513,850.8300","","91,512,122.3200",NA,"166,267,154.2200","","-17,956,209.4800","","-13,704,067.5400","","-52,154,514.8600","","-39,470,060.2700","1,243,598.7600","10,187,963.8600","29,219,311.9600","48,220,132.0300","7,464,625.8400","19,890,800.4200","34,858,458.0600","50,832,650.2200","9,166,440.4900","7,446,157.5800","4,362,719.4100","-15,515,386.3700","163,189.7700","-3,214,130.3600","-7,285,168.7100","-8,666,959.2400","6,764,127.7600","5,142,957.8500","6,715,532.7700","11,924,994.6000","6,027,845.4700","7,775,257.2500","12,285,551.7800","21,733,192.2900","2,577,854.0900","6,072,972.5300","16,035,972.0300","24,820,188.1600","11,699,981.2700","24,046,772.6200","363,928,781.6100","500,473,750.1600","92,840,843.4600","210,494,298.6300","289,728,778.0200","450,630,904.6400","83,322,410.4300","225,690,064.0100","354,781,371.6800","514,341,350.9000","95,070,465.2500","232,969,236.8800","353,183,245.6500","557,050,010.3900","107,195,260.3300","257,087,572.7300","389,275,846.1700","581,923,007.0500","113,324,787.2600","270,928,778.6800","415,563,241.2100","550,366,638.1700","108,764,323.1300","283,029,013.4100","445,541,569.9900","595,468,739.0700","136,980,405.7100","342,724,154.7800","507,794,879.0900","621,295,723.7900","139,226,608.4900","357,288,480.4000","507,508,923.6900","698,524,502.7600"
"299","000768.SZ","国防军工","","","","","","",NA,"57,577,060.3500","","","","63,471,145.0900","","","","75,998,244.4700","","31,562,699.0900",NA,"82,585,746.8200","","44,036,513.1900","","99,185,913.4700","","45,904,121.8400",NA,"103,692,738.5800","","84,306,652.6500","","166,152,728.7400","","50,039,843.8800","","121,117,841.1000","30,077,828.9800","75,017,432.5500","123,728,296.0600","174,462,913.2500","27,182,534.7400","63,340,220.3000","94,921,040.4200","126,523,634.3300","29,753,532.6200","67,127,366.8300","95,895,447.7700","165,196,654.9000","42,376,213.6400","102,596,296.4100","129,234,797.6100","177,226,554.2700","54,807,085.4200","133,117,244.3500","185,786,025.5400","278,057,102.4400","54,393,617.8000","131,316,180.3400","183,505,309.2500","261,278,902.1200","167,100,488.7200","375,082,797.2800","612,652,180.3500","860,937,218.0000","103,240,733.8300","152,625,035.9800","340,307,819.9700","862,864,763.2600","84,878,015.7700","297,709,587.6100","508,038,091.7000","1,143,219,395.8300","103,228,885.0900","278,234,832.5200","453,632,438.9300","713,579,083.0300","151,160,750.1600","321,955,891.2600","496,864,743.8100","1,649,561,943.6600","258,760,388.9300","723,648,260.3600","1,132,806,420.5900","1,915,447,753.3100","133,901,240.0600","636,127,093.2700","1,127,720,032.7800","2,014,119,610.4100","115,649,594.2500","548,970,616.7800","893,659,475.9000","1,829,152,125.0600","279,523,008.1400","695,125,322.8800","1,105,669,668.4000","1,792,944,270.1100","151,833,950.5200","719,145,910.8100","1,258,599,879.6200","2,171,455,323.1100"
"477","002013.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","18,525,493.8200","","","","23,987,862.9000","","16,118,645.8100","24,135,649.3800","31,577,394.6000","6,396,999.5500","16,646,411.8700","21,251,016.4000","25,982,194.7200","4,338,718.7400","11,545,787.2400","23,190,518.1700","31,126,724.2400","10,480,640.6400","27,237,333.4800","39,076,884.5600","48,188,556.2900","11,782,486.0600","31,589,200.4000","47,216,222.2600","63,594,224.3500","10,083,020.7400","35,250,473.7000","46,106,316.7900","67,377,930.0100","8,280,052.6500","36,036,636.9900","60,349,859.0200","82,295,376.5800","23,157,698.4000","54,620,280.0700","76,025,364.0000","103,751,241.6900","26,683,183.1300","60,826,759.6500","87,212,374.5600","108,631,750.8700","26,081,610.9000","55,630,380.0800","83,956,342.1900","1,446,371,690.8100","283,789,194.1100","794,062,751.4000","1,139,174,368.1400","1,713,929,801.4700","246,754,483.1100","808,348,396.0900","1,120,840,413.5100","1,768,573,849.1800","231,558,754.4800","567,906,503.3000","1,016,888,133.1600","1,754,246,785.7300","269,418,383.4600","730,560,247.0500","1,134,562,631.6300","2,075,923,212.2400","335,001,508.7800","897,072,188.0500","1,382,857,364.9100","2,369,302,218.6800"
"487","002023.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","49,658,957.6200","","","","59,360,768.2500","","26,583,813.7400","38,094,562.6300","64,112,215.5500","9,332,740.5300","36,444,732.8600","58,740,820.0300","77,673,920.6600","11,647,981.2900","37,492,341.2600","52,868,462.9600","70,243,789.0600","12,157,457.3100","29,525,542.9600","41,596,150.5300","58,884,377.3300","9,807,103.5700","34,837,125.5300","47,165,947.5900","67,009,943.2100","15,120,095.9800","36,000,750.2700","54,317,721.6000","79,008,931.4300","22,869,491.7100","55,837,877.1400","82,062,333.3400","122,177,406.5700","25,724,356.1600","57,565,640.4000","81,137,192.4400","117,120,156.5500","22,634,581.0200","56,316,664.5900","86,488,077.9200","123,534,891.7700","30,677,381.4800","72,629,806.5500","109,238,051.3600","162,377,167.7200","43,261,835.2200","113,697,800.3100","176,417,357.0800","252,179,044.3700","64,727,523.6400","137,211,843.5800","219,015,215.4900","315,475,946.3600","72,601,474.0000","133,327,057.2100","191,430,914.0900","237,888,311.8800","61,443,717.6500","126,868,855.3300","151,023,191.5200","222,623,367.1800","49,113,033.5900","88,496,358.8100","119,898,384.1400","163,032,642.6300"
"615","002151.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","12,838,002.8300","","","","26,666,578.5600","","16,955,848.3200","27,100,355.2100","40,629,647.3900","12,350,674.4000","28,595,942.1700","43,852,991.4000","60,391,739.1000","18,010,045.8500","45,348,534.7900","65,787,387.8400","89,427,438.0300","22,250,497.5700","47,178,860.4600","65,479,736.5600","107,040,013.3400","21,955,707.7900","53,119,738.1400","74,954,386.8800","116,260,942.3400","30,422,612.5700","76,408,470.7800","116,995,361.6400","169,075,581.0600","24,150,142.4100","77,854,539.8400","128,403,288.8800","185,911,169.3900","42,198,918.2500","103,534,122.9600","154,984,746.0600","242,436,764.0600","42,840,424.6200","103,866,158.6200","185,949,198.1000","284,179,189.2300","42,942,419.2000","88,442,773.5300","176,477,899.9100","347,378,343.7500","78,553,404.0200","206,026,699.2300","349,200,730.3400","506,797,961.9000","104,347,954.1700","255,210,668.4000","412,634,164.9700","663,089,385.4200"
"654","002190.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","61,740,620.0200","","","","49,728,776.2000","","","30,868,215.3900","60,425,900.4800","4,965,280.2100","22,113,174.5700","32,729,230.9300","55,305,763.9500","5,880,840.0300","21,961,860.2100","30,290,313.0800","55,184,752.9000","8,270,856.0700","23,117,271.0600","34,929,216.7900","50,869,898.9900","9,276,771.5700","28,164,638.6400","45,731,517.8200","75,517,072.6600","18,244,318.0100","41,939,079.8900","122,694,883.3600","168,495,869.2800","20,971,721.8600","65,036,879.3900","104,052,608.5600","181,011,882.4100","30,277,763.5000","66,031,115.8500","88,892,381.5800","157,935,847.4300","14,609,001.4600","50,527,501.5500","92,317,301.9300","191,950,177.9600","53,718,116.9400","143,249,283.5800","232,995,207.2300","420,087,702.0800","81,290,642.0800","213,007,718.5600","344,534,715.9500","542,024,286.7600","62,114,859.2000","114,847,292.0000","181,425,337.4800","182,898,489.7800"
"760","002297.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","35,791,548.0000","","","","43,898,218.2700","","","","58,415,756.6700","","29,838,945.9600","38,684,790.5000","57,187,070.8200","9,632,216.0200","29,516,356.7600","41,046,924.9600","57,195,369.5500","15,041,773.0300","39,326,599.5900","53,850,671.8100","71,801,903.6800","13,558,431.7400","44,346,569.2300","68,737,755.2100","93,328,801.7400","25,474,376.9800","51,207,196.8500","72,951,374.3400","86,304,944.6600","19,207,182.7000","58,987,544.5000","79,779,564.3700","89,504,104.3500","15,788,219.1000","43,242,533.8100","64,446,765.8200","82,814,454.6600","14,430,226.2000","32,656,857.9100","43,711,897.6500","44,813,762.4400","23,297,112.7500","49,649,713.9000","81,540,030.3700","124,500,540.3200","28,715,431.1500","60,699,697.9900","87,681,139.3300","127,879,604.2500"
"876","002413.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","81,748,250.1900","","","","145,748,247.8700","","","","132,441,164.6700","18,680,787.7700","65,793,685.7500","111,905,304.7100","150,340,864.4100","43,298,436.6500","106,020,277.8900","149,085,987.9900","189,718,373.0000","53,956,018.2100","130,180,070.6500","184,824,247.3000","217,080,905.3700","36,013,497.6500","82,802,520.5700","111,487,061.0500","146,898,770.7100","30,910,078.6700","72,809,898.2200","105,799,915.0800","142,308,857.1300","30,627,934.9600","94,716,053.2600","136,626,584.1400","189,649,610.5900","37,390,762.4300","127,454,440.7100","185,166,017.3400","283,886,134.8100","39,473,680.8600","90,062,876.9800","156,008,262.5700","266,311,357.5900","64,091,088.8700","147,688,696.3000","224,898,688.4100","356,511,771.7400"
"1281","002829.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40,421,421.9200","","","","59,446,674.2200","","","","108,704,855.4600","","","","119,766,221.3200","","","55,418,395.1400","112,746,625.0000","13,086,227.9700","43,280,084.1100","87,028,593.6600","136,492,061.4400","15,309,504.6800","50,880,584.9900","93,853,517.5400","192,407,836.5000"
"1377","002933.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185,882,749.3700","","","","188,854,172.0000","","","","207,670,145.1200"
"1378","002935.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144,006,825.0400","","","","165,334,030.8600","","","","181,972,935.0500","","65,512,253.2400","","225,114,418.0400","","","","238,668,774.5900","","88,171,698.4800","386,787,174.5000","257,965,647.7600"
"1389","300008.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,603,566.1800","","","","38,831,584.4400","","","37,359,164.7500","54,072,124.7400","16,321,706.6300","32,100,506.0600","45,855,773.4600","65,079,280.0100","16,749,395.5400","38,308,112.3100","63,389,760.5500","88,637,534.7300","23,758,354.1900","53,221,448.4600","83,796,870.0700","120,647,840.4100","27,801,323.1900","62,590,987.5400","79,285,852.1800","82,646,134.2500","15,646,350.6300","32,181,255.9300","51,935,968.6800","71,619,290.5700","19,779,643.6500","56,450,498.6400","94,300,351.1900","141,612,888.8600","28,753,221.4200","69,399,100.0000","111,531,259.9000","162,500,923.1800","24,718,889.8700","169,987,743.2100","218,964,957.5300","280,837,007.6800","65,059,541.9700","156,383,021.7400","208,932,931.7300","386,545,383.7300"
"1415","300034.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","32,164,453.0500","","","","45,431,322.3300","","","34,666,883.4100","55,167,724.0600","10,984,220.0200","29,541,718.2300","52,164,425.4900","67,046,062.1400","16,615,398.3800","34,996,991.4000","56,573,048.3000","81,225,200.1200","18,801,411.1900","42,268,028.5600","61,706,671.0800","95,869,328.4500","25,852,017.2500","55,388,296.9300","85,176,621.8000","113,284,979.4900","29,591,275.8400","60,708,330.2000","99,430,259.3300","142,332,965.7300","34,011,288.8000","72,986,869.0200","113,690,981.8900","177,816,223.2400","44,151,840.1700","91,263,089.2800","139,718,382.5600","221,837,850.1800","45,707,529.2400","103,873,972.8900","148,484,655.4500","193,940,346.2400","42,183,054.2200","81,970,329.8400","99,662,952.0800","133,796,777.0400"
"1481","300101.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21,395,041.8400","","","","90,860,008.1500","","48,644,597.1300","85,936,346.6200","111,193,342.9700","28,603,029.8300","52,956,910.2200","82,879,627.7400","128,667,803.0600","22,925,344.7500","48,333,902.6600","77,847,662.7800","103,122,521.0200","30,909,629.9600","66,020,079.5200","75,988,107.7700","114,422,589.5300","30,870,158.1700","44,617,929.5100","94,339,950.9100","117,241,937.2600","14,976,042.1500","74,918,480.7900","135,199,262.2100","219,212,415.8400","54,446,695.8000","120,067,768.3300","184,044,271.4800","283,979,900.9700","61,485,127.9500","138,776,457.6400","204,217,046.0400","230,795,477.0600","56,384,001.8100","113,008,733.5200","152,699,507.3300","216,932,256.9500"
"1503","300123.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30,461,343.5900","","","","44,178,673.3400","","","39,920,018.1700","65,014,462.4200","13,712,026.3400","40,499,171.0200","59,708,069.2800","92,140,073.2700","19,572,404.3000","48,890,566.1800","72,222,487.5700","114,564,322.6600","27,337,340.6100","67,917,524.2800","97,405,597.1800","157,236,085.5900","31,385,649.6900","79,204,571.4200","119,092,313.8600","172,261,492.7300","26,626,717.9000","49,880,161.6700","77,875,252.2500","87,769,054.9000","12,822,472.8800","38,830,059.2500","74,326,006.9500","118,512,331.0700","15,874,341.8100","59,339,812.4800","99,689,515.4300","127,364,386.6200","21,971,062.6700","64,414,925.0000","112,379,602.7000","286,722,625.7300"
"1539","300159.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17,056,824.6600","","","","29,026,985.9800","","","38,499,831.9200","46,667,497.5300","613,117.7200","13,998,904.0600","81,811,687.0900","93,134,336.3800","2,955,415.3400","24,021,233.4800","120,905,527.0000","140,414,097.3200","3,489,633.2900","23,607,336.0900","118,814,076.1300","146,003,136.2400","3,713,309.9700","30,895,336.7100","152,591,828.1600","189,296,213.1100","3,712,815.3000","39,213,151.5200","175,467,160.4200","210,532,784.6100","5,913,720.7900","36,173,805.5800","174,952,459.4800","523,370,315.6200","30,397,862.9000","97,544,604.3800","273,393,706.0300","576,801,550.0100","24,869,677.7900","194,429,433.1900","433,723,730.1600","779,684,414.9900"
"1774","300397.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37,893,819.4400","","","","185,027,647.9000","","","","214,459,709.6600","","","","230,132,853.2800","","","58,378,815.0100","241,548,246.8700","55,681.2500","478,034.9000","49,769,907.9700","105,284,410.7500","151,391.6800","665,747.6200","7,340,281.0600","22,212,401.4700","10,179,940.2700","25,412,378.4200","41,486,860.5600","70,819,798.5300","40,191,689.6100","74,657,748.8100","100,683,809.7800","157,059,879.1300"
"1801","300424.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155,099,753.6100","","","","181,187,731.5900","","","","203,817,604.1800","36,532,854.6900","92,701,726.2600","156,847,710.9100","226,503,913.4100","47,863,618.4700","105,799,865.2700","136,129,972.1600","196,926,488.2800","28,803,670.6800","72,662,697.0000","112,622,443.8600","176,828,060.2400","30,792,949.6000","81,248,126.0500","123,876,926.7400","198,411,949.0200"
"1833","300456.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60,751,600.0000","","","","67,267,915.7700","","","","83,383,638.3100","","22,648,649.1600","28,508,528.7800","76,081,146.1500","5,602,642.3300","29,082,643.0600","36,950,401.7900","72,811,292.3500","4,736,275.5300","29,330,317.6300","54,575,730.7700","143,056,118.6500","33,288,761.2000","91,518,913.5700","139,081,116.7500","216,031,407.6300"
"1851","300474.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94,038,324.3000","","","","112,654,128.5300","","","","135,895,285.7900","","","","165,577,207.0700","10,989,758.7100","76,951,081.9500","134,518,324.0800","175,466,080.7400","41,498,000.2300","103,840,484.8100","171,887,960.7600","212,553,195.5000","35,942,133.1900","128,622,441.6100","193,775,223.1200","236,750,152.6400"
"1903","300527.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159,732,842.8300","","","","222,264,815.5000","","","","266,588,690.3500","","","","311,168,423.4000","","179,376,090.6900","181,865,049.5300","358,889,572.5200","47,961,396.3100","189,514,350.1700","235,430,168.0400","389,354,651.2900","60,298,613.2000","211,043,794.1000","281,025,139.5200","459,004,401.9700"
"1954","300581.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49,457,100.0000","","","","61,650,300.0000","","","","64,897,163.5900","","45,480,500.0000","","90,354,743.8600","","","49,615,820.1700","92,126,703.7200","12,664,090.0100","42,168,564.8700","53,172,853.9300","98,084,447.9000","16,885,591.8400","40,425,328.8300","53,320,530.7900","89,069,377.1700"
"1962","300589.SZ","国防军工","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39,595,748.5700","","","","53,352,645.4100","","","","71,092,628.8000","","","","76,716,735.4200","4,705,370.0800","31,498,284.1800","55,399,527.8700","87,189,610.0900","14,098,755.4900","37,322,507.2400","59,922,075.4300","94,947,973.7800"
