"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"47","000060.SZ","有色金属","","","","2,929,904.1900","","",NA,"3,345,984.3400","","","","8,587,062.3400","","","","10,288,850.7300","","3,051,506.7900",NA,"16,669,388.6000","","50,787,720.5300","","107,401,385.0800","","254,229,355.3700",NA,"541,033,000.0000","","309,680,351.5300","","618,998,339.2900","","300,378,521.5600","","501,846,340.5300","126,450,531.4400","283,083,163.3700","420,736,179.8900","560,940,818.2400","134,604,584.1800","284,227,591.8600","452,232,121.6100","583,705,479.1900","173,817,132.1200","385,616,150.1100","586,435,485.6000","851,731,554.1800","256,069,225.4100","533,654,011.7300","848,056,997.4800","1,100,304,354.3400","286,485,854.3800","772,131,782.5200","1,471,597,874.2000","2,141,310,513.9900","422,177,545.0600","1,065,420,161.5800","1,632,914,356.2700","2,304,295,260.5200","497,189,774.3100","1,204,903,753.2200","1,641,111,355.5600","1,510,325,087.0400","183,805,372.5300","547,860,164.5500","956,914,849.5300","1,528,117,584.8600","365,593,568.1400","812,256,262.9800","1,231,389,643.5600","1,861,023,416.0100","450,221,337.2800","1,186,266,734.6900","2,009,695,585.9000","2,801,684,370.8900","465,591,819.1900","892,989,945.2000","1,472,773,239.9800","1,970,616,067.5200","343,686,663.4000","654,576,422.0900","915,729,361.4200","1,320,857,809.6200","280,152,849.0800","632,128,841.5700","1,035,083,919.3600","1,353,431,181.6000","281,820,655.8200","626,548,435.4500","806,045,287.7600","852,039,848.3400","103,333,978.7500","479,639,231.6300","959,092,429.7000","1,476,172,389.1800","489,954,024.1700","1,152,866,705.9000","1,803,066,862.6000","2,459,871,128.0700"
"96","000426.SZ","有色金属","","","","8,761,530.0000","","",NA,"13,952,550.0000","","","","17,359,090.0000","3,331,720.0000","14,503,190.0000","","23,421,554.4000","","18,253,348.0300",NA,"25,662,490.0300","","27,685,954.8400","","67,500,909.8100","","34,247,589.4600",NA,"68,737,418.8000","","33,759,080.9000","","63,875,037.4900","","29,804,918.0300","","59,827,106.4900","15,750,000.0000","23,719,014.9300","26,293,355.2500","57,499,863.4000","19,833,714.3200","23,743,384.3100","32,407,827.7800","51,156,506.5500","33,200,075.3600","39,585,505.3800","59,228,633.6700","73,669,298.9800","25,319,355.9300","41,959,181.9000","66,148,409.7000","42,435,431.3800","30,221,119.0100","69,951,894.0900","94,406,371.4000","84,289,956.2300","24,235,234.5100","60,946,978.1900","81,544,340.4400","44,185,767.6400","23,600,811.0300","46,162,446.8000","66,205,420.7800","-10,676,551.6500","13,000,817.9500","4,829,499.7600","-4,582,316.3600","-2,533,835.8100","10,290,725.5200","2,699,808.8900","-3,100,572.6700","10,266,197.5500","11,998,322.1200","3,095,988.4400","-6,959,141.3500","14,259,977.9900","71,114,622.0900","237,615,487.6100","341,649,728.4100","415,852,296.0500","76,647,317.7000","202,377,129.4800","283,360,862.4600","349,100,371.7700","35,741,615.4900","90,724,960.3500","211,811,553.4700","254,037,405.9000","77,292,257.3000","130,341,303.8100","205,394,555.0400","258,385,164.6600","28,833,570.8800","116,791,083.4300","270,383,555.3700","353,607,994.7600","200,925,521.6000","449,868,506.4400","796,678,921.0900","1,194,467,704.2500"
"182","000603.SZ","有色金属","","","","6,492,379.0000","","",NA,"9,465,601.0000","","","","17,978,412.0000","4,611,988.0000","8,737,947.0000","","18,258,259.3000","","14,956,407.0000",NA,"29,089,781.0000","","7,610,937.8000","","9,078,790.4400","","8,985,939.4500",NA,"15,902,565.1300","","6,479,458.4600","","7,240,903.1100","","1,513,596.7800","1,967,443.4400","3,785,400.4300","85,059.8400","746,176.1200","1,018,280.3400","13,925,866.3300","2,081,507.2400","2,299,073.4700","4,118,266.4500","14,843,167.3900","2,781,251.6500","5,455,322.3500","5,487,313.0600","2,704,907.5500","353,915.2000","381,269.6700","992,215.2600","1,915,952.5100","724,507.7600","2,755,375.3500","3,567,047.0000","1,455,091.3800","2,915,947.7500","6,799,409.2100","9,090,790.7900","14,280,404.1700","5,245,435.3500","6,518,641.9500","12,404,795.7700","10,482,771.8500","1,962,398.8700","2,974,621.5900","3,696,250.1500","5,243,030.3200","2,324,118.2300","3,380,316.3100","3,853,088.9200","4,224,982.3300","57,986.5000","522,939.0900","704,446.6200","799,895,529.1900","128,694,703.1200","340,549,050.5900","612,731,984.7300","781,800,759.7800","115,499,702.5400","344,977,739.7700","486,593,229.6700","670,429,908.1300","73,857,900.1100","215,757,726.0400","379,955,206.8700","572,602,819.7900","75,366,051.7400","325,898,390.2500","477,882,467.3800","630,398,536.7800","29,278,199.6500","177,235,502.0300","330,157,444.5900","500,936,193.8100","20,970,001.2900","162,989,692.8600","341,917,456.9300","558,289,683.0700"
"190","000612.SZ","有色金属","","","","17,091,000.0000","","",NA,"62,267,000.0000","","","","64,754,481.3800","32,873,000.0000","33,126,000.0000","","50,316,498.8000","","25,521,966.4100",NA,"37,376,428.5900","","4,972,578.7000","","1,117,924.1000","","30,950,159.6500",NA,"122,531,425.8000","","8,213,478.9300","","86,055,902.1300","","90,893,613.0500","","176,006,899.1400","31,355,824.0300","107,271,150.5000","184,990,575.1000","241,859,491.9000","47,239,212.1600","99,429,891.1800","205,518,470.6700","340,869,366.6900","108,030,180.8600","167,675,065.5500","195,573,723.6300","240,495,764.2200","40,996,085.2300","53,664,565.8300","61,015,508.9300","98,821,982.0300","76,396,096.8300","252,541,195.1500","395,469,772.6500","597,006,798.7400","267,677,648.0700","599,919,436.0600","916,201,425.3000","1,203,771,653.3100","346,952,794.0800","670,876,556.8100","836,685,007.7900","680,937,027.5500","7,767,491.5500","124,089,858.8800","322,150,036.8300","519,502,750.2000","232,816,386.2300","351,832,631.8200","385,060,354.5200","431,557,742.7200","30,362,843.2200","79,059,744.9600","188,347,763.1000","208,965,067.3300","-19,114,653.6900","-32,327,154.6200","14,316,033.0800","-120,876,893.3500","16,429,761.7400","44,516,099.5500","113,533,238.5300","267,006,420.8500","72,729,024.4300","144,529,981.8500","252,756,442.3100","456,128,014.7100","78,848,577.5300","172,843,384.7700","209,239,222.4500","186,749,506.3600","63,666,848.1700","282,633,176.3400","321,975,511.4900","427,224,839.0200","40,813,097.2200","31,656,020.8300","214,822,158.6700","180,460,637.3700"
"204","000630.SZ","有色金属","","","","3,979,781.0000","","",NA,"5,524,400.0000","","","","48,706,628.6900","","25,703,571.0000","","57,273,351.6100","","40,564,264.2800",NA,"74,707,844.4600","","84,467,118.7000","","189,689,625.3000","","107,010,841.1600",NA,"230,103,998.5000","","148,120,476.9200","","271,790,993.1300","","131,858,808.8000","","253,379,249.6600","73,329,765.3800","152,199,857.8700","219,107,859.7600","287,246,711.0500","82,973,308.4600","166,796,901.0400","251,914,820.0300","383,759,840.9400","167,844,371.0600","285,663,484.1500","430,971,043.4100","621,072,049.4200","230,209,541.2300","475,859,341.5700","696,879,779.9500","931,464,078.5200","264,254,526.5400","592,439,548.6300","890,277,762.9000","1,215,902,432.1300","347,991,617.4600","684,875,948.8700","1,814,687,781.5200","2,470,211,250.3000","685,901,392.3200","1,369,409,623.3000","2,125,521,480.1900","2,326,754,337.9500","462,085,944.0700","790,235,202.9500","1,240,490,987.4000","1,813,910,495.6100","551,851,562.8300","1,157,184,028.2100","1,583,169,366.1400","2,375,082,014.5100","595,312,926.2300","1,583,609,081.2700","2,578,961,489.8500","3,792,448,937.7000","612,067,164.8700","1,186,835,792.1200","1,816,577,368.3100","2,782,993,055.3900","646,617,895.3900","1,038,157,921.2100","1,430,084,020.2800","1,945,940,546.3900","623,112,747.3100","1,366,636,859.2500","1,976,461,416.6100","2,577,129,821.2200","539,404,784.0000","1,526,630,836.4200","2,019,362,000.9400","2,158,612,653.9900","604,859,519.5500","1,310,514,200.9800","1,997,380,434.1500","2,954,104,613.8200","710,694,495.5000","1,411,867,828.0700","2,501,398,492.1000","3,863,117,299.5100"
"207","000633.SZ","有色金属","","","","5,742,709.0000","","",NA,"7,179,954.0000","","","","5,326,354.0000","","4,952,637.0000","","8,464,481.0000","","5,338,859.0000",NA,"20,343,529.7900","","32,631,772.3400","","122,449,670.3100","","42,095,177.8200",NA,"124,586,371.4000","","72,052,346.7100","","127,044,305.1800","","57,500,956.8600","","118,300,939.9600","26,349,678.0400","58,824,768.8100","94,871,997.2300","155,097,510.8900","40,740,069.4900","118,961,553.0300","192,244,792.4900","249,129,926.8400","33,985,362.1100","67,440,442.3600","89,443,475.8400","64,328,314.7100","262,592.5500","-5,217,133.3200","-792,774.9800","-11,658,342.0600","-1,571,843.9300","-5,143,453.1400","-4,631,141.4200","-8,919,889.0400","419,587.0300","4,306,166.1400","12,640,303.2600","22,359,139.3800","10,606,275.2300","20,882,503.8700","26,441,076.1500","30,335,577.0500","2,706,735.5400","45,670,760.5900","46,883,830.0300","53,778,348.5500","-119,579.0700","545,760.9200","-490,947.3700","6,065,404.1400","186,331.8400","4,030,263.2600","6,820,392.1200","8,452,787.5200","1,133,502.5200","2,753,643.8000","4,229,999.4800","4,480,491.8800","675,073.0600","4,314,647.4700","6,660,992.3500","7,889,304.2700","1,549,395.3700","1,545,648.7300","2,080,524.5300","1,051,412.1000","1,459,751.6800","-1,151,697.1000","-294,448.2000","-6,222,342.0500","-761,264.1800","1,087,144.4500","1,268,207.3700","8,398,325.9100","964,070.6700","4,408,290.1500","8,091,000.8800","11,333,886.3500"
"218","000657.SZ","有色金属","","","","18,051,296.6800","","",NA,"11,676,099.3700","","","","13,972,008.0400","","9,877,369.0400","","13,124,428.2400","","1,106,818.2200",NA,"8,374,512.6200","","18,039,832.2900","","28,671,751.1000","","60,344,367.9100",NA,"117,571,113.7100","","88,470,997.2800","","143,357,656.8300","","76,533,837.7000","","151,270,675.6400","39,333,159.7200","91,200,461.8300","133,891,568.3300","164,494,928.1300","39,084,414.7900","84,447,711.9800","116,722,263.8900","165,635,709.9100","39,307,902.4900","73,499,742.1300","88,703,195.4200","120,073,120.9000","21,279,403.1200","45,248,038.7900","67,096,117.3900","90,507,174.0800","19,258,956.4000","40,646,863.1300","54,793,235.6400","64,967,642.1300","10,818,148.9100","20,419,660.4700","15,554,573.5200","16,345,589.9400","995,082.9000","12,285,006.9900","24,867,747.8300","49,763,493.2200","-9,775,646.1100","-9,312,969.5500","6,333,617.6600","23,498,666.0900","11,824,200.2600","29,550,723.5900","44,139,867.7500","62,061,712.0400","16,211,551.5300","33,499,387.9800","47,831,550.8600","67,355,039.6800","12,204,200.8700","22,105,328.0900","7,097,050.4300","1,171,865,386.4100","7,891,877.2100","29,623,241.3200","32,606,502.5800","1,195,304,668.6700","99,164,443.3000","334,544,954.7600","499,421,219.0700","861,023,922.5300","123,713,108.5900","313,450,037.5100","417,052,723.1000","606,433,718.5700","151,721,689.3900","479,376,530.0200","705,237,766.4900","1,007,095,331.3700","258,339,649.4700","598,098,194.7100","892,750,403.7900","1,277,101,810.5200"
"243","000688.SZ","有色金属","","","","13,052,310.0300","","",NA,"9,535,983.8800","","","","11,569,105.3600","","","","26,403,327.1600","","13,810,767.3700",NA,"23,483,393.3100","","17,171,945.7300","","38,029,892.9200","","32,793,076.1700",NA,"54,031,064.7500","","43,511,022.0700","","93,783,531.8000","","36,215,253.7800","","53,157,355.2000","39,064,700.0000","71,275,381.8800","109,241,223.7000","122,318,416.5300","29,097,819.4300","77,226,194.1200","111,539,841.9100","157,995,189.6400","53,432,235.7100","101,208,111.4600","125,973,006.9200","125,131,490.2300","5,815,079.6300","-38,003,626.9000","-36,261,290.6200","-42,306,792.5000","556,141.0100","2,877,468.2100","4,658,180.2100","6,076,690.2200","1,227,405.1900","2,243,474.8500","2,601,280.9400","3,329,437.9400","","","","","","","","","","","","","","","","374,922.4000","285,350.8000","59,552.0600","427,316.4200","479,692.0100","44,825,666.5000","180,342,659.6100","266,288,923.6500","393,735,770.7900","42,820,816.6500","140,277,782.3000","257,408,174.4300","471,286,755.3700","41,874,918.1700","165,908,313.6400","220,606,649.2600","487,029,627.9300","42,143,118.0700","138,485,684.5100","268,495,621.2600","412,085,513.1700","121,314,466.2700","322,982,374.6900","474,109,531.4200","619,464,190.8700"
"247","000693.SZ","有色金属","","","","","","",NA,"6,975,862.3800","","","","54,340.2300","","","","17,273,140.4800","","1,127,326.8800",NA,"7,262,339.3400","","2,187,745.9900","","5,855,316.1400","","11,012,046.6100",NA,"33,531,978.2300","","23,855,749.2600","","42,995,671.5000","","25,832,408.9600","","76,221,390.6500","25,592,256.0800","41,704,417.7300","68,620,837.3700","94,632,591.1000","33,198,164.6000","56,527,746.3700","87,732,461.9300","104,766,118.3600","27,138,432.3400","46,245,192.7000","70,980,720.0000","68,660,759.0600","-4,344,402.6300","-14,678,932.5500","-17,359,808.5600","-22,841,789.9400","-4,934,055.0900","-11,070,666.3900","-16,588,638.2200","-18,979,418.2300","-10,335,252.1300","-14,383,486.2500","-17,828,306.7900","-24,311,798.1100","-8,582,955.5100","-14,146,030.5300","-19,433,354.7400","-18,259,009.2700","-9,281,015.6200","-14,500,013.0900","-22,523,592.8600","-28,852,174.9700","-5,946,174.3700","-12,704,308.3500","-19,422,398.9200","-25,720,496.8400","-5,442,016.0900","-11,141,341.6800","-20,382,366.2100","-23,026,391.8400","-7,637,947.1300","-9,686,986.3700","-14,074,037.0300","-18,097,999.6700","-3,755,118.9500","-4,751,475.7900","145,451,447.7900","252,394,304.7200","34,166,391.0400","152,269,921.8900","250,758,035.1100","387,027,738.2300","13,494,232.2800","153,045,671.9000","171,420,872.9600","60,041,714.0100","981,592.0300","-693,049.9600","2,203,808.4200","-34,663,862.4200","-567,238.1500","-590,618.2100","-748,902.1700","444,237.4300"
"249","000697.SZ","有色金属","","","","","","",NA,"25,200,770.0000","","","","30,121,212.0000","","","","39,632,307.2100","","25,170,911.8400",NA,"79,307,811.0700","","85,034,491.4700","","173,708,679.2400","","57,759,524.5700",NA,"102,903,930.3000","","70,375,959.5200","","116,528,054.0000","","36,765,263.8000","53,343,805.3900","77,983,517.0000","17,334,477.0700","43,166,842.4300","63,909,551.8700","86,657,258.6400","22,751,145.2400","55,734,324.3600","66,996,481.0500","92,608,901.6000","25,040,918.4100","50,236,362.6400","78,493,049.1600","87,909,395.4700","16,234,912.3800","36,440,807.1400","58,676,487.9800","64,126,395.5800","20,532,336.5600","39,175,888.0700","62,128,381.8900","49,400,120.0300","13,401,473.0500","15,975,110.5300","19,945,589.5500","21,800,586.4400","15,375,422.6100","19,187,555.6700","28,547,911.7700","35,435,875.1100","242,102.2300","-990,512.6700","7,762,669.4100","9,544,284.5400","2,893,091.2200","-514,290.9000","472,245.4600","7,451,953.1200","3,961,724.1500","9,787,409.5700","11,976,769.1500","23,710,228.4900","12,549,484.5100","44,840,204.6200","67,156,153.9200","99,249,259.7500","11,000,291.0000","46,214,091.3600","74,963,499.4300","106,400,625.5200","8,462,573.8100","46,621,199.3000","79,197,957.2700","118,528,316.3300","9,188,906.8000","14,413,099.5300","47,543,786.9500","69,259,340.0700","","854,700.8500","730,625.9600","4,266,676.1800","-283,043.7000","2,773,543.5500","83,606,780.6400","154,670,833.2600"
"286","000751.SZ","有色金属","","","","","","",NA,"225,298,838.8700","","","","218,344,726.7200","","","","214,667,637.9600","","231,347,690.1400",NA,"351,360,521.5000","","166,182,155.4100","","347,490,272.6800","","181,065,045.5400",NA,"498,952,922.0800","","309,650,942.4900","","609,143,240.6700","","180,028,981.3100","206,685,048.4800","225,382,659.9400","31,708,644.4600","72,026,436.8900","115,202,866.1800","158,783,141.5000","48,111,088.3300","109,162,698.2000","194,370,013.8300","265,783,688.3500","106,035,762.8200","199,463,526.9500","265,768,153.0600","340,157,615.5900","91,137,518.8700","148,939,754.2400","204,415,471.0700","269,284,746.4700","136,995,330.2600","235,800,393.9600","352,968,963.2100","506,828,391.9700","186,547,391.2600","394,957,089.0800","550,084,538.3500","379,070,072.7700","-44,226,741.7700","49,023,104.9200","111,785,289.5300","-239,737,343.5300","-52,195,251.3500","187,191,941.4500","359,651,185.5400","570,712,658.5700","151,106,379.7200","247,739,126.9300","216,284,071.1000","326,736,217.2200","122,361,053.3200","119,396,331.7000","210,998,978.3300","51,335,587.5200","82,511,650.7700","77,096,974.0100","12,140,272.6100","-383,109,432.5900","81,993,922.7800","203,586,671.3700","307,981,124.7900","378,027,788.9800","70,139,123.0900","157,232,738.0500","299,677,864.0600","447,841,371.1500","118,078,188.2900","274,610,280.5500","405,624,399.4300","577,225,394.8400","118,473,921.7900","259,140,212.7200","399,868,073.2200","532,737,739.9100","150,656,942.6500","311,640,749.7900","445,256,283.0100","556,960,024.0900"
"292","000758.SZ","有色金属","","","","","","",NA,"22,595,494.0000","","","","58,114,702.0000","","","","73,714,747.0000","","40,670,596.0000",NA,"70,392,348.8100","","127,209,524.5800","","256,445,241.2700","","26,512,581.8700",NA,"60,253,675.1000","","51,583,839.1700","","119,326,892.6500","","16,640,074.8700","","46,925,089.0000","5,137,911.5900","-989,304.6800","14,023,670.6300","29,303,858.9000","2,735,728.3700","10,248,282.2200","21,250,589.6800","84,343,602.5900","7,245,700.6500","46,523,859.7700","75,846,309.2800","141,549,977.1700","24,990,184.8300","68,968,014.3900","105,463,042.0100","200,326,490.5600","88,326,747.2800","270,111,676.4200","481,537,839.4400","795,892,669.7200","216,472,415.3900","536,252,506.4300","779,628,693.0400","1,181,388,069.3800","338,497,792.5400","682,380,131.9900","899,794,776.0500","1,054,386,019.7200","134,204,576.4300","333,234,345.0500","580,543,148.7400","847,708,320.3600","256,793,331.9000","518,945,661.8400","731,798,346.9200","1,002,602,574.4900","341,283,831.6400","690,504,407.2800","1,058,483,508.6100","1,387,933,699.1300","267,501,988.4500","680,719,080.7300","927,530,653.2300","1,170,044,620.5600","323,987,287.5800","612,345,781.6800","804,024,239.8900","1,160,646,135.8300","234,376,383.8800","571,157,925.6900","948,370,907.3000","1,560,473,739.4700","326,471,865.9500","795,991,741.8200","1,239,629,915.9600","1,609,741,932.7400","291,851,088.4200","784,067,583.1000","1,235,122,832.9500","1,767,793,002.5500","477,633,419.7600","1,002,936,441.0200","1,476,608,285.3200","2,264,961,111.3400"
"315","000795.SZ","有色金属","","","","","","",NA,"44,618,912.2600","","","","48,923,579.2300","","","","50,941,533.6000","","25,696,041.1900",NA,"55,367,204.4100","","36,949,841.9900","","73,575,201.6900","","34,453,319.7800",NA,"71,642,024.2000","","30,502,621.6400","","55,366,236.0400","","24,685,452.9500","","46,150,761.2600","8,268,992.5400","17,612,440.9600","26,874,340.4900","28,449,205.3500","6,256,356.3600","17,619,479.3700","33,030,811.9100","44,487,000.3300","13,625,805.4500","34,057,459.8400","50,789,977.6100","73,183,101.9000","13,384,005.1700","36,825,778.7200","49,093,556.6500","62,128,699.3000","12,278,041.6800","21,873,189.6400","11,660,126.1000","-169,320,132.4400","16,475,111.4800","33,326,156.1200","47,170,574.5000","79,020,388.7800","15,170,618.7900","38,573,920.8500","45,996,099.3000","32,909,347.9800","16,215,261.0200","29,682,418.0200","43,131,675.6800","77,567,930.9400","21,037,344.3800","45,700,574.9400","76,213,937.9000","108,520,946.2800","44,326,125.6000","119,570,769.8900","224,244,516.4500","348,555,319.4600","51,973,326.4900","151,513,084.8300","185,925,713.1700","211,902,311.1700","43,281,512.4900","58,162,685.1100","65,769,878.5500","41,348,660.7700","26,275,061.0400","68,414,216.1000","71,917,079.3100","52,453,748.5400","10,593,497.1300","26,910,145.8400","123,537,193.6400","173,151,129.9600","42,336,763.2100","134,911,236.7600","210,723,165.4400","294,186,983.6900","73,847,199.3900","173,841,581.2200","291,015,974.5700","416,949,343.1500"
"325","000807.SZ","有色金属","","","","","","",NA,"59,029,567.3100","","","","153,476,482.5800","","","","64,637,291.1300","","",NA,"72,462,621.2100","","31,734,425.7000","","22,871,150.1100","","51,777,376.1400",NA,"163,203,762.1000","","98,680,565.9700","","225,922,258.4100","","159,236,835.7000","","286,648,127.4400","70,997,683.7700","147,838,524.5600","228,485,583.0000","313,831,265.1500","65,871,049.1600","148,613,228.4500","222,796,907.3400","320,566,541.3600","71,232,563.6400","95,345,860.4200","177,817,006.4800","328,210,850.2300","78,200,311.2500","194,519,459.3100","311,299,492.7300","429,766,051.9400","148,296,570.9300","301,548,919.9900","467,273,513.5300","825,777,771.7400","210,733,388.5900","527,134,605.7800","898,499,621.6800","1,072,665,103.8900","162,923,289.8600","361,142,360.6900","558,570,715.0000","559,462,673.8000","19,821,420.5700","174,387,337.2400","408,353,038.6100","637,062,232.1500","168,509,519.7400","242,933,306.9000","357,787,242.5300","542,075,408.2800","164,290,510.0400","379,491,099.4000","637,731,781.6600","801,836,939.6500","106,175,350.2000","263,451,630.1800","433,731,051.8800","600,509,615.0800","117,223,926.6800","251,586,301.3500","483,331,450.7400","672,990,231.8700","57,220,512.6100","273,316,895.0900","628,460,099.8400","805,458,129.7000","251,897,059.9600","754,064,939.7500","1,119,714,310.9400","1,099,231,511.3100","309,642,992.2400","870,721,873.1600","1,543,498,390.2900","2,142,368,040.2500","567,953,957.6500","1,063,649,671.9100","1,913,219,789.2600","2,759,816,895.7000"
