"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"144","000552.SZ","采掘","","","","22,033,874.3900","","13,045,000.0000",NA,"22,529,504.9300","","4,850,000.0000","","6,277,172.9300","","5,000,000.0000","","2,641,783.4800","","1,769,593.6600",NA,"14,249,178.9700","","34,969,396.3500","","11,244,073.9700","","5,655,756.8900",NA,"20,982,854.0100","","18,494,080.5900","","37,300,598.9000","","26,530,210.3700","34,928,100.8000","29,256,549.1800","-1,092,447.6900","-1,551,147.7100","-5,752,946.9800","-7,672,549.4500","-844,354.8000","-1,307,418.8300","-2,203,140.0400","-23,837,403.4200","-2,745,698.4700","-5,667,052.1700","-7,785,461.4100","-20,082,493.5700","-2,117,691.1200","3,787,561.9400","27,905,932.3400","52,484,594.3800","27,179,991.7700","50,107,342.6700","65,638,441.1600","79,061,704.1200","24,069,537.6100","40,357,425.2100","61,546,363.7800","109,646,357.7000","26,221,595.3500","51,468,172.2200","72,193,843.3500","124,408,400.9100","23,631,616.0100","49,492,940.7400","78,940,674.6000","100,983,036.3500","33,738,310.6300","77,655,024.7600","104,826,588.3800","137,696,568.0700","52,602,483.8100","110,063,205.6400","169,659,351.2000","223,907,022.7100","46,086,472.7600","87,531,716.2000","800,190,652.3900","1,124,162,136.8100","231,121,828.6300","459,972,946.3400","603,246,367.5900","924,300,391.2600","228,443,914.4100","454,423,871.1700","604,021,189.2100","779,323,968.9200","135,679,759.9000","262,250,822.5300","348,805,792.0000","473,932,332.2800","168,612,739.4100","242,069,732.1500","353,968,387.7700","508,626,269.1100","251,216,464.3000","542,179,840.4600","767,445,348.6100","1,161,285,684.7200"
"160","000571.SZ","采掘","","","","56,633,872.0700","","30,923,884.9600",NA,"57,752,299.7300","","34,461,304.1500","","75,853,801.0000","","78,660,679.1400","","139,195,834.8900","","51,110,986.4000",NA,"16,253,884.7300","","291,437,265.3700","","502,570,633.3600","","125,082,957.0200",NA,"338,528,981.3100","","126,013,043.5500","","224,900,709.0000","","139,639,999.4000","","26,276,233.6400","2,798,733.0300","8,538,784.4900","11,038,567.4600","13,781,652.2900","1,621,986.7900","4,281,982.2300","11,160,235.5600","14,705,718.5200","4,849,923.1100","7,415,536.5700","77,364,916.4800","148,732,663.9900","41,578,567.1700","98,721,216.0000","150,335,791.2900","210,037,386.0200","39,805,839.6500","101,116,640.7600","156,180,956.2600","221,176,311.5200","54,522,885.9200","103,281,192.1500","147,022,293.4900","203,703,445.2100","44,389,491.7300","86,476,543.0000","145,532,147.7700","231,776,853.3900","38,774,451.9000","114,420,635.0900","201,245,527.0700","284,881,418.9000","63,028,936.1600","154,923,270.6500","245,922,472.6500","344,221,890.2900","81,388,338.5400","184,668,610.0400","330,551,847.1100","494,235,107.9600","92,745,456.8600","219,829,406.1100","318,519,625.5900","412,957,320.5800","60,854,449.5700","142,442,552.1600","259,463,821.8900","409,838,658.2400","69,088,493.7200","148,481,259.9800","224,446,317.1600","306,350,542.2900","47,541,737.5100","121,804,559.7900","193,687,726.7300","244,616,516.3400","62,057,482.9000","98,928,469.9500","147,463,018.2900","198,563,639.0300","-4,628,367.8300","72,963,000.3700","210,627,159.9700","319,342,795.5900"
"203","000629.SZ","采掘","","","","42,102,160.0000","","",NA,"42,014,900.0000","","","","46,199,693.7500","","64,054,008.5500","","131,010,415.8000","","61,694,917.1600",NA,"150,946,907.9700","283,436,141.0000","","","1,424,909,624.0000","","435,378,299.0000",NA,"1,087,112,376.0000","","793,287,341.0000","","1,489,140,104.0000","","734,190,838.0000","1,116,317,090.0000","1,407,460,092.0000","285,078,340.0000","604,878,137.0000","1,003,892,952.0000","1,300,717,352.0000","440,756,068.0000","902,542,305.0000","1,306,708,472.0000","1,513,062,953.7700","519,344,850.3500","962,232,978.2900","1,359,748,258.7700","1,764,573,533.0300","631,502,484.9700","1,230,333,433.2400","1,732,472,232.4600","2,088,338,135.8500","394,697,650.9700","907,290,241.0500","1,480,507,499.5700","2,030,514,561.0900","653,219,964.7700","1,601,450,352.3100","2,474,000,635.8600","3,253,471,378.5900","758,949,655.6000","1,726,032,172.1200","2,537,650,446.2400","2,070,845,001.3200","267,829,447.4300","1,727,513,015.1700","3,314,883,750.1400","4,752,693,136.2600","1,421,827,859.1600","3,363,548,035.6800","4,694,637,124.6200","6,234,022,013.7700","1,556,042,006.0700","3,087,362,976.7100","4,626,266,479.4700","7,253,317,453.9100","1,032,581,664.0900","2,087,944,517.8800","2,967,754,313.8400","3,760,633,455.3500","874,535,286.3800","1,707,704,320.0400","2,576,991,201.8600","3,503,328,884.4500","922,054,937.0100","1,910,298,087.9400","2,621,227,886.4900","3,423,231,570.8000","662,528,757.2400","921,613,321.5000","1,707,244,472.3300","1,060,936,763.7800","472,137,483.0900","621,336,933.7900","1,453,353,796.6800","499,631,653.8000","321,394,082.4800","733,972,450.9600","1,251,744,228.9600","1,608,411,890.3900"
"216","000655.SZ","采掘","","","","","","",NA,"14,451,000.0000","","","","18,740,106.1200","","","","23,301,788.2400","","26,138,182.5400",NA,"44,031,279.6600","","50,116,708.6000","","88,866,458.2000","","33,222,833.3100",NA,"82,480,832.2400","","35,138,038.1100","","80,059,263.5400","","29,484,957.0500","","70,384,883.9500","24,602,534.5900","42,788,929.5100","60,034,094.0000","91,822,286.2800","24,131,731.4800","41,966,700.4100","54,560,144.3300","76,508,975.7000","14,493,653.8600","16,952,747.6300","24,193,775.5500","19,582,143.6800","7,269,103.9200","14,323,540.4900","21,484,395.5700","27,886,324.7800","6,340,250.3200","16,510,605.8300","68,359,910.5700","134,226,963.5300","81,681,390.4900","176,945,341.3700","312,303,250.2900","363,856,878.8200","200,326,002.5000","401,983,740.3600","532,997,947.1600","577,072,159.7100","61,678,291.4500","134,256,534.7900","231,004,552.1000","374,081,820.0900","180,240,673.8700","426,057,423.4100","621,167,327.9500","788,517,279.7800","252,970,266.8600","516,602,155.3800","785,483,531.9900","876,767,153.9100","99,573,272.2600","257,579,600.3700","393,250,250.1700","468,363,679.7200","92,177,012.4800","236,446,520.4100","419,961,671.7000","599,665,521.8300","126,404,194.6800","263,770,058.0500","426,610,031.6500","488,852,311.8700","20,794,150.0800","41,083,035.1800","37,176,076.1500","76,311,302.4700","-31,916,384.6400","-26,009,020.2100","-9,067,384.9300","25,312,037.9600","70,337,663.0800","193,232,192.2500","293,993,763.7000","329,394,240.8800"
"271","000723.SZ","采掘","","","","","","",NA,"1,055,757.3700","","","","4,494,026.9800","","","","37,157,439.4700","","5,068,952.3900",NA,"28,880,671.0500","","38,138,164.9400","","101,045,447.9600","","31,450,925.3600",NA,"72,568,209.0300","","28,578,309.8800","","50,979,186.0100","","34,522,082.1200","","46,900,903.4300","16,690,043.6700","49,009,868.5900","84,133,539.2500","122,740,148.1700","24,959,749.6100","53,540,743.0800","87,079,367.9300","125,671,857.9800","26,067,451.1400","61,709,452.1900","97,042,476.2700","130,893,700.7500","26,938,319.6700","55,835,879.3100","87,796,802.2300","116,747,918.6300","29,122,184.1500","59,508,835.9300","87,286,639.2000","104,873,128.9700","33,885,177.2800","82,014,372.7200","121,737,273.9400","188,372,729.0600","49,284,991.3500","145,395,503.6500","206,982,127.0700","244,335,719.3700","23,009,470.2600","30,993,612.1900","51,054,185.4600","81,781,268.5200","34,137,148.7600","53,338,447.1400","60,667,757.1200","100,637,618.2500","24,941,381.8500","56,177,898.7000","107,782,818.1700","126,214,226.7000","8,853,410.2500","33,857,230.5300","48,552,512.4400","75,520,149.0000","46,473,944.2700","75,608,752.5500","118,052,617.6900","167,107,546.1700","36,002,296.1600","53,742,581.8300","95,703,813.3900","170,359,067.1800","39,006,384.0800","63,576,057.4700","80,529,412.4900","542,622,733.1600","188,708,923.2900","654,457,052.9000","1,271,157,645.1900","2,046,716,933.2100","691,883,660.1400","1,267,941,853.6700","2,142,739,918.0600","2,913,496,594.9700"
"296","000762.SZ","采掘","","","","","","",NA,"6,018,904.1600","","","","15,411,145.2600","","","","36,875,248.4600","","12,577,547.8800",NA,"44,751,468.5700","","24,542,636.9200","","74,785,626.5400","","29,693,864.0300",NA,"53,838,939.6500","","29,684,982.1800","","50,069,566.1600","","22,768,648.5600","","47,487,986.3000","1,199.0200","2,354,506.6300","5,415,014.0200","12,950,542.3000","8,202,444.7200","18,269,067.4200","41,001,321.7200","55,474,873.9100","18,213,079.7300","37,477,946.9200","68,413,900.0000","109,681,808.8600","24,985,097.3500","47,573,316.2200","72,827,790.8100","101,370,500.2100","15,864,233.3500","47,658,955.5900","89,130,514.3300","130,033,087.8400","14,272,004.1800","57,138,487.9700","107,900,961.5200","174,558,214.9800","40,352,484.2500","128,388,509.3100","189,366,453.5200","198,147,062.4900","4,182,184.2400","11,241,531.5700","67,018,708.0400","141,552,299.6300","11,469,646.9200","56,871,669.0900","115,197,910.9800","179,947,708.9900","30,411,307.0000","60,268,029.7000","111,902,201.1700","141,355,244.1400","30,838,799.8400","77,751,140.6900","100,339,925.4500","127,062,786.5700","23,367,941.8700","66,047,286.5500","109,549,325.8300","142,906,353.4500","7,048,477.7700","27,175,497.6800","44,338,764.3500","37,648,652.6000","13,258,369.8600","62,762,551.6400","97,325,560.7600","147,641,869.6800","65,130,693.3000","98,672,514.1600","128,378,998.5700","158,540,429.9100","2,845,604.2000","15,085,901.8000","129,396,979.8700","227,356,880.9100"
"304","000780.SZ","采掘","","","","","","",NA,"18,102,141.0000","","","","22,344,752.0000","","","","47,875,612.9400","","37,025,606.2900",NA,"63,803,294.4300","","51,839,627.8600","","112,695,510.8900","","91,034,551.7400",NA,"156,934,610.9900","","67,114,996.9900","","126,901,214.8400","","108,514,226.7800","","233,397,919.6100","59,566,006.1200","139,976,731.9100","212,261,212.4900","345,298,213.9500","87,747,664.4700","170,513,597.0200","273,023,078.2200","83,484,018.7100","116,852,680.0800","219,803,549.6900","336,777,805.7000","99,157,832.8000","126,915,269.0500","234,942,598.9300","350,819,293.5200","11,543,662.9500","461,005.3200","-1,389,925.1600","-7,618,145.1100","441,385.7200","3,735,713.5700","133,406,676.2400","281,550,415.3200","335,485,440.2100","159,872,005.2100","376,945,241.9200","683,130,096.5000","987,612,486.5400","275,342,029.4300","435,480,441.1700","625,393,800.3500","847,052,993.2800","260,477,980.4900","536,778,102.3600","848,039,583.9200","1,126,389,309.0400","388,149,320.9600","651,968,950.0500","1,033,690,106.0800","1,531,035,828.2100","357,381,443.6300","726,030,257.1100","920,049,819.7700","1,037,104,922.3400","202,973,849.6300","318,661,893.5100","459,647,711.3500","658,369,677.4600","147,756,462.5100","241,207,320.5600","399,212,104.7100","582,610,111.6200","112,096,757.9800","166,197,389.1300","77,847,112.5000","125,709,383.4600","10,794,832.0400","-35,373,709.0400","-36,445,488.2600","120,340,539.5200","118,869,221.9900","411,550,873.0200","744,636,853.5800","984,952,709.1700"
"415","000937.SZ","采掘","","","","","","",NA,"","","","","","","","","380,366,122.5600","","",NA,"404,654,011.1200","","","","400,568,328.1300","","189,546,570.7300",NA,"375,923,715.7700","","181,914,061.6200","","368,553,541.7700","","207,501,077.4900","","449,775,029.8300","133,128,156.7000","305,653,658.7400","465,952,749.0100","512,741,799.6600","112,460,289.1000","211,359,191.5300","304,171,585.0200","436,080,101.9800","150,046,728.8900","356,724,170.0500","680,088,401.1900","948,976,505.1700","380,319,037.2200","782,867,234.9900","1,105,099,124.2700","1,361,814,845.9100","310,975,804.2900","622,917,081.4000","922,637,454.1700","1,349,832,416.2000","461,041,094.8500","902,398,559.1900","1,378,865,903.4400","1,856,731,152.3200","697,038,940.8200","1,657,552,733.8300","3,390,388,152.1400","4,429,498,426.4800","852,517,847.4600","1,434,654,416.1000","2,088,985,857.2500","5,164,512,325.2500","1,687,435,821.5000","3,598,977,806.7500","5,411,000,896.7600","7,421,903,110.2300","2,200,679,920.9700","4,511,674,141.3200","6,710,643,361.8300","8,968,865,378.4700","2,509,974,401.2800","4,714,890,525.9300","6,320,507,320.2200","8,043,815,485.1200","1,950,612,454.5500","3,169,674,593.8200","4,073,535,424.4300","5,906,829,353.9400","1,155,597,270.2400","2,021,561,377.7500","2,691,057,046.8300","3,438,655,325.7500","646,711,636.7700","1,255,461,937.2500","1,804,817,558.0300","1,258,744,783.9100","533,793,117.1800","1,132,830,959.7600","1,807,598,394.2400","2,700,072,453.8300","1,126,990,801.1000","2,172,093,314.8800","3,216,252,988.9800","4,466,184,531.3800"
"435","000968.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"122,739,931.3100","","","","136,194,450.9700","","56,749,177.6900",NA,"96,605,301.1100","","50,428,343.6100","","107,742,025.5500","","57,873,048.3000","","137,164,506.1900","34,293,099.0000","88,164,162.5100","130,169,905.0600","165,531,422.7500","38,413,729.9800","117,450,015.0000","199,278,206.0400","292,383,612.3500","98,210,146.7800","219,283,035.1000","351,390,985.9800","472,922,090.6900","109,009,920.4100","280,568,373.7000","372,572,872.1200","529,023,832.9100","46,183,231.8700","202,255,406.9500","394,164,295.4800","565,499,047.1100","156,265,235.2500","406,991,447.5500","663,222,922.7700","884,237,297.5500","315,617,959.6100","912,138,301.6800","1,527,506,499.4800","1,770,725,589.3000","250,723,349.9200","436,141,419.9600","706,055,007.6700","987,280,566.2500","213,784,924.6800","508,553,862.3300","756,737,168.1300","958,821,034.0600","161,732,792.2700","408,876,408.8000","743,667,849.5900","943,700,041.1100","215,436,487.6900","323,857,708.7500","372,034,816.8500","492,989,744.4200","136,509,497.1800","237,591,535.1400","228,780,329.3600","156,860,293.1800","76,304,821.3000","20,542,024.6600","-26,312,915.6900","-211,961,652.1900","-65,088,541.1000","-264,989,801.8800","-538,270,106.1500","-792,523,287.9900","-50,932,454.1100","-205,764,611.2500","-240,308,815.2500","295,909,288.7300","117,739,860.6700","294,975,104.7100","411,068,165.7700","625,652,808.0300"
"449","000983.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"566,125,337.6300","","","","525,814,744.8500","","243,304,020.4300",NA,"478,644,893.0300","","250,693,145.6600","","534,065,420.7900","","336,640,316.5000","509,382,124.0800","691,418,394.3700","233,790,000.0000","367,233,158.6300","555,125,052.8500","776,206,216.6100","245,557,522.3000","419,222,100.2100","620,434,919.8900","969,910,337.1400","257,325,823.2900","589,247,743.8700","980,244,962.2500","1,384,010,509.0200","503,863,108.2600","1,026,694,706.9400","1,558,820,697.6800","2,127,421,255.4800","514,478,371.5100","1,184,453,201.3700","1,879,060,580.4000","2,584,822,177.3500","687,379,876.8000","1,470,682,743.8900","2,208,581,335.6900","3,082,546,717.5400","902,825,451.0500","2,254,077,780.7100","4,685,296,701.0300","6,008,338,376.4200","1,490,536,140.7700","2,443,851,814.0200","3,770,770,650.2100","5,103,849,317.1900","1,540,495,628.8400","3,481,745,393.4800","5,473,103,548.9700","7,082,291,105.8400","2,493,076,184.3200","4,890,372,227.7200","6,882,123,531.1800","8,838,712,994.5300","2,528,060,614.1900","4,787,525,286.0800","6,853,184,969.1300","8,476,759,046.1100","2,194,070,975.8800","4,302,048,024.0600","5,986,243,045.3400","7,892,044,644.5400","1,581,230,258.0200","3,231,222,334.9700","4,561,746,740.2800","6,287,460,408.0800","1,176,625,193.0800","2,430,097,829.8100","3,547,087,117.7200","5,344,120,034.3300","1,061,683,107.2300","2,111,616,720.5400","3,331,540,127.5700","5,456,759,296.1000","2,223,078,620.1100","4,267,500,188.8200","6,367,103,718.6200","8,277,260,057.3600"
"592","002128.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","310,218,038.2300","","","","662,791,914.0300","187,885,402.8900","326,455,822.4500","510,839,975.0800","696,156,695.3700","329,638,097.0700","463,774,277.1500","626,136,342.7000","804,690,747.2500","389,133,788.8800","594,930,673.4200","819,837,370.4200","1,102,036,025.2200","540,661,176.5400","771,502,766.4100","1,009,362,590.8300","1,417,047,627.5500","781,532,862.7500","1,197,175,309.6200","1,598,084,006.7800","2,148,468,104.2800","833,370,421.4800","1,176,610,044.7700","1,595,551,979.9000","2,266,520,052.5600","770,484,325.7400","1,077,585,453.0400","1,365,738,281.9600","2,280,946,324.5000","648,956,265.4700","743,921,048.7800","1,068,631,572.2400","1,524,885,738.7900","487,274,006.0600","520,331,491.5800","627,655,716.0000","1,368,887,363.1600","566,482,501.9600","702,542,667.1000","738,975,102.0900","1,148,921,689.8500","419,344,913.4400","646,637,798.1600","936,442,607.4600","1,368,153,585.1200","874,981,727.2600","1,368,265,726.6800","1,618,800,899.4200","2,400,563,791.6300"
"671","002207.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","49,131,346.3100","","","","58,787,068.6300","","","39,744,672.0500","61,701,441.9400","-312,708.1700","15,317,814.5200","41,857,959.0300","64,006,514.1000","-725,623.3900","25,791,294.8400","45,547,055.2800","66,679,195.2700","4,935,713.2000","11,017,837.4200","25,180,679.7000","60,848,702.2100","-341,265.4700","23,466,264.9200","46,912,987.7000","81,153,370.6700","-4,191,072.0100","18,677,779.5700","50,359,679.4300","74,055,134.4900","-4,576,648.1000","20,226,234.6800","53,410,505.5000","81,815,737.0700","-3,870,512.6800","23,872,961.4200","48,941,509.4000","80,318,192.0100","-3,736,419.8500","7,543,848.0600","34,481,039.4600","50,660,868.1900","-10,789,900.9800","19,363,532.5500","15,177,722.2400","-30,365,212.2000","-11,396,260.4100","-1,998,220.5200","-1,875,347.2000","-4,101,351.8900","-9,964,722.5200","-11,231,893.4100","6,365,243.2900","10,073,177.7600"
"1016","002554.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56,052,820.5800","","","","77,966,634.7400","","","","105,343,808.2100","5,483,813.3900","50,199,904.2500","68,489,026.6700","134,326,103.5700","22,272,945.6000","66,833,405.5700","92,768,366.4100","171,922,307.8100","20,550,267.3100","73,502,060.5300","102,393,931.9300","202,148,778.5100","40,306,063.8500","120,581,943.3200","162,968,126.3300","258,731,688.0500","50,740,850.1800","148,713,022.1000","233,159,324.0400","410,671,161.0800","96,501,302.9100","206,682,254.1600","278,325,863.1600","430,794,279.9700","80,469,732.4300","186,680,718.5300","244,026,832.1800","304,176,192.8300","116,480,801.8900","209,405,674.2800","249,902,782.0400","358,953,330.0900"
"1091","002629.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83,236,267.7400","","","","101,428,697.1100","","","67,989,954.0400","122,451,605.9000","17,094,587.8100","42,171,935.3300","88,118,555.0800","161,971,443.1300","21,282,219.2800","53,969,324.6600","103,814,994.5000","174,109,162.6300","22,497,550.9800","55,995,853.2700","90,988,342.1600","136,266,062.9500","3,045,115.9700","28,180,051.4900","39,282,219.0100","107,565,955.6600","-3,779,008.9300","-7,050,785.3800","-21,445,647.2200","16,540,984.0000","-525,269.0800","7,573,088.1200","12,690,292.3500","25,024,404.1300","2,991,407.6600","25,810,027.0400","47,326,758.4000","86,977,571.1300"
"1197","002738.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23,083,400.0000","","","","34,821,700.0000","","","","43,222,200.0000","","32,395,700.0000","","","","","","114,471,565.6900","","","","100,446,068.9000","","","68,629,950.6900","103,591,318.2700","7,514,310.3800","46,007,183.2000","74,044,280.7500","98,285,460.5500","7,915,546.8300","42,510,902.7000","56,062,363.5200","95,011,686.3200","7,711,374.2400","45,622,534.3500","77,136,028.4300","126,817,702.3700","21,388,047.9000","63,978,921.0900","109,299,926.3200","169,248,849.7000"
"1280","002828.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113,053,472.3000","","","","141,318,571.9000","","","","212,784,710.0700","","","","146,993,211.1700","","","95,581,446.7200","152,571,766.4400","-1,148,343.2300","28,679,658.0200","76,193,147.3500","115,656,766.5300","891,509.5400","49,757,712.6600","106,021,384.4600","192,441,838.2400"
"1537","300157.SZ","采掘","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17,609,729.0300","","","","57,111,265.4600","","","57,469,794.7900","103,554,336.7900","12,618,136.7600","56,590,655.0700","80,520,922.1300","127,658,902.4200","18,854,660.9800","59,692,966.1800","86,487,414.5600","125,734,790.8200","22,437,107.0200","74,867,912.7100","109,249,133.9300","205,265,761.0400","41,580,599.0400","133,023,764.3400","168,777,404.1300","291,204,658.8400","60,310,414.5700","190,091,574.1300","250,279,455.7800","348,383,543.4000","38,621,531.9000","169,510,109.6200","249,647,614.5900","410,587,568.2200","50,924,310.5400","189,258,341.7300","271,956,563.6600","374,861,285.5400","56,212,618.2500","160,397,277.9800","300,180,782.0200","404,508,975.0600"
