"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"40","000048.SZ","农林牧渔","","","","10,361,217.8000","","",NA,"8,126,001.6700","","5,429,057.2500","","8,221,678.2100","","10,179,393.3400","","10,318,614.7200","","18,021,277.6000",NA,"21,472,741.5100","","101,387,511.9500","","197,978,405.0000","","76,082,519.0000",NA,"150,444,749.0000","","90,321,494.0000","","131,546,531.0000","","63,308,522.0000","101,796,480.0000","96,044,344.0000","33,985,862.0000","53,498,070.0000","81,564,119.0000","125,634,430.3700","24,126,013.7500","47,781,639.7100","79,644,960.1000","123,075,696.1200","29,588,670.1200","68,330,635.4400","102,670,144.6300","151,708,155.8300","27,014,892.5200","56,853,379.5500","88,809,028.8700","119,879,711.1600","23,191,386.0400","46,419,098.3600","72,588,599.9000","76,181,474.4800","24,384,342.0800","55,108,381.9200","94,702,716.5900","117,716,742.7800","30,228,016.0900","61,144,374.2500","91,433,483.2500","157,019,644.9700","22,829,477.8100","48,032,520.7200","79,514,753.2000","196,206,768.7300","30,489,442.2600","58,303,082.6700","91,151,678.6200","137,010,874.1700","27,927,966.2400","58,528,392.7700","98,294,975.2300","154,852,600.4600","22,389,468.3000","57,711,745.1700","101,616,537.5800","146,530,544.5600","33,610,133.9800","73,130,845.4000","120,344,586.0500","164,480,146.3500","41,465,443.1000","86,070,789.4100","145,721,966.6900","411,483,704.7500","65,111,490.0900","329,919,829.5700","427,562,269.2800","547,330,602.2800","59,611,101.1600","136,702,442.6500","200,300,348.1800","253,177,131.0800","40,042,551.9700","85,296,186.1800","147,001,751.8900","829,664,885.3000"
"106","000505.SZ","农林牧渔","","","","149,647,569.2200","","141,268,575.0300",NA,"183,113,928.1900","","15,893,062.1500","","-10,491,664.4800","","2,100,538.9900","","-14,395,630.7900","","-30,437,482.8600",NA,"-30,633,452.3600","","-53,364,616.9500","","-109,869,246.4700","","-6,291,953.1800",NA,"-10,296,925.0100","","-591,763.8600","","-2,935,807.8200","","14,273,260.4100","21,138,263.9500","19,312,922.7700","4,911,800.0000","10,351,737.5000","13,275,416.9500","14,289,596.6900","4,201,785.0000","12,118,187.7300","18,859,270.4000","32,129,556.8700","45,423.6700","1,094,409.2400","2,114,305.0900","3,268,088.7100","33,658.8200","-513,126.8300","-80,287.6800","866,920.6900","-918,124.6900","-885,114.5700","83,191,521.9600","112,197,628.9700","11,195,682.1500","22,179,028.2200","42,307,898.7700","38,715,975.6500","6,086,473.9500","1,699,431.6100","2,353,648.2100","-428,155.3300","5,474,249.7300","7,398,020.3400","10,480,391.7500","51,166,274.7000","21,932,460.1300","113,565,144.6400","124,706,594.6300","150,394,382.0400","26,690,963.7100","40,652,149.2300","45,335,325.6900","64,067,045.2300","18,266,628.7300","24,464,872.7300","29,705,691.6400","41,022,182.6200","15,735,734.7400","23,022,821.4900","27,787,642.7500","45,229,659.4100","19,986,002.3500","25,623,193.6400","28,646,207.2800","38,083,221.4500","20,612,280.7500","27,748,487.8500","28,483,639.9000","43,268,631.7300","13,436,235.8200","16,596,678.8400","15,217,843.8900","176,249,138.0600","54,672,839.6200","88,710,016.3200","528,340,200.8900","687,980,732.2400"
"163","000576.SZ","农林牧渔","","","","26,110,068.3700","","19,079,916.0400",NA,"26,469,373.8400","","18,834,900.0000","","39,487,612.4300","","13,382,029.9300","","16,611,914.7800","","13,254,257.4600",NA,"45,605,891.2000","","39,356,449.2300","","66,138,545.3500","","22,344,881.6500",NA,"63,375,910.9900","","36,296,268.9400","","110,325,821.2300","","50,437,968.7400","","109,289,656.0200","16,048,300.0000","11,726,990.9600","31,554,376.7000","43,326,867.2600","22,554,605.6500","50,749,842.8200","79,420,480.1600","99,375,514.1200","21,156,398.5200","36,847,803.1200","60,081,410.5600","73,793,791.9500","20,672,725.0100","41,464,140.4000","41,335,059.6100","40,607,326.6100","27,847,055.0300","55,603,229.6900","68,910,594.9200","78,394,232.2300","19,703,386.9700","30,001,467.9300","35,896,674.4300","41,234,301.4700","27,478,212.2000","43,723,829.3100","55,103,685.9700","40,788,694.9100","-119,767.1600","15,965,053.0500","24,289,668.5600","24,811,377.2000","7,846,287.7700","22,305,145.1600","23,223,107.7700","6,248,967.4300","7,956,717.3900","15,690,866.6900","12,769,939.5600","-16,332,208.9400","6,742,046.1800","18,903,063.0200","29,143,935.6200","38,539,567.4400","9,332,232.7200","17,617,486.1900","27,155,003.1900","36,119,262.4300","9,577,241.3800","19,677,526.8200","25,105,798.9700","31,877,147.0900","7,151,939.4400","14,144,423.6900","26,425,608.0300","15,173,734.0500","-2,143,095.1600","-3,211,118.1300","-25,700,721.3400","-45,290,844.6400","-4,973,795.6000","-1,620,927.4900","-1,750,131.1700","7,749,207.5200"
"173","000592.SZ","农林牧渔","","","","34,670,257.9900","","",NA,"55,078,274.4600","","","31,489,392.6700","35,678,843.9200","","21,367,373.0700","","48,138,182.6700","","19,550,942.1200",NA,"45,169,202.2300","","22,267,313.4600","","28,992,462.4100","","5,989,940.3700",NA,"20,729,951.6500","","26,371,210.4800","26,244,949.8900","32,019,384.1800","","13,342,627.3900","19,518,095.1300","21,015,414.4000","6,008,868.4100","11,609,583.5900","19,981,527.5400","32,292,517.7500","5,456,927.6800","1,840,169.4900","1,067,738.3200","-10,036,270.6000","186,635.4000","294,526.8100","410,824.9700","719,600.7200","175,895.3200","-1,818,288.3900","-4,712,922.3300","1,817,664.5600","107,730.0200","119,252.2300","196,928.2400","-1,521,812.5800","-39,092.8800","2,690.5200","1,555.6500","87,533.6500","18,124,362.6100","48,555,993.4500","73,023,304.3200","89,803,057.3300","8,503,907.8800","32,503,468.6400","59,060,202.6900","80,885,918.1600","16,763,057.2300","48,021,824.9700","72,632,448.4300","111,459,600.0300","19,654,083.6400","62,291,867.6200","83,031,004.0600","104,124,880.4700","6,632,382.9500","32,862,960.6300","59,674,961.1900","97,095,182.2900","13,513,068.3700","59,496,654.8800","96,560,080.8200","133,581,620.9400","23,592,905.4000","67,722,947.5000","104,864,272.1600","157,543,738.6400","28,041,008.1700","87,662,781.0700","116,769,407.0100","164,980,047.1000","20,586,441.7700","50,331,722.7800","78,997,953.9000","109,025,839.9700","9,289,581.7600","46,448,613.0700","70,485,664.1800","107,100,752.1100"
"212","000639.SZ","农林牧渔","","","","8,771,471.6900","","",NA,"11,733,072.3300","","","","10,503,002.0200","","","","8,467,825.7900","","6,335,301.1400",NA,"9,577,168.2300","","22,406,416.1700","","30,371,832.3300","","7,489,969.6500",NA,"29,809,163.2800","","14,319,090.3400","","29,616,638.6100","","16,323,577.5300","","34,492,402.9700","6,986,390.6500","16,811,895.4000","28,201,309.0000","36,302,629.6900","8,502,231.2700","17,273,862.1500","26,428,899.0800","36,944,392.6300","8,316,211.6600","19,771,307.4900","30,605,204.9800","39,932,809.0500","6,705,016.3700","17,868,443.0800","28,150,185.8400","35,883,622.6500","8,716,437.6600","21,117,923.7200","28,695,319.0700","36,564,172.9100","6,430,551.1600","11,399,983.0500","20,631,624.6200","28,379,359.8000","7,510,849.6100","15,537,716.9200","21,448,253.5000","27,956,211.3300","4,527,611.1600","9,493,736.2600","13,017,022.8300","17,058,434.8300","2,472,119.9800","5,150,587.5400","6,412,443.8700","221,455,844.8200","74,874,542.4000","181,842,056.9500","311,401,394.0200","412,075,426.3500","116,647,286.0900","220,906,682.9200","393,260,404.0600","554,482,800.3700","127,051,903.0400","224,829,688.6300","427,516,952.3400","593,496,847.2100","115,867,081.6500","224,153,793.0900","385,338,205.0800","511,593,972.8200","173,830,110.9500","270,835,963.3000","461,714,272.0000","621,617,108.2600","182,411,394.4800","324,478,275.7800","520,286,112.9700","975,025,403.1100","552,339,601.8600","1,072,201,101.7400","1,575,093,110.6400","1,986,405,415.1800"
"253","000702.SZ","农林牧渔","","","","27,466,014.0000","","",NA,"29,030,789.0000","","","","39,423,850.0000","","","","37,933,313.8400","","23,520,055.1700",NA,"57,504,364.7600","","66,696,834.1300","","129,758,326.1900","","60,816,303.0200",NA,"145,628,977.9300","","91,958,193.6600","","250,871,842.5100","","114,825,741.4700","","226,629,716.0600","48,740,531.1000","87,249,257.6200","130,756,232.8000","172,640,721.8100","40,349,510.0600","81,420,326.9400","125,936,435.3100","166,846,004.1200","40,581,112.4500","82,228,778.6500","136,062,937.4800","185,603,319.9000","49,919,635.9500","98,531,242.4200","156,516,713.1400","195,424,317.8200","39,401,319.4400","79,019,628.1400","124,795,072.5600","147,844,331.2000","29,946,568.2000","66,211,907.3000","103,570,142.0500","109,546,130.0400","36,813,208.1200","76,197,195.8300","117,362,955.0900","154,071,118.8800","33,417,111.9300","84,669,189.2500","120,187,168.1000","156,990,490.8800","33,928,828.4300","58,635,472.3900","98,571,950.8100","145,350,656.9400","33,866,728.6900","67,266,793.5500","109,073,014.4800","158,326,102.5600","38,258,589.0000","75,893,307.7000","114,040,419.8600","153,819,180.6500","32,962,306.8800","65,235,132.6700","104,504,058.3900","141,726,143.0300","24,003,173.8900","55,291,902.4500","102,056,393.4300","142,854,757.2400","13,229,692.7100","48,812,766.4400","90,672,806.4500","124,912,466.2900","20,419,630.3200","57,338,417.9400","86,094,069.4200","116,770,289.6100","23,251,560.6100","55,810,276.9700","100,100,877.7600","136,851,531.8900"
"262","000713.SZ","农林牧渔","","","","5,357,219.1100","","",NA,"14,123,558.6600","","","","32,526,437.3600","","","","38,374,741.1300","","25,121,383.9200",NA,"50,934,756.2400","","30,308,951.1300","","90,258,949.4100","","38,222,437.3300",NA,"112,702,557.0800","","40,280,910.5500","","132,061,166.6100","","39,997,957.2700","","102,732,569.8900","24,421,341.5100","47,846,347.6500","52,182,665.4400","66,581,826.0400","35,112,135.0800","66,451,607.5700","89,269,657.9800","112,800,458.7600","40,612,002.0700","90,276,062.7100","110,811,430.9800","166,246,403.9900","50,993,042.7300","116,137,754.1100","155,083,833.3300","217,129,821.3400","57,038,391.4300","143,107,416.6000","182,871,698.6800","266,610,064.2000","50,335,713.8400","111,951,881.2500","144,972,346.8400","226,090,086.9800","64,683,079.1100","128,643,211.1000","164,316,873.2900","247,482,203.8600","59,722,599.2900","139,632,690.3000","169,176,871.7700","267,009,976.8400","85,634,244.1400","212,130,762.9600","248,681,526.0700","361,490,220.2300","85,823,873.5700","158,416,800.2800","189,405,324.0400","328,432,434.9400","77,161,524.4900","139,897,071.8700","179,010,303.9500","359,601,406.8100","72,454,878.4300","121,982,910.7200","94,271,270.0000","275,847,524.4900","63,406,214.8100","100,655,045.4200","85,541,802.7500","271,618,011.4200","67,238,357.9000","92,451,103.8100","80,612,782.9800","251,876,035.0800","57,616,960.9500","82,822,116.8800","67,662,126.7400","197,011,339.9000","43,444,253.3600","85,075,048.3800","78,631,949.0900","207,329,431.8100"
"280","000735.SZ","农林牧渔","","","","","","",NA,"16,882,000.0000","","","","26,931,000.0000","","","","23,816,751.1600","","23,095,170.7600",NA,"36,938,335.7200","","17,433,647.0800","","35,176,504.2300","","13,264,526.6800",NA,"28,070,595.3900","","37,145,699.7400","","69,624,501.4400","","35,446,944.3000","","60,908,339.2300","16,604,100.0000","38,115,233.1400","53,159,953.8000","62,869,886.9400","16,200,011.5100","36,033,606.1900","47,705,613.4100","73,263,241.4100","21,460,757.9100","48,951,380.4200","74,598,353.4600","98,808,369.9600","21,596,356.9700","39,916,824.3700","49,846,624.9300","23,462,801.9400","20,234,242.0400","36,248,084.0100","51,276,284.5000","12,937,591.5800","32,486,731.0700","64,487,875.1300","105,101,601.9300","154,818,253.7100","39,695,036.8000","89,621,591.0600","122,102,556.6700","145,060,895.9000","37,645,072.6700","51,571,613.5400","73,573,545.2000","103,542,878.9200","4,469,113.2100","21,293,606.4700","42,289,162.1700","71,608,245.7600","28,923,012.2500","61,325,702.4400","116,883,422.5600","211,374,510.6700","51,872,073.0700","98,658,839.7200","125,156,725.0700","145,374,624.8300","21,470,632.0000","16,277,402.6900","29,328,903.1300","265,265,529.0600","15,166,031.2800","40,413,198.5300","80,767,680.8600","112,038,124.6100","19,389,504.5100","50,503,772.1100","79,606,770.0400","110,365,652.6000","45,326,821.2800","98,744,648.6100","131,890,922.8400","221,532,520.0500","153,347,034.5600","241,376,883.1900","261,209,965.8000","314,350,875.3600"
"318","000798.SZ","农林牧渔","","","","","","",NA,"29,150,135.0000","","","","111,627,208.0000","","","","98,711,225.0000","","20,032,871.0000",NA,"73,210,337.0000","","17,180,872.0000","","87,640,026.0000","","43,059,413.0000",NA,"90,716,928.3200","","36,541,348.0000","","85,107,925.1200","","16,263,257.0000","","52,917,012.6400","683,400.0000","-4,826,943.0000","19,007,100.0000","51,232,227.1900","536,022.9300","1,586,725.7500","6,634,110.1600","28,882,482.9400","-591,061.3500","13,106,684.2600","24,179,073.9700","34,988,744.1300","3,279,582.8600","15,245,567.2000","28,170,358.4400","26,872,881.7800","7,602,257.6600","15,613,363.7700","27,809,053.5800","40,948,587.5200","3,914,281.6300","14,602,535.6100","25,547,277.1500","28,342,158.3200","7,843,411.3600","19,566,940.2300","36,026,170.4500","54,848,221.4200","3,636,661.1900","23,658,642.2200","45,163,431.6300","83,677,523.2900","14,197,015.0300","35,399,864.1300","53,393,939.7300","109,182,652.2400","19,821,358.8500","33,724,714.3800","54,294,361.0700","81,965,878.9600","-17,537,972.9500","101,548.8100","17,520,832.0500","59,248,102.2000","-5,623,155.8500","-22,084,941.9300","-19,516,997.0300","-30,776,755.4200","-3,114,390.3000","-17,940,430.9600","-4,050,331.4100","-1,204,155.9100","9,943,193.4300","23,851,000.7400","29,336,142.9000","47,734,376.0500","5,300,238.6500","6,296,737.5300","15,416,626.1500","39,804,209.2600","11,104,767.3300","51,167,349.8300","67,253,327.5100","97,319,393.4100"
"365","000876.SZ","农林牧渔","","","","","","",NA,"29,978,020.0300","","","","48,324,096.1500","","","","56,211,762.3500","","36,476,780.4000",NA,"70,642,839.7200","","29,085,871.3700","","57,350,247.6900","","22,990,419.5700",NA,"81,737,307.3200","","40,899,242.7000","","72,038,991.8200","","49,025,155.9100","","105,071,188.0000","22,583,165.5000","60,936,129.6000","116,978,066.5300","181,375,363.6300","63,084,120.4600","135,379,852.6300","227,526,104.3600","329,726,443.5200","78,122,104.5600","174,181,743.8600","282,583,018.2200","414,211,173.5600","110,580,566.0700","226,768,060.6400","374,777,636.4900","511,369,416.7400","108,159,183.9100","233,243,224.0200","368,607,801.4100","480,381,358.2400","107,531,952.6400","201,418,294.0100","323,210,071.7400","429,336,886.9300","96,186,402.9000","249,641,873.3900","387,361,419.4700","594,646,885.5000","135,962,670.3600","318,315,834.2700","485,617,797.5700","696,206,965.1600","132,769,774.1000","285,638,599.4700","458,563,525.8900","648,760,308.4900","174,906,263.8400","421,231,413.0700","669,641,962.6000","5,064,789,346.9200","1,007,253,577.9000","1,935,440,611.0900","2,952,023,952.9300","3,899,987,029.6000","900,919,283.3900","1,746,460,164.9900","2,826,537,126.1400","4,060,308,350.4000","639,273,451.3800","1,799,706,656.0000","3,130,922,831.7100","4,130,869,995.1300","945,274,328.3900","2,075,419,374.6900","3,293,210,199.6800","4,252,720,157.1200","1,112,848,208.6700","2,342,940,990.6900","3,565,725,899.7900","4,762,453,861.4600","1,174,972,398.2600","2,228,563,307.7400","3,729,614,836.6600","4,965,130,567.0800"
"379","000893.SZ","农林牧渔","","","","","","",NA,"","","","","74,616,872.0000","","","","63,483,992.0000","","",NA,"118,028,926.8800","","","","106,082,562.3900","","42,841,906.0100",NA,"65,634,140.2000","","12,753,459.4500","","3,621,861.1700","","31,320,324.8000","","31,152,238.1900","17,510,670.5800","44,324,906.6700","65,424,809.0200","80,638,286.4800","13,126,079.7200","27,689,784.1100","40,233,262.8400","45,910,244.5100","16,386,377.8000","45,939,193.7600","69,882,026.4400","89,270,150.0500","26,485,201.7500","57,766,613.1500","94,368,224.5600","119,021,047.0800","30,844,352.3600","78,002,843.4300","122,680,118.0600","143,804,094.8100","36,985,696.2500","84,553,860.1500","122,038,600.6800","143,883,535.0300","7,446,717.3500","119,185,020.8900","138,371,441.8800","95,071,545.3800","20,512,451.1500","69,129,428.9900","114,485,519.5200","428,469,986.1800","60,735,390.8200","110,958,876.0500","181,113,463.8400","418,340,111.4300","103,316,128.5700","46,489,944.3100","21,521,642.2600","-60,458,571.8400","34,107,644.7300","122,501,581.2400","311,557,372.1900","134,434,819.6500","55,473,256.3100","85,050,939.7600","118,395,151.6600","254,059,887.8200","40,778,945.1800","-45,172,140.2300","-123,965,552.0800","-187,882,862.0600","20,491,135.9800","76,255,405.6800","28,797,870.6500","35,266,092.8800","51,779,300.0600","73,257,099.8200","91,555,635.0300","87,315,389.9600","14,104,738.6300","15,592,578.4400","14,701,197.0500","44,919,131.2200"
"393","000911.SZ","农林牧渔","","","","","","",NA,"","","","","","","","","139,038,217.7900","","",NA,"123,483,270.0700","","","","126,979,940.5400","","54,864,115.1000",NA,"111,725,974.7100","","81,869,229.5100","","188,895,651.9600","","111,113,776.2400","","194,533,853.8700","74,546,581.7700","160,566,099.7000","217,766,052.3000","294,308,753.7100","52,970,509.3200","117,897,500.8900","173,217,127.8000","288,531,699.6500","101,373,760.9400","221,761,572.2600","273,244,087.6000","394,535,071.5300","64,299,304.8800","123,796,115.0600","167,383,024.5400","293,746,630.5400","282,620,733.6400","342,075,960.4500","359,753,058.8900","539,498,620.0600","139,624,675.7600","208,463,050.6500","343,574,693.5500","572,207,957.4500","190,172,251.8700","354,277,383.1400","459,628,942.7500","520,510,803.8700","75,507,329.8800","289,572,832.4600","434,004,617.3100","639,394,390.7800","187,665,960.5700","266,574,974.3700","362,334,255.7200","669,643,577.5400","165,337,888.1700","412,213,816.0000","547,927,001.7500","678,047,288.8300","108,296,839.3100","261,119,206.0300","290,639,062.1700","381,669,292.2900","93,475,974.4400","188,278,651.5600","308,895,755.2000","545,072,567.2600","73,350,431.0500","140,162,160.2700","183,953,373.6300","219,539,440.5000","118,529,317.5700","225,517,652.7300","348,010,905.6100","442,521,763.6100","34,444,291.5800","70,906,725.9100","129,147,677.8300","504,833,333.4300","125,312,448.3000","168,208,503.2900","254,301,231.2100","289,515,921.0500"
"409","000930.SZ","农林牧渔","","","","","","",NA,"","","","","","","","","32,070,069.0700","","",NA,"58,767,095.5700","","","","75,549,309.0400","","44,770,015.8900",NA,"98,620,221.6000","","84,219,480.5100","","196,303,637.4400","","88,774,679.7700","","187,036,147.4300","57,413,912.5800","99,059,092.6500","161,871,813.5800","244,199,175.5700","64,905,308.4800","126,193,027.8700","198,039,296.2000","284,876,251.6800","112,135,299.4500","222,763,250.8400","312,477,823.4800","388,607,506.9200","91,523,804.8900","173,612,191.4600","241,777,944.5900","321,354,465.7200","20,343,827.4200","57,642,804.8800","73,434,702.7000","-37,772,616.4400","-91,729,359.1300","-220,631,543.8000","-291,562,427.0800","-303,782,357.0800","-41,516,790.0300","-51,535,075.8500","-38,898,334.3500","-72,774,439.0200","-37,966,026.7000","38,118,572.4600","136,134,369.2200","229,072,717.8800","65,531,444.9700","112,401,759.9700","128,881,191.8600","178,358,671.3200","112,420,413.6700","328,561,200.3500","516,045,093.9700","654,229,087.9100","165,208,810.8700","300,479,866.0200","454,115,923.5300","669,384,792.7900","158,094,566.0400","255,621,345.9800","377,561,235.4000","542,469,784.7700","174,176,102.7100","335,988,181.0400","504,502,735.5900","588,821,777.6200","-56,757,513.7000","-29,579,073.7500","-28,104,967.7500","-44,841,027.5800","132,724,788.0700","324,325,349.7400","557,422,671.1900","730,439,029.8200","223,914,356.4300","357,651,991.3200","483,563,358.8400","631,130,532.4400"
"439","000972.SZ","农林牧渔","","","","","","",NA,"","","","","","","","","","","",NA,"39,108,396.8500","","","","69,591,767.2300","","",NA,"89,129,175.5100","","27,679,108.4200","","74,920,232.7500","","34,066,233.6800","","107,554,114.8200","16,205,400.0000","53,225,843.1400","82,111,604.8700","155,876,679.1000","21,342,892.5200","49,778,022.4200","77,362,861.0900","218,122,660.8100","27,868,188.5700","119,343,954.9500","164,193,908.5600","232,475,349.0000","50,157,264.6500","84,192,545.9600","152,705,304.6800","254,107,724.4200","72,313,145.6100","170,011,976.5700","249,266,748.6800","334,031,234.0100","88,571,053.5100","217,514,733.0900","293,450,849.0000","396,367,989.5600","120,100,785.3100","239,067,480.4500","321,351,550.4100","486,945,456.4700","87,942,285.7500","186,545,851.6700","209,330,263.7900","338,182,897.0300","51,357,234.7300","29,449,878.3100","39,628,735.1500","-185,716,291.1200","-18,161,997.7900","21,954,811.4600","-14,560,648.6600","-105,117.4000","15,731,235.9900","48,347,002.5600","41,737,598.4900","223,305,063.4800","25,848,618.2400","66,064,544.0900","117,349,241.2100","101,641,247.7900","15,518,682.6600","19,421,375.7600","29,084,208.9700","48,978,297.2200","18,455,992.1500","18,835,822.7600","26,422,475.5800","61,052,277.3200","11,904,865.7000","11,528,246.6000","15,266,306.5000","44,493,844.0500","4,685,216.4300","22,781,700.7600","41,077,528.5400","79,547,335.4900"
