"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"116","000519.SZ","国防军工",0,0,0,71.65394031,0,-20.8983806,0,-60.89693156,0,-72.32591278,0,-63.28055457,0,-50.09473222,0,-58.28604429,0,-54.55541442,0,1147.90375,0,6135.761555,0,52.8755811,0,-93.33256864,0,-18.96208555,0,833.653324,0,63.39620146,0,6.995519279,0,-39.24655053,0,-53.69750549,0,-55.0161234,117.1947105,9.153842898,36.87391975,-1.678663596,-46.93494672,-49.23614444,-62.59432751,-313.0298967,-366.319381,-242.8271328,-330.6308982,231.6395815,382.2560631,548.9862417,404.5085573,29.18909753,-97.07080415,-84.4982481,-80.51593986,-61.62301113,-1130.581041,-381.4108102,-374.1892027,-363.0716196,85.10575532,128.2742727,134.2585326,110.8076683,584.8076442,-60.13267808,-68.34777871,282.0950084,-79.32626507,-329.1436269,-417.0558058,-199.3657349,-592.4095379,187.7147574,160.4547783,130.9908996,-15.95094061,-366.9244977,2.166492237,8.720708429,224.8229747,50.05141348,7.173270413,4.47606928,-21.15402503,-25.46182911,-20.91644025,-37.21385861,-81.11315082,-79.29874305,-78.05158785,-64.59769299,-505.0531749,-107.093498,-45.36345827,-16.52459256
"140","000547.SZ","国防军工",0,0,0,110.9574191,0,193.8595194,0,81.81072779,0,5.727748,0,13.78779385,0,10.39588085,0,12.02040695,0,18.09129131,0,6.905346384,0,-87.93650516,0,-88.62337545,0,2262.448273,0,20080.7337,0,-95.8772348,0,-36.0264718,0,1272.419276,0,-18.69168268,0,-79.73584506,0,-68.03191959,-12.81453143,8.962485917,-16.33860576,38.14145414,12.65341341,-20.09404692,51.61309802,28.38308946,487.660542,404.1982364,69.31917778,-242.5350435,-90.42815852,-22.50921124,56.19580267,238.565318,1089.508352,157.2220407,119.9663902,37.27428566,-24.40335638,-26.5681457,10.85761777,27.43385,-19.82688994,-12.84994466,-27.61427105,72.09891731,-2.878421684,-11.4933799,0.954915869,-44.12031504,27.42622672,138.4790413,155.9836432,159.7403554,483.0418681,110.5137843,24.61469953,9.339683342,-18.76110062,-17.85002752,18.46508908,6.760552222,11.58626887,14.35519452,-2.252149552,46.39174532,31.3412023,94.45293595,90.50977009,96.98190719,122.7689928,96.64127555,21.5634552,19.74287636,19.19842879,8.457620897,13.95622273,10.48878045
"283","000738.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,-11.70725988,0,0,0,-41.34269706,0,0,0,147.9176098,0,-27.9711821,0,-15.66960922,0,-6.081019786,0,-73.43198898,0,-322.0971955,0,-695.104723,0,-89.11979458,0,-35.22786741,0,88.30227535,0,101.1496802,102.5296415,116.3296632,141.7068679,306.7600023,56.66961072,-512.8989084,-775.1662898,-4310.718785,-1136.923357,-54.86957261,-2.418795971,89.95977019,120.8880775,113.7095311,102.343456,149.1875039,141.7320258,95.88744301,696.4843282,-74.23094911,-89.84585087,-82.7598185,-1107.574095,-1936.930625,506.538781,703.2135251,87.43703708,88.28688484,-14.86503117,-5.581068609,-28.0797112,17.9381264,-23.56019266,47.75152054,77.8402762,8.372744114,9.045290771,1.30827786,-17.48155411,6.007901349,9.06696388,9.721532673,11.83225023,3.485921794,12.92070626,12.04265124,23.36053725,-9.197214134,-18.52493478,-4.65228342,-1.585466615,5.392304582,45.62143575,17.16589366,3.531215993,5.679056974,12.38545035,24.49253362,13.47659845,3.025023251
"299","000768.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,-8.130567958,0,0,0,5.075974495,0,0,0,52.1554367,0,54.84813258,0,3.835490431,0,-31.51576791,0,-39.78197395,0,8.620034731,0,33.5015373,0,-60.57142066,0,-31.8353451,0,68.60162656,0,-5.382577055,-44.90938105,-30.60681764,-28.94253624,-25.74237293,-71.41221063,-32.34856126,-57.5359456,-5.634249519,570.0515877,118.8069024,64.24543669,99.28452989,39.44018572,56.65814372,187.9510953,99.15711354,44.81380732,44.1785768,39.98380651,34.66416884,150.5692566,154.4856817,253.5261872,328.0077476,-176.912209,-157.4657284,-103.3827906,-21.38568247,90.04215579,250.700609,2120.424295,19.49215697,-432.6342677,-88.03391198,-77.39771504,-64.63855263,83.88624856,210.5968387,-40.80005781,-37.03010432,21.3873541,276.8420548,125.8712441,39.58639271,-173.4128051,-258.4117505,16.84524201,2.364290067,-29.25830215,-36.26853602,-404.7200883,22.63841265,65.69618684,167.7129492,202.7422727,-1.238437849,-66.75634494,-35.86678,-7.498645565,4.261022632
"477","002013.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27778751,0,0,0,0.786474749,0,-4.537776199,-25.78790661,-34.08470056,-58.26056443,-46.89909584,4.036796915,16.72888089,163.5799152,141.8257302,46.56569845,55.46223911,13.91501151,26.37551715,42.7585359,46.95974691,31.65044675,16.66638632,-0.630334417,1.564951947,-91.97818217,10.48112397,46.81423157,34.11180721,967.1583347,20.73890085,18.52962126,15.06081655,62.56453788,26.28577165,21.24239207,14.02637436,-12.48941434,-6.054159157,-8.223459563,18.8371328,36.32105749,5.35358061,11.70280572,8.578541348,-268.4955829,-13.23676167,-16.86852598,-9.720543937,-165.8303463,-96.32435345,-26.15705176,25.06990455,58.47893956,1908.656227,37.98311664,13.36061292,122.0593526,23.58060958,17.10436796,1.767200584
"487","002023.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96121308,0,0,0,27.68975028,0,9.115323345,52.01894887,9.025543741,217.3211896,18.52675718,-12.61892417,-11.51752173,15.42357419,-1.489975029,-2.675914312,-17.48866359,19.8782136,7.220974346,6.303924044,18.7409105,52.29712816,-12.46928937,-9.592140976,-7.433117856,12.87505731,49.004121,39.68433757,52.73011861,5.45729977,2.143082315,2.533670807,1.392742642,4.700564546,-2.902278117,-2.685817106,-0.721036299,-4.418984416,8.702198918,29.13315927,42.70314482,59.89083221,60.49537265,55.65476708,57.86557725,45.16237226,39.6415058,43.39628027,24.12679715,-18.17232648,-39.46565161,-63.92428343,-83.20687634,-16.53338654,14.4520487,-0.711820507,35.91291144,-72.33192408,-61.26099714,-22.1165427,-45.50758658
"615","002151.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.4424262,0,0,0,48.64223896,0,79.12450017,58.0566613,57.2091266,28.49667207,46.80057919,36.85831513,21.9126357,18.07766264,2.433249126,-11.46855708,10.86912225,-29.4017706,-23.51926474,-21.75782001,-19.41408064,38.25176686,31.33970435,45.6038452,-6.212329886,-259.8617218,-59.64588077,15.32959326,45.75921703,48.17042763,-0.126933268,-13.34736193,15.40582469,-22.47420503,-115.0921478,-33.82686753,-21.22126957,-22.54634701,-1787.890389,-214.3133551,-6.863916023,-2.012334971,153.9207693,317.978908,26.5702596,109.3404224,43.14055134,32.00014641,91.62723726
"654","002190.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.4753394,0,0,0,17.79023893,0,0,57.42973152,-1.938338811,9.883690677,29.49925363,1.347917893,18.11205636,49.60181705,11.73866893,19.67376116,1.311557798,28.61759542,9.533786525,11.45340148,15.97092941,90.05204789,24.85887452,23.88150757,10.87978209,-109.5364643,-24.26533263,-33.85113423,-28.36456667,708.91368,-11.38291024,-54.26431283,-26.01919313,-244.3645009,-172.3919727,-145.5158722,-2.571971391,220.1563242,392.0216401,939.8971022,349.4251843,69.69227271,132.5353551,121.0372201,72.26800054,-97.6802071,-116.7264184,-129.1530991,-230.0970711
"760","002297.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.76166792,0,0,0,110.1501068,0,0,0,-8.30733496,0,-1.776837129,16.77238346,0.02642029,97.30024236,14.2369614,15.75120521,-1.519296071,-38.45757225,0.579625709,28.20571413,41.43292828,191.9934934,34.07767865,21.2031723,-42.8195455,-87.7114958,4.838428796,-35.14239127,-255.9417318,-456.2398945,-79.08946938,-59.78402222,125.139742,-166.1812243,-751.8712692,-852.4328504,-1772.87022,55.2575299,25.76468731,46.66981709,106.6248684,57.15014427,49.80493154,12.15193454,-810.9751103
"876","002413.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.03833713,0,0,0,-28.68106227,0,0,0,73.75620624,241.4333713,85.50827527,43.80913353,31.79422106,31.81638921,26.79784725,21.78531141,12.73633597,-38.21163257,-44.60005706,-48.51277382,-49.49499988,-31.85681006,-43.42872328,-27.54790259,-47.33533924,7.104433442,27.1405885,7.345218695,30.89247296,3.827365391,36.14634519,58.69052982,320.8501996,127.405912,46.51510006,27.21571793,-22.23485679,19.90759172,9.46966258,15.06500506,20.95066477
"1281","002829.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.2669057,0,0,0,78.76958951,0,0,0,15.07900876,0,0,0,-16.83416879,0,0,43.41334248,8.923186267,31.87485017,11.25002248,-6.242544831,15.9709145
"1377","002933.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.811623231,0,0,0,5.123320807
"1378","002935.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.80777087,0,0,0,8.841635965,0,0,0,20.97243048,0,0,0,-0.190348263,0,0,0,10.41250165
"1389","300008.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.8409222,0,0,0,32.95149946,0,0,21.76531249,15.06806276,14.58231208,25.94942272,43.86943797,41.74863272,45.86989873,30.44457338,22.74229421,18.36679502,-2.103679174,-4.462009984,-37.42265171,-75.75949368,-86.79463804,-88.61607594,-80.70991087,-61.00131819,32.66744818,384.4734989,379.9592471,483.732302,88.32737948,1.770074014,-0.714573434,23.66657465,47.26526815,437.6842884,309.4485738,178.5879495,432.5234117,-4.852977814,6.230989045,0.951386765
"1415","300034.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.93372372,0,0,0,7.760995097,0,0,19.72196802,21.68085833,13.48772492,20.19668062,13.85195079,27.74670387,51.11163375,48.56054295,36.17105237,38.63113814,42.87026009,22.93269442,23.22212799,7.370688061,-9.107398745,-3.863613787,13.48873034,27.08183243,6.183107228,14.13596467,30.31376053,24.72552407,12.6633477,7.865377209,-12.57618126,15.01615057,-8.875748677,10.15629818,0.176737256,-25.89258988,2.461048102,-16.17672646,-39.48668746,-47.57697113
"1481","300101.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.7789263,0,0,0,30.70336237,0,8.696891022,-6.207224572,25.61978236,-27.24835828,-1.732372415,-4.74589269,-24.32702254,90.26692232,35.87880574,-34.24180968,-45.61627665,-78.51962293,-144.7864913,-70.46780041,-144.0715257,-485.9546612,210.8399607,374.011996,642.4463816,276.4423566,245.0977565,127.5661149,52.64055625,39.75813025,17.26680202,7.525551835,-44.2004573,-41.06076076,-43.94077572,-58.65177729,-25.62166377
"1503","300123.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.7851896,0,0,0,46.77544454,0,0,43.31161826,14.05259755,63.40939916,34.79486749,29.2142831,37.69109759,28.38414807,22.71920377,26.16479434,24.83909867,12.2505451,11.31444127,20.12635064,11.10635665,1.272449927,-46.53439195,-46.98440797,-65.47130055,-155.1830632,-152.4611848,-80.0752284,-30.33327199,-58.63416295,157.0059496,76.65434355,4.423698503,51.02019875,102.2703898,139.826514,573.2014916
"1539","300159.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.39629549,0,0,0,77.57338078,0,0,118.5802094,118.1999314,184.2954991,44.84575262,33.14502448,53.28515859,28.72904355,14.28283273,6.911519544,1.090352312,10.85366406,18.53745506,18.68600725,27.10320709,11.89173067,15.22649113,5.268406387,10.10919627,-2.664264673,5.460387758,4.700706603,168.1211079,28.828121,-1.488454096,23.37737219,-18.419527,-150.7748927,423.07516,138.8418126,60.46363419
"1774","300397.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472.672151,0,0,0,12.68529492,0,0,0,21.56724303,0,0,0,-10.00003337,0,0,12.08918881,-48.58650574,49.00577251,16.8034605,-276.6776579,-170.3473589,-31.64093647,-25.64256758,-83.15160754,-19.99595813,274.4528133,219.5436233,171.9940892,221.0865942
"1801","300424.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47265368,0,0,0,0.863063901,0,0,0,9.376941816,29.26837268,5.882425335,-5.452090142,-10.23794754,-92.80405042,-31.19226592,-25.85273438,-17.09232695,90.06880084,7.415417818,9.381032091,10.73974154
"1833","300456.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.854904939,0,0,0,11.76733056,0,0,0,-0.939910036,0,30.42334103,18.03190947,-10.00197905,-73.05066539,-27.43834917,-14.76484482,35.25625845,667.1478281,66.53111757,58.51660574,-12.91814366
"1851","300474.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.35179959,0,0,0,6.083195777,0,0,0,28.23555247,0,0,0,8.237387715,1765.35631,29.48040938,20.63010191,18.35957228,-43.43228552,3.960298876,3.235627725,12.86284972
"1903","300527.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.59275302,0,0,0,40.70417649,0,0,0,17.30891328,0,0,0,28.98566939,0,25.93269072,197.8053692,14.08024815,105.7953359,36.95794281,57.14787269,24.49898576
"1954","300581.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61525908,0,0,0,-2.756170995,0,0,0,48.88819826,0,0,0,8.676471043,0,0,-0.651704999,4.095308114,-2.558686807,-9.346851037,4.149258261,-7.464820139
"1962","300589.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8606837,0,0,0,37.25535378,0,0,0,11.06687616,0,0,0,13.49854383,156.1773249,92.56045311,6.392153178,-4.979621765
"1972","300600.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.59180275,0,0,0,-1.579180801,0,0,0,59.60868785,0,0,0,58.8608083,0,-11.06815712,9.793214684,-4.75836257,30.51682436,20.12563761,-0.569564543,5.965513794
"2064","300696.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.26564787,0,0,0,48.86319006,0,0,0,35.29883485,0,215.7747914,168.7696285,7.997583194
"2085","300719.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.43330177,0,0,0,19.37772903,0,0,0,27.54561846,-25.26377873,0,24.2602158,-1.52383771
"2088","300722.SZ","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.46007267,0,0,0,22.72813808,0,0,0,25.33896788,0,0,12.54039929,30.69180658
"2143","600038.SH","国防军工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.1889726,0,0,0,62.04883168,0,0,0,21.0446962,0,-67.85746457,0,60.17733015,0,232.7210395,509.0476219,11.15376314,63.33165467,-24.22836025,1.671385373,12.78676176,-250.9954623,-23.14977945,-38.43995767,13.90430905,-42.44980958,-43.94376763,31.31953608,5.771966913,102.4682803,43.24658984,79.72663139,17.35104673,37.54520607,45.45662117,5.910152076,0.778566874,574.6209606,-13.62638646,-6.136447157,1.23333408,-47.72236236,33.48081784,0.940596224,-18.41166334,-67.68860712,44.95311564,10.44052748,48.75230094,2756.34064,37.76645213,36.65971231,-8.223020155,38.56903011,36.03490494,12.3736028,5.234143205,19.04053482,18.21019575,38.24320991,2.38140995,16.64685741,17.98032891,50.58715251,34.65973544,5.305794719,22.49479251,19.57252126,31.79448054,-9.260489139,-6.284210547,5.233490231,0.50335719,27.98212848,-11.95153142,-10.99840124,3.593631813
